n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std,Boots_N1_class_std
0,CLD,0.890666666666667,0.116,0.171583333333333,0.146167098147894,0.537684978070175,0.21712299653437,0.174541666666667,0.291078140969164,0.954606934001671,0.767166666666667,0.0197765292989218,0.0100242760891304,0.00932607604753705,0.00694551152041644,0.0388783473481348,0.0147557861469477,0.0181712107806433,0.0120017466687664,0.00596825248457298,0.0168657381990828,"[[474, 2, 24], [2, 438, 60], [20, 56, 424]]","[0.009951269102059556, 0.05309931281725884, 0.43507521920825987]","[0.03384546588280099, 0.1337546980050291, 0.49623664760161745]","[0.04280138895331164, 0.1248774435372875, 0.37546794128823996]","[0.4903208943174642, 0.6381884906964095, 0.41350006062320893]","[0.15278386293257182, 0.15503337817532525, 0.46108836121268215]","[0.05051022737613418, 0.13698551065669623, 0.47313614047735664]","[0.18793921840016545, 0.30058731243085435, 0.4564745728644358]","[0.9377076556986592, 0.974407391693725, 0.9445390339593054]","[0.8400947103236254, 0.7757405124406549, 0.620581846301861]","[0.00824813836118363, 0.008157937163306001, 0.0434975187352568]","[0.004997166411129013, 0.01302970432045049, 0.03409474010893616]","[0.008157013172721182, 0.011961528244053662, 0.03768580834767159]","[0.025102403370245302, 0.05257326169264486, 0.020163153096287023]","[0.012719564833568621, 0.012162018297522384, 0.04187875146665652]","[0.012303434503314893, 0.011628255826088672, 0.0263733023521541]","[0.008824594795619312, 0.005219514105154951, 0.009576517408814161]","[0.03781292812987948, 0.0027650441462803927, 0.014098169583890872]","[0.012755193318671915, 0.01705880644216828, 0.03508403988608335]"
0,DCP,0.870666666666667,0.0971666666666667,0.143283333333333,0.141140331047385,0.558073135964912,0.163710114450109,0.146472222222222,0.264650509632978,0.927939014202172,0.725833333333333,0.0158815056660955,0.0179079436129458,0.0197989547984511,0.0132344365613356,0.0473118038268823,0.0150098710864675,0.0208207948379783,0.0208342188761469,0.00758197581231849,0.0333580637427694,"[[468, 9, 23], [3, 442, 55], [37, 67, 396]]","[0.006299979460748603, 0.048275653286561526, 0.32804234852919195]","[0.02770853526210037, 0.11641992708174516, 0.3619842966156603]","[0.0528790625845562, 0.11397550706874826, 0.32450716378605915]","[0.5336465702816011, 0.6486824715239348, 0.3980395623869761]","[0.09192754782368577, 0.1276386548265954, 0.3423838354549642]","[0.037734888092302264, 0.1214395250758847, 0.35190751752785465]","[0.17149741656271406, 0.28289016606883327, 0.3549934271353843]","[0.928962306336263, 0.9698245012111982, 0.8401067037924115]","[0.8239096597646691, 0.769102842786641, 0.49291035100731173]","[0.004474786847011157, 0.009454459001727884, 0.03417713872760624]","[0.003536138144497673, 0.010387987542786782, 0.030397047177337794]","[0.00887594865165197, 0.00934783129881684, 0.026754615409117336]","[0.03144712165706006, 0.053687503227335405, 0.028489182726825376]","[0.00953159117710339, 0.007853012484937886, 0.022068342568146316]","[0.012537319735417933, 0.015615454006161397, 0.027069015061989735]","[0.00896313974706589, 0.005943176654988702, 0.024025931150303458]","[0.03730517095127612, 0.005861237375491743, 0.03846553721701101]","[0.008796110765233338, 0.0068161163649643345, 0.037714195310327936]"
0,F1,0.884666666666667,0.0746666666666667,0.1231,0.111743224464812,0.556597149122807,0.156027267176455,0.126652777777778,0.257724670205663,0.94628320802005,0.784625,0.0186488009742658,0.00495115025917098,0.0103560570038344,0.00643152043308686,0.0391533746397595,0.00926871098734714,0.00546130997433789,0.00813367753658201,0.00517814605602164,0.0214883487486695,"[[484, 3, 13], [4, 429, 67], [30, 56, 414]]","[0.004787521709342358, 0.03658496807747609, 0.37137083718115604]","[0.0319299914880601, 0.10607315783750385, 0.4237917703656008]","[0.041534368312689265, 0.10446368604155434, 0.3274207867034108]","[0.5125634564551477, 0.6553764178122081, 0.4142235421594185]","[0.11266148559626399, 0.11672531678431985, 0.3830849366212209]","[0.04436368321288018, 0.11061211437471005, 0.39931042222433694]","[0.1811924139989722, 0.27778610554664834, 0.41930887616805823]","[0.9325269140941861, 0.9695960840047138, 0.9223810355821931]","[0.8454282066388494, 0.7776978507954511, 0.626797726835903]","[0.005269246750970403, 0.014108542258207768, 0.030610176615983673]","[0.004824893354209065, 0.00815642321915003, 0.02189831449346784]","[0.008134380060408682, 0.01009972034204516, 0.011056464109990536]","[0.03392302078538333, 0.05508577074444238, 0.01877065130453068]","[0.009597441030145544, 0.0067460936318590155, 0.013977319087772838]","[0.012306604033925672, 0.01474101420325138, 0.01699824453189036]","[0.006722866214028454, 0.006028633355822029, 0.012270077538653635]","[0.034843215577102724, 0.00421162983253681, 0.02083111011560377]","[0.006581624176451679, 0.011075129827056994, 0.03508070854689261]"
0,Hostility,0.876,0.0965,0.138,0.115671190192078,0.505007236842105,0.160466637446651,0.144569444444444,0.257447319564677,0.908933166248956,0.678041666666667,0.0180123414481417,0.0136854545655841,0.0213812125474679,0.0145981969788141,0.0308480195193781,0.0160490981572739,0.0246594963458475,0.0253822825342048,0.0173770503586003,0.0319224864145776,"[[470, 5, 25], [4, 427, 69], [24, 59, 417]]","[0.006124734951485501, 0.06263710355750315, 0.22698809647036655]","[0.03372866476793057, 0.13126703160714753, 0.251745363842977]","[0.04241004275273401, 0.11757883878739628, 0.1882171104391804]","[0.5064568296305328, 0.6482786714343913, 0.3448871076124864]","[0.11287157323775272, 0.1423934139464972, 0.2298929456181955]","[0.05640807773005191, 0.14187468515453847, 0.23738678688253695]","[0.1913193720570729, 0.2941946893601742, 0.28479851959775554]","[0.9348922211982167, 0.9715600904531385, 0.8157882023066365]","[0.8328010770764906, 0.7647131763482587, 0.4308033543819538]","[0.005484829369014993, 0.011068446548985776, 0.05391872605720941]","[0.008281208651509423, 0.013279306080315911, 0.05169623495434416]","[0.00494247272332259, 0.00962226190447017, 0.03800180968463365]","[0.022896989334946518, 0.05478654395560481, 0.014195294373905504]","[0.007514538557379654, 0.008873574317269307, 0.03899747615490964]","[0.020237981621230288, 0.02118934682840488, 0.04208775151998625]","[0.009474840014959116, 0.006432913615467436, 0.03061506159402522]","[0.03920897064318576, 0.004380318198234578, 0.04918114112914935]","[0.011686395989573358, 0.014559849266948477, 0.05586385183223305]"
0,LSC,0.877333333333333,0.120166666666667,0.186883333333333,0.146018742548712,0.54267423245614,0.197496912228324,0.197680555555556,0.320471676556067,0.96589724310777,0.7495,0.0165663648530523,0.00727438428093173,0.0109989898526082,0.0036194600046496,0.042981313481304,0.00545959769707208,0.0189327895681892,0.0128789305401102,0.00325068852198816,0.016862521106156,"[[471, 1, 28], [6, 431, 63], [27, 59, 414]]","[0.008657555497938545, 0.06233649617567847, 0.3510271991990256]","[0.051444048385562234, 0.1455706218304264, 0.4187617428815423]","[0.04699025338253592, 0.1241116787878946, 0.301707198191112]","[0.5290168519531795, 0.6468000948435708, 0.3826590416672127]","[0.12475450709621336, 0.14695107146774805, 0.3710806919480469]","[0.08236458749791006, 0.16942375077137756, 0.3842655996373107]","[0.23096906676300327, 0.3244522879203147, 0.4210155592916669]","[0.9556432039956132, 0.9795556985189448, 0.9550038588287307]","[0.8425641011968168, 0.7715068236504767, 0.5982992523979744]","[0.010050691937542376, 0.004891070548834137, 0.02602078758659925]","[0.005046722286200132, 0.014210767459596745, 0.01925279657921835]","[0.007816476209371856, 0.0043708908720355, 0.01730057797337181]","[0.04322316982152171, 0.0480947623860458, 0.02088889660352675]","[0.011290495832131627, 0.012429253875090552, 0.017218469758176206]","[0.006847827105092204, 0.01572068880680535, 0.01295772437144169]","[0.00430863618334061, 0.004128882039404299, 0.002611546582690284]","[0.033742673472626175, 0.003719999624232057, 0.0147458207464455]","[0.010855192999874813, 0.029172393972188754, 0.02915041922588929]"
0,N1,0.880666666666667,0.0761666666666667,0.116816666666667,0.103459298398841,0.498651096491228,0.14106851761658,0.125347222222222,0.240133485659815,0.901092731829574,0.66325,0.0236173194452244,0.00688698450379812,0.0130951910172314,0.00663053160918809,0.0336850189683058,0.0140496491426692,0.0162896447783914,0.0123474280170247,0.00549744071484676,0.0158522365228941,"[[471, 8, 21], [4, 429, 67], [20, 59, 421]]","[0.006440238749084175, 0.04244172845261328, 0.1760510513404841]","[0.03325940260875007, 0.11059286926092635, 0.20381681510987573]","[0.040979134888197065, 0.10874046464121538, 0.15909756353456336]","[0.5166316425961442, 0.655918839258074, 0.32971540673376243]","[0.10500453494342477, 0.12225155492854904, 0.19406950670231604]","[0.04990957502743954, 0.12890725467631886, 0.19499370838861574]","[0.1872001691887691, 0.28465270188143, 0.24855456502208612]","[0.9337854788358353, 0.9704035919157203, 0.8025942319900852]","[0.8339687485670035, 0.7703092841870296, 0.39578735741467935]","[0.004994932327905326, 0.008195691895965317, 0.021634043457940497]","[0.007670743894639902, 0.019200361624852717, 0.019141888159769308]","[0.006809197216674769, 0.013068237569567804, 0.015613703210117756]","[0.037738218429087096, 0.0512839541623888, 0.013493801803001406]","[0.012598178440555975, 0.015496575892600863, 0.018319669843830124]","[0.016281525205753235, 0.022997811404191302, 0.015253143285481769]","[0.00894412894247519, 0.00721478310280834, 0.008255425182796705]","[0.03579149520452897, 0.004952971998355254, 0.015456884803582859]","[0.0083837637927277, 0.016404587301262638, 0.025353559366286308]"
0,N2,0.878666666666667,0.128666666666667,0.186016666666667,0.152554540436753,0.53277774122807,0.19571146861002,0.204041666666667,0.335883599969052,0.951205931495405,0.725208333333333,0.0146439217576592,0.0124526882416787,0.00995692109930465,0.0111946854505401,0.0314152119882394,0.0130204097918616,0.0163484081038756,0.0124978676575991,0.00443594779053186,0.0113584663112783,"[[475, 3, 22], [2, 434, 64], [23, 68, 409]]","[0.009364619782676515, 0.07326791857409644, 0.31986741355105186]","[0.048051424001535156, 0.14603437597997454, 0.3730164909592788]","[0.04574186398065592, 0.13065836802210323, 0.2849390260691531]","[0.525927735201106, 0.6493550337286684, 0.37884386357784117]","[0.1210086198146905, 0.14537057487176047, 0.3367754323829432]","[0.08178404547602366, 0.17893055974167837, 0.35599060568060764]","[0.2526784713153243, 0.3444922960139187, 0.40308558084316204]","[0.9504318901508706, 0.9777734277711897, 0.9148822432983076]","[0.8430891313493774, 0.7724953758536016, 0.5472217598199409]","[0.0061488268850002055, 0.019021069829553983, 0.038339081366340705]","[0.002998871161372477, 0.004795455048540977, 0.031709705471943496]","[0.004839686332096069, 0.00952681264914762, 0.030261766321306123]","[0.03985276737654238, 0.047246205159891745, 0.010678453279284305]","[0.010307574748231874, 0.007582798955405008, 0.027511289175198846]","[0.005706914413374436, 0.013176168350319045, 0.02245970674924245]","[0.0048584599823174686, 0.0035396326156995556, 0.00840987763765949]","[0.03284558970190969, 0.002305940817645073, 0.011712201473908484]","[0.012982271676912254, 0.012289732620245969, 0.04145355327174945]"
0,TD_U,0.879333333333333,0.0686666666666667,0.1183,0.112227388207662,0.588125438596491,0.135132304704191,0.121986111111111,0.251791888395872,0.929566833751044,0.738083333333333,0.0175435964892543,0.0106490740338199,0.0099165966384082,0.00933888286951338,0.0369877148931414,0.0134435507743855,0.0105959797946505,0.0113142796528076,0.0076525750207258,0.0132561241088369,"[[474, 3, 23], [5, 438, 57], [42, 51, 407]]","[0.0033283592104418657, 0.028147646690750632, 0.2885953890535552]","[0.03302059091130975, 0.09878213504604474, 0.32251591933359697]","[0.044603953961968444, 0.09438340527428885, 0.2801374530427976]","[0.5614546051783578, 0.681768660299287, 0.40628418273568145]","[0.07991658275916513, 0.10757347955774876, 0.30374812982740174]","[0.0399306156501049, 0.10472715251202566, 0.31444487590596276]","[0.18622729496312793, 0.2670568250952403, 0.3349245423948644]","[0.9347450738915279, 0.9694131003326365, 0.8226626838193376]","[0.8457946566524059, 0.7682550520459516, 0.466715108705314]","[0.003220731970195952, 0.005972963198413228, 0.05334429465038241]","[0.0061184170698837395, 0.005056322006089422, 0.03514864558413872]","[0.006169598901749543, 0.007634332168085731, 0.028891953561992294]","[0.03757767136730558, 0.050993158830251586, 0.01512033299863949]","[0.008098296442670658, 0.00806073863107144, 0.037296365556864455]","[0.00984215085093121, 0.012536730570625917, 0.022174715958185136]","[0.006698122747729583, 0.004821762735367289, 0.02141379846665975]","[0.04379390247101912, 0.003951849006670854, 0.013999216408243927]","[0.007473047403069611, 0.009870610818321884, 0.03583703738463036]"
0,Uniform,0.888,0.063,0.104766666666667,0.0943784537205999,0.490288925438597,0.1351025339726,0.108333333333333,0.228571485686836,0.897832915622389,0.659833333333333,0.015563490039905,0.00980008503364469,0.01112997703901,0.00813404775762955,0.0305989097917632,0.012185499409505,0.0130055002312649,0.0110257249363656,0.00677172564245676,0.0163129124043229,"[[471, 1, 28], [4, 446, 50], [25, 60, 415]]","[0.0028200840601979487, 0.05100612996750198, 0.13566593309592268]","[0.030500800264272786, 0.11659941588840453, 0.16918285905202463]","[0.04181811728197756, 0.11018656198901675, 0.13309261912637432]","[0.507518739464207, 0.6482366036487993, 0.3208477929805299]","[0.1105990567678595, 0.13097259167817646, 0.16400597657131977]","[0.0482146917404347, 0.1266704579537833, 0.1517102038719901]","[0.18175552700268852, 0.2859399013365165, 0.22118708953214875]","[0.9315488947598414, 0.9709650755369396, 0.7927530784615897]","[0.8325154900758314, 0.7717875496143914, 0.3752072565114388]","[0.003705945830956567, 0.010695615942144767, 0.024118817391651986]","[0.004950789199961826, 0.017036430583792544, 0.016204914288632157]","[0.00970995000871581, 0.014151116934457574, 0.013588017095503623]","[0.03366991416541527, 0.05284524075589146, 0.021705903358315567]","[0.011071228800095582, 0.014022577657812613, 0.014581163524237481]","[0.014084421045237066, 0.01697825338980363, 0.012587140497622554]","[0.007616040410584395, 0.006580080511029897, 0.0144759167796063]","[0.03475444745835351, 0.003344098942308623, 0.013591837850300496]","[0.01319293722666452, 0.014215599803376316, 0.020970343958314156]"
0,kDN,0.888,0.0893333333333333,0.138766666666667,0.115300750532098,0.50203673245614,0.157371946794591,0.140638888888889,0.257699412089565,0.910923141186299,0.676041666666667,0.0140633487398193,0.00773699625895678,0.00920058120144835,0.00771915945533916,0.033704341619421,0.0123686559077588,0.0109829193635806,0.0127822622898145,0.00612238575846394,0.0175822718873933,"[[475, 7, 18], [2, 437, 61], [26, 54, 420]]","[0.005803874005445181, 0.05711604563235058, 0.19969205355314]","[0.037195335106353145, 0.13005810236716392, 0.2409678610722358]","[0.044985174507111786, 0.11435433937586412, 0.1800375462811545]","[0.5131776887545383, 0.6489930114758776, 0.3386571511768077]","[0.11420543191063919, 0.13621524455210704, 0.21945431922255665]","[0.05159563503075802, 0.14110140814183106, 0.22224259531861615]","[0.18813610820014715, 0.2986800499816427, 0.2787555413706818]","[0.9338205178697203, 0.9730127675286718, 0.8251357376218532]","[0.8355577569596531, 0.7709692837252263, 0.4294688900245858]","[0.005392829830313884, 0.01192814548870273, 0.022948580563410897]","[0.004770735736568878, 0.010241564701671363, 0.011068744388101256]","[0.010004679656479375, 0.009736127005632592, 0.011376375345035104]","[0.040300876056661696, 0.051559612925080454, 0.015620360622552896]","[0.014812969828658507, 0.009715185312277736, 0.009443741294389827]","[0.011976561004633362, 0.012036601934980722, 0.012230946299109877]","[0.007178280258432134, 0.005878042473205792, 0.007476202355010445]","[0.03072277623195567, 0.0038916901462766156, 0.015142842615848038]","[0.00791151972653973, 0.011868901335358225, 0.016763036605839367]"
