n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std,Boots_N1_class_std
0,CLD,0.834333333333333,0.170833333333333,0.232708333333333,0.213485764991977,0.407549736495389,0.233564872633888,0.227,0.319544805286241,0.967498226950355,0.830395833333333,0.0212981480676398,0.00698460608926675,0.00548949438574365,0.00724573871762661,0.0214502841809917,0.00334231347544107,0.0111333761296028,0.00588061636189973,0.00201024074310641,0.00630247071812141,"[[876, 108, 16], [124, 720, 156], [19, 74, 907]]","[0.10613950916559042, 0.2574781977311935, 0.17601725530932594]","[0.17161953773663444, 0.335218004998832, 0.21526354949874685]","[0.154829988719856, 0.3169669919328206, 0.19131182924035967]","[0.37241919912237087, 0.5048759531386509, 0.3569434761036667]","[0.17239202913985469, 0.3068020112195668, 0.24734556762670512]","[0.16866226997594758, 0.3309883654966893, 0.20348595950768736]","[0.2802188958402746, 0.40708321597492897, 0.2854489905534618]","[0.9697231397578868, 0.9918290370857124, 0.9387755427655827]","[0.79427456555604, 0.919399401937355, 0.790497420222706]","[0.013315361830111134, 0.022127022751801145, 0.011351289142557465]","[0.007412123719857071, 0.009252061897421353, 0.010803617584033191]","[0.009837082975472828, 0.00973663759605043, 0.018357839884424052]","[0.021459663901139195, 0.028137587947303675, 0.015939934930968132]","[0.0059199460189272605, 0.0147687000361162, 0.01065344431353515]","[0.006560125420720604, 0.002617542674035674, 0.006915324321078308]","[0.004102513483426068, 0.0004680417728401827, 0.0026646660072191263]","[0.013145876742271592, 0.005123407827363434, 0.006252494696286377]","[0.011302022954389352, 0.009579531636646542, 0.010683422626830884]"
0,DCP,0.854,0.146416666666667,0.204575,0.196841522396644,0.418452569169961,0.199601005241838,0.204854166666667,0.296078868352317,0.959817167292449,0.805333333333333,0.0171026313764871,0.00551670443088786,0.00804471013219936,0.00836756147594626,0.0241816373225413,0.00809690596335537,0.01137398987341,0.00809694329268856,0.0019514526476431,0.00861232210346835,"[[856, 132, 12], [103, 811, 86], [24, 81, 895]]","[0.09263055780994711, 0.17503480876266866, 0.19717816910162558]","[0.15450954554217985, 0.24775344921453762, 0.2203593762539778]","[0.1451855052081709, 0.24255059447213304, 0.21058652644733442]","[0.3669052361669426, 0.5045290067308819, 0.35445039140142515]","[0.15025561690530714, 0.22042355108306108, 0.2552219754065285]","[0.1535000423754995, 0.25030704540118676, 0.21811940840394045]","[0.2614523438419438, 0.3421581921448522, 0.2773799385831757]","[0.9634013171140028, 0.9831680216777539, 0.9113850236372221]","[0.7697846159582599, 0.8647927029254457, 0.7613402263469171]","[0.014759611383876277, 0.02738979201826287, 0.023955164353668484]","[0.007086188362215034, 0.023849736569890985, 0.017365522512813543]","[0.008446994574519142, 0.02114916384720211, 0.020969935193897123]","[0.01882112560353434, 0.026462864028891312, 0.017698193821645235]","[0.01163982560478141, 0.022712364077106577, 0.01983613874612799]","[0.006469602847508785, 0.01904633144761557, 0.016107557640282995]","[0.004492534698792462, 0.0033694498541190923, 0.007417914848556395]","[0.007909522857632575, 0.013268958699863444, 0.011080938047176357]","[0.009205316143728796, 0.022938175687779457, 0.020660008547887125]"
0,F1,0.861,0.111833333333333,0.174266666666667,0.157850320963557,0.414304841897233,0.167490216010928,0.172666666666667,0.276291763343602,0.959808614935336,0.858291666666667,0.0173445476543302,0.0101832174025043,0.00722028152344337,0.00711241765807007,0.0234027947771635,0.00518588023547817,0.0111850135608537,0.0064650410574661,0.00210952071791323,0.00783835997851451,"[[872, 108, 20], [111, 803, 86], [21, 71, 908]]","[0.09164132119928756, 0.13229031150219672, 0.10823194761672905]","[0.173563532227889, 0.20615724528687066, 0.13596661979067753]","[0.14820429291918105, 0.19866872132459343, 0.11792337130481005]","[0.3920767832681874, 0.49528999404791774, 0.3375733247545718]","[0.16158138362219457, 0.18390916693281076, 0.15363568435319835]","[0.17355482111884762, 0.20811622513051203, 0.1281943521424426]","[0.2860139562476518, 0.3146988544360844, 0.2188954923839912]","[0.9771987031580407, 0.9813458914837891, 0.9150393727065518]","[0.8545328229762215, 0.8984437648842499, 0.81268173877543]","[0.012981499260999094, 0.016721980062239895, 0.01477083702806698]","[0.009199656646044642, 0.005176099440640784, 0.009617356059069333]","[0.008707985421281168, 0.008387181433077174, 0.010167403730144391]","[0.024962741818073435, 0.02997685729892615, 0.01810661798552986]","[0.010953943909234796, 0.010630987195822126, 0.005994961616320286]","[0.010265424054809935, 0.0014070356414216765, 0.008082234379158795]","[0.003570842099295207, 0.0005197438022076299, 0.001989179643075078]","[0.004125024543742347, 0.008850375816396258, 0.008385830831954539]","[0.01903140409218989, 0.006650067647005636, 0.01280120860799624]"
0,Hostility,0.855333333333333,0.145583333333333,0.2063,0.186366540363567,0.419405797101449,0.196235826763667,0.209791666666667,0.302233015517188,0.961150709219858,0.8236875,0.0122701082128706,0.0293987787917193,0.0323779009854287,0.0291762240408532,0.0332063201208329,0.0246013997760534,0.0382073052842429,0.0266837529971274,0.0118490623342309,0.0283207501163507,"[[874, 110, 16], [119, 790, 91], [20, 78, 902]]","[0.10763371610054626, 0.1733034897483973, 0.15270812400860934]","[0.18102444220202574, 0.24675829478504405, 0.18242848120826652]","[0.15752975674106343, 0.23110457781009686, 0.16076852666237756]","[0.3870135255977584, 0.5014413996205904, 0.3493697089408775]","[0.16818420181543375, 0.21427768885915682, 0.20406450943286697]","[0.18803174032031136, 0.25354045391055424, 0.17762866776699976]","[0.2919102993194186, 0.34528489365143444, 0.25914764814611224]","[0.9712357490585605, 0.9839061901664646, 0.921523379921376]","[0.8047789812423481, 0.8673448822299751, 0.7891918707329701]","[0.019678036867836087, 0.02517313303861558, 0.041820332470202864]","[0.025622053088939733, 0.022722711867450906, 0.034896686466087665]","[0.01955104515682567, 0.0205280484769081, 0.036053822491034365]","[0.032888151474712565, 0.0290707331126878, 0.024059058063398076]","[0.017730143286314393, 0.02074231415533748, 0.02854113490638754]","[0.02465722476994662, 0.012790058613815436, 0.029822661161217748]","[0.009478343305053124, 0.0021525303624113762, 0.0192228655781453]","[0.025736601446251357, 0.01863521829250347, 0.027957791716370604]","[0.03259467120928828, 0.028197839656174922, 0.04158406327274011]"
0,LSC,0.857666666666666,0.171,0.249666666666667,0.214610517191681,0.43918906455863,0.22637472224524,0.263361111111111,0.353758896214255,0.982862953692115,0.845104166666667,0.00878761755097601,0.00728630755443234,0.0045554073485377,0.00708836171091244,0.023013333003308,0.0045032302782939,0.0112174114327479,0.00259676066569817,0.00145731595179933,0.00866495125250764,"[[868, 119, 13], [112, 805, 83], [20, 80, 900]]","[0.12167404636228278, 0.18648422277504478, 0.21582030179847952]","[0.20975442111759798, 0.2763713509559995, 0.261279109222064]","[0.1697421395487071, 0.2502408841149202, 0.21791657425307998]","[0.40354556313379497, 0.5064618817747994, 0.3747461037463956]","[0.1874662084156573, 0.2316468591819683, 0.27328778795475844]","[0.22151163133435997, 0.29584287217415856, 0.26795607071638594]","[0.3250606906299306, 0.3819728454266881, 0.34676070874863085]","[0.9817311351232373, 0.989078586448584, 0.9737926065671813]","[0.827118773351399, 0.8711488911638503, 0.8260792520151498]","[0.010865852163537179, 0.01585239915161787, 0.03282867783356252]","[0.0046463029330091245, 0.004724251267874164, 0.01725099773915245]","[0.004837798683693388, 0.0067640194699663736, 0.01807611486585072]","[0.02126088206201029, 0.02692103997942927, 0.013653056899657649]","[0.007675682731519061, 0.008629123381789705, 0.013542150281100934]","[0.006216614823531037, 0.005002170356089978, 0.009817338960583594]","[0.0020236105809375614, 0.0007754169520432616, 0.0017538583796148843]","[0.008653362913259624, 0.008412852640225376, 0.012202041131275505]","[0.013037904172408667, 0.01075438114956858, 0.022184116484724865]"
0,N1,0.860333333333333,0.105416666666667,0.15525,0.145495377362921,0.397081851119895,0.156166486345452,0.161305555555556,0.257434552928757,0.943114100959533,0.7839375,0.0136626010212794,0.00721086179161532,0.0066553941155527,0.00760621327850056,0.0225293310207952,0.00529039455085899,0.0113553505583937,0.00717621727548854,0.00320109151698715,0.00589550205194132,"[[873, 110, 17], [99, 810, 91], [14, 88, 898]]","[0.08264428571970735, 0.14191010184043545, 0.09075386747260054]","[0.14190203622574943, 0.20824909745665154, 0.11344431020670591]","[0.13117428311946183, 0.19646492158891515, 0.10682542669287884]","[0.3604507298123077, 0.5004467416817013, 0.326282789395177]","[0.14218559740312067, 0.18157702233478212, 0.14396134286727807]","[0.1445277395062266, 0.22129785697935836, 0.11554324061560743]","[0.25631296283188487, 0.31688367232754144, 0.19615686116770528]","[0.96287997690343, 0.9795517239156254, 0.8845119976715461]","[0.7595028423478084, 0.8473987519675117, 0.7425067859469003]","[0.010954103964408508, 0.004548216038023742, 0.013825035144884265]","[0.004119168287539697, 0.008467537895552376, 0.010734580743080514]","[0.003922938825635604, 0.008906189952076435, 0.009499345833627092]","[0.01901108849691717, 0.028629968475738177, 0.020243739943253652]","[0.0036519702090008497, 0.004491844775450445, 0.010030120347133818]","[0.008924389833444143, 0.009423385128484302, 0.007379596511066121]","[0.004865543649218549, 0.0009458710223688991, 0.008730870291276609]","[0.009262549913362433, 0.014065734975594872, 0.007000256457789608]","[0.010556406440837158, 0.014074450505082166, 0.010792828105914934]"
0,N2,0.852333333333333,0.165916666666667,0.236708333333333,0.21027360812443,0.427308959156785,0.22127104069241,0.249902777777778,0.35420224047458,0.973198477263246,0.825416666666667,0.0144144988736264,0.00655770327341992,0.0096029238169077,0.0103977606372737,0.0200895957491062,0.00736406586010185,0.0139366885801559,0.00503868565514229,0.000777114563299713,0.00625347125825152,"[[860, 119, 21], [117, 799, 84], [22, 80, 898]]","[0.12198244974692599, 0.19921289900698486, 0.17312882590428685]","[0.20452436409815755, 0.2791093908557437, 0.21582450443400797]","[0.17555652275367606, 0.2552728976959283, 0.18889102079651104]","[0.3906976129977611, 0.5029741813615021, 0.36325914898231576]","[0.1881680035992695, 0.23860095714280813, 0.23810122905125491]","[0.21466532600500865, 0.2983804130701363, 0.22427992406868644]","[0.33514971133502225, 0.39514680168007565, 0.3188649266868673]","[0.9765046314841568, 0.9877740755720685, 0.9476896679712192]","[0.8061047844817371, 0.8662521307002697, 0.7906162144082117]","[0.010537682472090788, 0.016859366810990078, 0.019135850032063095]","[0.009148337663503888, 0.013647436267779105, 0.014016950807659481]","[0.009408041671872591, 0.009597750276532776, 0.01585312113718007]","[0.01865479416243362, 0.029505945165077076, 0.01901498139829945]","[0.0053810339144237, 0.009174797470677913, 0.01514897702135709]","[0.005126088217314785, 0.010555098891278552, 0.006067631295613996]","[0.003099580070247491, 0.000767617133316842, 0.004224627507040656]","[0.006313558215322249, 0.008892800069959106, 0.007244134674907638]","[0.009235070499446081, 0.024373890896899467, 0.012118625029077611]"
0,TD_U,0.858,0.118,0.181866666666667,0.164472275317081,0.457389822134387,0.16846265945308,0.183104166666667,0.283432870720954,0.958760116812683,0.81675,0.0206626340151599,0.00755420228893973,0.00386697197070553,0.00371416295759463,0.0269555866889424,0.00411545901158818,0.0053983062222742,0.00386941666870204,0.00403312004400543,0.00679139506103129,"[[874, 116, 10], [117, 814, 69], [31, 83, 886]]","[0.10489213961182955, 0.11625977541992683, 0.13730829395026037]","[0.192114178939973, 0.18676473141038377, 0.16204361168211312]","[0.15721432018042378, 0.17761170358421902, 0.14934215606747495]","[0.4369818889641762, 0.5240501596413436, 0.3609463626077378]","[0.1664262427145054, 0.16055520716054333, 0.184801899117903]","[0.19447515855166544, 0.18871547520100126, 0.16115239469616086]","[0.2997236604450317, 0.2995514676214065, 0.23709520284609797]","[0.9772428308876175, 0.9786205301206502, 0.9036911436409953]","[0.8262294937497794, 0.8340564210992018, 0.7760853517344986]","[0.013541427688340076, 0.012676870337529608, 0.02526887594425704]","[0.012264229900720514, 0.005680239419825417, 0.013070769118645048]","[0.00514399233742808, 0.00469816795494892, 0.01619278917706999]","[0.024760550382812527, 0.034085947747580544, 0.01827878841448749]","[0.004491961268135546, 0.004919163145681252, 0.011993327651807374]","[0.01449931641095688, 0.00313613997849794, 0.011116968362820839]","[0.0036789389497057425, 0.0018169650913095233, 0.010798094620162598]","[0.01368145599555933, 0.008808085329166855, 0.010106391365539985]","[0.019589540962679456, 0.008950954359746237, 0.017455475520832205]"
0,Uniform,0.862,0.0898333333333333,0.140908333333333,0.13339658607222,0.392051877470356,0.142034704536091,0.138722222222222,0.243851970850139,0.940520859407593,0.782145833333333,0.00877179824462717,0.00420399941854315,0.00434567553244986,0.00668122151309788,0.0202603541006827,0.00564548245946924,0.00865807505719301,0.00338537109348567,0.00235704251798557,0.00848130347768286,"[[877, 108, 15], [123, 808, 69], [21, 78, 901]]","[0.06841591151610503, 0.12550735106276, 0.07586209286421623]","[0.12902708006003788, 0.19327539346896785, 0.10019923132516421]","[0.12077056229816203, 0.18641114780284457, 0.09260368098232911]","[0.3561737339599519, 0.49721633678294247, 0.32236437908447385]","[0.12891694088952954, 0.16837305088656268, 0.12885386597764087]","[0.1255556396109428, 0.19424905345693305, 0.09606636337980089]","[0.24571647588031423, 0.30140676096817154, 0.1835161341532681]","[0.960767890357784, 0.9784652399660818, 0.8810217928363937]","[0.7546819347705513, 0.8470130244869086, 0.7446463630613346]","[0.005875975032156559, 0.007768933892508787, 0.0098267428406016]","[0.00734705371160217, 0.010022160423642543, 0.0026684418461732527]","[0.008997806257323812, 0.006344781223256438, 0.006361513244382583]","[0.01831845946036293, 0.029417920630795805, 0.014571025985814175]","[0.009848833409446842, 0.006522342559650473, 0.0037655977746961955]","[0.00916346358750523, 0.007297659489500357, 0.0034887514134349248]","[0.005163500053450586, 0.002115105580647055, 0.007675636592357329]","[0.005479812458269323, 0.01538935838571493, 0.007241277532493966]","[0.012152230689207543, 0.012097462716927795, 0.004933594424565236]"
0,kDN,0.846333333333333,0.124833333333333,0.183291666666667,0.165054451488217,0.405035079051383,0.176218857379387,0.179861111111111,0.278176072095199,0.948924071756362,0.7955,0.0148791427471104,0.00357945526581909,0.00457850124070215,0.00709974790044884,0.0234751769938507,0.0049267437067151,0.00699280039256426,0.00422145490577792,0.00269434891619368,0.00833704344493766,"[[861, 124, 15], [118, 794, 88], [24, 92, 884]]","[0.09652154450323677, 0.16604252031941133, 0.10919601517834451]","[0.17216634555044782, 0.23698953396350034, 0.13619303455552317]","[0.15037973267765153, 0.22024005211799058, 0.12017131884990344]","[0.37368895841797223, 0.5036591581951311, 0.3296146575138716]","[0.1609802215689431, 0.2051853702673702, 0.16045820639329117]","[0.1674926552578383, 0.23578973030874223, 0.1316018035850311]","[0.2777201643376219, 0.33474682031287106, 0.21701961089489102]","[0.9670564967712746, 0.9826310188126037, 0.8933524901123882]","[0.7752945075874061, 0.8523211883227594, 0.7544605736762642]","[0.00794490058170425, 0.01093314000283597, 0.015138873103291105]","[0.008412310514113647, 0.006251174669219742, 0.007757518249788551]","[0.006045718315584854, 0.003552345479181691, 0.01298580654332064]","[0.022614035519077622, 0.03163372686246059, 0.015825340752647923]","[0.005796048033460028, 0.005146464479772074, 0.010278902318095562]","[0.011649980213594816, 0.008239311179185839, 0.004753361743044667]","[0.005188971004683888, 0.0011894132778774154, 0.005522709656659664]","[0.013797082140608673, 0.013306704054698136, 0.005259213797449629]","[0.005845308486883646, 0.012036046824157121, 0.0047937458885915895]"
