dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
glass1,6,189,Uniform,"[[12, 2], [3, 4]]",0.7619047619047619,0.19689119170984457,0.22072538860103627,0.156905400605103,0.6229130685089235,0.461386177919465,0.1918825561312608,0.36838894887327733,0.9323104447137126,0.7530224525043179,"[0.11570247933884298, 0.3333333333333333]","[0.12231404958677687, 0.3861111111111111]","[0.10875876755954125, 0.23781849225111637]","[0.6354453627180899, 0.6018518518518517]","[0.35458373267631943, 0.6408736206197515]","[0.07878787878787878, 0.3819444444444444]","[0.3221292964281009, 0.446130864788088]","[0.9207149096284352, 0.9517973856209151]","[0.7474747474747475, 0.7623456790123456]"
glass1,6,199,Uniform,"[[12, 2], [3, 4]]",0.7619047619047619,0.21761658031088082,0.2290155440414508,0.1809956025918985,0.6419113413932067,0.47618600865715444,0.1964594127806563,0.37407091440671847,0.9352920114083798,0.7685664939550949,"[0.05405405405405406, 0.43902439024390244]","[0.14054054054054055, 0.3487804878048781]","[0.13958852469490768, 0.23704664706221532]","[0.6396396396396397, 0.6449864498644986]","[0.35431236647877484, 0.6411613047766686]","[0.11711711711711711, 0.3038617886178862]","[0.34729386288756103, 0.41031789878021185]","[0.9310774188822969, 0.9409971305595408]","[0.7437437437437437, 0.8021680216802167]"
glass1,7,0,Uniform,"[[8, 6], [3, 4]]",0.5714285714285714,0.19170984455958548,0.261139896373057,0.2885414171768464,0.6797927461139895,0.43655333449463146,0.2189119170984456,0.3527818589439441,0.9319932699479387,0.7466896948762234,"[0.06837606837606838, 0.3815789473684211]","[0.18632478632478633, 0.3763157894736842]","[0.23103679259316107, 0.3770682734438357]","[0.7102564102564102, 0.6328947368421053]","[0.32838793951438394, 0.6030711136089596]","[0.1445868945868946, 0.3333333333333333]","[0.31737979414451417, 0.4072824060693825]","[0.925022583559169, 0.9427244582043343]","[0.7568850902184235, 0.7309941520467836]"
glass1,7,9,Uniform,"[[13, 1], [2, 5]]",0.8571428571428571,0.22279792746113988,0.2632124352331606,0.2657531964851156,0.6948186528497411,0.40632869650038045,0.23402417962003452,0.35886055752778745,0.9301769488283118,0.7622337363270006,"[0.11627906976744186, 0.4375]","[0.18759689922480619, 0.415625]","[0.2080782223047171, 0.3820043163174814]","[0.703875968992248, 0.6765625]","[0.309616282545872, 0.6012646558774365]","[0.16795865633074936, 0.3671875]","[0.3207671147222414, 0.4356426531827162]","[0.9178798764731834, 0.9549632352941176]","[0.751937984496124, 0.782986111111111]"
glass1,7,19,Uniform,"[[14, 0], [2, 5]]",0.9047619047619048,0.19170984455958548,0.22694300518134713,0.22819000914963536,0.6968911917098447,0.3900822176780824,0.1819516407599309,0.3439289401858921,0.9246567450435247,0.7334484743811168,"[0.046153846153846156, 0.49206349206349204]","[0.12461538461538461, 0.4380952380952381]","[0.15947447409037036, 0.3699839703830392]","[0.7046153846153845, 0.680952380952381]","[0.28734062750573613, 0.6020886735892729]","[0.0791025641025641, 0.3941798941798942]","[0.30031648741774064, 0.4339228903423951]","[0.9108818011257036, 0.9530812324929973]","[0.7136752136752136, 0.7742504409171076]"
glass1,7,29,Uniform,"[[14, 0], [2, 5]]",0.9047619047619048,0.15544041450777202,0.21865284974093266,0.2669620051773266,0.6388601036269429,0.40512426047582856,0.17849740932642486,0.34294460850554315,0.9197646959706415,0.7472654001151411,"[0.06201550387596899, 0.34375]","[0.17829457364341086, 0.3]","[0.22975065072109951, 0.34196614150315924]","[0.6511627906976745, 0.6140625]","[0.308354764506837, 0.6001752757883272]","[0.15852713178294572, 0.21875]","[0.31432488277223564, 0.40063124318674104]","[0.9123337745005357, 0.9347426470588236]","[0.7459086993970714, 0.75]"
glass1,7,39,Uniform,"[[14, 0], [2, 5]]",0.9047619047619048,0.19689119170984457,0.2145077720207254,0.24905112021288267,0.6839378238341969,0.4253459131901287,0.21804835924006907,0.34960628953869083,0.9307450137896685,0.7495682210708119,"[0.075, 0.3972602739726027]","[0.15, 0.32054794520547947]","[0.19455936148985703, 0.3386266140041577]","[0.6975, 0.6616438356164384]","[0.316022789648547, 0.6050551573680711]","[0.11597222222222221, 0.3858447488584475]","[0.3049634029456772, 0.4229918565409051]","[0.922560975609756, 0.9441982272360998]","[0.7296296296296296, 0.7823439878234398]"
glass1,7,49,Uniform,"[[14, 0], [2, 5]]",0.9047619047619048,0.16580310880829016,0.23316062176165803,0.2685189939651464,0.6533678756476684,0.4207695415051677,0.19360967184801378,0.33930224892305194,0.9240676176953784,0.7334484743811168,"[0.09401709401709402, 0.27631578947368424]","[0.13675213675213677, 0.3815789473684211]","[0.1972708504467733, 0.37820363596053647]","[0.6615384615384616, 0.6407894736842105]","[0.3063414110833544, 0.5969286370229595]","[0.14558404558404556, 0.2675438596491228]","[0.30189718921703534, 0.39688635399678807]","[0.9111944965603502, 0.9438854489164087]","[0.7113010446343779, 0.7675438596491229]"
glass1,7,59,Uniform,"[[14, 0], [2, 5]]",0.9047619047619048,0.21243523316062177,0.23626943005181347,0.22766452256192088,0.666321243523316,0.4173072428669637,0.19939550949913645,0.3548939108835118,0.9323438967397905,0.7725964306275187,"[0.07633587786259542, 0.5]","[0.15572519083969466, 0.4064516129032258]","[0.17780691533157156, 0.33300882170991697]","[0.6801526717557251, 0.6370967741935484]","[0.3357560427738268, 0.58961703661214]","[0.1347328244274809, 0.33602150537634407]","[0.317282889715288, 0.43436235883572666]","[0.9243468007199156, 0.9492409867172675]","[0.7565733672603902, 0.8064516129032258]"
glass1,7,69,Uniform,"[[14, 0], [2, 5]]",0.9047619047619048,0.20725388601036268,0.24041450777202072,0.262840189241798,0.68860103626943,0.4285634939739665,0.23333333333333334,0.34726052793377377,0.9271198053339875,0.7564766839378239,"[0.08333333333333333, 0.410958904109589]","[0.15166666666666667, 0.38630136986301367]","[0.20084423382477923, 0.3647513488314177]","[0.7091666666666666, 0.6547945205479452]","[0.3188262125259935, 0.6089535456692645]","[0.09888888888888889, 0.45433789954337894]","[0.29138132286226387, 0.43911675544858453]","[0.914769647696477, 0.9474214343271554]","[0.7388888888888889, 0.7853881278538813]"
glass1,7,79,Uniform,"[[13, 1], [2, 5]]",0.8571428571428571,0.19689119170984457,0.2300518134715026,0.24225707086458598,0.6668393782383419,0.4182665625678548,0.2082901554404145,0.35715443377210343,0.9292229466031326,0.7403569372481289,"[0.06299212598425197, 0.45454545454545453]","[0.15748031496062992, 0.36969696969696975]","[0.19352604203490195, 0.33602738391564463]","[0.6732283464566929, 0.6545454545454544]","[0.3156761477443669, 0.6156753910918392]","[0.14593175853018373, 0.3282828282828283]","[0.33448718962917845, 0.40077170659258027]","[0.9262531207989245, 0.9349376114081996]","[0.7454068241469817, 0.7306397306397306]"
