weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Dataset
Uniform,0.9588220551378445,0.9585300207039336,0.0024218282851056414,breast-w
Uniform,0.996,0.996,0.0,bodyfat
Uniform,0.80103668261563,0.7991341991341991,0.007530815276100414,glass1
Uniform,0.757157894736842,0.759,0.007403176179442158,credit-g
Uniform,0.7173949579831933,0.7191596638655462,0.009895728608226835,bupa
Uniform,0.8383117213323162,0.8408212560386474,0.0074844151167577306,arrhythmia_cfs
Uniform,0.9735475051264525,0.9735930735930736,0.0008999371582062315,segment
Uniform,0.7114990288789124,0.7132183908045977,0.008226700719236058,ilpd
Uniform,0.7489974937343359,0.7461904761904762,0.006279166737446676,liver-disorders
Uniform,0.9162990810359231,0.9145238095238096,0.0021476220011286506,ionosphere
Uniform,0.7963784461152882,0.8026190476190476,0.01293470114643528,sonar
Uniform,0.833446519524618,0.832258064516129,0.004712883270338848,vertebral_column
Uniform,1.0,1.0,0.0,breastcancer
Uniform,0.6818053459272604,0.6774745605920444,0.00806026638274344,saheart
Uniform,1.0,1.0,0.0,steel-plates-fault
Uniform,0.7423157894736842,0.744,0.014379973078243029,fri_c0_250_50
Uniform,0.7348664453927612,0.7343843843843845,0.006249712082307764,bands
Uniform,0.7360180412371135,0.7369737972508591,0.004336309238336445,contraceptive_NL
Uniform,0.5599943406904359,0.5606451612903226,0.0063311608897586875,cleveland
Uniform,0.6528654970760234,0.6555555555555556,0.0068724993154880105,teaching_assistant_LM
Uniform,0.8727300298618887,0.8718085106382979,0.006465093306980579,musk1
Uniform,0.6782979562850153,0.6802548725637181,0.0057752778753519685,diabetic_retinopathy
Uniform,0.7877707366960078,0.7884860050890585,0.004249894938431601,WineQualityRed_5vs6
Uniform,0.9728195488721804,0.9728151260504202,0.0012445479394500186,vehicle2
Uniform,0.6439058171745152,0.643859649122807,0.00327529346738639,contraceptive_NS
Uniform,0.8048508022192232,0.8052706552706553,0.006890405271435074,spectfheart
Uniform,0.9051385041551245,0.9034210526315788,0.004197135524027504,parkinsons
Uniform,0.9452357128969054,0.945177607274794,0.0008010614240381477,spambase
Uniform,0.7836398224476855,0.7831325301204819,0.0018971723248629678,mammographic
Uniform,0.7541515271432169,0.7551093643198906,0.006520487912020096,diabetes
Uniform,0.9458158800464245,0.9465239705165692,0.0013867843790552658,sylvine
Uniform,0.7692055619731353,0.7709096680573191,0.004007803913226428,yeast1
Uniform,0.8732513100934153,0.8740259740259739,0.004969624373642106,glass0
Uniform,0.6443008007758185,0.6467280856252541,0.005873637186572175,hill_valley_without_noise_traintest
Uniform,0.9889080046991486,0.9890616735427906,0.000827928281482653,banknote_authentication
Uniform,0.9106141071512216,0.9108098856712536,0.0013303591756802903,phoneme
Uniform,0.674688995215311,0.6736363636363636,0.008093026382225137,teaching_assistant_LH
Uniform,0.8984267734553776,0.8976449275362318,0.003307532379637276,chatfield_4
Uniform,0.9682780480613298,0.9678991596638656,0.001684813562090829,analcatdata_authorship
Uniform,0.9593704656377786,0.9595551378446115,0.0015355456673766222,wdbc
Uniform,0.6901544122478481,0.6904993757802746,0.004971676124424619,Yeast_CYTvsNUC
Uniform,0.9439118065433856,0.944054054054054,0.0011776274608691671,ring
Uniform,0.7890916957690762,0.7891309453904873,0.0011778982431784335,titanic
Uniform,0.7233014354066986,0.72,0.005548107713676107,teaching_assistant_MH
Uniform,0.7605595927618088,0.7617224880382776,0.0035111174118856135,pima
Uniform,0.6175092142120007,0.6171708683473389,0.0038665701809537075,contraceptive_LS
Uniform,0.658089968116076,0.6591747146619842,0.007481957921564105,profb
