weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Dataset
Uniform,0.9589199447895099,0.9585300207039336,0.0024530576966283937,breast-w
Uniform,0.996,0.996,0.0,bodyfat
Uniform,0.8011784511784512,0.7992424242424243,0.007723012174172742,glass1
Uniform,0.7585555555555555,0.759,0.004328051079156815,credit-g
Uniform,0.717296918767507,0.7178571428571429,0.010173121468869617,bupa
Uniform,0.8392780461621041,0.8418840579710145,0.006366005470696309,arrhythmia_cfs
Uniform,0.9735449735449735,0.9735930735930736,0.0009259580778062947,segment
Uniform,0.7127512267258184,0.7132183908045977,0.006333659261454557,ilpd
Uniform,0.749920634920635,0.7461904761904762,0.004960158727618967,liver-disorders
Uniform,0.9160802469135803,0.9145238095238096,0.001979946836399069,ionosphere
Uniform,0.7976322751322751,0.8027380952380951,0.01206322331264838,sonar
Uniform,0.8331541218637992,0.832258064516129,0.0046688143782488995,vertebral_column
Uniform,1.0,1.0,0.0,breastcancer
Uniform,0.6814446500154179,0.6774745605920444,0.008134629562171118,saheart
Uniform,1.0,1.0,0.0,steel-plates-fault
Uniform,0.7442222222222222,0.744,0.012076011980760783,fri_c0_250_50
Uniform,0.735669002335669,0.7343843843843845,0.0053290481705621385,bands
Uniform,0.7357919291714395,0.7369630584192439,0.004345241350729052,contraceptive_NL
Uniform,0.5603285543608124,0.5606451612903226,0.006339900657611837,cleveland
Uniform,0.6532716049382716,0.6555555555555556,0.006833131111543343,teaching_assistant_LM
Uniform,0.873613573680063,0.8728501773049645,0.005343338768589854,musk1
Uniform,0.679056305180743,0.6802623688155922,0.004873018145442617,diabetic_retinopathy
Uniform,0.788024969799779,0.7888705759888965,0.004221819629151956,WineQualityRed_5vs6
Uniform,0.9728851540616247,0.9728151260504202,0.0012463643680004461,vehicle2
Uniform,0.6443469785575049,0.6442982456140351,0.002728225670299083,contraceptive_NS
Uniform,0.8050332383665717,0.8052706552706553,0.00704279171884387,spectfheart
Uniform,0.9055409356725145,0.9057894736842105,0.00392353197552469,parkinsons
Uniform,0.9452388620504563,0.9450691484323198,0.0008241643760942678,spambase
Uniform,0.7836010709504685,0.7831325301204819,0.0019444212337830068,mammographic
Uniform,0.7551824637350953,0.7551093643198906,0.004861697714127047,diabetes
Uniform,0.946025959599036,0.9465245416057504,0.0010716520328125179,sylvine
Uniform,0.7697109861539392,0.7709096680573191,0.0034450281963721856,yeast1
Uniform,0.8742424242424242,0.8740259740259739,0.0025274948512744315,glass0
Uniform,0.6449897635069022,0.6467314727001762,0.005194205084749766,hill_valley_without_noise_traintest
Uniform,0.9888183645403577,0.9890616735427906,0.0007510886940547922,banknote_authentication
Uniform,0.91088079916022,0.9109014513589375,0.0006656609715056674,phoneme
Uniform,0.6758585858585858,0.6736363636363636,0.00646761666763557,teaching_assistant_LH
Uniform,0.8984400161030597,0.8976449275362318,0.0034029044013715194,chatfield_4
Uniform,0.9683644568938686,0.9678991596638656,0.0016897824951152254,analcatdata_authorship
Uniform,0.959457671957672,0.9595551378446115,0.0015308843790888475,wdbc
Uniform,0.6904438895824663,0.6910674157303371,0.004948306455563926,Yeast_CYTvsNUC
Uniform,0.9440915915915915,0.944054054054054,0.0009045039238908867,ring
Uniform,0.7890891890128532,0.7891280093951849,0.0012119951420582946,titanic
Uniform,0.724040404040404,0.72,0.00464827265968106,teaching_assistant_MH
Uniform,0.7609326346168452,0.7617224880382776,0.003202115307129254,pima
Uniform,0.617327264239029,0.6171708683473389,0.0038940708192078686,contraceptive_LS
Uniform,0.6581943225051214,0.65993195785777,0.007684630089262338,profb
