dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
mammographic,1,114,Uniform,"[[38, 4], [14, 27]]",0.7831325301204819,0.13654618473895583,0.2685408299866131,0.2232198334327204,0.43116912092815707,0.2927632090235917,0.26749537833875187,0.22835957180319147,0.9834406010468466,0.7346720214190093,"[0.13123359580052493, 0.14207650273224043]","[0.25249343832021, 0.28524590163934427]","[0.21429566647814277, 0.23250974493461682]","[0.39588801399825024, 0.46789617486338797]","[0.2839279831673289, 0.3019605343001931]","[0.22784651918510188, 0.30876919073640385]","[0.19838913834877994, 0.2595583017106527]","[0.9774647309711286, 0.989661383830586]","[0.7202099737532808, 0.7497267759562842]"
mammographic,1,115,Uniform,"[[38, 4], [13, 28]]",0.7951807228915663,0.15528781793842034,0.24792503346720213,0.2254446618647287,0.4276550647032574,0.2789973062114145,0.25018911625337326,0.23173009252243532,0.9821018453623667,0.7370816599732262,"[0.13624678663239073, 0.17597765363128492]","[0.20616966580976864, 0.29329608938547486]","[0.19296816290463326, 0.26073337162863136]","[0.38431876606683807, 0.474743947858473]","[0.2482498140867074, 0.31240729067094264]","[0.2064328559187171, 0.2977343265052762]","[0.18965117090509898, 0.2774527196429488]","[0.9754712939160239, 0.989306550704901]","[0.7177377892030848, 0.758100558659218]"
mammographic,1,116,Uniform,"[[38, 4], [12, 29]]",0.8072289156626506,0.1499330655957162,0.27362784471218204,0.2351033242946021,0.4416555109326194,0.286123640364439,0.2518858502794245,0.23929418449598494,0.9850278113067845,0.7397590361445782,"[0.16216216216216217, 0.13793103448275862]","[0.2583783783783784, 0.2885941644562334]","[0.228313342083013, 0.24176723256592303]","[0.3993243243243243, 0.48320070733863835]","[0.2793115495071084, 0.2928092467761427]","[0.2425010725010725, 0.26109637488947834]","[0.22233457706962795, 0.25593889204970405]","[0.9793778153153153, 0.9905729002108791]","[0.7291891891891892, 0.750132625994695]"
mammographic,1,117,Uniform,"[[38, 4], [12, 29]]",0.8072289156626506,0.1606425702811245,0.2872824631860777,0.24187714167065166,0.4228580990629183,0.29814149607537455,0.2652344829051656,0.2520911862511067,0.9847149061002396,0.7261044176706826,"[0.16623376623376623, 0.15469613259668508]","[0.2701298701298701, 0.30552486187845307]","[0.23462886842378164, 0.24958594056580355]","[0.3944805194805195, 0.4530386740331492]","[0.2746193375314543, 0.3231581564052344]","[0.253454957740672, 0.27776243093922653]","[0.22726933506126834, 0.27849011638394583]","[0.9788690476190476, 0.9909321865291318]","[0.7132467532467534, 0.7397790055248619]"
mammographic,1,118,Uniform,"[[38, 4], [12, 29]]",0.8072289156626506,0.1646586345381526,0.2752342704149933,0.2359468323075414,0.41538375725122717,0.29347709793094356,0.258828966660292,0.24765673106154984,0.983350656009696,0.7413654618473895,"[0.14470284237726097, 0.18611111111111112]","[0.2537467700258398, 0.29833333333333334]","[0.22015280769164192, 0.25292540876963343]","[0.38232127476313527, 0.45092592592592595]","[0.2644537799386641, 0.32467716477264397]","[0.21052458881916244, 0.3107561728395062]","[0.22227172162550554, 0.27494561620529745]","[0.9768316645133506, 0.9903585718682671]","[0.7255813953488373, 0.7583333333333333]"
mammographic,1,119,Uniform,"[[38, 4], [13, 28]]",0.7951807228915663,0.16733601070950468,0.2797858099062918,0.23358696520078343,0.4267626059794734,0.2943181553630659,0.27467010900745836,0.25180344848194863,0.9853804646100561,0.7346720214190093,"[0.19346049046321526, 0.14210526315789473]","[0.267574931880109, 0.29157894736842105]","[0.23389266572646772, 0.23329172285097788]","[0.3979336966394187, 0.45460526315789473]","[0.2762840051392815, 0.31173534781603657]","[0.25740884909822237, 0.2913408521303258]","[0.2416911988195986, 0.26156975276111305]","[0.9805006811989101, 0.9900933080623998]","[0.7166212534059946, 0.7521052631578947]"
mammographic,1,120,Uniform,"[[38, 4], [14, 27]]",0.7831325301204819,0.16599732262382866,0.26452476572958505,0.2384425016884733,0.4209058456046407,0.2946410694905602,0.2509615180297911,0.24057994846105926,0.9830091661660492,0.7365461847389558,"[0.16326530612244897, 0.16901408450704225]","[0.24336734693877551, 0.28788732394366195]","[0.2351257168940953, 0.24210497954592736]","[0.38701105442176875, 0.45833333333333337]","[0.2817825006978228, 0.30883982714338576]","[0.21898890508584387, 0.2862664878157836]","[0.20718960352527876, 0.2774504138549352]","[0.9765824298469388, 0.9901057313409544]","[0.7122448979591837, 0.7633802816901408]"
mammographic,1,121,Uniform,"[[38, 4], [14, 27]]",0.7831325301204819,0.17269076305220885,0.26532797858099066,0.227659121959398,0.42397367246764844,0.28822604680908315,0.2644355198572066,0.2402012522950461,0.9837016000289247,0.733065595716198,"[0.17525773195876287, 0.16991643454038996]","[0.25103092783505154, 0.2807799442896936]","[0.2254882546788791, 0.23000535177789758]","[0.3950816151202749, 0.45519962859795726]","[0.2715894905474802, 0.3062065031586707]","[0.2527491408934708, 0.2770659238625813]","[0.21678275589453463, 0.2655114935301392]","[0.9780525128865979, 0.9898070201158959]","[0.7221649484536082, 0.7448467966573817]"
mammographic,1,122,Uniform,"[[38, 4], [14, 27]]",0.7831325301204819,0.16198125836680052,0.2862115127175368,0.2388471434503376,0.4301651048639,0.30763120020455187,0.2720745415524532,0.2447982327590694,0.9854242396641042,0.7370816599732262,"[0.16358839050131926, 0.16032608695652173]","[0.27229551451187334, 0.3005434782608696]","[0.2297699591638756, 0.24819565661492768]","[0.4066622691292876, 0.4543704710144928]","[0.3038075550372735, 0.31156913911324335]","[0.22854211165556812, 0.3169082125603865]","[0.22549016709088962, 0.2646834416945046]","[0.9801080145118733, 0.9908993737203421]","[0.7298153034300792, 0.7445652173913043]"
mammographic,1,123,Uniform,"[[38, 4], [14, 27]]",0.7831325301204819,0.1713520749665328,0.2784471218206158,0.2427734392549293,0.44014948683623384,0.2941119581969941,0.26680797263126577,0.23691374076120117,0.9837949443202172,0.7341365461847389,"[0.18766066838046272, 0.15363128491620112]","[0.27043701799485864, 0.2871508379888268]","[0.2428076246699302, 0.24273629365036128]","[0.40092116538131967, 0.48277467411545627]","[0.2938587001514407, 0.2943871464085032]","[0.25039376504672134, 0.2846435222133546]","[0.2286956056838954, 0.2458435020602848]","[0.9788721079691517, 0.9891440597966543]","[0.7182519280205656, 0.7513966480446927]"
