dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
thyroid,1,10,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.05169753086419753,0.08104938271604939,0.008305189967449469,0.1974922839506173,0.1243773549672581,0.08137602880658436,0.2787339684855908,0.9892869635833396,0.19099059376837155,"[0.12318840579710146, 0.7927170868347339, 0.005847953216374269]","[0.42898550724637685, 0.8330532212885153, 0.028170426065162905]","[0.09638554216867468, 0.03779069767441856, 0.004515479883045617]","[0.8740942028985508, 1.0, 0.13402255639097743]","[0.9110355637427565, 0.9480274949145719, 0.057108861605151225]","[0.35144927536231885, 0.803921568627451, 0.03204956836535784]","[0.4310705013153704, 0.598716156554056, 0.25613479009445433]","[0.9544305028693707, 0.9991766403531109, 0.9895007609052641]","[0.23274672187715661, 0.24489795918367344, 0.18681226876715595]"
thyroid,1,11,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.05432098765432099,0.081820987654321,0.00873333450079387,0.2017554012345679,0.128208664642838,0.07989197530864198,0.2780167431538668,0.9892371451317815,0.19085464432686658,"[0.20121951219512196, 0.7894736842105263, 0.005709487825356843]","[0.4317073170731707, 0.8193905817174516, 0.027472712006717047]","[0.09638554216867468, 0.03779069767441856, 0.004557907101430148]","[0.8826219512195121, 1.0, 0.13461376994122587]","[0.9109932468863976, 0.948221365464229, 0.05694061149683199]","[0.3567073170731707, 0.7659279778393352, 0.030680100755667506]","[0.4288966686645162, 0.5863917372081288, 0.2551674265061195]","[0.9526109019479457, 0.999093427348275, 0.9896483266602442]","[0.22923925667828107, 0.2450204458514708, 0.1865139338690976]"
thyroid,1,12,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.047839506172839504,0.07629629629629629,0.007969826117562409,0.19228395061728396,0.11894794052544291,0.07512860082304526,0.274417989595739,0.9889981181478816,0.19042842445620223,"[0.15151515151515152, 0.8130841121495327, 0.004811680769868923]","[0.39999999999999997, 0.8305295950155764, 0.029036004645760744]","[0.09638554216867468, 0.03779069767441856, 0.004445124891662684]","[0.875, 1.0, 0.13431226148996184]","[0.912545651424753, 0.9486270772142511, 0.05737802170748764]","[0.34722222222222227, 0.7941329179646937, 0.030874951606658926]","[0.4105467034626774, 0.5867377990278008, 0.2548023186055071]","[0.9475798250966037, 0.9991598225243086, 0.9893640228397574]","[0.222041847041847, 0.24299065420560742, 0.18693656324318342]"
thyroid,1,13,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.04830246913580247,0.07867283950617285,0.009762099647513393,0.19780092592592594,0.12311200338701028,0.07924639917695472,0.27186534071062607,0.9891415502876338,0.19105305702527922,"[0.16783216783216784, 0.7653958944281525, 0.004669779853235491]","[0.42657342657342656, 0.8428152492668621, 0.026917945296864577]","[0.09638554216867468, 0.03779069767441856, 0.006102175663573979]","[0.8793706293706294, 1.0, 0.13592394929953303]","[0.9118078694347196, 0.9482536353059827, 0.05737537808194159]","[0.3111888111888112, 0.8186705767350929, 0.03166277518345564]","[0.42130960910641785, 0.5931663515252721, 0.2500284202522551]","[0.9645187027737364, 0.9991913267573093, 0.9891572429858206]","[0.22843822843822842, 0.243681050132663, 0.1871684297468153]"
thyroid,1,14,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04876543209876543,0.08024691358024691,0.008973253046639615,0.1964891975308642,0.12302639316268639,0.07597222222222222,0.2762430283472655,0.9893769341948528,0.19088771310993533,"[0.15483870967741936, 0.8006042296072508, 0.0045045045045045045]","[0.3858064516129033, 0.8392749244712991, 0.030430430430430432]","[0.09638554216867468, 0.03779069767441856, 0.005121488117425355]","[0.8782258064516129, 1.0, 0.13448865532198864]","[0.9119996016134307, 0.9484885617214095, 0.05704060318891216]","[0.27741935483870966, 0.7860020140986909, 0.03155377599822044]","[0.4014092110650473, 0.594193988528633, 0.2554484794414783]","[0.9492530850833514, 0.9991028105831731, 0.9898774232718881]","[0.2282642089093702, 0.24428139835994817, 0.18697268697268696]"
thyroid,1,15,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.053858024691358024,0.08444444444444445,0.008862560491751673,0.20297067901234567,0.12933096566283908,0.08029578189300411,0.2760072402855607,0.9888949658071282,0.19098691945914167,"[0.17177914110429449, 0.7961956521739131, 0.004706673390485796]","[0.4049079754601227, 0.8304347826086957, 0.02951756597747521]","[0.09638554216867468, 0.03779069767441856, 0.004674999473671345]","[0.8780674846625767, 1.0, 0.13516977643301395]","[0.9119865584961033, 0.9482693074794446, 0.057227726224222016]","[0.32719836400818, 0.7785326086956522, 0.030338432229506357]","[0.40952023973537544, 0.5869223298586709, 0.2531161036452473]","[0.9486968336970395, 0.9990612648221343, 0.989367498585145]","[0.22816243061641833, 0.24605331262939956, 0.18656196719736812]"
thyroid,1,16,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.04799382716049383,0.08003086419753087,0.008486384167159591,0.19701003086419752,0.1232176720163772,0.08064557613168723,0.2786137210032616,0.9896105926051391,0.1911706349206349,"[0.10294117647058823, 0.7685714285714286, 0.004671338004671338]","[0.39705882352941174, 0.8422857142857143, 0.02832832832832833]","[0.09638554216867468, 0.03779069767441856, 0.004780879459827811]","[0.8777573529411765, 1.0, 0.13467634300967635]","[0.9095212519225178, 0.9483021673855735, 0.057198843146431616]","[0.3088235294117647, 0.815, 0.032588143699254814]","[0.4159717634683496, 0.59683290924088, 0.25691578812731597]","[0.9548953809711804, 0.9992900432900433, 0.9898330585781958]","[0.23196778711484592, 0.2431972789115646, 0.1872070483181594]"
thyroid,1,17,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.041512345679012345,0.07388888888888889,0.00888002375566002,0.19166666666666668,0.11772433075262467,0.0734130658436214,0.27332066202057625,0.9896640842972786,0.19019694297472078,"[0.12318840579710146, 0.7475728155339806, 0.0034808552958727]","[0.38985507246376816, 0.8336569579288027, 0.027747389358528097]","[0.09638554216867468, 0.03779069767441856, 0.005397650180010688]","[0.8813405797101449, 1.0, 0.13448947455660534]","[0.9103643277938558, 0.9481511612571499, 0.057060281321564134]","[0.32125603864734303, 0.8007011866235166, 0.030493397425272115]","[0.42444436779567046, 0.5892200177839079, 0.25368400159826027]","[0.9625036475051066, 0.9991173874669022, 0.9898011752301322]","[0.230503795721187, 0.24395130220372938, 0.18652174942577726]"
thyroid,1,18,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04799382716049383,0.07932098765432098,0.008348369792693596,0.19716435185185185,0.12376405230350213,0.07806069958847736,0.2732714614780525,0.9890812509674101,0.19097589653145203,"[0.15894039735099338, 0.7699115044247787, 0.004340567612687813]","[0.41721854304635764, 0.8271386430678466, 0.028480801335559264]","[0.09638554216867468, 0.03779069767441856, 0.004462800146503629]","[0.8807947019867549, 1.0, 0.13449499165275458]","[0.9112909180445918, 0.948632853028161, 0.05722864659856658]","[0.3465783664459161, 0.7694198623402163, 0.032164718976071226]","[0.42422196846241644, 0.5793008705336897, 0.2521466707894882]","[0.9519089737321658, 0.9990077768838831, 0.9894565300286517]","[0.22863450015767892, 0.24322236269138922, 0.1870697193735591]"
thyroid,1,19,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.047839506172839504,0.0798456790123457,0.00901560051575812,0.1962770061728395,0.12216670275894849,0.08108796296296297,0.2767459902694951,0.9894202083064917,0.19073706643151087,"[0.17518248175182483, 0.7771260997067448, 0.003498833722092636]","[0.4467153284671533, 0.8357771260997068, 0.028523825391536157]","[0.09638554216867468, 0.03779069767441856, 0.005386478533493413]","[0.8777372262773723, 1.0, 0.13505914695101634]","[0.9135217387133795, 0.9480634193820718, 0.0571806280681384]","[0.3978102189781022, 0.782991202346041, 0.03398033988670443]","[0.4494360560060026, 0.5919425481484153, 0.25489651255496437]","[0.9593396365061481, 0.9990135963743002, 0.9895617766179753]","[0.23044838373305526, 0.2429828236279849, 0.1868623157360245]"
