n_ensemble,weights,accuracy_mean,accuracy_std,Dataset
19,Uniform,0.9570600414078674,0.0178929587511956,breast-w
29,Uniform,0.9570807453416148,0.0150597459597779,breast-w
49,Uniform,0.9584886128364388,0.0171894609953191,breast-w
99,Uniform,0.9585300207039336,0.0156843742962956,breast-w
149,Uniform,0.9613871635610766,0.0117225836207953,breast-w
199,Uniform,0.9585300207039336,0.014165031702873,breast-w
19,Uniform,0.996,0.0126491106406735,bodyfat
29,Uniform,0.996,0.0126491106406735,bodyfat
49,Uniform,0.996,0.0126491106406735,bodyfat
99,Uniform,0.996,0.0126491106406735,bodyfat
149,Uniform,0.996,0.0126491106406735,bodyfat
199,Uniform,0.996,0.0126491106406735,bodyfat
19,Uniform,0.7984848484848485,0.1212183482905382,glass1
29,Uniform,0.7896103896103897,0.1183824171842228,glass1
49,Uniform,0.8086580086580086,0.1069146246865344,glass1
99,Uniform,0.7991341991341991,0.1126456504227856,glass1
149,Uniform,0.8036796536796537,0.1163924015758492,glass1
199,Uniform,0.8082251082251082,0.1139386483131082,glass1
19,Uniform,0.732,0.0413118223595457,credit-g
29,Uniform,0.747,0.0346570499481867,credit-g
49,Uniform,0.757,0.0343349514181815,credit-g
99,Uniform,0.758,0.0339280283999986,credit-g
149,Uniform,0.764,0.0333999334663342,credit-g
199,Uniform,0.76,0.0394405318873307,credit-g
19,Uniform,0.7191596638655462,0.0854298570797285,bupa
29,Uniform,0.7132773109243697,0.0811201773522569,bupa
49,Uniform,0.701764705882353,0.0720214315280224,bupa
99,Uniform,0.7220168067226891,0.0761057776044205,bupa
149,Uniform,0.7134453781512605,0.0826667547473928,bupa
199,Uniform,0.719327731092437,0.0896778613053837,bupa
19,Uniform,0.8209178743961353,0.0478854470942751,arrhythmia_cfs
29,Uniform,0.8229951690821256,0.0378056492644638,arrhythmia_cfs
49,Uniform,0.8296618357487923,0.045418735928343,arrhythmia_cfs
99,Uniform,0.8407729468599033,0.0507857924427918,arrhythmia_cfs
149,Uniform,0.8429468599033816,0.0472335705640814,arrhythmia_cfs
199,Uniform,0.8429951690821256,0.0525019014070888,arrhythmia_cfs
19,Uniform,0.6889594676346038,0.0521000468990956,ilpd
29,Uniform,0.7028130671506352,0.0581915100214719,ilpd
49,Uniform,0.7201149425287356,0.0525372445467174,ilpd
99,Uniform,0.7167876588021779,0.042902013904768,ilpd
149,Uniform,0.71497277676951,0.040449776355861,ilpd
199,Uniform,0.7132183908045977,0.0422716679274328,ilpd
19,Uniform,0.7323809523809524,0.1045645085941974,liver-disorders
29,Uniform,0.7457142857142858,0.1090789215949001,liver-disorders
49,Uniform,0.7528571428571429,0.1142074246835977,liver-disorders
99,Uniform,0.7457142857142858,0.1190201026400645,liver-disorders
149,Uniform,0.7461904761904762,0.1137343401351426,liver-disorders
199,Uniform,0.7461904761904762,0.1137343401351426,liver-disorders
19,Uniform,0.9202380952380952,0.0375833666430208,ionosphere
29,Uniform,0.9173015873015872,0.0392708806370775,ionosphere
49,Uniform,0.9173809523809524,0.0413925221738458,ionosphere
99,Uniform,0.9173015873015872,0.0436464644317819,ionosphere
149,Uniform,0.9145238095238096,0.0425984254443768,ionosphere
199,Uniform,0.9145238095238096,0.0425984254443768,ionosphere
19,Uniform,0.7738095238095238,0.06487579465932,sonar
29,Uniform,0.7692857142857144,0.0663299318855792,sonar
49,Uniform,0.7928571428571429,0.0570104285589459,sonar
99,Uniform,0.802142857142857,0.0818842259231071,sonar
149,Uniform,0.8028571428571428,0.0795062236994934,sonar
199,Uniform,0.8028571428571428,0.0795062236994934,sonar
19,Uniform,0.8387096774193548,0.080465750253203,vertebral_column
29,Uniform,0.8387096774193548,0.0588948986564694,vertebral_column
49,Uniform,0.8258064516129032,0.0531143614418428,vertebral_column
99,Uniform,0.8419354838709678,0.0670643704495168,vertebral_column
149,Uniform,0.832258064516129,0.0623285021341481,vertebral_column
199,Uniform,0.832258064516129,0.064156704903984,vertebral_column
19,Uniform,1.0,0.0,breastcancer
29,Uniform,1.0,0.0,breastcancer
49,Uniform,1.0,0.0,breastcancer
99,Uniform,1.0,0.0,breastcancer
149,Uniform,1.0,0.0,breastcancer
199,Uniform,1.0,0.0,breastcancer
19,Uniform,0.6882978723404255,0.0437238424207053,saheart
29,Uniform,0.6862164662349677,0.0418372790563877,saheart
49,Uniform,0.6774283071230343,0.0266493848327119,saheart
99,Uniform,0.6882978723404255,0.0425059342002908,saheart
149,Uniform,0.6753006475485661,0.0291327507096679,saheart
199,Uniform,0.6817761332099908,0.0372875515124387,saheart
19,Uniform,1.0,0.0,steel-plates-fault
29,Uniform,1.0,0.0,steel-plates-fault
49,Uniform,1.0,0.0,steel-plates-fault
99,Uniform,1.0,0.0,steel-plates-fault
149,Uniform,1.0,0.0,steel-plates-fault
199,Uniform,1.0,0.0,steel-plates-fault
19,Uniform,0.708,0.059777364723893,fri_c0_250_50
29,Uniform,0.72,0.0679869268479038,fri_c0_250_50
49,Uniform,0.748,0.0654556677793791,fri_c0_250_50
