"
Dataset","Standard_Bag_mean
","Grouped_Bag_mean
","Incre_Bag_mean
","CDB_Host_mean
","CDB_kDN_mean
","CDB_CLD_mean
","CDB_LSC_mean
","CDB_N1_mean
","CDB_N2_mean
","CDB_DCP_mean
","CDB_TD_U_mean
","CDB_F1_mean
"
WineQualityRed_5vs6,0.8059275965764515,0.8006650474207726,0.8006419153365718,0.813497571131159,0.8142493638676844,0.8157992135091371,0.8157702984038862,0.8112306268794818,0.8089463335646542,0.8119939856581079,0.8134860050890586,0.8112248438584316
Yeast_CYTvsNUC,0.6927590511860175,0.6962297128589263,0.6950936329588016,0.7062297128589263,0.7062421972534332,0.7096004993757803,0.7006491885143571,0.7029088639200999,0.7051310861423221,0.6983645443196005,0.7040199750312109,0.6995255930087391
arrhythmia_cfs,0.8584541062801933,0.8608695652173912,0.8652173913043478,0.8696135265700484,0.8629468599033817,0.8651207729468599,0.8695652173913043,0.8672946859903382,0.8717391304347826,0.8628985507246376,0.8629468599033816,0.8695169082125604
bands,0.7533783783783784,0.766966966966967,0.7668918918918919,0.7668168168168168,0.7642642642642643,0.7642642642642643,0.7555555555555555,0.7641891891891892,0.7614114114114114,0.7641891891891892,0.7587837837837837,0.7697447447447447
banknote_authentication,0.9890616735427906,0.9927165979054268,0.9927165979054268,0.994890510948905,0.9919813815719876,0.994890510948905,0.9934359462604464,0.9912514545646884,0.991970802919708,0.9941658732677456,0.9941658732677456,0.994895800275045
bodyfat,0.996,0.9961538461538462,0.9961538461538462,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
breast-w,0.9599792960662528,0.9599378881987578,0.9613664596273293,0.9656935817805384,0.9671221532091098,0.9671221532091098,0.9699792960662524,0.9714285714285716,0.9714285714285716,0.9699585921325052,0.965672877846791,0.9685507246376812
breastcancer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bupa,0.7453781512605042,0.7361344537815127,0.7304201680672269,0.76,0.7511764705882353,0.76,0.7598319327731092,0.7482352941176471,0.7596638655462185,0.742436974789916,0.7480672268907563,0.7484873949579832
chatfield_4,0.9065217391304348,0.9103260869565216,0.9061594202898552,0.9148550724637682,0.915036231884058,0.9108695652173914,0.915036231884058,0.9233695652173914,0.9108695652173912,0.9233695652173914,0.9193840579710144,0.9192028985507246
contraceptive_LS,0.6183613445378151,0.6268067226890757,0.6409943977591037,0.6373529411764707,0.6385854341736694,0.6338235294117647,0.6420728291316526,0.6468767507002802,0.6385574229691876,0.6374089635854341,0.6349579831932772,0.6386134453781513
contraceptive_NL,0.7401524914089347,0.7443298969072165,0.7463810137457044,0.7515571305841925,0.750536941580756,0.7567332474226804,0.7484213917525773,0.7505584192439863,0.7525665807560138,0.7526095360824743,0.7484106529209622,0.7463810137457044
contraceptive_NS,0.6578947368421053,0.6614035087719298,0.6789473684210526,0.6701754385964913,0.6684210526315789,0.6701754385964912,0.6657894736842105,0.6701754385964913,0.6649122807017543,0.6728070175438596,0.6666666666666667,0.6710526315789473
credit-g,0.765,0.776,0.776,0.7769999999999999,0.7769999999999999,0.784,0.768,0.778,0.777,0.782,0.778,0.773
diabetes,0.7681476418318524,0.7708133971291866,0.7721975393028024,0.7759398496240602,0.7759569377990431,0.779853041695147,0.7772385509227615,0.7759227614490773,0.7798530416951469,0.7694805194805194,0.7786226930963773,0.7785030758714969
diabetic_retinopathy,0.6915517241379311,0.7011319340329835,0.7011094452773613,0.7132383808095952,0.7011244377811094,0.7028635682158921,0.7045877061469266,0.6985157421289355,0.6993928035982009,0.6950374812593704,0.6959220389805097,0.6984932533733132
fri_c0_250_50,0.776,0.8160000000000001,0.82,0.82,0.8,0.812,0.808,0.804,0.828,0.788,0.8119999999999999,0.792
glass0,0.8926406926406927,0.8735930735930737,0.8783549783549784,0.9017316017316016,0.8880952380952382,0.8924242424242423,0.8926406926406927,0.8880952380952382,0.8926406926406927,0.8928571428571429,0.8926406926406927,0.8928571428571429
glass1,0.8406926406926407,0.8227272727272726,0.8316017316017316,0.8406926406926407,0.8413419913419913,0.8454545454545455,0.8456709956709958,0.827056277056277,0.8409090909090908,0.8502164502164502,0.8316017316017316,0.8365800865800865
hill_valley_without_noise_traintest,0.6442758433816556,0.6352933206882536,0.6287359436390733,0.6541728763040238,0.6476154992548435,0.6632705595447772,0.6500745156482861,0.65584609131554,0.6492548435171386,0.6500745156482861,0.6484013006367702,0.6459355100934833
ilpd,0.71497277676951,0.7012401693889897,0.71497277676951,0.7357229280096794,0.7391409558378705,0.7391107078039927,0.7339382940108893,0.7373865698729583,0.7373865698729583,0.7357229280096794,0.739231699939504,0.7339080459770114
ionosphere,0.9202380952380952,0.9316666666666666,0.9316666666666666,0.9372222222222222,0.9315079365079364,0.9373015873015872,0.9345238095238096,0.9315873015873016,0.9372222222222222,0.9315873015873016,0.9343650793650792,0.9372222222222222
liver-disorders,0.7671428571428571,0.7728571428571429,0.7661904761904762,0.7814285714285714,0.7747619047619048,0.7742857142857142,0.7814285714285714,0.7952380952380953,0.7809523809523811,0.7942857142857143,0.7947619047619048,0.7880952380952382
mammographic,0.7963855421686747,0.8060240963855423,0.8132530120481928,0.8036144578313253,0.8108433734939758,0.8024096385542169,0.8132530120481928,0.8060240963855423,0.8096385542168674,0.8048192771084338,0.8048192771084338,0.8048192771084338
musk1,0.8801418439716311,0.894813829787234,0.899113475177305,0.903413120567376,0.8949024822695035,0.9033687943262412,0.9075797872340424,0.8907801418439716,0.9055851063829786,0.8991578014184396,0.899113475177305,0.9033244680851064
parkinsons,0.908421052631579,0.9234210526315788,0.9286842105263158,0.9189473684210526,0.918684210526316,0.9136842105263158,0.9186842105263155,0.9234210526315788,0.9184210526315788,0.9239473684210526,0.9186842105263155,0.9286842105263158
phoneme,0.9135862942424864,0.9191336345587732,0.9206151160402548,0.916916546861094,0.912289655644554,0.9159933593482578,0.913771821729308,0.9130307386869309,0.9134017936605736,0.9128503457246524,0.913958718422674,0.9145111932635036
pima,0.7682843472317157,0.7695146958304854,0.7734107997265893,0.7721462747778538,0.7720779220779221,0.7760765550239235,0.7747949419002051,0.773462064251538,0.7695488721804511,0.7800239234449762,0.7773581681476418,0.7747436773752563
profb,0.6800043898156278,0.6784899034240561,0.6828797190517999,0.6978270412642669,0.6889596136962248,0.6992537313432836,0.690342405618964,0.6934591747146619,0.6934152765583845,0.7023046532045655,0.6830114135206322,0.6934591747146619
ring,0.9455405405405406,0.9486486486486486,0.9482432432432432,0.9489189189189188,0.9544594594594594,0.952027027027027,0.9528378378378376,0.9487837837837836,0.9522972972972972,0.9501351351351351,0.9482432432432432,0.9501351351351351
saheart,0.6860777058279371,0.7162349676225717,0.7183626271970398,0.7230804810360777,0.7166975023126734,0.7143385753931545,0.716604995374653,0.7100370027752081,0.7077705827937095,0.7185476410730804,0.7099444958371878,0.7078168362627197
sonar,0.8028571428571428,0.8273809523809523,0.8371428571428572,0.8366666666666667,0.8221428571428572,0.8273809523809523,0.8266666666666665,0.8364285714285714,0.8366666666666667,0.8076190476190476,0.8226190476190476,0.8271428571428571
spambase,0.9467007672634272,0.9490991759022448,0.950838779956427,0.9499635313062424,0.9488765747845032,0.9501832907075874,0.948442265795207,0.9482253481102584,0.9493127782513971,0.9534460547504026,0.9536624988159514,0.9495282750781472
spectfheart,0.8168091168091168,0.8314814814814815,0.8314814814814815,0.8316239316239316,0.8350427350427351,0.839031339031339,0.8168091168091168,0.8273504273504274,0.8319088319088319,0.8203703703703704,0.8168091168091168,0.8351851851851851
steel-plates-fault,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sylvine,0.94730560124269,0.9480849476120856,0.9476924189814816,0.94691497624269,0.9469145955165692,0.9482806408382066,0.9471095272904484,0.9469157376949318,0.9478900158382066,0.9478900158382066,0.9476954647904484,0.94750091374269
teaching_assistant_LH,0.6936363636363636,0.7327272727272727,0.7527272727272727,0.6936363636363636,0.7127272727272727,0.6936363636363636,0.7136363636363636,0.7036363636363636,0.7127272727272727,0.7127272727272727,0.7127272727272727,0.7036363636363636
teaching_assistant_LM,0.6955555555555556,0.6466666666666667,0.6066666666666667,0.6766666666666666,0.6866666666666666,0.6766666666666666,0.6866666666666666,0.6866666666666668,0.6866666666666666,0.7055555555555555,0.6766666666666666,0.6766666666666666
teaching_assistant_MH,0.739090909090909,0.7336363636363636,0.7527272727272727,0.7572727272727273,0.759090909090909,0.74,0.7490909090909091,0.740909090909091,0.75,0.7490909090909091,0.7681818181818182,0.74
titanic,0.7967762771579565,0.8113153258954785,0.811332941867293,0.8021256605989431,0.8067116852613037,0.8044216089254258,0.8059307105108632,0.8044039929536113,0.8044216089254258,0.8067116852613037,0.800604815032296,0.8044098649442161
vehicle2,0.9751960784313726,0.9799159663865546,0.9799159663865546,0.982282913165266,0.9811064425770308,0.9834453781512604,0.9858263305322128,0.9811064425770308,0.985812324929972,0.9811064425770308,0.9822689075630252,0.9834733893557424
vertebral_column,0.8580645161290322,0.8451612903225806,0.8483870967741935,0.8548387096774194,0.8516129032258064,0.8612903225806452,0.8612903225806452,0.8548387096774194,0.8580645161290322,0.8612903225806452,0.864516129032258,0.8580645161290322
wdbc,0.9648182957393484,0.9701441102756893,0.9718984962406017,0.9683270676691728,0.9666040100250626,0.9683270676691728,0.9683270676691728,0.9700814536340852,0.9683897243107767,0.9683897243107767,0.968358395989975,0.9683270676691728
yeast1,0.7756439325231271,0.77696354072193,0.777643751133684,0.7870805369127517,0.7884273535280247,0.7857427897696354,0.7830627607473245,0.7823553419191003,0.7816887357155814,0.7897787048793761,0.779657173952476,0.7796662434246328
