,valores_combo,niveles,valor_split,num_models,num_models2,niveles_mediana,niveles_std,num_models_mediana,num_models_std,num_models2_mediana,num_models2_std,cycles_mean,cycles_median,cycles_std,max_num_cycles,max_num_models
46,alpha14-split4,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,99,108,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",54,36,63,45,11,6,4,11,99
47,alpha14-split6,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,143,156,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",91,65,104,78,11,7,5,11,143
48,alpha14-split8,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,119,136,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",102,34,119,51,7,6,2,7,119
49,alpha16-split1,"23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,69,72,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",39,9,42,12,23,13,3,23,69
50,alpha16-split10,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15",10,126,147,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",105,63,126,84,6,5,3,6,126
51,alpha16-split12,"4, 5, 6, 7, 8, 9, 10, 11, 12",12,100,125,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12","3, 4, 5, 6, 7, 8, 9, 10, 11, 12",75,75,100,100,4,3,3,4,100
52,alpha16-split14,"3, 4, 5, 6, 7, 8, 9, 10, 11",14,87,116,"3, 4, 5, 6, 7, 8, 9, 10, 11","5, 6, 7, 8, 9, 10, 11",87,145,116,174,3,3,5,5,145
53,alpha16-split16,"5, 6, 7, 8, 9, 10",16,165,198,"5, 6, 7, 8, 9, 10","4, 5, 6, 7, 8, 9, 10",165,132,198,165,5,5,4,5,165
54,alpha16-split18,"3, 4, 5, 6, 7, 8, 9",18,111,148,"3, 4, 5, 6, 7, 8, 9","5, 6, 7, 8, 9",111,185,148,222,3,3,5,5,185
55,alpha16-split2,"17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,85,90,"12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",60,20,65,25,17,12,4,17,85
56,alpha16-split20,"4, 5, 6, 7, 8",20,164,205,"3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7, 8",123,123,164,164,4,3,3,4,164
57,alpha16-split22,"4, 5, 6, 7",22,180,225,"4, 5, 6, 7","2, 3, 4, 5, 6, 7",180,90,225,135,4,4,2,4,180
58,alpha16-split24,"6, 7",24,294,343,"3, 4, 5, 6, 7","3, 4, 5, 6, 7",147,147,196,196,6,3,3,6,294
59,alpha16-split26,"2, 3, 4, 5, 6",26,106,159,"2, 3, 4, 5, 6","2, 3, 4, 5, 6",106,106,159,159,2,2,2,2,106
60,alpha16-split28,"4, 5, 6",28,228,285,"2, 3, 4, 5, 6","2, 3, 4, 5, 6",114,114,171,171,4,2,2,4,228
61,alpha16-split30,"3, 4, 5",30,183,244,"2, 3, 4, 5","3, 4, 5",122,183,183,244,3,2,3,3,183
62,alpha16-split4,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,99,108,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",54,54,63,63,11,6,6,11,99
63,alpha16-split6,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,143,156,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",39,65,52,78,11,3,5,11,143
64,alpha16-split8,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,136,153,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",85,68,102,85,8,5,4,8,136
65,alpha18-split1,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,75,78,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",39,15,42,18,25,13,5,25,75
66,alpha18-split10,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",10,105,126,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","7, 8, 9, 10, 11, 12, 13, 14, 15",84,147,105,168,5,4,7,7,147
67,alpha18-split12,"6, 7, 8, 9, 10, 11, 12",12,150,175,"5, 6, 7, 8, 9, 10, 11, 12","5, 6, 7, 8, 9, 10, 11, 12",125,125,150,150,6,5,5,6,150
68,alpha18-split14,"4, 5, 6, 7, 8, 9, 10, 11",14,116,145,"4, 5, 6, 7, 8, 9, 10, 11","5, 6, 7, 8, 9, 10, 11",116,145,145,174,4,4,5,5,145
69,alpha18-split16,"5, 6, 7, 8, 9, 10",16,165,198,"3, 4, 5, 6, 7, 8, 9, 10","4, 5, 6, 7, 8, 9, 10",99,132,132,165,5,3,4,5,165
70,alpha18-split18,"5, 6, 7, 8, 9",18,185,222,"4, 5, 6, 7, 8, 9","3, 4, 5, 6, 7, 8, 9",148,111,185,148,5,4,3,5,185
71,alpha18-split2,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,95,100,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60","6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",65,30,70,35,19,13,6,19,95
72,alpha18-split20,"3, 4, 5, 6, 7, 8",20,123,164,"3, 4, 5, 6, 7, 8","2, 3, 4, 5, 6, 7, 8",123,82,164,123,3,3,2,3,123
73,alpha18-split22,"3, 4, 5, 6, 7",22,135,180,"3, 4, 5, 6, 7","5, 6, 7",135,225,180,270,3,3,5,5,225
74,alpha18-split24,"4, 5, 6, 7",24,196,245,"2, 3, 4, 5, 6, 7","2, 3, 4, 5, 6, 7",98,98,147,147,4,2,2,4,196
75,alpha18-split26,"4, 5, 6",26,212,265,"3, 4, 5, 6","3, 4, 5, 6",159,159,212,212,4,3,3,4,212
76,alpha18-split28,"3, 4, 5, 6",28,171,228,"2, 3, 4, 5, 6","3, 4, 5, 6",114,171,171,228,3,2,3,3,171
77,alpha18-split30,"2, 3, 4, 5",30,122,183,"2, 3, 4, 5","2, 3, 4, 5",122,122,183,183,2,2,2,2,122
78,alpha18-split4,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,90,99,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",63,63,72,72,10,7,7,10,90
79,alpha18-split6,"12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,156,169,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",143,52,156,65,12,11,4,12,156
80,alpha18-split8,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,119,136,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",102,68,119,85,7,6,4,7,119
81,alpha2-split1,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,105,108,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",33,33,36,36,35,11,11,35,105
82,alpha2-split10,"7, 8, 9, 10, 11, 12, 13, 14, 15",10,147,168,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",105,84,126,105,7,5,4,7,147
83,alpha2-split12,"5, 6, 7, 8, 9, 10, 11, 12",12,125,150,"5, 6, 7, 8, 9, 10, 11, 12","5, 6, 7, 8, 9, 10, 11, 12",125,125,150,150,5,5,5,5,125
84,alpha2-split14,"4, 5, 6, 7, 8, 9, 10, 11",14,116,145,"4, 5, 6, 7, 8, 9, 10, 11","3, 4, 5, 6, 7, 8, 9, 10, 11",116,87,145,116,4,4,3,4,116
85,alpha2-split16,"4, 5, 6, 7, 8, 9, 10",16,132,165,"4, 5, 6, 7, 8, 9, 10","5, 6, 7, 8, 9, 10",132,165,165,198,4,4,5,5,165
86,alpha2-split18,"4, 5, 6, 7, 8, 9",18,148,185,"3, 4, 5, 6, 7, 8, 9","3, 4, 5, 6, 7, 8, 9",111,111,148,148,4,3,3,4,148
87,alpha2-split2,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,55,60,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60","8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",50,40,55,45,11,10,8,11,55
88,alpha2-split20,"3, 4, 5, 6, 7, 8",20,123,164,"3, 4, 5, 6, 7, 8","5, 6, 7, 8",123,205,164,246,3,3,5,5,205
89,alpha2-split22,"4, 5, 6, 7",22,180,225,"2, 3, 4, 5, 6, 7","3, 4, 5, 6, 7",90,135,135,180,4,2,3,4,180
90,alpha2-split24,"3, 4, 5, 6, 7",24,147,196,"3, 4, 5, 6, 7","4, 5, 6, 7",147,196,196,245,3,3,4,4,196
91,alpha2-split26,"5, 6",26,265,318,"4, 5, 6","2, 3, 4, 5, 6",212,106,265,159,5,4,2,5,265
92,alpha2-split28,"3, 4, 5, 6",28,171,228,"3, 4, 5, 6","3, 4, 5, 6",171,171,228,228,3,3,3,3,171
93,alpha2-split30,"3, 4, 5",30,183,244,"2, 3, 4, 5","4, 5",122,244,183,305,3,2,4,4,244
94,alpha2-split4,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,117,126,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",90,90,99,99,13,10,10,13,117
95,alpha2-split6,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,117,130,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",52,91,65,104,9,4,7,9,117
96,alpha2-split8,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,102,119,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",68,119,85,136,6,4,7,7,119
97,alpha20-split1,"26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,78,81,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",60,15,63,18,26,20,5,26,78
98,alpha20-split10,"7, 8, 9, 10, 11, 12, 13, 14, 15",10,147,168,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",126,105,147,126,7,6,5,7,147
99,alpha20-split12,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",12,75,100,"4, 5, 6, 7, 8, 9, 10, 11, 12","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",100,50,125,75,3,4,2,4,100
100,alpha20-split14,"7, 8, 9, 10, 11",14,203,232,"4, 5, 6, 7, 8, 9, 10, 11","3, 4, 5, 6, 7, 8, 9, 10, 11",116,87,145,116,7,4,3,7,203
101,alpha20-split16,"5, 6, 7, 8, 9, 10",16,165,198,"5, 6, 7, 8, 9, 10","3, 4, 5, 6, 7, 8, 9, 10",165,99,198,132,5,5,3,5,165
102,alpha20-split18,"4, 5, 6, 7, 8, 9",18,148,185,"3, 4, 5, 6, 7, 8, 9","3, 4, 5, 6, 7, 8, 9",111,111,148,148,4,3,3,4,148
103,alpha20-split2,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,55,60,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",40,25,45,30,11,8,5,11,55
104,alpha20-split20,"3, 4, 5, 6, 7, 8",20,123,164,"4, 5, 6, 7, 8","2, 3, 4, 5, 6, 7, 8",164,82,205,123,3,4,2,4,164
105,alpha20-split22,"4, 5, 6, 7",22,180,225,"4, 5, 6, 7","3, 4, 5, 6, 7",180,135,225,180,4,4,3,4,180
106,alpha20-split24,"5, 6, 7",24,245,294,"3, 4, 5, 6, 7","2, 3, 4, 5, 6, 7",147,98,196,147,5,3,2,5,245
107,alpha20-split26,"3, 4, 5, 6",26,159,212,"2, 3, 4, 5, 6","2, 3, 4, 5, 6",106,106,159,159,3,2,2,3,159
108,alpha20-split28,"5, 6",28,285,342,"2, 3, 4, 5, 6","3, 4, 5, 6",114,171,171,228,5,2,3,5,285
109,alpha20-split30,"2, 3, 4, 5",30,122,183,"2, 3, 4, 5","2, 3, 4, 5",122,122,183,183,2,2,2,2,122
110,alpha20-split4,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,117,126,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",72,72,81,81,13,8,8,13,117
111,alpha20-split6,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,130,143,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",65,52,78,65,10,5,4,10,130
112,alpha20-split8,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,102,119,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",85,51,102,68,6,5,3,6,102
113,alpha4-split1,"24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,72,75,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",45,15,48,18,24,15,5,24,72
114,alpha4-split10,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",10,63,84,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",63,63,84,84,3,3,3,3,63
115,alpha4-split12,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",12,75,100,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12","4, 5, 6, 7, 8, 9, 10, 11, 12",75,100,100,125,3,3,4,4,100
116,alpha4-split14,"6, 7, 8, 9, 10, 11",14,174,203,"4, 5, 6, 7, 8, 9, 10, 11","4, 5, 6, 7, 8, 9, 10, 11",116,116,145,145,6,4,4,6,174
117,alpha4-split16,"4, 5, 6, 7, 8, 9, 10",16,132,165,"3, 4, 5, 6, 7, 8, 9, 10","3, 4, 5, 6, 7, 8, 9, 10",99,99,132,132,4,3,3,4,132
118,alpha4-split18,"4, 5, 6, 7, 8, 9",18,148,185,"3, 4, 5, 6, 7, 8, 9","3, 4, 5, 6, 7, 8, 9",111,111,148,148,4,3,3,4,148
