,valores_combo,niveles,valor_split,num_models,num_models2,niveles_mediana,niveles_std,num_models_mediana,num_models_std,num_models2_mediana,num_models2_std,cycles_mean,cycles_median,cycles_std,max_num_cycles,max_num_models
148,alpha8-split14,"4, 5, 6, 7, 8, 9, 10, 11",14,116,145,"3, 4, 5, 6, 7, 8, 9, 10, 11","3, 4, 5, 6, 7, 8, 9, 10, 11",87,87,116,116,4,3,3,4,116
149,alpha8-split16,"4, 5, 6, 7, 8, 9, 10",16,132,165,"3, 4, 5, 6, 7, 8, 9, 10","3, 4, 5, 6, 7, 8, 9, 10",99,99,132,132,4,3,3,4,132
150,alpha8-split18,"4, 5, 6, 7, 8, 9",18,148,185,"3, 4, 5, 6, 7, 8, 9","3, 4, 5, 6, 7, 8, 9",111,111,148,148,4,3,3,4,148
151,alpha8-split2,"12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,60,65,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",55,25,60,30,12,11,5,12,60
152,alpha8-split20,"5, 6, 7, 8",20,205,246,"4, 5, 6, 7, 8","3, 4, 5, 6, 7, 8",164,123,205,164,5,4,3,5,205
153,alpha8-split22,"4, 5, 6, 7",22,180,225,"4, 5, 6, 7","4, 5, 6, 7",180,180,225,225,4,4,4,4,180
154,alpha8-split24,"3, 4, 5, 6, 7",24,147,196,"4, 5, 6, 7","3, 4, 5, 6, 7",196,147,245,196,3,4,3,4,196
155,alpha8-split26,"4, 5, 6",26,212,265,"2, 3, 4, 5, 6","2, 3, 4, 5, 6",106,106,159,159,4,2,2,4,212
156,alpha8-split28,"2, 3, 4, 5, 6",28,114,171,"2, 3, 4, 5, 6","3, 4, 5, 6",114,171,171,228,2,2,3,3,171
157,alpha8-split30,"3, 4, 5",30,183,244,"2, 3, 4, 5","2, 3, 4, 5",122,122,183,183,3,2,2,3,183
158,alpha8-split4,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,90,99,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",54,81,63,90,10,6,9,10,90
159,alpha8-split6,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,104,117,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",65,104,78,117,8,5,8,8,104
160,alpha8-split8,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,119,136,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",119,68,136,85,7,7,4,7,119
