"","X","valores_combo","niveles","valor_split","num_models","num_models2","niveles_mediana"
"1",1,"alpha10-split1","21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,63,66,"15, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 16, 17, 18, 100"
"2",2,"alpha10-split10","6, 7, 8, 9, 10, 11, 12, 13, 14, 15",10,126,147,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"3",3,"alpha10-split12","4, 5, 6, 7, 8, 9, 10, 11, 12",12,100,125,"3, 5, 6, 7, 8, 9, 10, 11, 4, 12"
"4",4,"alpha10-split14","3, 4, 5, 6, 7, 8, 9, 10, 11",14,87,116,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11"
"5",5,"alpha10-split16","4, 5, 6, 7, 8, 9, 10",16,132,165,"2, 3, 4, 5, 6, 7, 8, 9, 10"
"6",6,"alpha10-split18","5, 6, 7, 8, 9",18,185,222,"3, 4, 5, 6, 7, 8, 9"
"7",7,"alpha10-split2","18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,90,95,"12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 13, 17, 60"
"8",8,"alpha10-split20","4, 5, 6, 7, 8",20,164,205,"3, 4, 5, 6, 7, 8"
"9",9,"alpha10-split22","3, 4, 5, 6, 7",22,135,180,"3, 4, 5, 6, 7"
"10",10,"alpha10-split24","3, 4, 5, 6, 7",24,147,196,"2, 3, 4, 5, 6, 7"
"11",11,"alpha10-split26","3, 4, 5, 6",26,159,212,"3, 4, 5, 6"
"12",12,"alpha10-split28","3, 4, 5, 6",28,171,228,"2, 3, 4, 5, 6"
"13",13,"alpha10-split30","3, 4, 5",30,183,244,"2, 3, 4, 5"
"14",14,"alpha10-split4","12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,108,117,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"15",15,"alpha10-split6","8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,104,117,"6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 7, 8, 24"
"16",16,"alpha10-split8","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,85,102,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"17",17,"alpha12-split1","18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,54,57,"17, 19, 25, 31, 32, 33, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 18, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 34, 38, 100"
"18",18,"alpha12-split10","7, 8, 9, 10, 11, 12, 13, 14, 15",10,147,168,"6, 8, 9, 10, 11, 12, 13, 14, 7, 15"
"19",19,"alpha12-split12","3, 4, 5, 6, 7, 8, 9, 10, 11, 12",12,75,100,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
"20",20,"alpha12-split14","6, 7, 8, 9, 10, 11",14,174,203,"6, 7, 8, 9, 10, 11"
"21",21,"alpha12-split16","6, 7, 8, 9, 10",16,198,231,"3, 4, 5, 6, 7, 8, 9, 10"
"22",22,"alpha12-split18","6, 7, 8, 9",18,222,259,"3, 4, 5, 6, 7, 8, 9"
"23",23,"alpha12-split2","21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,105,110,"15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 23, 60"
"24",24,"alpha12-split20","3, 4, 5, 6, 7, 8",20,123,164,"3, 4, 5, 6, 7, 8"
"25",25,"alpha12-split22","3, 4, 5, 6, 7",22,135,180,"3, 4, 5, 6, 7"
"26",26,"alpha12-split24","3, 4, 5, 6, 7",24,147,196,"2, 3, 4, 5, 6, 7"
"27",27,"alpha12-split26","4, 5, 6",26,212,265,"4, 5, 6"
"28",28,"alpha12-split28","4, 5, 6",28,228,285,"3, 4, 5, 6"
"29",29,"alpha12-split30","3, 4, 5",30,183,244,"3, 4, 5"
"30",30,"alpha12-split4","8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,72,81,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"31",31,"alpha12-split6","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,91,104,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"32",32,"alpha12-split8","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,85,102,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
