"","X","valores_combo","niveles","valor_split","num_models","num_models2","niveles_mediana"
"33",33,"alpha14-split1","29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,87,90,"25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 26, 100"
"34",34,"alpha14-split10","9, 10, 11, 12, 13, 14, 15",10,189,210,"4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 6, 15"
"35",35,"alpha14-split12","5, 6, 7, 8, 9, 10, 11, 12",12,125,150,"4, 5, 6, 7, 8, 9, 10, 11, 12"
"36",36,"alpha14-split14","3, 4, 5, 6, 7, 8, 9, 10, 11",14,87,116,"3, 5, 6, 7, 8, 9, 10, 4, 11"
"37",37,"alpha14-split16","3, 4, 5, 6, 7, 8, 9, 10",16,99,132,"3, 4, 5, 6, 7, 8, 9, 10"
"38",38,"alpha14-split18","4, 5, 6, 7, 8, 9",18,148,185,"2, 3, 5, 6, 7, 8, 4, 9"
"39",39,"alpha14-split2","16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,80,85,"9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 12, 22, 60"
"40",40,"alpha14-split20","4, 5, 6, 7, 8",20,164,205,"3, 4, 5, 6, 7, 8"
"41",41,"alpha14-split22","4, 5, 6, 7",22,180,225,"3, 4, 5, 6, 7"
"42",42,"alpha14-split24","3, 4, 5, 6, 7",24,147,196,"2, 3, 4, 5, 6, 7"
"43",43,"alpha14-split26","4, 5, 6",26,212,265,"3, 4, 5, 6"
"44",44,"alpha14-split28","2, 3, 4, 5, 6",28,114,171,"2, 3, 4, 5, 6"
"45",45,"alpha14-split30","2, 3, 4, 5",30,122,183,"2, 3, 4, 5"
"46",46,"alpha14-split4","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,99,108,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"47",47,"alpha14-split6","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,143,156,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"48",48,"alpha14-split8","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,119,136,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"49",49,"alpha16-split1","23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,69,72,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100"
"50",50,"alpha16-split10","6, 7, 8, 9, 10, 11, 12, 13, 14, 15",10,126,147,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"51",51,"alpha16-split12","4, 5, 6, 7, 8, 9, 10, 11, 12",12,100,125,"3, 5, 6, 7, 8, 9, 10, 11, 4, 12"
"52",52,"alpha16-split14","3, 4, 5, 6, 7, 8, 9, 10, 11",14,87,116,"3, 4, 5, 6, 7, 8, 9, 10, 11"
"53",53,"alpha16-split16","5, 6, 7, 8, 9, 10",16,165,198,"5, 6, 7, 8, 9, 10"
"54",54,"alpha16-split18","3, 4, 5, 6, 7, 8, 9",18,111,148,"3, 4, 5, 6, 7, 8, 9"
"55",55,"alpha16-split2","17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,85,90,"12, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 13, 14, 17, 18, 60"
"56",56,"alpha16-split20","4, 5, 6, 7, 8",20,164,205,"3, 4, 5, 6, 7, 8"
"57",57,"alpha16-split22","4, 5, 6, 7",22,180,225,"4, 5, 6, 7"
"58",58,"alpha16-split24","6, 7",24,294,343,"3, 4, 5, 6, 7"
"59",59,"alpha16-split26","2, 3, 4, 5, 6",26,106,159,"2, 3, 4, 5, 6"
"60",60,"alpha16-split28","4, 5, 6",28,228,285,"2, 3, 4, 5, 6"
"61",61,"alpha16-split30","3, 4, 5",30,183,244,"2, 4, 3, 5"
"62",62,"alpha16-split4","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,99,108,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"63",63,"alpha16-split6","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,143,156,"3, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 4, 5, 7, 9, 10, 24"
"64",64,"alpha16-split8","8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,136,153,"5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 7, 18"
"65",65,"alpha18-split1","25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,75,78,"13, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 14, 15, 16, 17, 18, 20, 21, 100"
"66",66,"alpha18-split10","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",10,105,126,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"67",67,"alpha18-split12","6, 7, 8, 9, 10, 11, 12",12,150,175,"5, 6, 7, 8, 9, 10, 11, 12"
"68",68,"alpha18-split14","4, 5, 6, 7, 8, 9, 10, 11",14,116,145,"4, 5, 6, 7, 8, 9, 10, 11"
"69",69,"alpha18-split16","5, 6, 7, 8, 9, 10",16,165,198,"3, 5, 6, 7, 8, 9, 4, 10"
"70",70,"alpha18-split18","5, 6, 7, 8, 9",18,185,222,"4, 5, 6, 7, 8, 9"
"71",71,"alpha18-split2","19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,95,100,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60"
"72",72,"alpha18-split20","3, 4, 5, 6, 7, 8",20,123,164,"3, 4, 5, 6, 7, 8"
"73",73,"alpha18-split22","3, 4, 5, 6, 7",22,135,180,"3, 4, 5, 6, 7"
"74",74,"alpha18-split24","4, 5, 6, 7",24,196,245,"2, 4, 5, 6, 3, 7"
"75",75,"alpha18-split26","4, 5, 6",26,212,265,"3, 4, 5, 6"
"76",76,"alpha18-split28","3, 4, 5, 6",28,171,228,"2, 3, 4, 5, 6"
"77",77,"alpha18-split30","2, 3, 4, 5",30,122,183,"2, 3, 4, 5"
"78",78,"alpha18-split4","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,90,99,"7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 9, 34"
"79",79,"alpha18-split6","12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,156,169,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"80",80,"alpha18-split8","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,119,136,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"81",81,"alpha2-split1","35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,105,108,"11, 17, 18, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 12, 13, 14, 15, 16, 19, 20, 21, 100"
"82",82,"alpha2-split10","7, 8, 9, 10, 11, 12, 13, 14, 15",10,147,168,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"83",83,"alpha2-split12","5, 6, 7, 8, 9, 10, 11, 12",12,125,150,"5, 6, 7, 8, 9, 10, 11, 12"
"84",84,"alpha2-split14","4, 5, 6, 7, 8, 9, 10, 11",14,116,145,"4, 5, 6, 7, 8, 9, 10, 11"
"85",85,"alpha2-split16","4, 5, 6, 7, 8, 9, 10",16,132,165,"4, 5, 6, 7, 9, 8, 10"
"86",86,"alpha2-split18","4, 5, 6, 7, 8, 9",18,148,185,"3, 4, 5, 6, 7, 8, 9"
"87",87,"alpha2-split2","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,55,60,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60"
"88",88,"alpha2-split20","3, 4, 5, 6, 7, 8",20,123,164,"3, 4, 5, 6, 7, 8"
"89",89,"alpha2-split22","4, 5, 6, 7",22,180,225,"2, 3, 4, 5, 6, 7"
"90",90,"alpha2-split24","3, 4, 5, 6, 7",24,147,196,"3, 4, 5, 6, 7"
"91",91,"alpha2-split26","5, 6",26,265,318,"4, 5, 6"
"92",92,"alpha2-split28","3, 4, 5, 6",28,171,228,"3, 4, 5, 6"
"93",93,"alpha2-split30","3, 4, 5",30,183,244,"2, 3, 4, 5"
"94",94,"alpha2-split4","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,117,126,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"95",95,"alpha2-split6","9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,117,130,"4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 5, 6, 24"
"96",96,"alpha2-split8","6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,102,119,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"97",97,"alpha20-split1","26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,78,81,"20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 21, 100"
"98",98,"alpha20-split10","7, 8, 9, 10, 11, 12, 13, 14, 15",10,147,168,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"99",99,"alpha20-split12","3, 4, 5, 6, 7, 8, 9, 10, 11, 12",12,75,100,"4, 5, 6, 7, 8, 9, 10, 11, 12"
"100",100,"alpha20-split14","7, 8, 9, 10, 11",14,203,232,"4, 5, 6, 7, 8, 9, 10, 11"
"101",101,"alpha20-split16","5, 6, 7, 8, 9, 10",16,165,198,"5, 6, 7, 8, 9, 10"
"102",102,"alpha20-split18","4, 5, 6, 7, 8, 9",18,148,185,"3, 4, 5, 6, 7, 8, 9"
"103",103,"alpha20-split2","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,55,60,"8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 9, 29, 60"
"104",104,"alpha20-split20","3, 4, 5, 6, 7, 8",20,123,164,"4, 5, 6, 7, 8"
"105",105,"alpha20-split22","4, 5, 6, 7",22,180,225,"4, 5, 6, 7"
"106",106,"alpha20-split24","5, 6, 7",24,245,294,"3, 4, 5, 6, 7"
"107",107,"alpha20-split26","3, 4, 5, 6",26,159,212,"2, 3, 4, 5, 6"
"108",108,"alpha20-split28","5, 6",28,285,342,"2, 3, 4, 5, 6"
"109",109,"alpha20-split30","2, 3, 4, 5",30,122,183,"2, 3, 4, 5"
"110",110,"alpha20-split4","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,117,126,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"111",111,"alpha20-split6","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,130,143,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"112",112,"alpha20-split8","6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,102,119,"5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 9, 18"
"113",113,"alpha4-split1","24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,72,75,"15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 16, 22, 28, 49, 100"
"114",114,"alpha4-split10","3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",10,63,84,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"115",115,"alpha4-split12","3, 4, 5, 6, 7, 8, 9, 10, 11, 12",12,75,100,"3, 5, 6, 7, 8, 9, 10, 11, 4, 12"
"116",116,"alpha4-split14","6, 7, 8, 9, 10, 11",14,174,203,"4, 6, 7, 8, 9, 10, 5, 11"
"117",117,"alpha4-split16","4, 5, 6, 7, 8, 9, 10",16,132,165,"3, 4, 5, 6, 7, 8, 9, 10"
"118",118,"alpha4-split18","4, 5, 6, 7, 8, 9",18,148,185,"3, 4, 5, 6, 7, 8, 9"
