"
Dataset","Standard_Bag_mean
","Standard_Bag_std
","Standard_Bag_n_ensemble
","Grouped_Bag_mean
","Grouped_Bag_std
","Grouped_n_ensemble
","Incre_Bag_mean
","Incre_Bag_std
","Incremental_n_ensemble
","CDB_Host_mean
","CDB_Host_std
","CDB_Host_n_ensemble
","CDB_kDN_mean
","CDB_kDN_std
","CDB_kDN_n_ensemble
","CDB_CLD_mean
","CDB_CLD_std
","CDB_CLD_n_ensemble
","CDB_LSC_mean
","CDB_LSC_std
","CDB_LSC_n_ensemble
","CDB_N1_mean
","CDB_N1_std
","CDB_N1_n_ensemble
","CDB_N2_mean
","CDB_N2_std
","CDB_N2_n_ensemble
","CDB_DCP_mean
","CDB_DCP_std
","CDB_DCP_n_ensemble
","CDB_TD_U_mean
","CDB_TD_U_std
","CDB_TD_U_n_ensemble
","CDB_F1_mean
","CDB_F1_std
","CDB_F1_n_ensemble
"
WineQualityRed_5vs6,0.8059275965764515,0.0332638898272222,82.0,0.8006650474207726,0.0434165305305263,240,0.8006419153365718,0.0371304284645995,260,0.813497571131159,0.033710973072946,51,0.8142493638676844,0.0260876574307175,135,0.8157992135091371,0.0303641563506603,144,0.8157702984038862,0.0307231280664857,144,0.8112306268794818,0.0373071827178915,84,0.8089463335646542,0.0304663571927573,53,0.8119939856581079,0.0255892854820568,80,0.8134860050890586,0.0337847435612527,188,0.8112248438584316,0.0331761327091745,233
Yeast_CYTvsNUC,0.6927590511860175,0.0557021045560598,189.0,0.6962297128589263,0.0424681839577585,105,0.6950936329588016,0.0430471726709588,120,0.7062297128589263,0.0416169142121381,86,0.7062421972534332,0.044789465371751,89,0.7096004993757803,0.0524937556480748,214,0.7006491885143571,0.0387495530553002,49,0.7029088639200999,0.0561222266550396,59,0.7051310861423221,0.0448069172283509,242,0.6983645443196005,0.0542143669809674,143,0.7040199750312109,0.0611782548900848,115,0.6995255930087391,0.041132698176267,219
arrhythmia_cfs,0.8584541062801933,0.0564062387983508,108.0,0.8608695652173912,0.0489697192571548,290,0.8652173913043478,0.0498461879428741,255,0.8696135265700484,0.0455886973603828,146,0.8629468599033817,0.0602951752129194,57,0.8651207729468599,0.0502641470284235,57,0.8695652173913043,0.0479617133849442,64,0.8672946859903382,0.0442761229541919,77,0.8717391304347826,0.0497140075295328,186,0.8628985507246376,0.0426489768613834,51,0.8629468599033816,0.042294403197227,38,0.8695169082125604,0.0494531487966659,269
bands,0.7533783783783784,0.0814611653304353,30.0,0.766966966966967,0.0565080359160363,260,0.7668918918918919,0.0518667415363286,105,0.7668168168168168,0.0549277352084916,51,0.7642642642642643,0.0437043273187512,149,0.7642642642642643,0.0459234779026974,101,0.7555555555555555,0.0638213699426411,41,0.7641891891891892,0.0404097204651385,254,0.7614114114114114,0.0461680175034032,143,0.7641891891891892,0.0512365004931698,94,0.7587837837837837,0.0321141379207184,254,0.7697447447447447,0.0525228120241106,114
banknote_authentication,0.9890616735427906,0.0104692379924729,212.0,0.9927165979054268,0.0083980275338154,80,0.9927165979054268,0.0083980275338154,30,0.994890510948905,0.0077324810618348,8,0.9919813815719876,0.0116440536927685,35,0.994890510948905,0.0077324810618348,28,0.9934359462604464,0.0087383499199275,209,0.9912514545646884,0.0102090906625675,50,0.991970802919708,0.011643295488083,24,0.9941658732677456,0.0075375341060062,17,0.9941658732677456,0.0089718520198006,25,0.994895800275045,0.0069228570832435,103
bodyfat,0.996,0.0126491106406735,0.0,0.9961538461538462,0.0121626063852629,5,0.9961538461538462,0.0121626063852629,5,0.996,0.0126491106406735,20,0.996,0.0126491106406735,20,0.996,0.0126491106406735,20,0.996,0.0126491106406735,20,0.996,0.0126491106406735,20,0.996,0.0126491106406735,20,0.996,0.0126491106406735,20,0.996,0.0126491106406735,20,0.996,0.0126491106406735,20
breast-w,0.9599792960662528,0.0130826910651949,15.0,0.9599378881987578,0.0162318048335414,75,0.9613664596273293,0.0202746383130505,25,0.9656935817805384,0.0137680899972254,33,0.9671221532091098,0.0165386291966072,44,0.9671221532091098,0.0178571478580923,129,0.9699792960662524,0.0141808092496101,35,0.9714285714285716,0.0178174161274949,28,0.9714285714285716,0.0178174161274949,24,0.9699585921325052,0.0105355020610511,64,0.965672877846791,0.0192710512970178,12,0.9685507246376812,0.0147276148806601,71
breastcancer,1.0,0.0,0.0,1.0,0.0,5,1.0,0.0,5,1.0,0.0,12,1.0,0.0,12,1.0,0.0,12,1.0,0.0,12,1.0,0.0,12,1.0,0.0,12,1.0,0.0,12,1.0,0.0,12,1.0,0.0,12
bupa,0.7453781512605042,0.0757328902053247,37.0,0.7361344537815127,0.0543734926993879,200,0.7304201680672269,0.0532431032986113,35,0.76,0.0710184303331099,54,0.7511764705882353,0.0754811789462429,215,0.76,0.0735284246965893,89,0.7598319327731092,0.0792502272168059,174,0.7482352941176471,0.0757548511963176,79,0.7596638655462185,0.064204955895359,57,0.742436974789916,0.0851773243324541,49,0.7480672268907563,0.0734180028336344,89,0.7484873949579832,0.0806217259190977,29
chatfield_4,0.9065217391304348,0.0515956390362645,16.0,0.9103260869565216,0.0749534558836635,150,0.9061594202898552,0.0731240050837573,80,0.9148550724637682,0.0595350605983876,20,0.915036231884058,0.0591013617114558,219,0.9108695652173914,0.0604275222800171,41,0.915036231884058,0.0658265188695111,62,0.9233695652173914,0.0627266945268056,29,0.9108695652173912,0.0640768492522527,116,0.9233695652173914,0.0592837110098069,94,0.9193840579710144,0.0608032117639073,80,0.9192028985507246,0.0574097223167046,33
contraceptive_LS,0.6183613445378151,0.0583952981437437,22.0,0.6268067226890757,0.0424022778656451,40,0.6409943977591037,0.0595924450045641,15,0.6373529411764707,0.0677072992642509,24,0.6385854341736694,0.0662989125100808,17,0.6338235294117647,0.0695973138728595,16,0.6420728291316526,0.0534774496116259,12,0.6468767507002802,0.0530092689885832,41,0.6385574229691876,0.0704012168522436,119,0.6374089635854341,0.0644991885355564,179,0.6349579831932772,0.0655455933530698,17,0.6386134453781513,0.0619611054680781,50
contraceptive_NL,0.7401524914089347,0.0278795847433222,291.0,0.7443298969072165,0.0574556551312827,115,0.7463810137457044,0.0438190549472598,270,0.7515571305841925,0.0270873294659869,54,0.750536941580756,0.0322784024000216,80,0.7567332474226804,0.0366333239598294,26,0.7484213917525773,0.0374552852727962,69,0.7505584192439863,0.0318101038641603,14,0.7525665807560138,0.029642696295911,98,0.7526095360824743,0.0252744865481772,246,0.7484106529209622,0.036882143316171,49,0.7463810137457044,0.0356378607750286,49
contraceptive_NS,0.6578947368421053,0.0575956596596263,5.0,0.6614035087719298,0.0470024123916026,110,0.6789473684210526,0.0320838987703981,80,0.6701754385964913,0.0506785123819725,94,0.6684210526315789,0.0337969199457307,16,0.6701754385964912,0.0370319068982165,94,0.6657894736842105,0.0422613254639701,16,0.6701754385964913,0.0523383645269343,33,0.6649122807017543,0.044880897904912,44,0.6728070175438596,0.0526397004780003,14,0.6666666666666667,0.0614730878410194,17,0.6710526315789473,0.060101768395013,33
credit-g,0.765,0.0359783885748715,229.0,0.776,0.0189736659610102,180,0.776,0.0222111083319435,175,0.7769999999999999,0.0478539444560216,74,0.7769999999999999,0.0374314187696794,125,0.784,0.0362705880232945,219,0.768,0.0413118223595458,116,0.778,0.0335989417822777,124,0.777,0.0266874918683307,62,0.782,0.0393841479673118,274,0.778,0.0393841479673118,264,0.773,0.0419126074906664,230
diabetes,0.7681476418318524,0.0514680272622952,42.0,0.7708133971291866,0.0403969661082808,130,0.7721975393028024,0.0422529636838511,70,0.7759398496240602,0.0561074062501777,169,0.7759569377990431,0.0472513668128133,101,0.779853041695147,0.0559005981266712,249,0.7772385509227615,0.0507413751061463,104,0.7759227614490773,0.0521064537896027,20,0.7798530416951469,0.0527220001761163,50,0.7694805194805194,0.0522012592051668,64,0.7786226930963773,0.0496644842612201,124,0.7785030758714969,0.059018740205369,83
diabetic_retinopathy,0.6915517241379311,0.0478037058909089,177.0,0.7011319340329835,0.0278200272303322,40,0.7011094452773613,0.0306469660596641,270,0.7132383808095952,0.0517846302647452,84,0.7011244377811094,0.0555064367010135,84,0.7028635682158921,0.0425795582171461,204,0.7045877061469266,0.0556923117764077,204,0.6985157421289355,0.0367313588093585,49,0.6993928035982009,0.0551670091879877,203,0.6950374812593704,0.040332804368256,62,0.6959220389805097,0.0425471302104651,74,0.6984932533733132,0.0439722528430162,25
fri_c0_250_50,0.776,0.0735149266778145,9.0,0.8160000000000001,0.0658618081878851,50,0.82,0.0603692342542494,195,0.82,0.0603692342542494,99,0.8,0.077746025264604,33,0.812,0.094375137968994,152,0.808,0.072541176046589,149,0.804,0.0852708104283705,49,0.828,0.0731512891965077,84,0.788,0.0924722180501317,24,0.8119999999999999,0.0626808494588968,260,0.792,0.070047602861673,318
glass0,0.8926406926406927,0.0311868634706976,39.0,0.8735930735930737,0.0594894736772096,95,0.8783549783549784,0.0559691134526909,80,0.9017316017316016,0.0681976588178559,24,0.8880952380952382,0.0590578200315057,14,0.8924242424242423,0.0629820953502636,169,0.8926406926406927,0.0587143793218767,184,0.8880952380952382,0.0670495088609438,50,0.8926406926406927,0.0694606997335384,84,0.8928571428571429,0.0581983251796107,44,0.8926406926406927,0.0583318943299151,74,0.8928571428571429,0.0652728906684946,28
glass1,0.8406926406926407,0.0947569726756757,21.0,0.8227272727272726,0.0417779446456688,10,0.8316017316017316,0.0644748805164947,30,0.8406926406926407,0.1028597907550006,74,0.8413419913419913,0.1056797847468835,28,0.8454545454545455,0.1158056981815059,62,0.8456709956709958,0.115449359298009,298,0.827056277056277,0.1125284408508015,38,0.8409090909090908,0.1095980732544523,34,0.8502164502164502,0.0849154549146488,28,0.8316017316017316,0.114032726824419,224,0.8365800865800865,0.1174396190250098,54
hill_valley_without_noise_traintest,0.6442758433816556,0.0618576106283346,297.0,0.6352933206882536,0.0193800364665615,30,0.6287359436390733,0.0287773773564519,50,0.6541728763040238,0.0672561642089626,285,0.6476154992548435,0.0679629706184222,142,0.6632705595447772,0.0600406080359825,186,0.6500745156482861,0.0604845239704185,79,0.65584609131554,0.0614532779994737,314,0.6492548435171386,0.0481597118431769,125,0.6500745156482861,0.055368666606298,24,0.6484013006367702,0.0683443351476959,272,0.6459355100934833,0.0547817814184553,272
