n_cycle,n_ensemble,alpha,split,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std
73,218,2,1,0.8131823024868324,0.7965838456586181,0.11376873790372369
52,259,2,2,0.813507306805576,0.7971990669130373,0.11421785678620035
33,296,2,4,0.8132290870469656,0.7956557056175376,0.1142872234538038
24,311,2,6,0.8132223576885315,0.7948363978521249,0.11430944378124515
13,220,2,8,0.8128244750036595,0.7948393338474273,0.11475242695956606
12,251,2,10,0.8129444349037606,0.794067723887001,0.11430327223820527
12,299,2,12,0.8132312589029609,0.7943019943019942,0.11463054424719622
9,260,2,14,0.8130681462223333,0.7948723415521908,0.11466847591037918
10,329,2,16,0.8131306351571389,0.795252495596007,0.11449199234970893
9,332,2,18,0.8130643476631011,0.7939441290968008,0.11421707717358455
8,327,2,20,0.8128158327860389,0.7933333333333333,0.11439142802655841
7,314,2,22,0.8129155851821567,0.7956371109806224,0.11441217985625887
6,293,2,24,0.8131567156196938,0.793528087688393,0.11414062312481905
6,317,2,26,0.8126584516819441,0.7942516474195864,0.11445058945739449
4,227,2,28,0.8130518425057043,0.7941595441595442,0.1144015858255552
5,304,2,30,0.8127927434467623,0.7927710843373494,0.11440362781688711
74,221,4,1,0.8130823268732965,0.7975554280325272,0.11406163936851864
59,294,4,2,0.8133718219334405,0.7969812281743212,0.11425843544814222
34,305,4,4,0.8132580856891534,0.7967762771579565,0.114330422728941
23,298,4,6,0.8136040254176546,0.794516450470649,0.1143130718012513
17,288,4,8,0.8134267815407639,0.7942428394336791,0.11383304097133705
15,314,4,10,0.8127088461263196,0.7939759036144578,0.1144050354879737
11,274,4,12,0.8132804995104947,0.7951807228915663,0.11435492155719013
9,260,4,14,0.813110024337924,0.7937736660929432,0.11449201438426546
9,296,4,16,0.813265955633083,0.7952466236054023,0.1146836329379897
8,295,4,18,0.8130698468396091,0.794701615884822,0.11483582440449285
8,327,4,20,0.8139024517422699,0.7948363978521249,0.11387983944090463
7,314,4,22,0.813228871440864,0.7943228724908113,0.11397158027712104
7,342,4,24,0.8132145457013304,0.7937228420434528,0.11436061989361918
6,317,4,26,0.8130143018812076,0.7943940975620365,0.1148671289290198
6,341,4,28,0.8131875327005624,0.79373165002936,0.1144610758949281
5,304,4,30,0.8131225193501344,0.7945135589601239,0.11483506855790455
85,254,6,1,0.812356330291629,0.796978336663796,0.11416001655932201
52,259,6,2,0.8133844887677679,0.7955997566307509,0.11389555638334997
33,296,6,4,0.8134666764777917,0.795593884640146,0.11437784040780455
21,272,6,6,0.8130335758747491,0.7961992302740026,0.11461814015958846
16,271,6,8,0.8133264583446866,0.7942545834148889,0.11420616470558431
15,314,6,10,0.8132663198314141,0.7975708706817877,0.11470293757834206
12,299,6,12,0.813699861400555,0.7940658738851509,0.11414445046156267
9,260,6,14,0.8130711967330404,0.7939252737445508,0.11500320970036934
10,329,6,16,0.8131281438620673,0.7960129183793305,0.11444136672814682
8,295,6,18,0.8135819312679143,0.7960152671755725,0.11415585487457172
6,245,6,20,0.8129993060772838,0.7942612573820611,0.11425232393817145
7,314,6,22,0.8129721472980462,0.7934523809523809,0.11468745700651747
7,342,6,24,0.8126514019107322,0.7933228641059966,0.11469655620967274
4,211,6,26,0.8132482385324976,0.7938493728289553,0.11470795198356297
5,284,6,28,0.813164705581569,0.7944891368173812,0.11445888690719423
4,243,6,30,0.8132884788383734,0.7943170005002066,0.11390779541518083
89,266,8,1,0.8124527645882562,0.7979436071420805,0.11374717409555365
59,294,8,2,0.8132480408789216,0.7964004697592484,0.11422818147266482
34,305,8,4,0.8133312695402891,0.797558275058275,0.11438337368048737
24,311,8,6,0.8128888377968746,0.7969625890526286,0.1147052050996891
