instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_Usefulness,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.5279162433012218,0.5279162433012218,0.4630738522954092,1.0,0.0,1.0,0.9888319593654332,1.0,0.5616523285484247,0.8,0.34375,1.0,0.7,0.656863069693057,0.6908087107919818,0.7483321523355232,0.7637875158638803,0.8124698047552736,0.7482668843706832,0.7872030371175534
2,0.10292572880014728,0.10292572880014728,0.09977064220183485,1.0,0.0003333333333333333,1.0,0.9959009327452468,0.5,0.6489816121813501,0.8,0.59375,0.999,0.1,0.33356539232601196,0.12467801324909358,0.08398013234335251,0.11117618989810674,0.13297479034983486,0.14138313858743456,0.029747590293987304
3,0.11503616561127095,0.11503616561127095,0.2016806722689075,1.0,0.0,0.9966655551850617,0.9495382421287146,0.0,0.20924531159727922,0.8,0.21875,0.9963333333333333,0.0,0.22521012523648298,0.13706506525160347,0.10089266108681105,0.12819119461671602,0.19415893644618692,0.1111967523956395,0.18640606641005378
4,0.5221306817067176,0.5221306817067176,0.4630738522954092,1.0,0.0006666666666666666,0.9996665555185061,0.9959206715831301,0.5,0.3194340070148346,0.8,0.28125,0.9993333333333333,0.4,0.33389197002470133,0.6764402524331133,0.7133593130016327,0.7112990534854483,0.7167516946953986,0.7099447463039377,0.8425341119634309
5,0.259812301792131,0.259812301792131,0.2767857142857143,1.0,0.0006666666666666666,1.0,0.9960491586494753,0.6666666666666666,0.5010873178404729,1.0,0.625,0.9996666666666667,0.3,0.6435599877352863,0.27509186893952664,0.3559853454085625,0.29952632639442645,0.29484003784517776,0.35521328887224485,0.21034289556526892
6,0.1788034700890695,0.1788034700890695,0.2016806722689075,1.0,0.0003333333333333333,0.9996665555185061,0.987677235996194,0.5,0.3392355976858539,0.8,0.34375,0.9993333333333333,0.2,0.17045419042199675,0.13753314750411652,0.20375823269967988,0.18071710785114053,0.2617895015357136,0.20400629537482767,0.2494722614202146
7,0.15116654885993874,0.15116654885993874,0.09977064220183485,1.0,0.0,0.9973324441480493,0.9866213307343823,0.0,0.2963806649799474,0.8,0.4375,0.9983333333333333,0.1,0.22275467559110995,0.1645054655369715,0.17578911080462903,0.16214065020698448,0.15464210331799574,0.17584546018525077,0.12152139050553126
8,0.26645851319204517,0.26645851319204517,0.2016806722689075,1.0,0.0,0.9996665555185061,0.9889269016401513,0.0,0.4835284746953239,0.8,0.3125,0.9996666666666667,0.3,0.5588858968031531,0.3949034896937873,0.36082644629348887,0.31121852898232755,0.4480220328973248,0.3527826708414387,0.2711563815268686
9,0.12828386682039783,0.12828386682039783,0.09977064220183485,1.0,0.0,0.9929976658886296,0.9714538629136231,0.0,0.12667696771015946,0.8,0.5,0.9976666666666667,0.0,0.21781326618249053,0.13709856571852588,0.1307355234346264,0.1423105943541442,0.13314464701450823,0.1590676214322701,0.16210205750264273
10,0.38439187558685717,0.38439187558685717,0.524793388429752,1.0,0.0,1.0,0.9935521163538199,1.0,0.5549928720332669,1.0,0.71875,1.0,0.3,0.8659369709897163,0.5662964932626651,0.5348741259218766,0.48743491375014664,0.6550119903990546,0.5341890602075426,0.41365673768781175
11,0.2360989094782564,0.2360989094782564,0.23684210526315785,1.0,0.0,0.9983327775925308,0.9756794434974477,0.0,0.13356188588666307,0.8,0.46875,0.9993333333333333,0.1,0.21781326618249053,0.22748005332668395,0.3086685834272915,0.254147469345893,0.2636096921976435,0.38656329472676104,0.21581831746838354
12,0.6251126232827908,0.6251126232827908,0.633587786259542,1.0,0.0003333333333333333,1.0,0.9975482128235238,1.0,0.6319448957453389,0.8,0.65625,1.0,0.4,1.2657979228964271,1.0292830180873123,0.9299549254544643,0.999954287715894,1.3728248246674608,0.929932710474273,1.1759289115195382
13,0.29966331652063694,0.29966331652063694,0.4630738522954092,1.0,0.0,1.0,0.992214243668881,0.5,0.503236790684054,0.8,0.5625,1.0,0.5,0.7084553570683635,0.43611957862526457,0.40395600982126373,0.3517565798504058,0.46046084934687115,0.4040453454733205,0.2934805396265803
14,0.12809817383562194,0.12809817383562194,0.09977064220183485,1.0,0.0,0.9989996665555185,0.9886353915498,0.0,0.18587022680592635,0.8,0.5,0.998,0.1,0.16386394251434364,0.10364480388965047,0.12939912228341027,0.13327517315835655,0.11444029959421483,0.1295039197829163,0.15348857432646035
15,0.28978015671572366,0.28978015671572366,0.2068965517241379,1.0,0.0,0.9993331110370124,0.9883969684291506,0.0,0.2456860764145482,0.8,0.96875,0.999,0.3,0.4137069776664445,0.3255526205213792,0.3901271466033673,0.3228934568250022,0.24686087279111757,0.4412320726470309,0.26087309271025627
16,0.12326769194599363,0.12326769194599363,0.09977064220183485,1.0,0.0,0.9929976658886296,0.9699974699458281,0.0,0.09752605819728966,0.8,0.375,0.9956666666666667,0.0,0.17045419042199675,0.10974354236562492,0.12426794940101321,0.1314038803351222,0.1357948459296278,0.12426042617302666,0.08921587052317653
17,0.10456235304960926,0.10456235304960926,0.09977064220183485,1.0,0.0003333333333333333,1.0,0.9970016127638841,0.5,0.7298730289156319,0.8,0.65625,0.9983333333333333,0.1,0.30672620387437605,0.11051672679157906,0.08831220815977953,0.11332016672608414,0.1346026242271029,0.150186636295065,0.03177784823529409
18,0.1504050237877692,0.1504050237877692,0.09977064220183485,1.0,0.0003333333333333333,0.9993331110370124,0.992363942703834,0.3333333333333333,0.31567401104590675,0.8,0.46875,0.9966666666666667,0.2,0.3477117609877846,0.20172744279909324,0.18284243852988305,0.16775839565444686,0.1812069528030677,0.2615519766568365,0.09342592422039292
19,0.13296201797618223,0.13296201797618223,0.2068965517241379,1.0,0.0003333333333333333,1.0,0.9954510009735714,0.5,0.5482306418789532,0.8,0.53125,0.9993333333333333,0.2,0.4268532751653455,0.1738700688155857,0.14168699010636066,0.14035042929678393,0.17541219665605146,0.14182925481343533,0.15986266104980684
