Row,z_1,z_2
0,-1.5616525333483326,3.776293584125747
1,-1.4792078441457315,3.800237952208239
2,-1.7143685310284544,1.9857761222967194
3,,
4,-2.838699869833396,3.259266415600793
5,-2.4614092510993415,2.646516714079865
6,-3.2429211704274,2.5373721953387256
7,,
8,-2.0371511365754698,3.5837825554110547
9,-1.9967083423847278,3.6001562815606496
10,-2.2089089043250407,2.328617998931066
11,,
12,-2.4827944584451953,3.4033587776108223
13,-2.3548032608762792,3.4551774726462896
14,-2.4614092510993415,2.646516714079865
15,,
16,-2.4614092510993415,2.646516714079865
17,-2.3216960094568475,3.468581320702655
18,-2.272778239552924,3.488386237357972
19,,
20,-2.4614092510993415,2.646516714079865
21,-2.226717451252402,3.5070344724504894
22,-2.15333188826734,3.536745453991086
23,,
24,-1.2894686516765632,3.8581678580741428
25,-0.4549468155921795,3.472402969337728
26,-0.2426073407022702,2.788743910514792
27,-1.4792078441457315,3.800237952208239
