Row,z_1,z_2
0,-2.0960593722903362,2.909453762747365
1,-2.3066402589666266,2.961447324752676
2,-2.2523594787848378,3.4966530053649976
3,-2.226717451252402,3.5070344724504894
4,-2.15333188826734,3.536745453991086
5,,
6,-2.3066402589666266,2.961447324752676
7,-2.4827944584451953,3.4033587776108223
8,-2.3548032608762792,3.4551774726462896
9,,
10,-2.3432575813616188,3.459851872582467
11,-2.3368755775346273,3.462435699566725
12,-2.3066402589666266,2.961447324752676
13,,
14,-2.3066402589666266,2.961447324752676
15,-2.3216960094568475,3.468581320702655
16,-2.272778239552924,3.488386237357972
17,,
18,-2.136053585519196,3.5437407717773306
19,-2.0876725399551135,3.5633283894666823
20,-2.0405576554417855,3.5824033874243564
21,-1.8516085118906895,2.8756961659520117
22,-2.0960593722903362,2.909453762747365
23,,
24,-1.8516085118906895,2.8756961659520117
25,-2.015981045231506,3.592353508164545
26,-1.6299904471405837,2.977495250575218
27,,
28,-1.9967083423847278,3.6001562815606496
29,-1.9740834716404259,3.6093162183343064
30,-1.8553700483381221,3.6573787007203005
31,-1.833123193790717,3.66638559332844
32,-1.8213899488381882,3.671135931269798
33,-1.5036375184022763,3.020400708283727
34,-1.6299904471405837,2.977495250575218
35,,
36,-1.5036375184022763,3.020400708283727
37,-1.808479321827817,3.6763629457557503
38,-1.7786950596779652,3.6884214437346334
39,-1.7615682702649165,3.6953554196203857
40,,
41,-1.6771916655587429,3.7295162496653043
42,-1.596954411664196,3.7620012163584717
43,-1.1905362560201416,3.3916574002429907
44,-1.329636636753591,3.129194204036954
45,-1.5036375184022763,3.020400708283727
46,-1.7370996465715858,3.7052618207884787
47,,
48,-1.2523803201778145,3.7758315865906
49,-1.1759044930498979,3.441126330950888
50,-1.5616525333483326,3.776293584125747
51,-1.4425065333750988,3.8245312001069895
52,,
53,-1.2894686516765632,3.8581678580741428
54,-1.2523803201778145,3.7758315865906
55,-1.383585000434015,3.848386254239538
56,,
57,-0.07847753190154916,-2.4765671581540887
58,-0.5285171850881851,-1.8667715957786974
59,-0.5396775654166849,-1.778196443624277
60,-0.7687747208225157,-1.379963634949121
61,-0.9692603375526414,-0.9737200850998017
62,-1.0496222118173548,-0.9175205448895588
63,-1.1536632114785597,-0.6588526870322222
64,-1.3034154098427742,-0.0919858619600693
65,-1.500299347526824,0.5197276338228475
66,-1.5252835803363616,0.6462429058319769
67,-1.6603317962888844,1.4873554336064574
68,-1.7461826171029453,1.94357991417708
69,-1.7003724916642948,2.0905633111628594
70,-1.508538302348501,2.4317650412266176
71,-1.4051109944190845,2.5972109303036657
72,-1.3009549395364892,2.7938115230481415
73,-1.0565357592605087,2.85797545564395
74,-0.7794409376481828,2.760355881006032
75,-0.4943761318981876,2.6365063340012447
76,-0.2019725096453351,2.5123415679688272
77,0.05117654011571464,2.2905796230971087
78,0.5227112821658466,1.8608130204955324
79,0.6267256176500524,1.6881700081475186
80,1.1033608880567656,1.4795071445661405
81,1.1392433453350634,1.3491548725557867
82,1.3010449976338396,1.109907496711367
83,1.7730540559834453,0.9908260726687304
84,1.9817212721191215,0.7415299658196975
85,1.8718662661193601,0.2298066774563784
86,1.9676047651970885,-0.0073117126648466
87,2.067954588087567,-0.34853458276460897
88,2.205991820267016,-0.8022459662874721
89,2.281427207313408,-1.0865280344278967
90,2.098631285423594,-1.4866680856422285
91,2.04898278703084,-1.58692663943643
92,1.9167754274090558,-2.078520457277973
93,1.707995574292321,-2.321084774058726
94,1.4616582841421568,-2.4319902892341947
95,1.296326871071089,-2.6946839406671628
96,0.8095258231973449,-2.6886356015560255
97,0.3710164216915967,-2.6329375228781995
98,0.12416588859304456,-2.532082860143763
