instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_Usefulness,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.06025185513916409,0.06025185513916409,0.0,0.5,0.0,0.7669223074358119,0.7837208360314933,0.0,0.009726307656718558,0.8571428571428571,0.6,0.792,0.0,0.0012275118714486007,0.0004829032611038057,0.02589747657216672,0.001216733938937655,0.0005747367065654039,0.025124376342075486,9.917764392441777e-10
2,0.07099849862716057,0.07099849862716057,0.0024554941682013443,1.0,0.0,0.7459153051017006,0.7927357805358821,0.0,0.011003530392569516,0.5714285714285714,0.9,0.7926666666666666,0.0,0.0021783063598122166,5.585918894596586e-05,0.061179390849361956,0.0019048718650849976,0.0015185816096767672,0.06979843187956103,6.01665606406766e-10
3,0.10657805677078058,0.10657805677078058,0.0,1.0,0.0,0.7455818606202067,0.765570460819116,0.0,0.011079843050075922,1.0,0.7,0.8203333333333334,0.0,0.0020638722777839577,7.200513898385306e-05,0.14506585341518838,0.002069394398114128,0.001207114739746939,0.16215667907128217,2.6416997216051053e-06
4,0.05875601329306279,0.05875601329306279,0.0024554941682013443,0.0,0.0,0.764921640546849,0.8379899046694115,0.0,0.03523165328864697,0.5714285714285714,0.5,0.7446666666666666,0.0,0.001824958571646785,0.0005539434122673166,0.004777943250174228,0.0015307759967122486,0.0012109971966647664,0.005250581724077698,0.00013342200122856527
5,0.059317349640585326,0.059317349640585326,0.0024554941682013443,0.5,0.0,0.8422807602534178,0.8857067762721357,0.0,0.02976061662409335,0.5714285714285714,0.5,0.6910000000000001,0.0,0.001824958571646785,0.002018885091303456,0.010101049838490334,0.0015306625875238372,0.0013056590858453285,0.010852829318157021,0.0004906990958718071
6,0.061754737485977595,0.061754737485977595,0.0,0.5,0.0,0.8166055351783927,0.8114556607762589,0.0,0.030376705607095378,0.7142857142857143,0.5,0.772,0.0,0.0013266328506128186,0.0010417675258716755,0.040471150327075406,0.0015734691081773148,0.001139725578371272,0.0388699473208394,5.647490557852444e-07
7,0.21346462441416725,0.21346462441416725,0.0,1.0,0.0,0.77459153051017,0.7849854622119419,0.0,0.024993509498704936,0.5714285714285714,0.4,0.7876666666666666,0.0,0.0013266328506128186,0.0004995803085986013,0.3211153793621121,0.0015734705818687674,0.0015412303910867175,0.3434305527773411,0.00020145402182498155
8,0.06239172881227939,0.06239172881227939,0.0,0.5,0.0,0.8019339779926642,0.7994116576527326,0.0,0.008942368612139706,0.7142857142857143,0.5,0.7733333333333333,0.0,0.0021783063598122166,0.002404526437953053,0.04612316098639298,0.0019048718650849976,0.0016731596560744376,0.04434518464011378,9.847678228425623e-14
9,0.8064069894718403,0.8064069894718403,0.0,1.0,0.0,0.9363121040346782,0.8561970972230454,0.0,0.0658546172641502,0.7142857142857143,0.5,0.9076666666666666,0.0,0.0020638722777839577,0.005108337275410664,1.1926523440185517,0.002069394398114128,0.0058141929764848775,1.190995722120834,0.02172633260121978
10,0.8894993375433868,0.8894993375433868,0.0,1.0,0.0,0.8686228742914305,0.8089619253920226,0.0,0.02806382896932147,0.7142857142857143,0.5,0.8683333333333334,0.0,0.001824958571646785,0.0038527078857513303,1.6066793946789,0.0015306626092637247,0.002050743110319669,1.6087682353524932,2.2537598975566687e-05
