Row,z_1,z_2
0,-2.055013240442269,2.930200054176782
1,-2.3066402589666266,2.961447324752676
2,-2.272778239552924,3.488386237357972
3,-2.0026700137975317,2.968267834293888
4,,
5,-2.3066402589666266,2.961447324752676
6,-2.4827944584451953,3.4033587776108223
7,-2.3548032608762792,3.4551774726462896
8,,
9,-2.3066402589666266,2.961447324752676
10,-2.3432575813616188,3.459851872582467
11,-2.3368755775346273,3.462435699566725
12,,
13,-2.3216960094568475,3.468581320702655
14,-2.279651113568421,3.4856036759835116
15,-2.3066402589666266,2.961447324752676
16,,
17,-2.0026700137975317,2.968267834293888
18,-2.2523594787848378,3.4966530053649976
19,-2.226717451252402,3.5070344724504894
20,-2.136053585519196,3.5437407717773306
21,-2.0405576554417855,3.5824033874243564
22,-2.0371511365754698,3.5837825554110547
23,,
24,-1.9012823977477082,3.6387905628045187
25,-1.8553700483381221,3.6573787007203005
26,-1.833123193790717,3.66638559332844
27,-1.5036375184022763,3.020400708283727
28,-1.8020743361545346,2.9892236423463996
29,-1.6299904471405837,2.977495250575218
30,-1.6452041669968624,2.7810608339223664
31,-1.7549890548423297,2.5589306542725225
32,-1.8070964053076732,2.5154299367435837
33,-2.0490559233991306,2.8251870106655534
34,-1.853804769898307,2.983819472861068
35,-2.0026700137975317,2.968267834293888
36,-1.9740834716404259,3.6093162183343064
37,-1.9520296884396147,3.618244943807367
38,,
39,-1.7786950596779652,3.6884214437346334
40,-1.7615682702649165,3.6953554196203857
41,-1.5036375184022763,3.020400708283727
42,-1.808479321827817,3.6763629457557503
43,,
44,-1.5619920404912444,3.776156130789618
45,-1.2255877461090647,3.499445370430717
46,-1.329636636753591,3.129194204036954
47,-1.5036375184022763,3.020400708283727
48,-1.7370996465715858,3.7052618207884787
49,-1.6771916655587429,3.7295162496653043
50,-1.596954411664196,3.7620012163584717
51,,
52,-1.2255877461090647,3.499445370430717
53,-1.5616525333483326,3.776293584125747
54,-1.2938247795530724,3.7824927329639513
55,,
56,-1.383585000434015,3.848386254239538
57,-1.2894686516765632,3.8581678580741428
58,-1.2938247795530724,3.7824927329639513
59,,
60,-2.0940362898459517,2.793533486267679
61,-2.0490559233991306,2.8251870106655534
62,-1.8727166902893093,2.4731024109350703
63,-2.1060871257639655,2.526665558166597
64,-2.3074311957632045,2.6789249886273194
65,,
66,-0.5285171850881851,-1.8667715957786974
67,-0.5396775654166849,-1.778196443624277
68,-0.7687747208225157,-1.379963634949121
69,-0.9692603375526414,-0.9737200850998017
70,-1.0496222118173548,-0.9175205448895588
71,-1.1536632114785597,-0.6588526870322222
72,-1.3034154098427742,-0.0919858619600693
73,-1.500299347526824,0.5197276338228475
74,-1.5252835803363616,0.6462429058319769
75,-1.6603317962888844,1.4873554336064574
76,-1.7461826171029453,1.94357991417708
77,-1.7003724916642948,2.0905633111628594
78,-1.508538302348501,2.4317650412266176
79,-1.4051109944190845,2.5972109303036657
80,-1.3009549395364892,2.7938115230481415
81,-1.0565357592605087,2.85797545564395
82,-0.7794409376481828,2.760355881006032
83,-0.4943761318981876,2.6365063340012447
84,-0.2019725096453351,2.5123415679688272
85,0.05117654011571464,2.2905796230971087
86,0.5227112821658466,1.8608130204955324
87,0.6267256176500524,1.6881700081475186
88,1.1033608880567656,1.4795071445661405
89,1.1392433453350634,1.3491548725557867
90,1.3010449976338396,1.109907496711367
91,1.7730540559834453,0.9908260726687304
92,1.9817212721191215,0.7415299658196975
93,1.8718662661193601,0.2298066774563784
94,1.9676047651970885,-0.0073117126648466
95,2.067954588087567,-0.34853458276460897
96,2.205991820267016,-0.8022459662874721
97,2.281427207313408,-1.0865280344278967
98,2.098631285423594,-1.4866680856422285
99,2.04898278703084,-1.58692663943643
100,1.9167754274090558,-2.078520457277973
101,1.707995574292321,-2.321084774058726
102,1.4616582841421568,-2.4319902892341947
103,1.296326871071089,-2.6946839406671628
104,0.8095258231973449,-2.6886356015560255
105,0.3710164216915967,-2.6329375228781995
106,0.12416588859304456,-2.532082860143763
107,-0.07847753190154916,-2.4765671581540887
