,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.9173886042539978,0.0260632841443441
500,50,CLD,0.9191274646793977,0.0313705426232718
1000,100,CLD,0.9226672876882472,0.0300164534999874
1500,150,CLD,0.9244216736531594,0.0281757852947346
1990,199,CLD,0.9208818506443098,0.0298751381628451
151,15,DCP,0.9244527247321844,0.022792184720549
501,50,DCP,0.9156342182890856,0.0337682447390376
1001,100,DCP,0.9156342182890856,0.0337682447390376
1501,150,DCP,0.91914299021891,0.0404241939982413
1991,199,DCP,0.9208973761838224,0.0328752153547972
152,15,F1,0.9156652693681104,0.0191066350006349
502,50,F1,0.9209284272628472,0.0214250757707184
1002,100,F1,0.9174196553330228,0.0180868703870055
1502,150,F1,0.9156342182890856,0.0202311690395971
1992,199,F1,0.9191585157584228,0.0209303908980912
153,15,Hostility,0.9103555348548362,0.0190995216109525
503,50,Hostility,0.9173730787144854,0.0282610986774866
1003,100,Hostility,0.915618692749573,0.0268513296956519
1503,150,Hostility,0.91914299021891,0.0294048963939197
1993,199,Hostility,0.9208973761838224,0.0304448070930041
154,15,LSC,0.9068467629250117,0.0147341378093146
504,50,LSC,0.9156342182890856,0.0182305635640186
1004,100,LSC,0.9138798323241734,0.0168968769729216
1504,150,LSC,0.9173886042539978,0.0202479911454005
1994,199,LSC,0.9191585157584228,0.0199901947645186
155,15,N1,0.915649743828598,0.0219777982147277
505,50,N1,0.91914299021891,0.0294048963939197
1005,100,N1,0.9244216736531594,0.0359726113936794
1505,150,N1,0.9209129017233348,0.0290948776158291
1995,199,N1,0.9244216736531594,0.033191292357531
156,15,N2,0.9191740412979352,0.0189329959939656
506,50,N2,0.9156342182890856,0.023731702560137
1006,100,N2,0.9156342182890856,0.0202311690395971
1506,150,N2,0.9156342182890856,0.0202311690395971
1996,199,N2,0.9138798323241734,0.0227232196217687
157,15,TD_U,0.9173886042539978,0.0211767448359687
507,50,TD_U,0.9191585157584228,0.0209303908980912
1007,100,TD_U,0.9209129017233348,0.0240249509576079
1507,150,TD_U,0.9209129017233348,0.0240249509576079
1997,199,TD_U,0.9226828132277596,0.0242979033538563
158,15,Uniform,0.9120478186616984,0.0354535561693963
508,50,Uniform,0.9279614966620088,0.03634120576627
1008,100,Uniform,0.924437199192672,0.0325623717737605
1508,150,Uniform,0.9209129017233348,0.0322316426140159
1998,199,Uniform,0.9208973761838224,0.0310702374524842
159,15,kDN,0.924437199192672,0.0348453951222633
509,50,kDN,0.924406148113647,0.0380983738199015
1009,100,kDN,0.91914299021891,0.022768125617308
1509,150,kDN,0.91914299021891,0.022768125617308
1999,199,kDN,0.91914299021891,0.022768125617308
