,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.7353252247488101,0.0558469493571206
500,50,CLD,0.7354309888947647,0.0339536267061381
1000,100,CLD,0.7419354838709677,0.0253833950290851
1500,150,CLD,0.7386567953463776,0.0294468162131389
1990,199,CLD,0.7353781068217875,0.030474025831173
151,15,DCP,0.7288736118455844,0.0197474009646994
501,50,DCP,0.7288736118455844,0.0197474009646994
1001,100,DCP,0.7288736118455844,0.0197474009646994
1501,150,DCP,0.7224219989423586,0.034173645980827
1991,199,DCP,0.7224219989423586,0.034173645980827
152,15,F1,0.7354309888947647,0.0339536267061381
502,50,F1,0.7485457429931254,0.0456879381840301
1002,100,F1,0.7582760444209413,0.0363381041285227
1502,150,F1,0.7451612903225806,0.0352481925924319
1992,199,F1,0.7549973558963512,0.0375293233806926
153,15,Hostility,0.7254891591750396,0.0071007845321466
503,50,Hostility,0.7451612903225806,0.0265508033582642
1003,100,Hostility,0.751718667371761,0.028243681001008
1503,150,Hostility,0.751718667371761,0.028243681001008
1993,199,Hostility,0.7484399788471708,0.0264116706310214
154,15,LSC,0.7288207297726071,0.0128417447993134
504,50,LSC,0.7517186673717611,0.0326565533625133
1004,100,LSC,0.7517186673717611,0.0326565533625133
1504,150,LSC,0.7549973558963512,0.0317069814372897
1994,199,LSC,0.7549973558963512,0.0317069814372897
155,15,N1,0.7484399788471708,0.0264116706310214
505,50,N1,0.7549973558963512,0.0317069814372897
1005,100,N1,0.7517186673717611,0.0326565533625133
1505,150,N1,0.7517186673717611,0.0326565533625133
1995,199,N1,0.7517186673717611,0.0326565533625133
156,15,N2,0.7418826017979905,0.0204130966607637
506,50,N2,0.7582760444209413,0.0363381041285227
1006,100,N2,0.7485457429931254,0.0410398617682831
1506,150,N2,0.7354309888947647,0.0339536267061381
1996,199,N2,0.7418826017979905,0.0261808990738222
157,15,TD_U,0.7484399788471708,0.0387790049977756
507,50,TD_U,0.7321523003701745,0.0363638759732203
1007,100,TD_U,0.7418826017979905,0.0308898759684406
1507,150,TD_U,0.7451612903225806,0.0265508033582642
1997,199,TD_U,0.7387096774193548,0.0350033787245257
158,15,Uniform,0.7517186673717611,0.0346528924916041
508,50,Uniform,0.7485457429931254,0.0410398617682831
1008,100,Uniform,0.7354309888947647,0.0358778656976103
1508,150,Uniform,0.7485457429931254,0.0410398617682831
1998,199,Uniform,0.7354309888947647,0.0339536267061381
159,15,kDN,0.7418826017979905,0.0308898759684406
509,50,kDN,0.7418826017979905,0.0308898759684406
1009,100,kDN,0.751718667371761,0.0365403261965553
1509,150,kDN,0.751718667371761,0.0365403261965553
1999,199,kDN,0.7549973558963512,0.0317069814372897
