,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.7435107376283847,0.0159018304565856
500,50,CLD,0.7434682964094729,0.0196455996804984
1000,100,CLD,0.7461081402257873,0.0108076211878724
1500,150,CLD,0.7461081402257873,0.0108076211878724
1990,199,CLD,0.7435107376283847,0.0102069852061833
151,15,DCP,0.727807486631016,0.0288738751068527
501,50,DCP,0.7304303539597657,0.0298416490766718
1001,100,DCP,0.7317545199898141,0.0335931644679479
1501,150,DCP,0.7265342500636618,0.028783949437683
1991,199,DCP,0.7265342500636618,0.028783949437683
152,15,F1,0.7252610134963076,0.0361479064497656
502,50,F1,0.7252355487649605,0.027772338349504
1002,100,F1,0.7304303539597657,0.0350406768237275
1502,150,F1,0.7304473304473305,0.0330504489781002
1992,199,F1,0.7317630082335965,0.0368315745059061
153,15,Hostility,0.7278329513623631,0.0310780212299167
503,50,Hostility,0.7291316526610644,0.0290854042392027
1003,100,Hostility,0.7369493251846193,0.0278735269920653
1503,150,Hostility,0.7343434343434343,0.0293242963721194
1993,199,Hostility,0.7317375435022494,0.0311184938631725
154,15,LSC,0.7265342500636619,0.0276634651726654
504,50,LSC,0.7278329513623631,0.0286053091319236
1004,100,LSC,0.7304303539597657,0.0298416490766718
1504,150,LSC,0.7304303539597657,0.0298416490766718
1994,199,LSC,0.7330277565571683,0.0320974972735799
155,15,N1,0.7304303539597657,0.0312226724156925
505,50,N1,0.7252355487649605,0.0285213674984307
1005,100,N1,0.733044733044733,0.0344932112995123
1505,150,N1,0.7278329513623631,0.0314153818512168
1995,199,N1,0.7278329513623631,0.0314153818512168
156,15,N2,0.7291146761734997,0.0320108318201436
506,50,N2,0.7291316526610644,0.0290854042392027
1006,100,N2,0.7304303539597657,0.0301928275076355
1506,150,N2,0.7291316526610644,0.0290854042392027
1996,199,N2,0.7278329513623631,0.0286053091319236
157,15,TD_U,0.7186996010525422,0.0235276180495842
507,50,TD_U,0.7238774297597828,0.031657166637712
1007,100,TD_U,0.718674136321195,0.0294569363464003
1507,150,TD_U,0.7160767337237925,0.0268162583940868
1997,199,TD_U,0.7212715389185977,0.0325989673580722
158,15,Uniform,0.7265342500636619,0.0276634651726654
508,50,Uniform,0.7265342500636618,0.028783949437683
1008,100,Uniform,0.7291316526610644,0.0315204764049033
1508,150,Uniform,0.7304303539597657,0.0331866261093423
1998,199,Uniform,0.7304303539597657,0.0331866261093423
159,15,kDN,0.7343519225872168,0.0345887133324792
509,50,kDN,0.7291316526610644,0.0311842527488067
1009,100,kDN,0.7382734912146677,0.0325178044225764
1509,150,kDN,0.7317375435022494,0.0324452140303424
1999,199,kDN,0.7317375435022494,0.0285961456271236
