,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.7304303539597657,0.0291265925407352
500,50,CLD,0.7356421356421357,0.0290280159898365
1000,100,CLD,0.738256514727103,0.0244306159079226
1500,150,CLD,0.7369578134284016,0.0226815538883956
1990,199,CLD,0.7369578134284016,0.0226815538883956
151,15,DCP,0.7213139801375095,0.0251307319669335
501,50,DCP,0.7330277565571683,0.0333853348701177
1001,100,DCP,0.7291316526610644,0.0301530956889942
1501,150,DCP,0.7265342500636618,0.028783949437683
1991,199,DCP,0.7265342500636618,0.028783949437683
152,15,F1,0.7199983023512435,0.0247163827265273
502,50,F1,0.7304303539597657,0.0331866261093423
1002,100,F1,0.7278329513623631,0.0314153818512168
1502,150,F1,0.7317375435022494,0.0343393184734112
1992,199,F1,0.730438842203548,0.0327966643941167
153,15,Hostility,0.7291316526610644,0.0315204764049033
503,50,Hostility,0.7265257618198795,0.0281281335611603
1003,100,Hostility,0.7291401409048468,0.0307693714851891
1503,150,Hostility,0.7278329513623631,0.0293330758208907
1993,199,Hostility,0.7278329513623631,0.0293330758208907
154,15,LSC,0.731729055258467,0.0308537445070304
504,50,LSC,0.7356251591545709,0.0342664734908313
1004,100,LSC,0.7356251591545709,0.0342664734908313
1504,150,LSC,0.7343264578558697,0.0335471513393063
1994,199,LSC,0.731729055258467,0.0325171895550359
155,15,N1,0.7278159748747984,0.0404892498247774
505,50,N1,0.7265087853323148,0.0393538705456823
1005,100,N1,0.7265342500636618,0.028783949437683
1505,150,N1,0.7291316526610644,0.0305006884007599
1995,199,N1,0.7291316526610644,0.0301530956889942
156,15,N2,0.735650623885918,0.0364610409612121
506,50,N2,0.7278329513623631,0.0293330758208908
1006,100,N2,0.7265342500636618,0.028783949437683
1506,150,N2,0.7291486291486291,0.0320428026703676
1996,199,N2,0.7278329513623631,0.0293330758208908
157,15,TD_U,0.729072234954588,0.0355743198198581
507,50,TD_U,0.7212970036499449,0.0249372843317372
1007,100,TD_U,0.7238944062473475,0.0275254880270383
1507,150,TD_U,0.7278244631185807,0.0294159595344394
1997,199,TD_U,0.7278244631185807,0.0290553929940927
158,15,Uniform,0.7226126814362108,0.019543257349545
508,50,Uniform,0.7212970036499449,0.0261747318938269
1008,100,Uniform,0.731729055258467,0.0325171895550359
1508,150,Uniform,0.731729055258467,0.0334756038994064
1998,199,Uniform,0.731729055258467,0.0334756038994064
159,15,kDN,0.7317545199898141,0.0225382973157208
509,50,kDN,0.7330277565571683,0.0320974972735799
1009,100,kDN,0.7343434343434343,0.0349519684591543
1509,150,kDN,0.7330362448009506,0.0336297507478725
1999,199,kDN,0.7369578134284016,0.0381347920117633
