,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.678,0.0241350367722942
500,50,CLD,0.697,0.0265988721565407
1000,100,CLD,0.698,0.0216794833886788
1500,150,CLD,0.692,0.0164316767251549
1990,199,CLD,0.693,0.0225277606521375
151,15,DCP,0.671,0.0292403830344268
501,50,DCP,0.697,0.0253968501984005
1001,100,DCP,0.6890000000000001,0.0270185121722125
1501,150,DCP,0.6910000000000001,0.0216217483104396
1991,199,DCP,0.6910000000000001,0.0219089023002066
152,15,F1,0.651,0.0324807635378233
502,50,F1,0.665,0.0169558249578131
1002,100,F1,0.664,0.0307001628660175
1502,150,F1,0.665,0.0349999999999999
1992,199,F1,0.662,0.0342052627529741
153,15,Hostility,0.6759999999999999,0.0198116127561589
503,50,Hostility,0.681,0.0267861904719577
1003,100,Hostility,0.675,0.0289395922569755
1503,150,Hostility,0.679,0.0330529877620768
1993,199,Hostility,0.675,0.0262202212042537
154,15,LSC,0.654,0.0198116127561589
504,50,LSC,0.664,0.0318982758154731
1004,100,LSC,0.6599999999999999,0.0289395922569755
1504,150,LSC,0.6679999999999999,0.0370135110466434
1994,199,LSC,0.674,0.0348926926447357
155,15,N1,0.666,0.0277037903543901
505,50,N1,0.6719999999999999,0.0238746727726266
1005,100,N1,0.6769999999999999,0.0307408522978787
1505,150,N1,0.672,0.0279732014613986
1995,199,N1,0.673,0.028853076092507
156,15,N2,0.659,0.0369797241742011
506,50,N2,0.6689999999999999,0.0352491134640291
1006,100,N2,0.672,0.0258843582110895
1506,150,N2,0.673,0.0309434968935315
1996,199,N2,0.67,0.0310241841149771
157,15,TD_U,0.654,0.0253475837112731
507,50,TD_U,0.666,0.0155724115023974
1007,100,TD_U,0.661,0.0235584379787794
1507,150,TD_U,0.656,0.0207364413533276
1997,199,TD_U,0.662,0.0246475150877324
158,15,Uniform,0.653,0.0144048602908879
508,50,Uniform,0.6679999999999999,0.0277488738510231
1008,100,Uniform,0.664,0.0290258505473999
1508,150,Uniform,0.664,0.0260768096208105
1998,199,Uniform,0.669,0.0288097205817758
159,15,kDN,0.659,0.0328633534503099
509,50,kDN,0.6679999999999999,0.0225277606521375
1009,100,kDN,0.673,0.0251495526799185
1509,150,kDN,0.6759999999999999,0.0258360213655276
1999,199,kDN,0.677,0.0265988721565407
