,n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_mean_hard,accuracy_mean_combo,accuracy_mean_combo_extreme,accuracy_mean_split2,accuracy_mean_split2_extreme,accuracy_mean_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_mean_split4,accuracy_mean_split4_extreme,accuracy_mean_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_mean_split9,accuracy_mean_split9_extreme,accuracy_mean_split4_classic,accuracy_mean_split4_classic_extreme
460,15,F1,Data10_,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1
461,50,F1,Data10_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
462,100,F1,Data10_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
463,150,F1,Data10_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
464,199,F1,Data10_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,average,F1,Data10_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
510,15,F1,Data11_,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1
511,50,F1,Data11_,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
512,100,F1,Data11_,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
513,150,F1,Data11_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
514,199,F1,Data11_,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1,average,F1,Data11_,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
560,15,F1,Data12_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
561,50,F1,Data12_,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
562,100,F1,Data12_,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
563,150,F1,Data12_,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
564,199,F1,Data12_,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2,average,F1,Data12_,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
