,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.633,0.0044331453594234
500,50,CLD,0.6445000000000001,0.007085783889827
1000,100,CLD,0.6481666666666667,0.0059336610396392
1500,150,CLD,0.648,0.0070118946559875
1990,199,CLD,0.6506666666666667,0.0099373034571758
151,15,DCP,0.6566666666666666,0.0116517762117579
501,50,DCP,0.6606666666666666,0.0131154065468398
1001,100,DCP,0.662,0.0079843597113356
1501,150,DCP,0.6645,0.0089287301573192
1991,199,DCP,0.6618333333333333,0.0093244004871329
152,15,F1,0.6911666666666667,0.0105013226680155
502,50,F1,0.7026666666666668,0.0072024301454439
1002,100,F1,0.7076666666666667,0.0055402567128648
1502,150,F1,0.7046666666666667,0.0095670150923774
1992,199,F1,0.7055,0.0090829510622924
153,15,Hostility,0.6591666666666667,0.0088975652100261
503,50,Hostility,0.6618333333333333,0.0078040231789621
1003,100,Hostility,0.6668333333333333,0.0105803801654025
1503,150,Hostility,0.6645,0.0113437452173237
1993,199,Hostility,0.6665,0.0115830335692627
154,15,LSC,0.6761666666666667,0.0066822733989097
504,50,LSC,0.6863333333333334,0.0041079191812887
1004,100,LSC,0.6890000000000001,0.007804023178962
1504,150,LSC,0.6891666666666667,0.0046022337571613
1994,199,LSC,0.688,0.0068363814339979
155,15,N1,0.683,0.0090061707240708
505,50,N1,0.6931666666666667,0.0057855183192366
1005,100,N1,0.696,0.007848389785314
1505,150,N1,0.6966666666666667,0.006180165405913
1995,199,N1,0.6963333333333332,0.0039791121287711
156,15,N2,0.6808333333333333,0.0070710678118654
506,50,N2,0.6881666666666667,0.0085675421083166
1006,100,N2,0.6873333333333334,0.0089248404903268
1506,150,N2,0.6886666666666666,0.0089675340348764
1996,199,N2,0.6906666666666668,0.0121106014163899
157,15,TD_U,0.7031666666666666,0.0073692303231447
507,50,TD_U,0.7091666666666667,0.0072408946654094
1007,100,TD_U,0.708,0.0101994008538628
1507,150,TD_U,0.7101666666666666,0.0093985814532478
1997,199,TD_U,0.7110000000000001,0.0113712600689438
158,15,Uniform,0.6993333333333334,0.0057554322166106
508,50,Uniform,0.7006666666666667,0.004141591213263
1008,100,Uniform,0.7056666666666667,0.0054134605896372
1508,150,Uniform,0.708,0.0054835612921206
1998,199,Uniform,0.7076666666666667,0.0057554322166106
159,15,kDN,0.6715,0.0111554670204543
509,50,kDN,0.6778333333333333,0.0068109389139008
1009,100,kDN,0.6816666666666666,0.0072886898685566
1509,150,kDN,0.6821666666666666,0.0050894771615342
1999,199,kDN,0.683,0.0051908038341324
