,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
150,15,CLD,0.9173843058350102,0.0274530307007379,0.908893360160966,0.0341437487440785,0.9344466800804828,0.026020149974996,0.9259557344064386,0.0308638401169165,0.9145271629778672,0.0364255693105764,0.9202012072434608,0.0313704613019516
500,50,CLD,0.9258752515090544,0.0342095511534335,0.9117907444668008,0.0378658988778453,0.9259154929577464,0.030997149705088,0.920241448692153,0.0258903767465647,0.9145271629778672,0.0267315768640838,0.9259557344064386,0.0308638401169165
1000,100,CLD,0.928692152917505,0.0365407532990285,0.9146478873239436,0.0424097428231962,0.9344466800804828,0.026020149974996,0.9173843058350102,0.0408905397567021,0.923138832997988,0.0293573021173361,0.923098591549296,0.0312203366981086
1500,150,CLD,0.9258752515090544,0.0342095511534335,0.9146478873239436,0.0424097428231962,0.931629778672032,0.0255308921048159,0.9259154929577464,0.0355941812494575,0.923138832997988,0.0293573021173361,0.923098591549296,0.0312203366981086
1990,199,CLD,0.9315492957746478,0.032696455655832,0.9146478873239436,0.0424097428231962,0.9287726358148892,0.0303079159414315,0.923098591549296,0.0357887115236475,0.923138832997988,0.0293573021173361,0.923098591549296,0.0312203366981086
151,15,DCP,0.8746881287726358,0.0231210674516966,0.917344064386318,0.0275871934233083,0.9088531187122736,0.0161141754930993,0.9145271629778672,0.0267315768640838,0.9059959758551308,0.0312404295511877,0.9059959758551308,0.0161764867711444
501,50,DCP,0.8746881287726358,0.0181797174745056,0.9288128772635816,0.0265697955216733,0.9117102615694164,0.0184197511505726,0.9145271629778672,0.0267315768640838,0.9088128772635814,0.0217515174065514,0.9117505030181088,0.030643209215527
1001,100,DCP,0.871830985915493,0.0198645666059207,0.923098591549296,0.0295409648998935,0.9116700201207244,0.0235167287060372,0.920281690140845,0.0188058283096093,0.9145674044265594,0.0301447131590762,0.920241448692153,0.0312479448453598
1501,150,DCP,0.871830985915493,0.0198645666059207,0.9259557344064386,0.0273586365542862,0.9117102615694164,0.0254049145133104,0.920241448692153,0.0126533602828025,0.9145271629778672,0.0267315768640838,0.920241448692153,0.0258903767465647
1991,199,DCP,0.871830985915493,0.0198645666059207,0.920241448692153,0.0161909957313605,0.9088531187122736,0.0237863217165243,0.920241448692153,0.0126533602828025,0.9145271629778672,0.0267315768640838,0.9145271629778672,0.0303093852509992
152,15,F1,0.9002816901408451,0.0335088902572001,0.9145271629778672,0.0202102635475353,0.9288128772635816,0.0376860683588677,0.9203219315895372,0.0408264817797966,0.9174245472837022,0.0339350794634703,0.9203219315895372,0.0324739390366627
502,50,F1,0.9145674044265594,0.0223727617011593,0.9344466800804828,0.0279121661833655,0.920241448692153,0.0358127980760822,0.923098591549296,0.0312203366981086,0.9259154929577464,0.0369998183123344,0.923138832997988,0.0293573021173361
