,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.4184,0.0382727056791129
500,50,CLD,0.4676,0.0559177968092449
1000,100,CLD,0.4724,0.0482990683139954
1500,150,CLD,0.5304,0.0340411515668903
1990,199,CLD,0.4640000000000001,0.0110453610171872
151,15,DCP,0.3607999999999999,0.0516255750573298
501,50,DCP,0.3292,0.084339788949226
1001,100,DCP,0.3396,0.0636773115010362
1501,150,DCP,0.3404,0.0749853318989787
1991,199,DCP,0.3436,0.081650474585271
152,15,F1,0.4232,0.041148511516214
502,50,F1,0.4216,0.0727103844027797
1002,100,F1,0.3888,0.0771828996604818
1502,150,F1,0.3888,0.0771828996604818
1992,199,F1,0.372,0.0400749298190277
153,15,Hostility,0.408,0.0167928556237466
503,50,Hostility,0.4184,0.0400349847008837
1003,100,Hostility,0.4188,0.0409292071753167
1503,150,Hostility,0.4192,0.0407087214242844
1993,199,Hostility,0.4076000000000001,0.0158996855314814
154,15,LSC,0.4591999999999999,0.0364856136031724
504,50,LSC,0.5232,0.0108258948821795
1004,100,LSC,0.534,0.0189208879284244
1504,150,LSC,0.5412,0.0196265126805553
1994,199,LSC,0.4735999999999999,0.008294576541331
155,15,N1,0.4,0.0
505,50,N1,0.4,0.0
1005,100,N1,0.4,0.0
1505,150,N1,0.4,0.0
1995,199,N1,0.4,0.0
156,15,N2,0.4576,0.0132966161108757
506,50,N2,0.5307999999999999,0.0331843336530959
1006,100,N2,0.54,0.0263818119165458
1506,150,N2,0.5436,0.027509998182479
1996,199,N2,0.474,0.0091651513899116
157,15,TD_U,0.3832,0.0241080899284866
507,50,TD_U,0.3596,0.0538405051982241
1007,100,TD_U,0.3684,0.0636458953900406
1507,150,TD_U,0.3696,0.0636458953900406
1997,199,TD_U,0.3248,0.0715905021633456
158,15,Uniform,0.4,0.0
508,50,Uniform,0.4,0.0
1008,100,Uniform,0.4,0.0
1508,150,Uniform,0.4,0.0
1998,199,Uniform,0.4,0.0
159,15,kDN,0.4284,0.0355640267686323
509,50,kDN,0.4044,0.009838699100999
1009,100,kDN,0.4204,0.0262449995237187
1509,150,kDN,0.42,0.0275317997958724
1999,199,kDN,0.4131999999999999,0.0233923064275415
