,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
150,15,CLD,0.9108,0.0055856960175075,0.9092,0.0076941536246685,0.9064,0.0066932802122726,0.9108,0.0030331501776205
500,50,CLD,0.914,0.0073484692283495,0.9136,0.0086486993241758,0.9096,0.0055497747702046,0.9088,0.0092303846073714
1000,100,CLD,0.9152,0.0080746516952745,0.9116,0.0071274118724821,0.9092,0.0064187226143524,0.9052,0.0070142711667
1500,150,CLD,0.9152,0.0086717933554715,0.9116,0.0082945765413311,0.9096,0.005899152481501,0.9076,0.0063874877690685
1990,199,CLD,0.9148,0.0091214034007931,0.9104,0.0065421708935184,0.9092,0.006572670690062,0.9084,0.0065421708935184
151,15,DCP,0.9116,0.0060663003552412,0.9112,0.0076941536246685,0.9088,0.0041472882706655,0.9104,0.0055497747702046
501,50,DCP,0.9144,0.0089888820216977,0.908,0.0061644140029689,0.9112,0.0036331804249169,0.9092,0.0086717933554715
1001,100,DCP,0.9168,0.0118827606220103,0.91,0.0044721359549995,0.9124,0.0043358966777357,0.9128,0.0083186537372341
1501,150,DCP,0.916,0.01113552872566,0.9132,0.006572670690062,0.9128,0.0054037024344425,0.9088,0.0059329587896765
1991,199,DCP,0.9168,0.0095498691090506,0.9128,0.0071554175279993,0.9128,0.0067230945255886,0.9092,0.0064187226143524
152,15,F1,0.9076,0.0065421708935184,0.9092,0.0064187226143524,0.914,0.0096953597148326,0.9084,0.0066932802122725
502,50,F1,0.9164,0.0072663608498339,0.9124,0.0079246451024635,0.9148,0.0026832815729997,0.9108,0.0052153619241621
1002,100,F1,0.9168,0.0054037024344425,0.9148,0.0030331501776206,0.9148,0.0060991802727907,0.912,0.0031622776601683
1502,150,F1,0.9164,0.0043358966777357,0.9136,0.0038470768123342,0.9152,0.0036331804249169,0.9128,0.0046043457732885
1992,199,F1,0.9148,0.0052153619241621,0.9156,0.0051768716422179,0.9156,0.002607680962081,0.9156,0.0043358966777357
153,15,Hostility,0.9144,0.0068410525505948,0.9116,0.0055497747702046,0.9148,0.0136088206689631,0.9132,0.0070142711667
503,50,Hostility,0.9148,0.009444575162494,0.9152,0.0064187226143524,0.9128,0.0062609903369994,0.9104,0.002607680962081
1003,100,Hostility,0.9144,0.0097365291557104,0.916,0.0070710678118654,0.9136,0.0047749345545253,0.914,0.0044721359549995
1503,150,Hostility,0.9152,0.0100598210719674,0.9148,0.0081975606127676,0.9132,0.0036331804249169,0.914,0.0070710678118654
1993,199,Hostility,0.9148,0.009444575162494,0.914,0.0083666002653407,0.912,0.0037416573867739,0.9128,0.0038987177379235
