,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.8879999999999999,0.0090061707240708
500,50,CLD,0.8916666666666666,0.0087400737347512
1000,100,CLD,0.8883333333333333,0.008249579113843
1500,150,CLD,0.8883333333333333,0.0094280904158205
1990,199,CLD,0.8879999999999999,0.0082831824265261
151,15,DCP,0.8936666666666667,0.0107625895273085
501,50,DCP,0.8916666666666666,0.0102740233382816
1001,100,DCP,0.8936666666666667,0.0126051136007926
1501,150,DCP,0.8933333333333333,0.0130703226177984
1991,199,DCP,0.8936666666666667,0.0119256958799988
152,15,F1,0.8800000000000001,0.0074535599249993
502,50,F1,0.885,0.0084983658559879
1002,100,F1,0.8856666666666667,0.0069322114476951
1502,150,F1,0.8856666666666666,0.0069322114476951
1992,199,F1,0.8853333333333333,0.0068109389139008
153,15,Hostility,0.8923333333333334,0.0104482853457716
503,50,Hostility,0.8949999999999999,0.0063464775882198
1003,100,Hostility,0.8936666666666667,0.0082831824265261
1503,150,Hostility,0.8963333333333333,0.0077638764659013
1993,199,Hostility,0.8960000000000001,0.0103816076682649
154,15,LSC,0.889,0.0072264944628929
504,50,LSC,0.8933333333333333,0.0067700320038633
1004,100,LSC,0.8946666666666667,0.0093837921735061
1504,150,LSC,0.8960000000000001,0.0099023005183419
1994,199,LSC,0.8946666666666667,0.0093837921735061
155,15,N1,0.8939999999999999,0.0096176920308356
505,50,N1,0.8983333333333332,0.006454972243679
1005,100,N1,0.8966666666666667,0.0092044675143227
1505,150,N1,0.8963333333333333,0.0108908728351363
1995,199,N1,0.8953333333333333,0.0103010247602416
156,15,N2,0.8936666666666667,0.0115108644332213
506,50,N2,0.8986666666666666,0.0106327586051576
1006,100,N2,0.8973333333333333,0.0117023264543612
1506,150,N2,0.8983333333333334,0.0102062072615965
1996,199,N2,0.8976666666666666,0.0107108460087064
157,15,TD_U,0.891,0.0149814700361628
507,50,TD_U,0.8923333333333334,0.0081308739451003
1007,100,TD_U,0.8923333333333334,0.0099023005183419
1507,150,TD_U,0.89,0.0071686043892021
1997,199,TD_U,0.889,0.0080450122574314
158,15,Uniform,0.8853333333333333,0.0103010247602416
508,50,Uniform,0.8833333333333334,0.0088975652100261
1008,100,Uniform,0.8843333333333334,0.0106458129484475
1508,150,Uniform,0.885,0.0113651514141548
1998,199,Uniform,0.8886666666666667,0.0116308975482452
159,15,kDN,0.8926666666666666,0.0136727628679957
509,50,kDN,0.8973333333333333,0.0103816076682649
1009,100,kDN,0.8963333333333333,0.0106327586051577
1509,150,kDN,0.8956666666666667,0.0110302614051828
1999,199,kDN,0.8956666666666667,0.0090982293759707
