,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
150,15,CLD,0.7512859689330277,0.0204622448697398,0.7225532637297343,0.0417208342542275,0.7616755793226382,0.0322035959537522,0.7590951532128003,0.0117366815099438,0.7473559120617944,0.0187274830073599,0.756480774127833,0.0357975819172914
500,50,CLD,0.7629657923775571,0.0206591106954334,0.7342925048807402,0.0412338185999634,0.7564298446651387,0.0305343850148397,0.7734148204736441,0.0121464366168689,0.7577709871827519,0.0208556080638235,0.7642814701638232,0.0241904523413671
1000,100,CLD,0.7642814701638232,0.019801887520006,0.7447160682454801,0.0340690259505335,0.7616416263475088,0.0365057201426435,0.7603683897801545,0.019942369615276,0.7564637976402683,0.0287180852796808,0.7603683897801545,0.0263746549083023
1500,150,CLD,0.7642899584076055,0.0173901412020025,0.7421186656480774,0.0376575413174497,0.7642475171886937,0.0349638040931523,0.7577709871827519,0.0208953426740646,0.7629827688651218,0.03078785890259,0.7590612002376709,0.0307800093979171
1990,199,CLD,0.7629912571089041,0.0186200080169797,0.7382055852644088,0.0385116891612082,0.7668449197860963,0.0381948051260463,0.7577709871827519,0.0175787512038382,0.7629742806213395,0.0338324589556272,0.7564383329089212,0.030811322342167
151,15,DCP,0.7408454290807232,0.03109531723642,0.7395552160258043,0.035641775814791,0.751243527714116,0.0302836669975983,0.7539003480179951,0.0187013078706956,0.7408199643493761,0.0370041967290187,0.7356336473983534,0.0432771009445042
501,50,DCP,0.7382480264833207,0.0257645396097345,0.7577794754265342,0.0274286273149165,0.7499618029029793,0.0214559902140954,0.7551650963415669,0.0301873951177426,0.7564977506153976,0.0287710397221359,0.7447245564892624,0.0358354512216834
1001,100,DCP,0.7304303539597657,0.0290410316581508,0.7603514132925897,0.0421174262641389,0.7486546133604957,0.0263956813869744,0.751268992445463,0.0314296153510524,0.7512520159578984,0.0365648035145949,0.7486376368729311,0.0262284260559301
1501,150,DCP,0.7382395382395383,0.0246437085610865,0.7577540106951872,0.0420643911088645,0.7538663950428657,0.0292962115087355,0.7616755793226382,0.042258174155182,0.7473728885493591,0.0230434831607906,0.7538579067990833,0.0347472897249984
1991,199,DCP,0.7356336473983532,0.0301812724391375,0.7564383329089212,0.0393018222207847,0.7577624989389695,0.0290482256154876,0.7551566080977846,0.0369421251732043,0.7551990493166965,0.0297731125047392,0.7551650963415669,0.0322145262845559
152,15,F1,0.7421950598421188,0.0212661763552123,0.7486885663356252,0.0357100123364912,0.7447839741957389,0.0259706207445223,0.7421271538918598,0.0357663536230278,0.7421356421356421,0.0226526482398651,0.7473728885493591,0.0206766414207556
502,50,F1,0.7408284525931584,0.0339200884784907,0.7642899584076055,0.0405962227893035,0.7746710805534336,0.0426190823580369,0.7551396316102198,0.0353155267193021,0.7591121297003649,0.0248307319475133,0.7616755793226382,0.0432444740526707
