,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
1002,100,F1,0.7460741872506579,0.0339821144376374,0.7590951532128003,0.0181654465707137,0.7629657923775571,0.0319788599866486,0.7577285459638401,0.0412101460117193,0.7617010440539852,0.0378117606120926,0.7616925558102029,0.039276797190438
1502,150,F1,0.7525761819879466,0.0358850908992316,0.7603853662677192,0.0269926552667654,0.7655801714625244,0.025339995264031,0.7551226551226551,0.0397021599240956,0.7616840675664205,0.0385070678402541,0.7643069348951702,0.0341957673881942
1992,199,F1,0.753874883286648,0.0425100282538117,0.757796451914099,0.0234325768181204,0.7694847636024107,0.0264319808972321,0.7551481198540022,0.036714860615992,0.7643069348951702,0.0345026567173905,0.7590951532128003,0.0308034144931605
153,15,Hostility,0.7629742806213394,0.0334327102334214,0.7356676003734828,0.0189690979260637,0.7538833715304303,0.0205670295732391,0.7434428316781257,0.0312372416811366,0.7330277565571682,0.0292395450355092,0.7304473304473305,0.0370172885535888
503,50,Hostility,0.7616925558102029,0.0217558962181867,0.7525676937441643,0.0382551384467127,0.7681860623037094,0.0318635488988647,0.7486376368729311,0.0299793006302257,0.7577709871827519,0.0324754178096788,0.753874883286648,0.0245031685973685
1003,100,Hostility,0.756480774127833,0.0236398998962121,0.7486461251167134,0.0401900483325525,0.7590612002376708,0.0346906927081823,0.7564722858840506,0.0297533982805914,0.7629827688651218,0.0193593748745062,0.753849418555301,0.0360463443874896
1503,150,Hostility,0.7577794754265342,0.0249003286021545,0.7447415329768271,0.0305644645105318,0.7577709871827519,0.0263340085513322,0.7525507172565996,0.0330661576612156,0.7551650963415669,0.0268150157140941,0.7512520159578984,0.0305511044152094
1993,199,Hostility,0.7577879636703166,0.0322240526958562,0.7486376368729311,0.0392721604111706,0.756480774127833,0.0262896956807841,0.7590612002376709,0.0310805945115971,0.7512520159578984,0.0315298268981721,0.7564637976402683,0.0325739659187167
154,15,LSC,0.7486715898480604,0.0300548923358788,0.7447754859519565,0.021493295099278,0.7421780833545539,0.0338948525303378,0.753849418555301,0.0345532180447563,0.7564722858840506,0.0282127025082103,0.7668873610050081,0.025868150973308
504,50,LSC,0.7642729819200408,0.0325305561486782,0.7460826754944402,0.039829522614898,0.7500042441218912,0.0300777807333402,0.746031746031746,0.0272229736194695,0.7630082335964689,0.0158910204839849,0.7733978439860792,0.0227815552502128
1004,100,LSC,0.7642560054324761,0.0354939494069012,0.752584670231729,0.029408099099462,0.7525761819879466,0.026006502329582,0.7564383329089212,0.039344010285985,0.7616925558102029,0.0299484680206269,0.7669128257363551,0.0283658673504888
1504,150,LSC,0.759044223750106,0.0368802421921308,0.75650623885918,0.0279604766592566,0.7643069348951702,0.0305588800940442,0.7590612002376709,0.0337667842813277,0.7591036414565826,0.0292848716090721,0.7616925558102029,0.0310755375792097
1994,199,LSC,0.7577370342076224,0.0367449837985169,0.7526016467192937,0.026121689337352,0.7591121297003649,0.0269159386262941,0.7629827688651218,0.0301411937191588,0.7643154231389525,0.0340928808399737,0.7617010440539852,0.027347584872334
155,15,N1,0.7759612936083524,0.0462879760105971,0.7394533571004158,0.0601223646311473,0.7460402342755283,0.0321478211941237,0.7486376368729311,0.0372978348146084,0.7538663950428657,0.0242100575526079,0.7538918597742127,0.0268469376878213
505,50,N1,0.7681690858161446,0.032042735213386,0.7460232577879637,0.0404915519766683,0.7616925558102029,0.0269860747508353,0.7590612002376709,0.0267022395260595,0.7668534080298787,0.0320909728578052,0.7629742806213395,0.0252221990194654
1005,100,N1,0.7694423223834989,0.0402227413244789,0.7499618029029793,0.0251133625814419,0.7603853662677192,0.0346194768280019,0.7616670910788558,0.0225967229091223,0.7734148204736441,0.0243864488791699,0.7668873610050081,0.0314307472193883
1505,150,N1,0.7681436210847975,0.0399318645756432,0.7616925558102029,0.0324040165565829,0.7629657923775571,0.0339397892654121,0.7590612002376709,0.0241494265036231,0.7721161191749427,0.0278660233095329,0.7695102283337578,0.0265458781204549
1995,199,N1,0.7694508106272813,0.0382439705228459,0.7616925558102029,0.0307344468397639,0.7655631949749597,0.0414733497804711,0.7603768780239368,0.0270750362292487,0.7629997453526866,0.0240066232785838,0.7708174178762415,0.0225033132274641
156,15,N2,0.7447669977081742,0.0319424579857601,0.734360410830999,0.0256018188446336,0.7486715898480604,0.0426333124173207,0.7421016891605128,0.0414728850589414,0.747440794499618,0.0294842388739427,0.7473898650369238,0.0197990219495817
506,50,N2,0.7577709871827519,0.0324754178096788,0.7487055428231899,0.0327846809794432,0.7551481198540022,0.0394817568372758,0.74992784992785,0.03877683488278,0.752559205500382,0.0269285169437534,0.7629912571089041,0.0311092194943783
1006,100,N2,0.7551735845853493,0.0324732961946875,0.7434682964094729,0.036143259485813,0.7616670910788559,0.0332385553205368,0.7590612002376709,0.0310805945115971,0.7590696884814532,0.0306629714796914,0.7629657923775571,0.0333128153838635
1506,150,N2,0.768177574059927,0.0369193282334668,0.7590781767252356,0.0354777316247331,0.7616670910788559,0.0312778624597774,0.7603683897801545,0.0328647217244757,0.7564637976402683,0.0360002170051901,0.7642899584076055,0.0324035913097027
1996,199,N2,0.7655716832187421,0.0346781587427787,0.7551566080977846,0.0405298419256521,0.7629488158899924,0.0387465271193919,0.7603683897801545,0.0328647217244757,0.7590696884814532,0.0351872439333364,0.7642644936762584,0.0374990878173186
157,15,TD_U,0.7291231644172821,0.0377720720516356,0.7343264578558696,0.0171722699686118,0.7421356421356421,0.022182417789512,0.7460741872506579,0.0149606952163499,0.7395042865631101,0.0333734198018573,0.735650623885918,0.0485333255283393
507,50,TD_U,0.7382310499957558,0.0369228408742812,0.7499872676343264,0.0064033799979883,0.7551820728291316,0.0207412238592771,0.7577285459638401,0.0359468054575532,0.7590612002376709,0.0327705028688834,0.7603683897801544,0.0356812719665682
1007,100,TD_U,0.7395127748068925,0.0484168339016142,0.7577879636703166,0.011360619307855,0.7577624989389695,0.0234230660960472,0.7564637976402683,0.022549639082964,0.7551481198540022,0.0257775714538873,0.7577794754265342,0.0330559530429947
1507,150,TD_U,0.7382225617519735,0.0425962811175761,0.753874883286648,0.0132658989860349,0.7525337407690349,0.0298840041666794,0.7577540106951872,0.0265161581800161,0.7577540106951872,0.033570446141104,0.7590951532128003,0.0350217264806289
1997,199,TD_U,0.7356166709107885,0.044857985274123,0.7577879636703166,0.011360619307855,0.7577709871827519,0.0262919771548017,0.7538833715304303,0.0261272328418609,0.7551650963415669,0.0341214387662944,0.7525761819879466,0.0380167487879874
158,15,Uniform,0.7447839741957389,0.0267184175962153,0.7421526186232068,0.0331332972141112,0.7486631016042781,0.0282723032713467,0.7382734912146677,0.0356666039706441,0.7460741872506578,0.0227629591342516,0.7538663950428657,0.0340718755681205
508,50,Uniform,0.7564553093964859,0.0326452244443386,0.7486800780918428,0.0357611231702186,0.7525676937441643,0.0326484852268226,0.7643069348951702,0.0157961347719413,0.7499108734402852,0.0407630022733598,0.7577709871827519,0.0308097175491788
1008,100,Uniform,0.7486970545794075,0.0436890905220832,0.7486885663356252,0.0347615036028633,0.7616925558102029,0.0310755375792097,0.7538663950428657,0.0274734306744795,0.7564553093964859,0.0348719844810524,0.751243527714116,0.0366267891334308
1508,150,Uniform,0.7577879636703166,0.0319731705046435,0.7512944571768101,0.0385056364279529,0.7629997453526866,0.0369938879167066,0.7629912571089041,0.0208146077404267,0.7629827688651218,0.0350435682213508,0.7525676937441643,0.0383417715891717
1998,199,Uniform,0.7656141244376539,0.0278045799810989,0.7577794754265342,0.0303979197521118,0.7629997453526866,0.0285167631525879,0.7656141244376539,0.0236537862810163,0.760402342755284,0.0294636008144889,0.7551566080977846,0.0423113197566867
159,15,kDN,0.7603768780239368,0.0203346372464944,0.7173584585349291,0.0529213120634732,0.7486885663356252,0.0272304759008754,0.7500042441218912,0.0321118322988042,0.7355996944232238,0.040215797267253,0.7421271538918598,0.0327540502217277
509,50,kDN,0.7629742806213394,0.0215768710970518,0.759044223750106,0.0396739438373183,0.7577540106951872,0.0265161581800161,0.7591036414565826,0.0249141703795026,0.7564383329089212,0.0365212964853127,0.7538918597742127,0.0250956366532567
1009,100,kDN,0.773389355742297,0.0224197842875506,0.7551735845853493,0.0251016686764948,0.765546218487395,0.0309742168312755,0.7603768780239368,0.0304186019248539,0.7603599015363721,0.0348436798362995,0.7655971479500892,0.0279435544411139
1509,150,kDN,0.7694847636024107,0.0194702208329292,0.751243527714116,0.0383580040862135,0.7590527119938886,0.0318647134024664,0.7590696884814532,0.0327028994020297,0.7603938545115015,0.0235217911682374,0.7616925558102029,0.0314129248738076
1999,199,kDN,0.772099142687378,0.021101618686348,0.749953314659197,0.0329537221284774,0.7603599015363721,0.0295165572637174,0.7629827688651218,0.0328200253677644,0.7642899584076055,0.026240112066749,0.7642984466513878,0.0299230248084075
