,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
150,15,CLD,0.7564722858840506,0.0266659397684781,0.738256514727103,0.0418559014821182,0.757796451914099,0.0331621356146585,0.7421611068669892,0.0253190667299172
500,50,CLD,0.7538579067990833,0.0293838952415133,0.7551735845853493,0.0263313921055522,0.7642644936762584,0.0328883657088348,0.7486376368729311,0.0285720608957233
1000,100,CLD,0.7590696884814532,0.0244749240220863,0.7590781767252356,0.0216228034981378,0.7577624989389695,0.0251589204558188,0.7590527119938885,0.0294205425428231
1500,150,CLD,0.7629742806213394,0.0247337541545433,0.7538324420677361,0.0367554726860656,0.7525422290128173,0.0308368036728406,0.7538409303115186,0.0354512113824899
1990,199,CLD,0.7603599015363721,0.0260256496306998,0.7603683897801545,0.0311754861707548,0.7616670910788559,0.0256552446736704,0.7564128681775741,0.0468854620758263
151,15,DCP,0.7174603174603174,0.0299025329717681,0.7447500212206094,0.0293193942142856,0.7343604108309991,0.0338591299199812,0.7474323062558357,0.0388034496468726
501,50,DCP,0.7395467277820218,0.0326667197431258,0.7447669977081742,0.0438198175972027,0.7630252100840336,0.0402694554690571,0.7695187165775401,0.0255788124511584
1001,100,DCP,0.7447330447330447,0.0348708997424804,0.7564722858840506,0.0390858395648635,0.7630082335964689,0.0298465288246769,0.7681945505474916,0.0263099171660379
1501,150,DCP,0.7408369408369408,0.0347699876965742,0.7616755793226382,0.0377252973825586,0.7708089296324591,0.0326136729313466,0.7668958492487905,0.0236054953925888
1991,199,DCP,0.7460402342755283,0.0308082968430085,0.7538663950428657,0.033761070650068,0.7682115270350565,0.0295651696610863,0.7721246074187251,0.0232000450176188
152,15,F1,0.7499448264154147,0.0432175454093918,0.7369493251846193,0.0366901821448701,0.7434598081656906,0.0232819313013068,0.7434173669467787,0.0341281318309848
502,50,F1,0.7551735845853493,0.0352740738413265,0.7629742806213395,0.0435122622896278,0.7538918597742127,0.0304402582586863,0.7577540106951872,0.0348435221650519
1002,100,F1,0.7681945505474918,0.0390435040198235,0.7694847636024107,0.0325973511082493,0.7512859689330278,0.0267957131938036,0.7525676937441643,0.0302539662196779
1502,150,F1,0.7708004413886768,0.0352022933187982,0.7694762753586283,0.0316333398033618,0.7577879636703166,0.0319731705046435,0.7590781767252356,0.0302441498073236
1992,199,F1,0.7721076309311603,0.0311469770285378,0.765571683218742,0.0408655233008381,0.7564892623716153,0.0383966929548831,0.7616840675664205,0.0297537675694971
153,15,Hostility,0.756480774127833,0.0155490574912585,0.7551481198540022,0.0339881486386927,0.7551650963415669,0.0224699581515304,0.7356760886172651,0.029966100414465
503,50,Hostility,0.7564722858840506,0.0263727015989649,0.7590527119938885,0.0381560885790331,0.7512265512265512,0.0349989627461898,0.7512350394703337,0.026209945766286
1003,100,Hostility,0.7590696884814532,0.0299675189727671,0.7525507172565996,0.0366928404728175,0.7525167642814702,0.0400775398766347,0.7486631016042781,0.0304272905795214
1503,150,Hostility,0.7525422290128173,0.0328575300985021,0.7564722858840506,0.0242122783262384,0.747321959086665,0.037340779568736,0.7512520159578984,0.0334757653231756
1993,199,Hostility,0.7486461251167134,0.0363329134381545,0.752559205500382,0.0292018471396958,0.7460232577879637,0.0357507556981462,0.7486546133604957,0.0322254696766145
154,15,LSC,0.7435022493846023,0.0235325862211075,0.7538833715304303,0.0256721842866957,0.7356421356421357,0.033100143078142,0.7565147271029624,0.0180507448620661
504,50,LSC,0.7486631016042781,0.0266979387861977,0.7538663950428657,0.0349877284858749,0.7552160258042611,0.0250117017397164,0.7591036414565826,0.0218024800501609
1004,100,LSC,0.7564722858840506,0.0331490236921214,0.7525422290128173,0.0353310032478391,0.7655801714625244,0.0345323102211519,0.7617095322977676,0.0268349286064079
1504,150,LSC,0.7603683897801545,0.0263746549083023,0.7486376368729311,0.0366868018874119,0.7642899584076055,0.0360969041505432,0.7630167218402513,0.0209623190978241
1994,199,LSC,0.7525507172565996,0.0321342617658583,0.7538579067990833,0.0356457933437425,0.7603768780239368,0.029360567146956,0.7591121297003649,0.0284393917884482
155,15,N1,0.7525422290128173,0.0498543939410416,0.7473813767931415,0.0347260396956574,0.7447245564892624,0.0577466272974969,0.7617265087853322,0.0207402859196321
505,50,N1,0.7512520159578984,0.0264380520871001,0.7721076309311603,0.0259802769798126,0.7707749766573296,0.0354165550905359,0.7734063322298617,0.0284261450005664
1005,100,N1,0.7629657923775571,0.0338990319299727,0.7721161191749427,0.0197792381985468,0.7668958492487905,0.0253724774029847,0.7708259061200238,0.0258008823327736
1505,150,N1,0.7668703845174434,0.0312762700867157,0.7682115270350565,0.0211141459750955,0.7707919531448943,0.02861163999718,0.7669043374925728,0.0271753812468212
1995,199,N1,0.7603599015363722,0.0322858807477711,0.7669043374925728,0.0235138984577536,0.768177574059927,0.0332258964156333,0.7642984466513878,0.0260157159794411
156,15,N2,0.7512265512265512,0.0411280222633398,0.7473559120617944,0.0246155301172093,0.7473304473304474,0.0348984210083921,0.760402342755284,0.0331247609736423
506,50,N2,0.7564553093964859,0.0345683741063439,0.7538409303115186,0.0265890256529922,0.7538579067990833,0.0398770949038844,0.7577879636703166,0.0178552230642312
1006,100,N2,0.7590612002376709,0.0340328827965237,0.7603514132925897,0.0288515019084304,0.7590781767252356,0.0365563245332452,0.760402342755284,0.0219917316385126
