,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
150,15,CLD,0.9030181086519116,0.0398453849377924,0.9173038229376256,0.0189054522965703,0.920281690140845,0.0158624828473972,0.9059557344064386,0.0279459405277846
500,50,CLD,0.9229778672032192,0.0219045298519047,0.9145271629778672,0.0101159430445827,0.9201609657947684,0.0261303842892881,0.903138832997988,0.0211509873547164
1000,100,CLD,0.928692152917505,0.0227793792946212,0.9202012072434608,0.0192836963349369,0.9202012072434608,0.0192836963349369,0.903138832997988,0.0118845200618191
1500,150,CLD,0.928692152917505,0.0204171326273227,0.923098591549296,0.0215523859911291,0.9202012072434608,0.0192836963349369,0.9116700201207244,0.0065446502886481
1990,199,CLD,0.9315492957746478,0.0213731914906176,0.9230583501006036,0.0163823970595081,0.9202012072434608,0.0192836963349369,0.9116700201207244,0.0065446502886481
151,15,DCP,0.8888531187122737,0.0311067309417924,0.8946076458752514,0.0160911711236061,0.903138832997988,0.0467125052168088,0.9117505030181088,0.0180765420660971
501,50,DCP,0.90317907444668,0.0113832453402282,0.9174647887323945,0.0229400083481406,0.90317907444668,0.0419789391921748,0.9146076458752516,0.0263022584674596
1001,100,DCP,0.9117505030181088,0.0180765420660971,0.9174647887323945,0.0229400083481406,0.9117102615694164,0.0395446207260531,0.9174245472837022,0.0232237964216203
1501,150,DCP,0.9146076458752516,0.0196388989383177,0.9174647887323945,0.0229400083481406,0.9145674044265594,0.026544718849329,0.9145674044265594,0.0172179799478277
1991,199,DCP,0.9146076458752516,0.0196388989383177,0.9174647887323945,0.0229400083481406,0.9259959758551308,0.0306834119392737,0.920241448692153,0.0161909957313605
152,15,F1,0.9259154929577464,0.0409280955350399,0.9059557344064386,0.0447824227560417,0.90317907444668,0.0231892548345553,0.9061167002012072,0.0336989397491246
502,50,F1,0.923098591549296,0.0312203366981086,0.9145271629778672,0.0335073196025368,0.9173843058350102,0.0309475447702838,0.923098591549296,0.0410973860218504
1002,100,F1,0.923098591549296,0.0357887115236475,0.920241448692153,0.0312479448453598,0.9174245472837022,0.0323967406055843,0.9174245472837022,0.0323967406055843
1502,150,F1,0.923098591549296,0.0357887115236475,0.920241448692153,0.0312479448453598,0.920281690140845,0.0370684143399176,0.920241448692153,0.0312479448453598
1992,199,F1,0.923098591549296,0.0357887115236475,0.923098591549296,0.0258570488370904,0.920241448692153,0.0312479448453598,0.920281690140845,0.0370684143399176
