,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
150,15,CLD,0.7132833583208396,0.0099633055621821,0.6873313343328336,0.0527097659214746,0.7288455772113943,0.0155665405513225,0.7115892053973013,0.0174995821540284,0.6993703148425787,0.0422690438591082,0.6925637181409295,0.0527077509571627,0.7046626686656672,0.0254097175769275,0.7115742128935533,0.0282767523839095,0.7030134932533734,0.0294012899044071,0.7081109445277362,0.0166873200734002
500,50,CLD,0.7167766116941529,0.0104588699051722,0.6976611694152923,0.0659891054403881,0.7098200899550224,0.0106686703022846,0.7046776611694152,0.0162295670861081,0.7063268365817091,0.0294654957959922,0.7184107946026986,0.048405406009022,0.7028785607196402,0.0359769174308684,0.7098200899550224,0.0355770013217274,0.6907946026986507,0.0215786221561204,0.7149325337331335,0.0491760236459602
1000,100,CLD,0.7150524737631184,0.0155291330485081,0.6942278860569715,0.0642945093504989,0.7098200899550224,0.0106686703022845,0.7133283358320839,0.0134051345552049,0.7150374812593704,0.0199887665158578,0.7097901049475263,0.0540893559091133,0.7080809595202399,0.0366393986216649,0.6976761619190405,0.0694454003567074,0.7011544227886057,0.0315375610754378,0.7011544227886057,0.0596534137170662
1500,150,CLD,0.7185007496251874,0.0212895796808078,0.6977211394302849,0.0590013265586053,0.7115592203898051,0.0119021029457174,0.7184857571214394,0.0073756414171016,0.7063268365817091,0.0231039420211151,0.7270614692653673,0.0429617644001189,0.7115142428785608,0.0354391441851547,0.7080809595202399,0.0568991294282485,0.6994452773613193,0.0221043228636497,0.6925487256371814,0.0484187545081235
1990,199,CLD,0.7133133433283358,0.0193697694419621,0.7011544227886057,0.0587116286003315,0.7184557721139431,0.0122657557298433,0.7254272863568216,0.0179998572672019,0.7098200899550224,0.0259073870160582,0.7218890554722639,0.0405672952712897,0.7167166416791604,0.0328868950988655,0.7045877061469266,0.0630766589391895,0.7046176911544227,0.0238765683665055,0.7080659670164917,0.0474024169912895
151,15,DCP,0.713223388305847,0.0265915522313433,0.6701349325337331,0.0339699582858816,0.7132383808095952,0.0364034153281019,0.7115742128935533,0.0450088159424248,0.7011994002998501,0.0284344207183712,0.7167766116941529,0.0227624154125325,0.6977211394302849,0.017964247969685,0.7046176911544227,0.0357224757429125,0.6856521739130435,0.0170620522240291,0.723688155922039,0.0437475504841653
501,50,DCP,0.720119940029985,0.0295465316782934,0.6873313343328336,0.0516415045123634,0.7167016491754123,0.0275598861624623,0.7167616191904048,0.026011324300406,0.7166866566716642,0.0257127230779993,0.725352323838081,0.0305307531855701,0.7080359820089954,0.029367010412946,0.6959670164917541,0.0450981141694237,0.7028785607196402,0.0234771311390373,0.7167466266866567,0.040659292862879
1001,100,DCP,0.7201349325337331,0.0266555058829714,0.6821889055472263,0.0455512691990555,0.7132683658170914,0.0121684280965126,0.716776611694153,0.0160630177723524,0.7097751124437781,0.0339930681527189,0.7167166416791604,0.0273335794153492,0.7183958020989506,0.0295049464581624,0.6924737631184408,0.0483799466009634,0.7063418290854573,0.0243880390736121,0.715007496251874,0.0382289516517576
1501,150,DCP,0.7305697151424287,0.003733630139821,0.6804347826086957,0.0524701487296649,0.715007496251874,0.0140739408897748,0.7150524737631184,0.0206626401644431,0.7115292353823088,0.0239626576152933,0.725352323838081,0.0292884038477244,0.711544227886057,0.0173744942798418,0.6890554722638681,0.0496867781143699,0.711544227886057,0.0184127998019219,0.6994602698650675,0.0284710271234581
1991,199,DCP,0.7271064467766116,0.005251818637919,0.6873613193403298,0.0487806343984998,0.7167466266866567,0.0142832222750621,0.7098650674662669,0.0267003190942263,0.7201499250374812,0.0309422449996562,0.7236581709145428,0.0236330917326616,0.7167016491754123,0.0336322579667477,0.695952023988006,0.0476553246214704,0.7029085457271365,0.0266685099934805,0.6994902548725637,0.0280659009436811
152,15,F1,0.6770014992503748,0.0510693513208852,0.6908845577211394,0.028349789919572,0.6977811094452774,0.0206348272940075,0.70976011994003,0.0449919517048645,0.7219190404797601,0.0308799449983989,0.7132833583208396,0.0320658866142878,0.6977211394302849,0.0446635279961094,0.7028935532233883,0.0497010714014539,0.6960119940029985,0.0557651462252954,0.6891154422788606,0.0251623728850151
502,50,F1,0.7097901049475263,0.0332401762097948,0.6959970014992504,0.0385627918376439,0.7167166416791604,0.0252121028170799,0.7011244377811094,0.0586354741955427,0.7114692653673164,0.0464014357911821,0.7202098950524738,0.0301845217681064,0.6959820089955022,0.0465712332402154,0.7028185907046477,0.0522349082964051,0.7046326836581709,0.0479990047507947,0.7046176911544227,0.0387174914424394
1002,100,F1,0.6908095952023988,0.0431769336433153,0.704647676161919,0.0217067949558774,0.7132533733133434,0.0246223861361056,0.7114542728635682,0.0595265981369695,0.7046326836581709,0.0479990047507947,0.7098500749625187,0.0428703887642699,0.6942728635682159,0.0361433088156461,0.6907796101949025,0.0451699717851068,0.7011544227886057,0.0494346580461269,0.7063418290854573,0.0404376620452665
1502,150,F1,0.699400299850075,0.0346209992166581,0.6977211394302849,0.0348498161643055,0.7114692653673164,0.0426458665980024,0.7062968515742128,0.0506847250550967,0.711544227886057,0.0317470913269676,0.7046176911544227,0.0230853280655703,0.6960119940029985,0.0326504755697628,0.6942428785607196,0.0430460278509658,0.695952023988006,0.0476553246214704,0.706296851574213,0.0521303552085763
1992,199,F1,0.695952023988006,0.0361236514361072,0.7011694152923538,0.0301191527080246,0.6994452773613193,0.0311714127865685,0.7062968515742128,0.0535369640009025,0.7098050974512744,0.0330468843903316,0.7132683658170914,0.0272507057410697,0.6942428785607196,0.0333136250269789,0.7028485757121439,0.0497452708996054,0.6993853073463268,0.0462880776034741,0.7149325337331334,0.0452404669623785
153,15,Hostility,0.7081109445277362,0.0262146189549168,0.6977211394302849,0.0602477312098703,0.7080809595202399,0.0138037326230955,0.7133133433283358,0.0220604261842551,0.7080359820089954,0.0361706931282615,0.7150374812593704,0.0374542481381115,0.7029235382308846,0.0438807752174651,0.6994602698650675,0.0332845992312942,0.7149625187406297,0.027483890907212,0.7098200899550224,0.0211717696853011
503,50,Hostility,0.7115592203898051,0.0249943181619469,0.6960119940029985,0.0412036651409004,0.714992503748126,0.0144839730246591,0.7098650674662669,0.0124713617441132,0.7270914542728636,0.0272846371601709,0.706431784107946,0.0366862614850274,0.699400299850075,0.0381932009946486,0.7183808095952025,0.0438794113555367,0.7063568215892054,0.0296539729134381,0.7167016491754123,0.0387648065466067
1003,100,Hostility,0.7184557721139431,0.0211592515025312,0.694287856071964,0.0487000394069481,0.721904047976012,0.0105001592412958,0.7133133433283358,0.0137621670861744,0.7167616191904048,0.0139116176633313,0.7064167916041979,0.0247418673398055,0.7063568215892054,0.0179439664948958,0.7080359820089954,0.0381700356515481,0.7046026986506747,0.0332200527122522,0.7062818590704648,0.049351658330025
1503,150,Hostility,0.7133133433283358,0.0236849887811196,0.7097901049475263,0.0557803652550763,0.7236131934032983,0.0192282878986332,0.7184857571214394,0.0095686065536766,0.7132833583208396,0.0116801371049662,0.7115592203898051,0.0349177069898212,0.6959970014992504,0.0258768182525343,0.7167166416791604,0.0350739283443611,0.7028935532233882,0.037317694081439,0.7218590704647676,0.0581451791245766
1993,199,Hostility,0.7184557721139431,0.0183368342128944,0.708095952023988,0.0486905940183589,0.720119940029985,0.0301687865066163,0.7098500749625187,0.0095622912905809,0.7115592203898051,0.0200441280675474,0.7150224887556222,0.0380840065952069,0.7063418290854573,0.0211221180186656,0.7167166416791604,0.0293018599896218,0.7080659670164917,0.0325258127419339,0.7184557721139431,0.0528079261405659
154,15,LSC,0.7167316341829085,0.0551285341038444,0.6856521739130435,0.0291287796187288,0.7218440779610195,0.0324624752483182,0.7306146926536732,0.0383812341852451,0.7149775112443779,0.0370681279589095,0.7012443778110945,0.0475732012242492,0.7115742128935532,0.0428952536676505,0.7028935532233883,0.0239818910871746,0.6925487256371814,0.0279952441563063,0.7116041979010495,0.0258492135009157
504,50,LSC,0.7201799100449775,0.033447835693778,0.7028935532233882,0.0401940189822846,0.721904047976012,0.0475964889239287,0.7064167916041979,0.0357911526866306,0.6976911544227886,0.0387463921452694,0.6977511244377811,0.0409083521527185,0.6908545727136433,0.0356450520776719,0.7029085457271365,0.0252367417695227,0.7080509745127437,0.026452667992476,0.7150224887556222,0.0370954885156264
1004,100,LSC,0.7046626686656672,0.0346846640940949,0.6994302848575712,0.0406641988982163,0.7167316341829085,0.0264233255537346,0.701184407796102,0.0422666441673989,0.7028635682158921,0.0499724968132435,0.6994602698650675,0.0242415039771112,0.7011394302848576,0.0480514247535314,0.7097901049475263,0.0337944885968646,0.7028785607196402,0.0209690546120554,0.6959970014992504,0.0339509294235794
1504,150,LSC,0.7218740629685158,0.0348198841907731,0.6994602698650676,0.0471445532161439,0.7149775112443779,0.0456075746627757,0.6994602698650675,0.0190971632626395,0.7011244377811094,0.046234010823713,0.6994752623688155,0.0223954837393313,0.7149625187406297,0.027483890907212,0.7045877061469266,0.0371159635245127,0.7028635682158921,0.0267144057506529,0.7028785607196402,0.0332948624039885
1994,199,LSC,0.7270464767616192,0.0322652213339865,0.7029085457271365,0.0323362448478631,0.7063568215892054,0.0393472326946646,0.7028485757121439,0.0337179292739157,0.7028335832083957,0.051365092404172,0.7114992503748125,0.0345708330275415,0.7132083958020989,0.0347045455368272,0.7080509745127437,0.0398940988805328,0.6976761619190406,0.0332693421059622,0.706311844077961,0.03794164034456
