,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
150,15,CLD,0.9731601731601732,0.0077439583636356,0.9753246753246751,0.0056443310867555,0.9731601731601732,0.0062358702557956,0.9744588744588744,0.0028221655433777,0.974025974025974,0.0093098758301326,0.9783549783549784,0.0040494127562488,0.9692640692640692,0.0084387829825185,0.9735930735930736,0.0046925288720084
500,50,CLD,0.9774891774891774,0.0054328573151563,0.9787878787878788,0.0058079687727267,0.977922077922078,0.0065652601247199,0.9783549783549784,0.0034223784200956,0.9748917748917748,0.0049830581961997,0.977922077922078,0.0032104755355392,0.9761904761904764,0.00530192585018,0.9774891774891774,0.00328263006236
1000,100,CLD,0.9761904761904764,0.00530192585018,0.9796536796536796,0.0036219048767709,0.977922077922078,0.0063843641574686,0.9770562770562772,0.0036219048767709,0.9748917748917748,0.0054328573151563,0.9770562770562772,0.0039320134468798,0.9753246753246751,0.0066008444510722,0.9766233766233766,0.0038719791818178
1500,150,CLD,0.9783549783549784,0.0037490277220105,0.9792207792207792,0.004488407219335,0.977922077922078,0.0056026749374653,0.9783549783549784,0.0030610683168248,0.9761904761904764,0.0055184193870051,0.9783549783549784,0.0030610683168248,0.9753246753246751,0.0058481628078382,0.9761904761904764,0.0034223784200956
1990,199,CLD,0.9774891774891774,0.0049830581961997,0.9796536796536796,0.004488407219335,0.9770562770562772,0.0054328573151563,0.9783549783549784,0.0030610683168248,0.9757575757575758,0.0060062497513037,0.977922077922078,0.0038719791818178,0.9766233766233766,0.0051676780893131,0.9761904761904764,0.0034223784200956
151,15,DCP,0.9705627705627704,0.0066008444510722,0.9705627705627704,0.0092594154269296,0.9705627705627704,0.0087388005360114,0.9709956709956712,0.0095090401023761,0.9722943722943724,0.007713649212643,0.971861471861472,0.0098002003659496,0.9709956709956712,0.0088718188449866,0.9688311688311688,0.0072760763263946
501,50,DCP,0.9731601731601732,0.0071132799675995,0.9709956709956712,0.0097522773385877,0.9722943722943724,0.0065652601247199,0.9683982683982684,0.0087388005360113,0.9735930735930736,0.0084387829825186,0.9709956709956712,0.0095090401023761,0.971861471861472,0.0104928135441912,0.9722943722943724,0.007713649212643
1001,100,DCP,0.9727272727272728,0.0074353091070639,0.9722943722943724,0.0074037365266178,0.9731601731601732,0.0060451255600731,0.971861471861472,0.0090547621919272,0.9727272727272728,0.0077439583636356,0.9727272727272728,0.0097522773385877,0.97012987012987,0.0088453752128582,0.9727272727272728,0.0077439583636356
1501,150,DCP,0.9722943722943724,0.0067413036806915,0.971861471861472,0.0083830808359468,0.971861471861472,0.0070137886346405,0.9731601731601732,0.0081851387018134,0.971861471861472,0.0076526707920622,0.9722943722943724,0.0084387829825185,0.971861471861472,0.0071788415375658,0.9722943722943724,0.0084387829825185
1991,199,DCP,0.9722943722943724,0.0067413036806915,0.9722943722943724,0.0082988266288661,0.9722943722943724,0.0067413036806915,0.9735930735930736,0.0065652601247199,0.9714285714285712,0.0082988266288661,0.9714285714285716,0.0080115824776284,0.9722943722943724,0.0067413036806915,0.9727272727272728,0.0066008444510722
