,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.8061569416498994,0.0303254762080445
500,50,CLD,0.811871227364185,0.0242235471964104
1000,100,CLD,0.811871227364185,0.0315427250579724
1500,150,CLD,0.8090140845070423,0.0285382526235685
1990,199,CLD,0.8090140845070423,0.0285382526235685
151,15,DCP,0.8090140845070423,0.0334746816532466
501,50,DCP,0.8147283702213279,0.0308377260744158
1001,100,DCP,0.811871227364185,0.0281222664703573
1501,150,DCP,0.811871227364185,0.0315427250579724
1991,199,DCP,0.811871227364185,0.0315427250579724
152,15,F1,0.8090140845070423,0.0334746816532466
502,50,F1,0.8090140845070423,0.0285382526235685
1002,100,F1,0.811871227364185,0.0315427250579724
1502,150,F1,0.8204426559356136,0.0332852369578481
1992,199,F1,0.8204426559356136,0.0332852369578481
153,15,Hostility,0.8147283702213279,0.0232981133170603
503,50,Hostility,0.8204426559356136,0.0264526696957789
1003,100,Hostility,0.8204426559356136,0.0264526696957789
1503,150,Hostility,0.8204426559356136,0.0264526696957789
1993,199,Hostility,0.8204426559356136,0.0264526696957789
154,15,LSC,0.8147283702213279,0.0273291733645137
504,50,LSC,0.8147283702213279,0.0273291733645137
1004,100,LSC,0.8232997987927565,0.0282599136985409
1504,150,LSC,0.8232997987927565,0.0282599136985409
1994,199,LSC,0.8232997987927565,0.0282599136985409
155,15,N1,0.811871227364185,0.0315427250579724
505,50,N1,0.8232997987927565,0.0361777114240472
1005,100,N1,0.8204426559356136,0.0332852369578481
1505,150,N1,0.811871227364185,0.0315427250579724
1995,199,N1,0.8204426559356136,0.0332852369578481
156,15,N2,0.8204426559356136,0.0244479634674844
506,50,N2,0.8089738430583502,0.0417558601202977
1006,100,N2,0.8146881287726359,0.0356148188385008
1506,150,N2,0.8175855130784708,0.0314423257387202
1996,199,N2,0.8232997987927565,0.0361777114240472
157,15,TD_U,0.8146881287726359,0.0396804456864943
507,50,TD_U,0.8146881287726359,0.0396804456864943
1007,100,TD_U,0.8090140845070423,0.0334746816532466
1507,150,TD_U,0.8061569416498994,0.0303254762080445
1997,199,TD_U,0.8204426559356136,0.0332852369578481
158,15,Uniform,0.811871227364185,0.0360702918350051
508,50,Uniform,0.8204426559356136,0.0332852369578481
1008,100,Uniform,0.8204426559356136,0.0332852369578481
1508,150,Uniform,0.8175855130784708,0.0314423257387202
1998,199,Uniform,0.8175855130784708,0.0314423257387202
159,15,kDN,0.8119114688128773,0.0239349526794319
509,50,kDN,0.8147283702213279,0.0273291733645137
1009,100,kDN,0.8147283702213279,0.0273291733645137
1509,150,kDN,0.8203621730382293,0.0365093856039456
1999,199,kDN,0.8147283702213279,0.0273291733645137
