,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
150,15,CLD,0.7203333333333333,0.0130915579244369,0.7081666666666667,0.007578295029593,0.6913333333333334,0.0061969974808594,0.6893333333333334,0.0046547466812562
500,50,CLD,0.7316666666666667,0.0113038833052088,0.7060000000000001,0.0120962574561078,0.6951666666666666,0.0071540586771115,0.6903333333333334,0.0076285283275638
1000,100,CLD,0.7333333333333333,0.0083333333333333,0.7068333333333333,0.0082369425287677,0.6980000000000001,0.0111274185885336,0.6873333333333334,0.0062749501990055
1500,150,CLD,0.7348333333333333,0.0102299940262826,0.709,0.0091172912644052,0.6976666666666667,0.0091552959779815,0.6901666666666667,0.0048733971724044
1990,199,CLD,0.7321666666666666,0.0109227082518739,0.7085,0.0085269181615242,0.6965,0.0071540586771115,0.6896666666666667,0.0079188593454696
151,15,DCP,0.7193333333333334,0.0086882743459856,0.7093333333333334,0.0056334812603852,0.6983333333333334,0.0095014618758261,0.693,0.0074675222724066
501,50,DCP,0.7270000000000001,0.0056396414385628,0.7051666666666667,0.0066510233130782,0.7013333333333334,0.008591824279188,0.6981666666666666,0.0063025568003963
1001,100,DCP,0.7276666666666667,0.0085269181615243,0.7096666666666667,0.008591824279188,0.7028333333333333,0.0066822733989097,0.6968333333333334,0.0055088312936794
1501,150,DCP,0.7276666666666667,0.0081094937504685,0.7113333333333334,0.004273627134986,0.7025,0.0063190628700429,0.6951666666666666,0.0072024301454439
1991,199,DCP,0.7286666666666667,0.0096573230705454,0.7115,0.0030844592538869,0.7026666666666667,0.0058154487741225,0.6956666666666667,0.0107270426700207
152,15,F1,0.6956666666666667,0.0065457789622184,0.7046666666666667,0.0090829510622924,0.7013333333333334,0.0062249497989943,0.7001666666666667,0.0036036247184066
502,50,F1,0.7028333333333333,0.0064710895527724,0.7076666666666667,0.0065457789622184,0.705,0.0111648008391452,0.7053333333333333,0.0057312496213497
1002,100,F1,0.7068333333333333,0.0061066903201871,0.7093333333333333,0.00584522597225,0.7055,0.0078748897699516,0.7056666666666667,0.0057554322166106
1502,150,F1,0.7073333333333334,0.0058748522440048,0.7086666666666666,0.0101994008538628,0.7061666666666666,0.0095670150923775,0.7061666666666666,0.0032596012026013
1992,199,F1,0.7088333333333333,0.0052572700985291,0.7071666666666667,0.0073974470070573,0.7064999999999999,0.0095996238352227,0.7066666666666667,0.0064280202585589
153,15,Hostility,0.7206666666666667,0.0036987235035287,0.7056666666666667,0.0095452140421842,0.6941666666666666,0.0060953078493032,0.693,0.0078748897699516
503,50,Hostility,0.7296666666666667,0.0101653004546512,0.7095,0.0059102077421657,0.7021666666666666,0.0068869845037981,0.688,0.0100104112469635
1003,100,Hostility,0.7300000000000001,0.0094464867072955,0.7096666666666667,0.0097111047546381,0.7005,0.0092908258214458,0.6903333333333334,0.0118526837092327
1503,150,Hostility,0.7321666666666667,0.008948153130364,0.709,0.007848389785314,0.6988333333333333,0.0101482072855806,0.6913333333333334,0.0091969197742142
1993,199,Hostility,0.7311666666666666,0.0083873250933907,0.712,0.0080493270940288,0.6991666666666667,0.0126381257400859,0.6936666666666667,0.0086321427750523
154,15,LSC,0.7078333333333333,0.0079407528330477,0.7008333333333334,0.0053683744694688,0.7030000000000001,0.0073739406018762,0.7008333333333333,0.0087400737347512
504,50,LSC,0.7144999999999999,0.0066301080936386,0.7066666666666667,0.0054645321035849,0.7045,0.0064710895527724,0.702,0.0074907350180814
1004,100,LSC,0.7163333333333334,0.0092533777616608,0.7105,0.0056087728901545,0.7095,0.0089092648406027,0.7031666666666666,0.008787617550976
1504,150,LSC,0.7196666666666667,0.0079625861237274,0.7098333333333333,0.0060207972893961,0.7103333333333334,0.0078748897699516,0.7031666666666666,0.007804023178962
1994,199,LSC,0.72,0.0093726848993349,0.7118333333333333,0.0075092535507125,0.7091666666666667,0.006180165405913,0.7038333333333333,0.0090638169541191
155,15,N1,0.7141666666666666,0.0052704627669472,0.7175,0.0058034951154934,0.7058333333333333,0.0084368569713819,0.7156666666666667,0.0053489355119603
505,50,N1,0.7171666666666667,0.0072552662865596,0.7195,0.0074675222724066,0.7165,0.0083624491362014,0.7205,0.0087519839020773
1005,100,N1,0.7230000000000001,0.0036132472314464,0.7163333333333333,0.0060265615772548,0.718,0.0058511632271806,0.7175,0.0069721668877839
1505,150,N1,0.7205,0.0047360907461276,0.7213333333333334,0.0051234753829797,0.7178333333333333,0.0054198708471696,0.7176666666666667,0.0057251880124392
1995,199,N1,0.7220000000000001,0.0055777335102271,0.7201666666666666,0.0043060035609212,0.7166666666666666,0.0047871355387816,0.7181666666666666,0.0055088312936794
156,15,N2,0.7165,0.0067288764127287,0.7145,0.0089092648406027,0.7060000000000001,0.0101618841210126,0.7086666666666666,0.0111430097669645
