,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.8147283702213279,0.0308377260744158
500,50,CLD,0.8232997987927565,0.0282599136985409
1000,100,CLD,0.8175855130784708,0.0261246511724118
1500,150,CLD,0.8175855130784708,0.0261246511724118
1990,199,CLD,0.811871227364185,0.0242235471964104
151,15,DCP,0.797625754527163,0.028181730386431
501,50,DCP,0.811871227364185,0.0298814773355722
1001,100,DCP,0.811871227364185,0.0298814773355722
1501,150,DCP,0.8090140845070423,0.0334746816532466
1991,199,DCP,0.8005633802816903,0.0267557975211859
152,15,F1,0.8204426559356136,0.0332852369578481
502,50,F1,0.8261569416498993,0.0398920952255506
1002,100,F1,0.8261569416498993,0.0398920952255506
1502,150,F1,0.8261569416498993,0.0398920952255506
1992,199,F1,0.8261569416498993,0.0398920952255506
153,15,Hostility,0.8232997987927565,0.0300110569386603
503,50,Hostility,0.8232595573440644,0.0377234338236167
1003,100,Hostility,0.8261167002012073,0.0413025102865041
1503,150,Hostility,0.8204024144869215,0.0349549741236355
1993,199,Hostility,0.8204024144869215,0.0349549741236355
154,15,LSC,0.8090140845070423,0.0416269048782802
504,50,LSC,0.8204426559356136,0.0332852369578481
1004,100,LSC,0.8204426559356136,0.0332852369578481
1504,150,LSC,0.8204426559356136,0.0332852369578481
1994,199,LSC,0.8204426559356136,0.0332852369578481
155,15,N1,0.8146881287726359,0.0356148188385008
505,50,N1,0.8147283702213279,0.0308377260744158
1005,100,N1,0.8118309859154931,0.0332870005252663
1505,150,N1,0.8147283702213279,0.0273291733645137
1995,199,N1,0.8147283702213279,0.0273291733645137
156,15,N2,0.8231388329979878,0.0496274719053648
506,50,N2,0.8232595573440644,0.0302134635189702
1006,100,N2,0.8290140845070422,0.0352317847669213
1506,150,N2,0.8175855130784708,0.0261246511724118
1996,199,N2,0.8147283702213279,0.0308377260744158
157,15,TD_U,0.808933601609658,0.0486178074529813
507,50,TD_U,0.8175452716297787,0.0347032626983547
1007,100,TD_U,0.8061569416498994,0.0364389595426488
1507,150,TD_U,0.8118309859154931,0.0376051439692587
1997,199,TD_U,0.8146881287726359,0.0356148188385008
158,15,Uniform,0.8147283702213279,0.0308377260744158
508,50,Uniform,0.811871227364185,0.0281222664703573
1008,100,Uniform,0.8204426559356136,0.0332852369578481
1508,150,Uniform,0.8175855130784708,0.0314423257387202
1998,199,Uniform,0.8204426559356136,0.0332852369578481
159,15,kDN,0.8175855130784708,0.0261246511724118
509,50,kDN,0.8147283702213279,0.0273291733645137
1009,100,kDN,0.8119114688128773,0.0239349526794319
1509,150,kDN,0.8119114688128773,0.0239349526794319
1999,199,kDN,0.8119114688128773,0.0239349526794319
