,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.8147283702213279,0.0368663615610061
500,50,CLD,0.8175855130784708,0.0314423257387202
1000,100,CLD,0.8204426559356136,0.0332852369578481
1500,150,CLD,0.8175855130784708,0.0314423257387202
1990,199,CLD,0.8175855130784708,0.0314423257387202
151,15,DCP,0.811871227364185,0.0331207536207946
501,50,DCP,0.8061569416498994,0.0303254762080445
1001,100,DCP,0.8090140845070423,0.0285382526235685
1501,150,DCP,0.8090140845070423,0.0285382526235685
1991,199,DCP,0.8090140845070423,0.0285382526235685
152,15,F1,0.8147283702213279,0.0291363095314793
502,50,F1,0.8261569416498993,0.0398920952255506
1002,100,F1,0.8232997987927565,0.0388961236697784
1502,150,F1,0.8232997987927565,0.0361777114240472
1992,199,F1,0.8232997987927565,0.0361777114240472
153,15,Hostility,0.8232595573440644,0.0363457926467186
503,50,Hostility,0.8204024144869215,0.0349549741236355
1003,100,Hostility,0.8175855130784708,0.0314423257387202
1503,150,Hostility,0.8204426559356136,0.0332852369578481
1993,199,Hostility,0.8204426559356136,0.0332852369578481
154,15,LSC,0.8147283702213279,0.0291363095314793
504,50,LSC,0.8147283702213279,0.0308377260744158
1004,100,LSC,0.8147283702213279,0.0308377260744158
1504,150,LSC,0.8147283702213279,0.0308377260744158
1994,199,LSC,0.811871227364185,0.0315427250579724
155,15,N1,0.8261167002012073,0.0387532672598546
505,50,N1,0.8232595573440644,0.0363457926467186
1005,100,N1,0.8147283702213279,0.0308377260744158
1505,150,N1,0.8147283702213279,0.0308377260744158
1995,199,N1,0.8147283702213279,0.0308377260744158
156,15,N2,0.8147283702213279,0.0291363095314793
506,50,N2,0.8290140845070422,0.0352317847669213
1006,100,N2,0.8232997987927565,0.0282599136985409
1506,150,N2,0.8175855130784708,0.0261246511724118
1996,199,N2,0.8204426559356136,0.0332852369578481
157,15,TD_U,0.8089738430583502,0.0405155653799788
507,50,TD_U,0.811871227364185,0.0281222664703573
1007,100,TD_U,0.8175855130784708,0.0314423257387202
1507,150,TD_U,0.811871227364185,0.0281222664703573
1997,199,TD_U,0.8090140845070423,0.0334746816532466
158,15,Uniform,0.8232997987927565,0.0316655073368807
508,50,Uniform,0.8232997987927565,0.0388961236697784
1008,100,Uniform,0.8204426559356136,0.0332852369578481
1508,150,Uniform,0.8204426559356136,0.0332852369578481
1998,199,Uniform,0.8175855130784708,0.0314423257387202
159,15,kDN,0.8118309859154931,0.0376051439692587
509,50,kDN,0.8147283702213279,0.0273291733645137
1009,100,kDN,0.8147283702213279,0.0273291733645137
1509,150,kDN,0.811871227364185,0.0315427250579724
1999,199,kDN,0.811871227364185,0.0315427250579724
