,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
150,15,CLD,0.968,0.0041499665326628,0.978,0.0032058973436118,0.9773333333333334,0.0048016200969626,0.9726666666666668,0.0071297498787358
500,50,CLD,0.967,0.0081137742964254,0.979,0.0049441323247304,0.9793333333333332,0.0050826502273256,0.9766666666666666,0.006561673228343
1000,100,CLD,0.9706666666666668,0.0091742392963485,0.9803333333333332,0.0046248123085038,0.9786666666666668,0.0053229064742237,0.979,0.0045030853620354
1500,150,CLD,0.9713333333333332,0.0074907350180814,0.98,0.0039086797998528,0.9793333333333332,0.0041833001326703,0.9786666666666668,0.0034156502553199
1990,199,CLD,0.9736666666666668,0.0066038709187196,0.9793333333333332,0.0050826502273256,0.978,0.0038005847503304,0.9796666666666668,0.0046248123085038
151,15,DCP,0.9663333333333334,0.0134577528254575,0.973,0.0101653004546512,0.9733333333333334,0.0090523170760002,0.9756666666666668,0.0059628479399994
501,50,DCP,0.9663333333333334,0.0106327586051577,0.9743333333333334,0.00584522597225,0.9763333333333334,0.0073974470070573,0.9783333333333332,0.0063464775882198
1001,100,DCP,0.967,0.0140633487398193,0.975,0.0058925565098878,0.976,0.0065192024052026,0.9783333333333332,0.0067700320038632
1501,150,DCP,0.9666666666666666,0.0119605834120061,0.976,0.0054772255750516,0.9763333333333334,0.0072072494368132,0.977,0.0059395098937351
1991,199,DCP,0.968,0.0116308975482452,0.9746666666666666,0.0049159604012508,0.9766666666666668,0.0071686043892021,0.9773333333333334,0.0069322114476951
152,15,F1,0.9763333333333334,0.0087717982446271,0.9766666666666666,0.0069721668877839,0.9736666666666668,0.0075828754440515,0.9693333333333334,0.0067288764127288
502,50,F1,0.9773333333333334,0.0022360679774997,0.9783333333333332,0.0040824829046385,0.9763333333333334,0.0069121471177759,0.976,0.0056025787713238
1002,100,F1,0.9773333333333334,0.0025276251480171,0.9793333333333332,0.00584522597225,0.9743333333333334,0.0046547466812563,0.9756666666666668,0.0050826502273256
1502,150,F1,0.9776666666666668,0.0030276503540975,0.9796666666666668,0.0050552502960343,0.9756666666666668,0.0038369548110737,0.975,0.0048591265790377
1992,199,F1,0.9773333333333334,0.0030276503540974,0.9783333333333332,0.0039086797998528,0.976,0.0036514837167011,0.9753333333333334,0.0049159604012509
153,15,Hostility,0.9626666666666668,0.014073221221723,0.9646666666666668,0.0110805134257298,0.9663333333333334,0.0090061707240708,0.967,0.0087717982446271
503,50,Hostility,0.9666666666666666,0.0096465307523252,0.9693333333333334,0.0079582242575421,0.9696666666666668,0.0059395098937351,0.9696666666666668,0.0066038709187196
1003,100,Hostility,0.9646666666666668,0.0096752835158,0.9686666666666668,0.0082831824265261,0.97,0.0069721668877839,0.9696666666666668,0.0073974470070574
1503,150,Hostility,0.965,0.008897565210026,0.969,0.0063025568003963,0.97,0.0068718427093627,0.9696666666666668,0.0062804812271389
1993,199,Hostility,0.9653333333333332,0.0074907350180814,0.9686666666666668,0.0068109389139008,0.9706666666666668,0.0059628479399994,0.9696666666666668,0.0062804812271389
154,15,LSC,0.973,0.0073974470070574,0.975,0.006972166887784,0.9763333333333334,0.0067082039324992,0.9756666666666666,0.0075092535507125
504,50,LSC,0.9743333333333334,0.00584522597225,0.977,0.0059395098937351,0.9796666666666668,0.005451809077932,0.9786666666666668,0.0046248123085038
1004,100,LSC,0.975,0.0066666666666666,0.9783333333333332,0.0068718427093627,0.979,0.0048016200969626,0.9786666666666668,0.0046248123085038
1504,150,LSC,0.9746666666666666,0.0057008771254956,0.9786666666666668,0.0070118946559875,0.9783333333333332,0.0042491829279939,0.9793333333333332,0.0048016200969625
1994,199,LSC,0.9753333333333334,0.0066038709187196,0.9783333333333332,0.0067700320038632,0.9786666666666668,0.0041499665326628,0.98,0.0052704627669472
