,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.8987999999999999,0.0052153619241621
500,50,CLD,0.9036,0.002607680962081
1000,100,CLD,0.9032,0.0026832815729997
1500,150,CLD,0.904,0.0031622776601683
1990,199,CLD,0.9036,0.0035777087639996
151,15,DCP,0.9132,0.0083186537372341
501,50,DCP,0.914,0.0074833147735478
1001,100,DCP,0.9128,0.0076941536246685
1501,150,DCP,0.9132,0.0071554175279993
1991,199,DCP,0.9132,0.0074296702484027
152,15,F1,0.9088,0.0062609903369994
502,50,F1,0.912,0.0046904157598234
1002,100,F1,0.9128,0.0079498427657407
1502,150,F1,0.9124,0.0060663003552412
1992,199,F1,0.9132,0.0072938330115241
153,15,Hostility,0.9164,0.0121161049846887
503,50,Hostility,0.9156,0.0095289033996572
1003,100,Hostility,0.9156,0.01161034021896
1503,150,Hostility,0.916,0.0124096736459908
1993,199,Hostility,0.916,0.0124096736459908
154,15,LSC,0.9144,0.0080498447189992
504,50,LSC,0.916,0.0061644140029689
1004,100,LSC,0.9172,0.0064187226143524
1504,150,LSC,0.9172,0.0064187226143524
1994,199,LSC,0.9176,0.0062289646009589
155,15,N1,0.9192,0.0070142711667
505,50,N1,0.9192,0.0065726706900619
1005,100,N1,0.9200000000000002,0.0072111025509279
1505,150,N1,0.9200000000000002,0.0072111025509279
1995,199,N1,0.9204,0.008414273587185
156,15,N2,0.9128,0.0052153619241621
506,50,N2,0.9144,0.0055497747702046
1006,100,N2,0.9156,0.0057271284253105
1506,150,N2,0.9152,0.0059329587896765
1996,199,N2,0.9164,0.0055497747702046
157,15,TD_U,0.9048,0.006870225614927
507,50,TD_U,0.9096,0.0053665631459994
1007,100,TD_U,0.9092,0.0076941536246685
1507,150,TD_U,0.91,0.0064807406984078
1997,199,TD_U,0.9104,0.0065421708935184
158,15,Uniform,0.908,0.0063245553203367
508,50,Uniform,0.9088,0.0038987177379235
1008,100,Uniform,0.91,0.0058309518948453
1508,150,Uniform,0.9096,0.0053665631459994
1998,199,Uniform,0.9088,0.0043817804600413
159,15,kDN,0.9108,0.0046043457732885
509,50,kDN,0.9124,0.002607680962081
1009,100,kDN,0.9112,0.0026832815729997
1509,150,kDN,0.9112,0.0017888543819998
1999,199,kDN,0.9108,0.0010954451150103
