,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.891,0.0129421791055447
500,50,CLD,0.8903333333333334,0.0116308975482452
1000,100,CLD,0.8896666666666666,0.0147855034108112
1500,150,CLD,0.8906666666666666,0.0123378370155478
1990,199,CLD,0.8903333333333332,0.0081989159174991
151,15,DCP,0.8870000000000001,0.0121563883525403
501,50,DCP,0.889,0.0116428327977153
1001,100,DCP,0.8906666666666666,0.0130490527540422
1501,150,DCP,0.89,0.0113651514141548
1991,199,DCP,0.8886666666666667,0.0123265747247337
152,15,F1,0.8779999999999999,0.0125499003980111
502,50,F1,0.8816666666666666,0.0131233464566863
1002,100,F1,0.8843333333333334,0.0122247472139281
1502,150,F1,0.8859999999999999,0.0157938103206428
1992,199,F1,0.8866666666666667,0.0164991582276861
153,15,Hostility,0.8836666666666666,0.0154290490813774
503,50,Hostility,0.8916666666666666,0.0135912553585834
1003,100,Hostility,0.8936666666666667,0.0153387671531247
1503,150,Hostility,0.893,0.0139144209764944
1993,199,Hostility,0.8923333333333334,0.0152114722788061
154,15,LSC,0.8856666666666667,0.0123939949617187
504,50,LSC,0.8876666666666667,0.0138744369255116
1004,100,LSC,0.8873333333333333,0.0127257394458806
1504,150,LSC,0.8869999999999999,0.0140138820063852
1994,199,LSC,0.8873333333333333,0.0148417579072621
155,15,N1,0.8896666666666666,0.0145009578227708
505,50,N1,0.8906666666666666,0.0179737462860572
1005,100,N1,0.8903333333333332,0.01613312672044
1505,150,N1,0.8933333333333333,0.0152752523165194
1995,199,N1,0.8933333333333333,0.0154110350074224
156,15,N2,0.8869999999999999,0.0128776291813879
506,50,N2,0.8896666666666666,0.0136116779927302
1006,100,N2,0.8883333333333333,0.0131761569173682
1506,150,N2,0.889,0.0152570566551277
1996,199,N2,0.8893333333333333,0.0150738920727933
157,15,TD_U,0.8816666666666666,0.0131233464566863
507,50,TD_U,0.8873333333333333,0.0156613466144446
1007,100,TD_U,0.8873333333333333,0.0161417333504043
1507,150,TD_U,0.8866666666666667,0.0147667042888911
1997,199,TD_U,0.8886666666666667,0.0144048602908879
158,15,Uniform,0.882,0.0130384048104052
508,50,Uniform,0.8896666666666666,0.0115710366384732
1008,100,Uniform,0.8856666666666666,0.0150738920727933
1508,150,Uniform,0.8876666666666667,0.0144144988736264
1998,199,Uniform,0.8870000000000001,0.0139642400437689
159,15,kDN,0.8893333333333334,0.0165663648530522
509,50,kDN,0.8936666666666667,0.0129314431608471
1009,100,kDN,0.893,0.0133020466261566
1509,150,kDN,0.8923333333333334,0.0137739690075961
1999,199,kDN,0.8933333333333333,0.0139443337755678
