,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
150,15,CLD,0.8865000000000001,0.022953757862276,0.8869999999999999,0.0129180106827638,0.8895,0.0194775511807824,0.8859999999999999,0.0154717484467657
500,50,CLD,0.8865000000000001,0.0180796847317645,0.8895,0.0115108644332213,0.8955,0.0176245567320145,0.8885,0.0114017542509913
1000,100,CLD,0.889,0.018758331482304,0.8885,0.0091172912644052,0.8949999999999999,0.0111803398874989,0.891,0.0153704261489393
1500,150,CLD,0.8875,0.0189571886101288,0.889,0.0106946248181037,0.8965,0.0096176920308356,0.8915,0.0130623504776131
1990,199,CLD,0.8870000000000001,0.0211689631300165,0.89,0.01,0.8949999999999999,0.0079056941504209,0.8935000000000001,0.0094538352005945
151,15,DCP,0.8835000000000001,0.0103983171715426,0.8895,0.0136244265934387,0.8925000000000001,0.0162980060130066,0.8880000000000001,0.0155523310149957
501,50,DCP,0.8865000000000001,0.0152684314846024,0.8895,0.0131576973669407,0.8869999999999999,0.0185741756210066,0.8855000000000001,0.0179756780122475
1001,100,DCP,0.8870000000000001,0.0136244265934386,0.889,0.012820881404958,0.8905,0.0131576973669407,0.8879999999999999,0.0144048602908879
1501,150,DCP,0.8870000000000001,0.0155523310149957,0.891,0.0129421791055447,0.8895,0.0129180106827637,0.8880000000000001,0.0149373692462896
1991,199,DCP,0.8875,0.0146841751555884,0.8905,0.0151451312308609,0.8885,0.0105475115548645,0.8865000000000001,0.0148534507775129
152,15,F1,0.8895,0.0095851447563404,0.884,0.0120675183861471,0.8895,0.0126737918556365,0.89,0.0167705098312484
502,50,F1,0.891,0.0145344418537486,0.8870000000000001,0.0158508674841473,0.889,0.0151657508881031,0.8865000000000001,0.0154717484467658
1002,100,F1,0.8885,0.017102631376487,0.8859999999999999,0.017102631376487,0.8870000000000001,0.0147266764750231,0.8879999999999999,0.0135092560861062
1502,150,F1,0.8880000000000001,0.0157519840020233,0.8865000000000001,0.0134164078649987,0.885,0.0151038074669932,0.8869999999999999,0.0144048602908879
1992,199,F1,0.8885,0.0147478812037526,0.8859999999999999,0.0129421791055447,0.8859999999999999,0.0161632298752446,0.8875,0.0161051234084063
153,15,Hostility,0.889,0.0175534896815419,0.8865000000000001,0.0191702895126808,0.889,0.015165750888103,0.8895,0.0090829510622924
503,50,Hostility,0.8895,0.0177129895839183,0.8905,0.0112361025271221,0.8875,0.0118585412256314,0.8925000000000001,0.0133463478150391
1003,100,Hostility,0.8905,0.0153500814330087,0.89,0.0124999999999999,0.8875,0.0131101106021268,0.892,0.0125499003980111
1503,150,Hostility,0.8915,0.0152684314846024,0.8905,0.012170661444638,0.8859999999999999,0.0120675183861471,0.889,0.0152684314846024
1993,199,Hostility,0.8895,0.0130384048104053,0.8895,0.011645814698852,0.8880000000000001,0.013851895177195,0.8905,0.0165264938810384
154,15,LSC,0.8885,0.0171937488640493,0.8879999999999999,0.0126737918556365,0.8880000000000001,0.0174463463223679,0.893,0.0133930952359788
504,50,LSC,0.8885,0.0139866007306993,0.8905,0.0157519840020233,0.89,0.0121191996435408,0.89,0.0131101106021269
1004,100,LSC,0.8865000000000001,0.0145344418537486,0.893,0.0124247736397891,0.8880000000000001,0.011645814698852,0.8885,0.017102631376487
1504,150,LSC,0.891,0.0109829413182444,0.892,0.0130384048104052,0.8895,0.0147266764750231,0.8905,0.0157519840020233
1994,199,LSC,0.891,0.013181426326464,0.8915,0.015165750888103,0.8895,0.0122983738762488,0.89,0.0141421356237309
155,15,N1,0.892,0.0169004437811555,0.8949999999999999,0.0210653744329408,0.892,0.0188248505970167,0.8885,0.0167332005306814
505,50,N1,0.8939999999999999,0.0182517122484439,0.8939999999999999,0.0172843860174435,0.893,0.0159491379077365,0.891,0.0159687194226713
1005,100,N1,0.893,0.0199530699392349,0.892,0.0160468065358811,0.8915,0.0160662690130596,0.8895,0.0154515371403624
1505,150,N1,0.8935000000000001,0.0194935886896179,0.8915000000000001,0.0153704261489393,0.892,0.0179756780122475,0.8905,0.0155523310149958
1995,199,N1,0.8935000000000001,0.0177306232264971,0.8925000000000001,0.0164886324478411,0.892,0.0179756780122475,0.89,0.0180277563773199
