Dataset,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
ilpd,0.309153713298791,0.382383419689119,0.730870316137268,0.3650318153245,0.458117443868739,1,0.171397461890816,0.605018479243291,0.363327507979754,0.367328727691422,0.437806439830472,0.98883698599999,0.904550311408326,0.00345423143350604,0.988868940209332,0.839550949913644,0.614944576676015,0.765888262684638,0.946065877030485
ionosphere,0.0655270655270655,0.124786324786325,0.439989292338286,0.155026876106019,0.646723646723647,0.89031339031339,0.157948717948718,0.640149024764409,0.186004843963524,0.112804685026907,0.322899488791954,0.856346459096459,0.708230099063239,0.0056980056980057,0.85704246370913,0.777605110938444,0,0.789555857703742,0.982866275444686
liver-disorders,0.255172413793103,0.348965517241379,0.487931034482759,0.318589194938379,0.48735632183908,0.768965517241379,0.147509578544061,0.647245342845818,0.391802068856723,0.335057471264368,0.433151833616758,0.956623186534074,0.798060754345578,0.0137931034482759,0.957213514454894,0.928275862068966,0.687378259760975,0.817111686706581,0.943854623076583
mammographic,0.163855421686747,0.260722891566265,0.714980677426688,0.228162134369259,0.553392517438174,0.738152610441767,0.0272904263423718,0.666387961484492,0.285570612519885,0.257511474469306,0.226993753045191,0.983989099133553,0.971956045978985,0.00240963855421687,0.984027303477075,0.734939759036145,0.678134814945645,0.798452509822162,0.9079749937451
musk1,0.136554621848739,0.221008403361345,0.474240163355062,0.0629294632493743,0.612152553329024,0.577540106951872,0.100231170535129,0.661011463408893,0.447547329788686,0.173399359743898,0.378454114548482,0.971636296164604,0.779366007684639,0.00420168067226891,0.971762801343801,0.94079680064797,0.591696145761143,0.808888422669363,0.998010913802497
parkinsons,0.123076923076923,0.0933333333333334,0.397409463388845,0.221067989495185,0.602564102564102,1,0.165777080062794,0.580749506903353,0.311172292226339,0.075982905982906,0.32121375408693,0.846037262067574,0.760799743741541,0.0102564102564103,0.847520931449503,0.818881118881119,0.574656992243333,0.762044456239869,0.962267040956723
phoneme,0.102701702442635,0.147742413027387,0.754526309583855,0.172242365123304,0.41339748334567,0.475866641993585,0.171571879511093,0.609802792496096,0.311606197475232,0.118140883296324,0.246274044347623,0.971940564356202,0.893705622997608,0.000370096225018505,0.971948378931292,0.972538860103627,0.743343848936354,0.856085692768322,0.951219333788813
pima,0.19921875,0.31328125,0.730649038461539,0.284579290472845,0.567808493589744,0.59765625,0.161916666666667,0.636248553240741,0.332725480292108,0.304210069444444,0.454191605936901,0.984783969859194,0.84481573430854,0.00260416666666667,0.984817669465174,0.85888671875,0.681206453932371,0.813310032056068,0.960738972414303
profb,0.318452380952381,0.432142857142857,0.672619047619048,0.416569228407091,0.48817791005291,1,0.166666666666667,0.62962962962963,0.416351753772047,0.414037698412698,0.480473961829033,0.9960596176804,0.842753320670059,0.00297619047619048,0.996070498511905,0.672949735449735,0.665772303941497,0.787120620237229,0.966821618513884
ring,0.129864864864865,0.317972972972973,0.630948746136774,0.121835740803583,0.501852146263911,0.562567567567568,0.00954221887840733,0.666635110786462,0.0310683578192378,0.320962442705864,0.456225873040647,0.972500414034116,0.603622008683728,0.00027027027027027,0.972507775675398,0.959837837837838,0.692257579801875,0.870993793394824,0.988300462496269
saheart,0.216450216450216,0.37012987012987,0.721405787195261,0.337972101646882,0.502473716759431,0.857142857142857,0.162839368137381,0.635176752059869,0.374660264895927,0.366774891774892,0.466050275449647,0.986342682857445,0.836534086828169,0.00432900432900433,0.986394186663226,0.815536315536316,0.6646588760526,0.789078568951577,0.945892338195116
segment,0.0376623376623377,0.0464935064935065,0.285711654100712,0.0216081021973433,0.412121212121212,0.432745825602968,0,0.875,0.287840369541904,0.0387229437229437,0.170398567090832,0.668550901985552,0.68594897415034,0.000505050505050505,0.669555293191657,0.522320953899901,0,0.176381409213357,0.245345292313003
sonar,0.153846153846154,0.197115384615385,0.389423076923077,0.365041176169703,0.802197802197802,1,0.0588184338184338,0.665156558185404,0.466306180528205,0.175721153846154,0.413269479991761,0.940456548659673,0.612678976628247,0.00961538461538462,0.941025730329854,0.960576923076923,0.637984478458853,0.803387946857218,0.990213067673147
spambase,0.0859256036545573,0.128344572547313,0.590844403771575,0.0961206210531362,0.518298378738052,0.651963655226653,0.137711855636081,0.651733379442606,0.261014479684868,0.102204846249876,0.271400360081187,0.98904553536456,0.890698741817108,0.000435066347618012,0.989050196845663,0.213071835560186,0.55930036137555,0.676877379664621,0.861805252785842
spectfheart,0.228464419475655,0.28314606741573,0.489578244585572,0.274742661944369,0.636704119850187,1,0.152551056462441,0.551412793932678,0.26157326716979,0.307240948813982,0.46857934748798,0.940876629331819,0.689510665587722,0.00749063670411985,0.94119753824015,0.848399727613211,0.539823501914156,0.802389896188113,0.994060697962405
steel-plates-fault,0.00257599175682638,0.0275115919629057,0.3600301145703,0,0.610853511935428,0.610853511935428,0.162699883145863,0.635343792488049,0.207546319244007,0.0220504894384338,0.252001087125191,0.952693683608573,0.81967165778782,0.00103039670273055,0.952738376763464,0.68844550606529,0,0.631240011701099,0.978160112414172
sylvine,0.209016393442623,0.260850897736144,0.580705058624005,0.0874417212367609,0.496740827478532,0.53551912568306,0,0.666666666666667,0.165185338743073,0.246347205466058,0.468399512942487,0.998285853282941,0.737934405138261,0.00039032006245121,0.998286522348794,0.977888368462139,0.652527246744094,0.803282581504101,0.971890062823315
teaching_assistant_LH,0.277227722772277,0.415841584158416,0.690784463061691,0.231476738407431,0.492719860221316,0.671067106710671,0.027989337395278,0.666372577851844,0.406431901907107,0.441301272984441,0.188148454611057,0.9546447291788,0.951285944739473,0.0198019801980198,0.955534917698991,0.316831683168317,0.665713768995335,0.719985214605985,0.827575208155953
teaching_assistant_LM,0.343434343434343,0.446464646464646,0.474747474747475,0.40354629453162,0.563131313131313,0.912457912457912,0.00989898989898991,0.666632656531647,0.49186816252451,0.436387686387686,0.183600714661305,0.964959973888545,0.968394826279516,0.0202020202020202,0.965668934240363,0.296296296296296,0.662646821988222,0.714784617749154,0.815040364592573
teaching_assistant_MH,0.274509803921569,0.431372549019608,0.535947712418301,0.107516339869281,0.638888888888889,0.625816993464052,0.0188536953242835,0.666538510829168,0.457779491013922,0.566830065359477,0.233760908688402,0.96748895636686,0.985220271358295,0.0196078431372549,0.968129713423831,0.297385620915033,0.661058746553525,0.712281396016698,0.809118774829902
titanic,0.163483575248281,0.27196333078686,0.816126119869435,0.340167906519011,0.552732097623739,1,0.145894968842689,0.648092197501266,0.428117217993752,0.277327294554185,0.285172681928071,0.989364586035067,0.98507756825517,0.00152788388082506,0.989382801013427,0.278923690688397,0.663725014007737,0.687935548847687,0.802331469416595
vehicle2,0.0271867612293144,0.0614657210401891,0.457938558713753,0,0.622192671394799,0.622192671394799,0.168232672298264,0.588376767693703,0.257093790107313,0.0347320724980299,0.336317836806032,0.934995451232853,0.82538632109014,0.00236406619385343,0.935160152257301,0.889939584975046,0.648483019140672,0.784651735090517,0.960528681414367
vertebral_column,0.232258064516129,0.254838709677419,0.554010062148565,0.139404780254607,0.331612903225806,0.489677419354839,0.168970814132104,0.624696496704821,0.284414810792249,0.225268817204301,0.413275455429665,0.958347481607244,0.865148936146374,0.00645161290322581,0.958589861751152,0.874731182795699,0.642241913011923,0.807558368593817,0.941469662927198
wdbc,0.0421792618629174,0.0463971880492091,0.324706927518878,0.0932738732782483,0.559851591486038,0.833040421792619,0.151329424564202,0.645020040503128,0.116779029374091,0.0478617457527827,0.361047629506448,0.784825199707522,0.738394767455413,0.00351493848857645,0.785624257329685,0.832688927943761,0.579399496351037,0.76854551573416,0.968947682471783
WineQualityRed_5vs6,0.238817285822593,0.353297952994693,0.697413865723191,0.434605124471898,0.526071940021902,1,0.0305419827017086,0.666312403446987,0.439801261869513,0.349711180909058,0.311649367832998,0.994867084292165,0.863843850495498,0.00151630022744503,0.994874839411051,0.982080088221104,0.687071660682237,0.804350392216013,0.961776890437682
Yeast_CYTvsNUC,0.334080717488789,0.41390134529148,0.73331197950032,0.451175014806667,0.552192326856004,1,0.0353175333417273,0.666182375139925,0.499547951892863,0.413994768310912,0.443502720922475,0.995953169701651,0.909363489249892,0.00224215246636771,0.99596220204168,0.736967488789238,0,0.714248564886043,0.951641792525916
yeast1,0.213611859838275,0.295687331536388,0.779828138318704,0.325804891763848,0.466951834056018,0.949685534591195,0.171532044812918,0.607352339298126,0.407247558485538,0.301591580028238,0.414750027850382,0.991529580643584,0.906194417262986,0.00134770889487871,0.991538781049646,0.736354447439353,0,0.711805118732236,0.949384024690019
