Dataset,alpha,split,weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std
wdbc,18,30,CLD,0.9526882682897719,0.9595551378446115,0.023142685884484582
wdbc,18,30,DCP,0.9587331423797588,0.9613095238095236,0.007660834046530574
wdbc,18,30,F1,0.9541994868122687,0.9578007518796992,0.010665185959326395
wdbc,18,30,Hostility,0.9582124955245255,0.9612781954887218,0.00900341431007127
wdbc,18,30,LSC,0.9551169590643275,0.9595551378446115,0.013180868673294068
wdbc,18,30,N1,0.95687731232844,0.9595551378446115,0.0067084726878853295
wdbc,18,30,N2,0.9567937701396347,0.9613095238095236,0.012797994006902878
wdbc,18,30,TD_U,0.9573308270676693,0.9613408521303258,0.011458086537170899
wdbc,18,30,kDN,0.9549573338107171,0.9560463659147868,0.005996087597875466
titanic,2,16,CLD,0.7956256466180129,0.7975748678802115,0.00988188093891505
titanic,2,16,DCP,0.7975547353409949,0.798314738696418,0.003450355183093476
titanic,2,16,F1,0.7835089338142773,0.7876159718144451,0.01870133482300437
titanic,2,16,Hostility,0.795175460671644,0.7952436876100999,0.003803236446580895
titanic,2,16,LSC,0.7912454212454213,0.7929477392836171,0.005976218518755949
titanic,2,16,N1,0.7896787182283366,0.7906635349383441,0.002924644024206839
titanic,2,16,N2,0.7935570282135167,0.7945038167938931,0.005531688453839642
titanic,2,16,TD_U,0.7902382350473954,0.7929653552554315,0.01080043543165211
titanic,2,16,kDN,0.7926709168693902,0.7929594832648268,0.004298654996715126
profb,20,18,CLD,0.6790313140181445,0.679982440737489,0.008580013213922101
profb,20,18,DCP,0.6692420251682762,0.6681079894644425,0.007870240805755721
profb,20,18,F1,0.6659726577198043,0.6755048287971905,0.025666949355323494
profb,20,18,Hostility,0.676379656340148,0.6800263388937664,0.011401442851804082
profb,20,18,LSC,0.6658461892219575,0.6666154521510096,0.01257683417718017
profb,20,18,N1,0.6634589656758225,0.668064091308165,0.014735679356053171
profb,20,18,N2,0.6658974037376144,0.668064091308165,0.010037897163563632
profb,20,18,TD_U,0.6499655085914963,0.6577041264266901,0.022939092317488606
profb,20,18,kDN,0.6575724319578578,0.6591966637401229,0.008757112803053519
wdbc,4,6,CLD,0.9561448263515933,0.9595551378446115,0.011408401850136713
wdbc,4,6,DCP,0.9613080319847237,0.963063909774436,0.009451175859666703
wdbc,4,6,F1,0.9580454111469149,0.9595551378446115,0.00693823376921326
wdbc,4,6,Hostility,0.954342701993078,0.956015037593985,0.009478359907706069
wdbc,4,6,LSC,0.9576351593268887,0.9613095238095236,0.012121680514112231
wdbc,4,6,N1,0.9577932927556987,0.9595238095238094,0.0060324624318635785
wdbc,4,6,N2,0.9570488721804511,0.9595551378446115,0.010071633682720635
wdbc,4,6,TD_U,0.958721207781358,0.963063909774436,0.01429835501628102
wdbc,4,6,kDN,0.9576321756772883,0.9595551378446115,0.004672107045600821
segment,14,18,CLD,0.9704390847247991,0.976190476190476,0.021972476678751185
segment,14,18,DCP,0.9709338280766853,0.9757575757575758,0.018967899742318634
segment,14,18,F1,0.9742321170892599,0.9787878787878788,0.018134146454211138
segment,14,18,Hostility,0.9706864564007421,0.974025974025974,0.011558638434971315
segment,14,18,LSC,0.9700474129045557,0.9753246753246751,0.017585894251092686
segment,14,18,N1,0.9725417439703153,0.974025974025974,0.005042075599410395
segment,14,18,N2,0.9706864564007421,0.9753246753246751,0.016041366556466118
