Dataset,alpha,split,weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std
segment,14,18,TD_U,0.9692640692640693,0.9748917748917748,0.022760025873426345
segment,14,18,kDN,0.9720882292310863,0.9748917748917748,0.008204141706990825
WineQualityRed_5vs6,16,20,CLD,0.7893421675864425,0.8006014341892204,0.029994934572754272
WineQualityRed_5vs6,16,20,DCP,0.7845351001839551,0.7968193384223918,0.03329825237943619
WineQualityRed_5vs6,16,20,F1,0.7858591366224955,0.7930488086976637,0.027127433260682787
WineQualityRed_5vs6,16,20,Hostility,0.7866489320687794,0.7990978487161693,0.027510863254589655
WineQualityRed_5vs6,16,20,LSC,0.7952232246125375,0.805910247513301,0.02740723860498119
WineQualityRed_5vs6,16,20,N1,0.7882959915402663,0.7975769141799676,0.027298502773173933
WineQualityRed_5vs6,16,20,N2,0.7791965456087594,0.7892551468887347,0.030295440038599852
WineQualityRed_5vs6,16,20,TD_U,0.7836547040745514,0.7930488086976636,0.03310228590926077
WineQualityRed_5vs6,16,20,kDN,0.7864487293876607,0.7952926208651399,0.023783672499241106
liver-disorders,8,18,CLD,0.7562585034013606,0.7533333333333333,0.022359810538286486
liver-disorders,8,18,DCP,0.7418820861678005,0.7461904761904762,0.01125007048652769
liver-disorders,8,18,F1,0.7294784580498865,0.7323809523809524,0.013865980459460771
liver-disorders,8,18,Hostility,0.7643764172335601,0.7671428571428571,0.015181904618234425
liver-disorders,8,18,LSC,0.7612925170068027,0.7671428571428571,0.0199983802389121
liver-disorders,8,18,N1,0.739750566893424,0.7461904761904762,0.020130875107631858
liver-disorders,8,18,N2,0.7483446712018141,0.7457142857142858,0.011159144636409418
liver-disorders,8,18,TD_U,0.7534467120181406,0.759047619047619,0.015367681700878587
liver-disorders,8,18,kDN,0.7329024943310658,0.7390476190476191,0.011324831506913111
spectfheart,8,28,CLD,0.8136073802740469,0.8163817663817664,0.0062580244584081336
spectfheart,8,28,DCP,0.7977072310405644,0.8012820512820513,0.012237528913435219
spectfheart,8,28,F1,0.7969814136480803,0.7978632478632479,0.007873205203917365
spectfheart,8,28,Hostility,0.8047483380816713,0.8052706552706553,0.006491778760742291
spectfheart,8,28,LSC,0.7935897435897437,0.7943019943019942,0.012722321032568831
spectfheart,8,28,N1,0.7925722425722426,0.7977207977207976,0.019749122823015816
spectfheart,8,28,N2,0.8051960385293719,0.808974358974359,0.012358862960328027
spectfheart,8,28,TD_U,0.7919142585809252,0.7941595441595442,0.010627191620137668
spectfheart,8,28,kDN,0.7964523131189798,0.798148148148148,0.01886869791641702
credit-g,12,8,CLD,0.7665238095238096,0.77,0.013977192306107339
credit-g,12,8,DCP,0.760904761904762,0.764,0.013971058520759116
credit-g,12,8,F1,0.7524761904761904,0.756,0.01631140413213726
credit-g,12,8,Hostility,0.7655238095238095,0.768,0.012031704150364817
credit-g,12,8,LSC,0.7475238095238096,0.75,0.010249970963954252
credit-g,12,8,N1,0.7592857142857143,0.763,0.012470536705141692
credit-g,12,8,N2,0.7519523809523809,0.757,0.015415823657775059
credit-g,12,8,TD_U,0.7641428571428571,0.769,0.020135256924821505
credit-g,12,8,kDN,0.763904761904762,0.767,0.008607582482351023
breast-w,12,24,CLD,0.9570176476387656,0.9613664596273293,0.016552034932174522
breast-w,12,24,DCP,0.9563896283150941,0.9584886128364388,0.009675401421494353
breast-w,12,24,F1,0.9558030168589174,0.9571014492753622,0.005721280798399293
breast-w,12,24,Hostility,0.9572897564823031,0.9585300207039336,0.005520038789073356
breast-w,12,24,LSC,0.9592714187124125,0.9627950310559006,0.010562479879739331
breast-w,12,24,N1,0.9526570048309179,0.9527950310559008,0.0040963261807079815
breast-w,12,24,N2,0.9571546879621413,0.9599585921325052,0.011164095118247305
breast-w,12,24,TD_U,0.9570255348516218,0.9599585921325052,0.009315153605629468
breast-w,12,24,kDN,0.9562555456965395,0.9584886128364388,0.005185226883902407
bands,18,26,CLD,0.7164307164307164,0.7261261261261261,0.028557706804074608
bands,18,26,DCP,0.7081438581438582,0.7177177177177178,0.030636413616855575
bands,18,26,F1,0.7171206921206922,0.7366366366366366,0.0534404902341294
bands,18,26,Hostility,0.7254075504075503,0.734009009009009,0.02920528082104013
bands,18,26,LSC,0.7202666952666953,0.7316816816816817,0.033899613548990286
bands,18,26,N1,0.7278457028457028,0.7314564564564565,0.026045554031875424
bands,18,26,N2,0.7093629343629344,0.7232732732732733,0.03787706168367496
bands,18,26,TD_U,0.7158086658086658,0.7204204204204204,0.02531926882061208
bands,18,26,kDN,0.7191477191477191,0.726051051051051,0.02477471194129898
Yeast_CYTvsNUC,10,24,CLD,0.6731044527673741,0.6816104868913857,0.028416734137215318
Yeast_CYTvsNUC,10,24,DCP,0.6753789905475299,0.681598002496879,0.01401673754491653
Yeast_CYTvsNUC,10,24,F1,0.6780310326377742,0.6860549313358302,0.022203973536103264
Yeast_CYTvsNUC,10,24,Hostility,0.6879632602104513,0.6950062421972534,0.017473239137210946
Yeast_CYTvsNUC,10,24,LSC,0.6814285714285715,0.6893508114856429,0.02339847106079614
Yeast_CYTvsNUC,10,24,N1,0.6834302360145057,0.6871660424469413,0.015387501115328422
Yeast_CYTvsNUC,10,24,N2,0.6818904940253255,0.6871535580524345,0.01733177674764945
Yeast_CYTvsNUC,10,24,TD_U,0.6739730099280661,0.6782022471910112,0.01553992663304557
Yeast_CYTvsNUC,10,24,kDN,0.6759538671898222,0.6793383270911361,0.01264110687383397
teaching_assistant_LH,16,10,CLD,0.6736796536796537,0.6727272727272726,0.01700140050253566
teaching_assistant_LH,16,10,DCP,0.665151515151515,0.6636363636363636,0.017761815607192668
teaching_assistant_LH,16,10,F1,0.6678787878787877,0.6636363636363636,0.018753144823504958
teaching_assistant_LH,16,10,Hostility,0.6719913419913419,0.6727272727272726,0.014972755002510744
teaching_assistant_LH,16,10,LSC,0.6779653679653679,0.6836363636363636,0.02339192620815278
teaching_assistant_LH,16,10,N1,0.6772294372294372,0.6836363636363636,0.027374773013853645
teaching_assistant_LH,16,10,N2,0.6732900432900433,0.6927272727272726,0.04303513478146884
teaching_assistant_LH,16,10,TD_U,0.668051948051948,0.6736363636363636,0.007274350468210603
teaching_assistant_LH,16,10,kDN,0.6809523809523809,0.6836363636363636,0.01230627129810223
ionosphere,12,16,CLD,0.9105328798185942,0.9172222222222224,0.023666916083250583
ionosphere,12,16,DCP,0.9154081632653059,0.92015873015873,0.012687651335793899
ionosphere,12,16,F1,0.9145540438397581,0.9202380952380952,0.016552813622460142
ionosphere,12,16,Hostility,0.9200037792894934,0.923015873015873,0.010271799946633513
ionosphere,12,16,LSC,0.9207218442932728,0.923095238095238,0.01956082606455382
ionosphere,12,16,N1,0.919145880574452,0.9202380952380952,0.003859371682934876
ionosphere,12,16,N2,0.9215570672713528,0.923095238095238,0.007780469091805031
ionosphere,12,16,TD_U,0.9161791383219955,0.9173809523809524,0.00848817911882557
ionosphere,12,16,kDN,0.9174716553287982,0.92015873015873,0.008817609820939194
vertebral_column,16,10,CLD,0.8290322580645162,0.832258064516129,0.014462265659006388
vertebral_column,16,10,DCP,0.8304147465437788,0.832258064516129,0.009600307214746388
vertebral_column,16,10,F1,0.8384024577572964,0.8387096774193548,0.005484322742753421
vertebral_column,16,10,Hostility,0.8368663594470046,0.8387096774193548,0.01320499655423367
vertebral_column,16,10,LSC,0.8279569892473118,0.8290322580645162,0.00953297215453834
vertebral_column,16,10,N1,0.8205837173579108,0.8193548387096774,0.00996749088712933
vertebral_column,16,10,N2,0.829800307219662,0.8290322580645162,0.013490844079982084
vertebral_column,16,10,TD_U,0.8241167434715823,0.8290322580645162,0.01649958368657937
vertebral_column,16,10,kDN,0.8294930875576038,0.832258064516129,0.010905216190045348
breast-w,20,16,CLD,0.9542896578921424,0.9585093167701864,0.014898058752160931
breast-w,20,16,DCP,0.955529922113773,0.9585300207039336,0.010306714560033533
breast-w,20,16,F1,0.9596115547668344,0.9613664596273293,0.010504831806037526
breast-w,20,16,Hostility,0.955732031943212,0.9571014492753622,0.004627291145851614
breast-w,20,16,LSC,0.9594114167406093,0.9613871635610766,0.010434342171331457
breast-w,20,16,N1,0.9601587301587302,0.9599585921325052,0.0037581850646312555
breast-w,20,16,N2,0.9577077787636793,0.9599585921325052,0.009111544951257537
breast-w,20,16,TD_U,0.9557300601399981,0.9570807453416148,0.008031746548501442
breast-w,20,16,kDN,0.9555289362121661,0.9571014492753622,0.005789289605688695
sylvine,16,20,CLD,0.9422219829086605,0.9461344876949316,0.009594512002496036
sylvine,16,20,DCP,0.9409677441578482,0.9451594480994152,0.014676184996461795
sylvine,16,20,F1,0.942240221502831,0.9449629934210526,0.009126120958633724
sylvine,16,20,Hostility,0.9406327595609393,0.9437922605994152,0.008859759739294605
sylvine,16,20,LSC,0.9405947594681147,0.9434012548732944,0.008856484854114286
sylvine,16,20,N1,0.9425667213461896,0.9445731298732942,0.0074427181102466955
sylvine,16,20,N2,0.9404660559094495,0.9428160788255362,0.00933152758342614
sylvine,16,20,TD_U,0.9392674756915437,0.944378959551657,0.021489550131571826
sylvine,16,20,kDN,0.9420738985774622,0.9451583059210524,0.008248137735711729
bodyfat,20,1,CLD,0.9896043956043956,0.996,0.029308341257849434
bodyfat,20,1,DCP,0.9956190476190476,0.996,0.0017457431218879714
bodyfat,20,1,F1,0.996,0.996,0.0
bodyfat,20,1,Hostility,0.9950549450549451,0.996,0.004330785821606556
bodyfat,20,1,LSC,0.9943443223443224,0.996,0.00758726818358983
bodyfat,20,1,N1,0.9958168498168498,0.996,0.0008392995778307437
bodyfat,20,1,N2,0.9958168498168498,0.996,0.0008392995778307437
bodyfat,20,1,TD_U,0.9956190476190476,0.996,0.0017457431218879714
bodyfat,20,1,kDN,0.9954432234432234,0.996,0.0025514707166054197
arrhythmia_cfs,8,12,CLD,0.8366574649183344,0.8473913043478261,0.03709586505330772
arrhythmia_cfs,8,12,DCP,0.8425764895330112,0.8452173913043477,0.015346460788868317
arrhythmia_cfs,8,12,F1,0.8339636530940879,0.8408695652173913,0.03459537123165662
arrhythmia_cfs,8,12,Hostility,0.8463170002300437,0.8541062801932368,0.03327341427120043
arrhythmia_cfs,8,12,LSC,0.8410582010582011,0.8428985507246377,0.018374451257066694
arrhythmia_cfs,8,12,N1,0.8390568207959512,0.8472946859903381,0.022923097887872033
arrhythmia_cfs,8,12,N2,0.8551552795031057,0.865169082125604,0.029248094565232526
arrhythmia_cfs,8,12,TD_U,0.8194133885438233,0.836376811594203,0.06286172791717004
arrhythmia_cfs,8,12,kDN,0.8344536461927765,0.8429468599033816,0.026906575978850454
vehicle2,8,1,CLD,0.973157929838602,0.9787254901960784,0.024255069456083737
vehicle2,8,1,DCP,0.9758963585434175,0.9786974789915966,0.012971885665970602
vehicle2,8,1,F1,0.9806502601040415,0.9834733893557424,0.010238035432876812
vehicle2,8,1,Hostility,0.968235294117647,0.9716666666666668,0.01362986827976443
vehicle2,8,1,LSC,0.9762578364679205,0.9787254901960784,0.012620964592491762
vehicle2,8,1,N1,0.9710344137655061,0.972843137254902,0.009159562448271265
vehicle2,8,1,N2,0.9767547018807522,0.9787254901960784,0.011373653841389858
vehicle2,8,1,TD_U,0.9697732426303854,0.9728151260504202,0.014228380596306704
vehicle2,8,1,kDN,0.9776617313592103,0.9799159663865544,0.007495464757956283
bupa,8,20,CLD,0.727671068427371,0.7339495798319328,0.024702725786703954
bupa,8,20,DCP,0.7069787915166066,0.7105882352941176,0.013533964372880736
bupa,8,20,F1,0.7093917567026811,0.7161344537815126,0.02155439914642275
bupa,8,20,Hostility,0.7135894357743097,0.7190756302521009,0.027097760789882196
bupa,8,20,LSC,0.7100520208083234,0.7191596638655462,0.027827873848856398
bupa,8,20,N1,0.7220208083233294,0.7333613445378152,0.030165591483237355
bupa,8,20,N2,0.710796318527411,0.7190756302521009,0.033191507441886786
bupa,8,20,TD_U,0.7058463385354141,0.7163865546218486,0.026612936865500984
bupa,8,20,kDN,0.7133013205282113,0.7189075630252101,0.022753753796068952
cleveland,2,6,CLD,0.5643778801843318,0.5673118279569892,0.009939180458879681
cleveland,2,6,DCP,0.5598361495135689,0.5608602150537634,0.01688068002573165
cleveland,2,6,F1,0.5701433691756272,0.5707526881720429,0.012057610837610632
cleveland,2,6,Hostility,0.5731899641577061,0.5772043010752688,0.010302249991009246
cleveland,2,6,LSC,0.5717409114183307,0.5772043010752688,0.01628123949363824
cleveland,2,6,N1,0.5672452636968766,0.5738709677419355,0.01866898541760339
cleveland,2,6,N2,0.577173579109063,0.5775268817204301,0.010510836171444287
cleveland,2,6,TD_U,0.5627137736815155,0.5673118279569892,0.013957424350040893
cleveland,2,6,kDN,0.567168458781362,0.5676344086021505,0.017433862713743954
hill_valley_without_noise_traintest,12,28,CLD,0.6203172882755595,0.638511041864246,0.03751359828724554
hill_valley_without_noise_traintest,12,28,DCP,0.6310194772936949,0.6368920200514835,0.01705703057856522
hill_valley_without_noise_traintest,12,28,F1,0.6279543357784788,0.6319604389649098,0.017795635616069685
hill_valley_without_noise_traintest,12,28,Hostility,0.6156740924252102,0.6294743259720905,0.028083247062309347
hill_valley_without_noise_traintest,12,28,LSC,0.6119305681898827,0.6228492074244683,0.023368932751874585
hill_valley_without_noise_traintest,12,28,N1,0.6160531222379211,0.6252946755182225,0.023826135506637397
hill_valley_without_noise_traintest,12,28,N2,0.6279459487358147,0.6377184663324753,0.0254619100220516
hill_valley_without_noise_traintest,12,28,TD_U,0.6227211437345566,0.629420132773337,0.01967275547267106
hill_valley_without_noise_traintest,12,28,kDN,0.6172876304023844,0.6245291965858285,0.022239065541229595
profb,6,20,CLD,0.6718006605627325,0.6710711150131694,0.008733049452899561
profb,6,20,DCP,0.6744188720264225,0.6755267778753292,0.007939966749606958
profb,6,20,F1,0.6723389355742297,0.6770851624231782,0.01900403345253799
profb,6,20,Hostility,0.658751411012166,0.660667251975417,0.008851122294190434
profb,6,20,LSC,0.6705600150507964,0.6755267778753293,0.016643259765922794
profb,6,20,N1,0.6740488732806555,0.6785118525021949,0.013119559691224521
profb,6,20,N2,0.6603672812408545,0.6637181738366988,0.017212328436318782
profb,6,20,TD_U,0.6512113800744178,0.6577260755048288,0.023298476151346174
profb,6,20,kDN,0.6671505915799155,0.6696663740122915,0.011137266944098674
phoneme,4,2,CLD,0.9054429057170894,0.9113661258300814,0.022881313835278465
phoneme,4,2,DCP,0.9010656175936521,0.9054460190319708,0.018455022500969948
phoneme,4,2,F1,0.9071440470485448,0.9109947285548023,0.013198662559378727
phoneme,4,2,Hostility,0.9049430149276114,0.9091473266242212,0.017876066116882177
phoneme,4,2,LSC,0.9057078634835876,0.9097001437666872,0.01651434541404301
phoneme,4,2,N1,0.9038671282848731,0.9072954747723694,0.012994292238932881
phoneme,4,2,N2,0.904553410465302,0.9087745601423975,0.017268365349916343
phoneme,4,2,TD_U,0.9063165735932218,0.9102553570206066,0.017445828233134397
phoneme,4,2,kDN,0.9030989871131584,0.9072937632641884,0.015173168785502246
yeast1,12,26,CLD,0.7738574624480664,0.7762833303101759,0.011301900582612844
yeast1,12,26,DCP,0.7748209858948114,0.7769590059858517,0.00811174758605685
yeast1,12,26,F1,0.7638739170618365,0.7682069653546163,0.014186655193198098
yeast1,12,26,Hostility,0.7726060912302524,0.7742789769635408,0.006662748680315678
yeast1,12,26,LSC,0.774254575764643,0.7776528206058407,0.011120576978721519
yeast1,12,26,N1,0.7664464080571463,0.769535643025576,0.011663893909126762
yeast1,12,26,N2,0.7729118620058217,0.7729094866678758,0.009810252883635231
yeast1,12,26,TD_U,0.7655763865495409,0.7722564846725921,0.017393939194737848
yeast1,12,26,kDN,0.7714460625534452,0.7722338109922002,0.006751961647932496
WineQualityRed_5vs6,16,22,CLD,0.7933197845411586,0.8051700208188757,0.03087470159713193
WineQualityRed_5vs6,16,22,DCP,0.7832284128085656,0.7968135554013417,0.03589732254759168
WineQualityRed_5vs6,16,22,F1,0.7876496700924182,0.7960617626648161,0.026526391431450615
WineQualityRed_5vs6,16,22,Hostility,0.7885099633191236,0.7975653481378673,0.025164944729838983
WineQualityRed_5vs6,16,22,LSC,0.785115605344613,0.7960559796437658,0.026426701521082382
WineQualityRed_5vs6,16,22,N1,0.7901628058116608,0.7998380754105945,0.023720841499433678
WineQualityRed_5vs6,16,22,N2,0.779555643677781,0.7922681008558871,0.02989538573671866
WineQualityRed_5vs6,16,22,TD_U,0.7817710915039159,0.7953099699282905,0.035255863358905334
WineQualityRed_5vs6,16,22,kDN,0.7889767357324609,0.7968019893592413,0.022918475064365514
chatfield_4,18,1,CLD,0.8782781228433402,0.8807971014492754,0.016379246721000232
chatfield_4,18,1,DCP,0.8929520358868185,0.897463768115942,0.015537512871054343
chatfield_4,18,1,F1,0.8910541752933057,0.8980072463768115,0.01771554591898788
chatfield_4,18,1,Hostility,0.898567977915804,0.9018115942028986,0.0076679680534985
chatfield_4,18,1,LSC,0.8951690821256039,0.8978260869565217,0.015396348236916931
chatfield_4,18,1,N1,0.896687370600414,0.8976449275362318,0.007201204961466565
chatfield_4,18,1,N2,0.8952035886818496,0.9019927536231884,0.015313449736461641
chatfield_4,18,1,TD_U,0.8976880607315391,0.9019927536231884,0.01758244382311098
chatfield_4,18,1,kDN,0.9085662525879916,0.915036231884058,0.016728593095569115
parkinsons,14,22,CLD,0.8883959899749373,0.898157894736842,0.0226464004040316
parkinsons,14,22,DCP,0.8762155388471178,0.883157894736842,0.019198892690555552
parkinsons,14,22,F1,0.8940225563909773,0.9034210526315788,0.022156760637488733
parkinsons,14,22,Hostility,0.8788220551378446,0.883157894736842,0.01984664527280671
parkinsons,14,22,LSC,0.8826817042606516,0.8878947368421052,0.026478656413838824
parkinsons,14,22,N1,0.8919799498746867,0.8928947368421053,0.012497816720029378
parkinsons,14,22,N2,0.8787092731829573,0.8884210526315789,0.03564676508790133
parkinsons,14,22,TD_U,0.8868671679197995,0.898421052631579,0.033619685810167915
parkinsons,14,22,kDN,0.8881704260651629,0.893157894736842,0.02143912921988439
sylvine,12,6,CLD,0.9421008938724126,0.9447688230994152,0.009753738290418066
sylvine,12,6,DCP,0.9411062922062099,0.9445727491471734,0.012520240536349248
sylvine,12,6,F1,0.9423519011649494,0.9455481694688108,0.010425937496746128
sylvine,12,6,Hostility,0.9398895277835794,0.942230902777778,0.008540020105330762
sylvine,12,6,LSC,0.9415989880662303,0.9439871923732944,0.008014991928798643
sylvine,12,6,N1,0.9427515548129582,0.9441825048732942,0.006942709861298378
sylvine,12,6,N2,0.9410792969112597,0.943011391325536,0.007607788972106534
sylvine,12,6,TD_U,0.9401778824955908,0.9445735105994152,0.01943724036146619
sylvine,12,6,kDN,0.9418967702821869,0.9445731298732942,0.008265007480209988
vertebral_column,14,30,CLD,0.8394777265745008,0.8451612903225806,0.021027328778807603
vertebral_column,14,30,DCP,0.8330261136712751,0.835483870967742,0.01606130172222166
vertebral_column,14,30,F1,0.8274961597542243,0.8290322580645162,0.010283142788960776
vertebral_column,14,30,Hostility,0.8342549923195085,0.835483870967742,0.00975646163727907
vertebral_column,14,30,LSC,0.8334869431643626,0.835483870967742,0.010914300086822523
vertebral_column,14,30,N1,0.8293394777265746,0.8290322580645162,0.005191921394599771
vertebral_column,14,30,N2,0.8296466973886328,0.832258064516129,0.016148989189445833
vertebral_column,14,30,TD_U,0.8287250384024577,0.832258064516129,0.016093663216886496
vertebral_column,14,30,kDN,0.8357910906298003,0.835483870967742,0.007278091502988289
wdbc,6,16,CLD,0.9593030194533954,0.963063909774436,0.010594979073880757
wdbc,6,16,DCP,0.9602339181286549,0.963063909774436,0.008256824460834205
wdbc,6,16,F1,0.9554496359947487,0.9595551378446114,0.01143384345337146
wdbc,6,16,Hostility,0.9543427019930778,0.9595238095238094,0.008959069818189083
wdbc,6,16,LSC,0.9556211958467596,0.9595551378446115,0.013115127609647234
wdbc,6,16,N1,0.958143871583721,0.963063909774436,0.007523530492236999
wdbc,6,16,N2,0.9534505907626206,0.9560463659147868,0.008684051655208483
wdbc,6,16,TD_U,0.958063313044516,0.9613095238095236,0.009594256565765276
wdbc,6,16,kDN,0.956796753789235,0.9578007518796992,0.004624737991542788
mammographic,12,24,CLD,0.7945496270797475,0.7903614457831326,0.012466352144249883
mammographic,12,24,DCP,0.802008032128514,0.7975903614457831,0.010717701013476504
mammographic,12,24,F1,0.7858864027538727,0.7879518072289157,0.01047668375364657
mammographic,12,24,Hostility,0.7881812966150316,0.7843373493975904,0.008584022802261329
mammographic,12,24,LSC,0.8001147446930579,0.7987951807228916,0.0061067196794869025
mammographic,12,24,N1,0.7913941480206541,0.7891566265060241,0.00670041709460303
mammographic,12,24,N2,0.8034997131382673,0.8012048192771084,0.007126837131954735
mammographic,12,24,TD_U,0.7930005737234653,0.7927710843373494,0.004184367836089159
mammographic,12,24,kDN,0.7982788296041309,0.7963855421686747,0.005872445733725275
segment,20,2,CLD,0.970995670995671,0.9753246753246751,0.01946945332632239
segment,20,2,DCP,0.9705833848690991,0.9748917748917748,0.01986700604068841
segment,20,2,F1,0.9742321170892599,0.9787878787878788,0.02129043721330192
segment,20,2,Hostility,0.9720882292310863,0.974025974025974,0.01008910568646088
segment,20,2,LSC,0.9698000412286125,0.9744588744588744,0.020498603350038308
segment,20,2,N1,0.9723768295196867,0.974025974025974,0.006772670268561011
segment,20,2,N2,0.9714079571222427,0.9744588744588744,0.01251484842912577
segment,20,2,TD_U,0.9667697381983096,0.9727272727272728,0.02614120253554523
segment,20,2,kDN,0.9724386724386724,0.9744588744588744,0.008299202984351618
wdbc,2,4,CLD,0.9590538847117794,0.9613095238095236,0.008774435732289892
wdbc,2,4,DCP,0.9582274137725266,0.9595551378446115,0.006774176031416553
wdbc,2,4,F1,0.9585392051557464,0.9613095238095236,0.00926139332295333
wdbc,2,4,Hostility,0.9558688387635756,0.9578007518796992,0.008302296616936995
wdbc,2,4,LSC,0.9604726100966703,0.963063909774436,0.008209473596504027
wdbc,2,4,N1,0.9588047499701634,0.9613095238095236,0.006552762038854266
wdbc,2,4,N2,0.9530358634681942,0.9578007518796992,0.010199232573344591
wdbc,2,4,TD_U,0.9551348609619287,0.9578007518796992,0.011668745662169059
wdbc,2,4,kDN,0.958970342522974,0.9613095238095236,0.009966770991968238
breast-w,8,8,CLD,0.957895100069013,0.9599378881987578,0.008322585647539245
breast-w,8,8,DCP,0.9581179138321995,0.9613871635610766,0.012136187699883179
breast-w,8,8,F1,0.9550497880311545,0.9571014492753622,0.010722464956458642
breast-w,8,8,Hostility,0.9564004732327714,0.9570807453416148,0.004417475676313991
breast-w,8,8,LSC,0.9637829044661342,0.9671221532091098,0.008458029901950418
breast-w,8,8,N1,0.9552587991718426,0.9556728778467908,0.003542617911908368
breast-w,8,8,N2,0.9610519570146898,0.962815734989648,0.008646116471764668
breast-w,8,8,TD_U,0.9557182293207139,0.9570807453416148,0.0053197009002088624
breast-w,8,8,kDN,0.9559962535738933,0.9570807453416148,0.004578193958801417
parkinsons,8,6,CLD,0.887406015037594,0.8934210526315789,0.02434648406053755
parkinsons,8,6,DCP,0.8938721804511277,0.9034210526315788,0.020748150612966226
parkinsons,8,6,F1,0.8918671679197995,0.893157894736842,0.018263784450405215
parkinsons,8,6,Hostility,0.8987218045112781,0.9034210526315788,0.021216514388228632
parkinsons,8,6,LSC,0.8808897243107768,0.8878947368421052,0.030850532820038985
parkinsons,8,6,N1,0.893345864661654,0.898421052631579,0.025962382607246048
parkinsons,8,6,N2,0.8905889724310776,0.893157894736842,0.020663493167291082
parkinsons,8,6,TD_U,0.8962280701754386,0.9034210526315788,0.02600824679213051
parkinsons,8,6,kDN,0.8929072681704261,0.898157894736842,0.01807618461049092
ring,18,28,CLD,0.9244658944658946,0.9462162162162162,0.06042916994575741
ring,18,28,DCP,0.9359909909909909,0.9458108108108108,0.02308475718135733
ring,18,28,F1,0.935971685971686,0.945135135135135,0.027314605799949033
ring,18,28,Hostility,0.9351930501930502,0.9443243243243244,0.02804741275046952
ring,18,28,LSC,0.9444015444015443,0.950945945945946,0.02542486213796298
ring,18,28,N1,0.9416151866151866,0.9466216216216216,0.018956645597979216
ring,18,28,N2,0.9427155727155727,0.9487837837837836,0.025294247360391597
ring,18,28,TD_U,0.9257464607464608,0.9381081081081082,0.04343632189331259
ring,18,28,kDN,0.9453410553410554,0.9527027027027026,0.02647443945028401
