n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std,Boots_N1_class_std
0,CLD,0.8273333333333334,0.17441666666666666,0.21595000000000003,0.20254034652331177,0.4514313194671461,0.38476568808443,0.21046527777777774,0.307215651173146,0.9828246627330952,0.977,0.016012148165967296,0.01424792869936617,0.011368335960025119,0.011019125506121752,0.0471901076303876,0.007079221513594923,0.012123093707534659,0.006898897286302888,0.0012985822670126272,0.008834659884668911,"[[1236, 267], [251, 1246]]","[0.18329422754651664, 0.1659656604330271]","[0.23111598860369204, 0.201191149860229]","[0.20947649784777211, 0.19583873062787494]","[0.4405339282479219, 0.46208147703326324]","[0.3902871624702483, 0.37949704701592835]","[0.22156478651518308, 0.19970133175345559]","[0.3093208539043234, 0.3051358569249269]","[0.9829281586641521, 0.9827044184517135]","[0.9840733029097469, 0.9699949652502354]","[0.017665753997326384, 0.026249907030532708]","[0.011308518535139006, 0.011160980028716226]","[0.005739750260723619, 0.014528284317124078]","[0.040805823666321156, 0.04444935655223596]","[0.008165288858511309, 0.013108502023053224]",0,"[0.009175313749537136, 0.005790205924371551]","[0.0008482886771637813, 0.002403003587377523]","[0.015909021418370303, 0.005555242013007115]","[0.009934486429531913, 0.014449668705055452]"
0,DCP,0.837,0.16324999999999998,0.21734166666666668,0.21807443225088533,0.4902772113708183,0.295580232726813,0.21147916666666666,0.3148528284857972,0.9838945642547291,0.9877916666666667,0.0138644228953903,0.006682273398909828,0.001356056373787199,0.00906742895001822,0.06058509046560632,0.015597245240320091,0.0060911329058854395,0.006188529484476681,0.002310031924023326,0.007174051427811837,"[[1237, 266], [223, 1274]]","[0.1870686303489758, 0.14443206149327972]","[0.24630179998808988, 0.19456066131397365]","[0.24246184808079466, 0.19883643845158402]","[0.47223750540474185, 0.5055225927316361]","[0.32670887545179583, 0.2706506688998664]","[0.23648037183109563, 0.19166479147496793]","[0.31755725593899703, 0.31313295086491166]","[0.9806031658841239, 0.9866375196410881]","[0.9860120915001882, 0.9892482302478587]","[0.013129368913426283, 0.012015226984703023]","[0.012921780286126037, 0.008745382076439651]","[0.016370511913374422, 0.0073337781908716804]","[0.04919203986529805, 0.061386778563940446]","[0.011350283608971626, 0.017330864139396045]",0,"[0.010287104169701949, 0.010890245791454867]","[0.001555381688476103, 0.003099703897108889]","[0.011786012308568487, 0.010288793301959401]","[0.012844981312445622, 0.0097772352257711]"
0,F1,0.8593333333333334,0.10625,0.15544166666666667,0.14988789442876277,0.45978657694962044,0.25621561594798414,0.15464583333333332,0.26941329428767835,0.9784664590631035,0.99875,0.013102162671355704,0.004310033513661919,0.005773247088462817,0.008640648960791341,0.05136054746756167,0.006791475066434353,0.010519526871578004,0.0064977665459837455,0.0021291775199797696,0.00120581634404062,"[[1292, 211], [211, 1286]]","[0.10643238382935269, 0.10619779757420192]","[0.15942725855847945, 0.15135855406441082]","[0.14830908136372903, 0.1516236860798715]","[0.4471920705802351, 0.47263106070442823]","[0.2596722586846423, 0.25270398102741903]","[0.1540289413263472, 0.15528433699760869]","[0.25955187556169135, 0.2794182088597409]","[0.9751246768660657, 0.9818351528116136]","[0.998605754215194, 0.9988951674302612]","[0.008773176031697569, 0.004735483660175217]","[0.009991627928741385, 0.0031509118185491887]","[0.011756065391824775, 0.005603953966782143]","[0.047024676055491765, 0.04898265790591537]","[0.007935519430148573, 0.009622133743461861]",0,"[0.007787206402855395, 0.005960342360831975]","[0.0016338278681594445, 0.003151018699990994]","[0.0014571127169349166, 0.0007918251830465908]","[0.008342120808079972, 0.011009374220502733]"
0,Hostility,0.8406666666666667,0.18833333333333332,0.24595000000000003,0.22346031626556365,0.4803669113907958,0.33823676213631687,0.24684722222222222,0.33753126393001415,0.9876234870471494,0.9854583333333334,0.005725188012439212,0.02040603464664314,0.00944641319349425,0.008672913816727561,0.04853363156715851,0.019400350238152793,0.009946550104895546,0.007062175468603182,0.0015062674965451732,0.0018006075363610227,"[[1266, 237], [241, 1256]]","[0.21294769119472035, 0.16706977527202269]","[0.28082017194300624, 0.215672092846253]","[0.24741709309207333, 0.20265455871301188]","[0.4590010559645018, 0.4989640492501569]","[0.3628110086430832, 0.31728921237462165]","[0.2751229572908255, 0.22233294627901098]","[0.34921093419716753, 0.3274055184867833]","[0.9874813566669383, 0.9877358248343459]","[0.985881401026867, 0.9847606011032358]","[0.02391666752514409, 0.030497602451990864]","[0.010669888609742165, 0.01034099834785913]","[0.01153020656591445, 0.011578120940956277]","[0.04074938609988854, 0.04663720761276373]","[0.006014935838727682, 0.027458388797427884]",0,"[0.00723319742910804, 0.008243196109315672]","[0.0012563098024622036, 0.001808263148788792]","[0.01063023177841824, 0.0077744178720053]","[0.009115107410028361, 0.01749790506309792]"
0,LSC,0.8393333333333333,0.18316666666666667,0.2552333333333333,0.22345382622826698,0.49645883390541573,0.3166298389050043,0.2683958333333333,0.3640450008342829,0.9918366501394624,0.9870416666666667,0.014841757907262143,0.0069134028443949965,0.008365178735554776,0.016867881373184464,0.04827576862423326,0.00814475408249884,0.010708932286174772,0.006909204643613419,0.0008052439880383278,0.0033281209246193142,"[[1252, 251], [231, 1266]]","[0.20032102370631014, 0.16718711811410192]","[0.2797177714279563, 0.2327734259560868]","[0.2379677293907815, 0.21022869146173462]","[0.4725073376744574, 0.5187206352036922]","[0.33567552852728716, 0.2990201974709287]","[0.2913246352390109, 0.24738972512126592]","[0.36583973278084675, 0.36246609776750105]","[0.9907808562836419, 0.9928094268506648]","[0.9854379860959854, 0.9884268524267661]","[0.015449333026445074, 0.014777407911270489]","[0.00996749661437853, 0.006058367163597165]","[0.017590986684981748, 0.01364890088836152]","[0.041938919830848395, 0.046822606031424095]","[0.009970357132015713, 0.009684386472136007]",0,"[0.008942459875925615, 0.004903891582470122]","[0.000602631482610609, 0.000888455902176283]","[0.002545784522379523, 0.00559066778567539]","[0.013670798830996509, 0.007526366410876152]"
0,N1,0.8413333333333334,0.11266666666666666,0.16414166666666669,0.15865346105369635,0.4548420269423559,0.2706153345312061,0.16747916666666668,0.27365307594563465,0.9777852919351002,0.9782083333333332,0.015018507101425018,0.00721447233767731,0.007205599192449027,0.009903347601586952,0.054657651619512485,0.011091144178896273,0.006733273672155017,0.003959802018228898,0.001910836517866169,0.007876267534675158,"[[1273, 230], [246, 1251]]","[0.11795167977382881, 0.10719902531515461]","[0.17158564838040236, 0.1566551564562153]","[0.16113361639320864, 0.15617443292490624]","[0.4458624395000158, 0.46393217446826435]","[0.2702117704966782, 0.2710051825834352]","[0.1738426381869279, 0.16103346780430136]","[0.2684968979427268, 0.27890806934093904]","[0.9746358104250552, 0.9809672967802824]","[0.9811948084581747, 0.9751489478450133]","[0.005782147423637769, 0.014291309422731845]","[0.00915601541349084, 0.004042230600865369]","[0.008939820090477453, 0.009275307434819758]","[0.052048745468079236, 0.04810289131144552]","[0.010847294311784321, 0.009658307385402541]",0,"[0.005089796242328901, 0.006534045462108612]","[0.0018067271700410487, 0.0023647884504957397]","[0.013759603764442805, 0.009224551183091846]","[0.00603251364981026, 0.0075146212202459204]"
0,N2,0.8413333333333334,0.17416666666666666,0.2423666666666667,0.21601351474253433,0.4868878536922015,0.31051517702178516,0.25797916666666665,0.37305596529562735,0.9891538390572533,0.984375,0.0032058973436118864,0.006528516506663498,0.003079445747388833,0.013337678046671193,0.05169590862885025,0.004306293571836711,0.0059178422964782885,0.005288600986580679,0.0009759763310003469,0.005692115038464299,"[[1251, 252], [224, 1273]]","[0.19174932732368494, 0.15781071507227817]","[0.26499256430597135, 0.22092919847323408]","[0.23056234154926497, 0.20220438083050243]","[0.46670938790439853, 0.5059719444370389]","[0.33023938383442286, 0.2919238765333185]","[0.28118460602916184, 0.2361770736240197]","[0.37457388111315826, 0.3715705642315935]","[0.9870232678762683, 0.9911532130471434]","[0.9806473803096344, 0.9879069123852242]","[0.016120841746208852, 0.0183657208529279]","[0.006271963996536013, 0.006952605667588863]","[0.008558037775168312, 0.016368681856477548]","[0.0420708352354161, 0.05135727194669619]","[0.004570874296067472, 0.010573586409083551]",0,"[0.0062861081398168876, 0.004899573867814605]","[0.0006145675076947368, 0.0013229108746515015]","[0.008477925472138062, 0.0075267387425413815]","[0.012608441129246474, 0.012493179824000392]"
0,TD_U,0.833,0.12825,0.189,0.18115969497244427,0.5297846098488976,0.259310265574625,0.18677083333333333,0.29990678229191553,0.9834278516849816,0.9905416666666668,0.016003471845543737,0.011037341920347795,0.010227914892858448,0.010733517048156177,0.05857264605581203,0.018035552438585695,0.00397300218158467,0.007569884487766123,0.001751717697207032,0.008814986843753978,"[[1253, 250], [251, 1246]]","[0.1372883952834949, 0.1210711095986237]","[0.198713656932949, 0.18060785870889168]","[0.1869370198079907, 0.17612430122740746]","[0.5096181264018326, 0.5487025157492971]","[0.26693935392667695, 0.25295073177279476]","[0.1965658870915685, 0.17836729289897663]","[0.2886559069479948, 0.31118545251512497]","[0.9781268838081616, 0.9885577594052195]","[0.9911627859407777, 0.9900486017980817]","[0.025290032629013554, 0.016367537839807062]","[0.016828842891026347, 0.011194064706559861]","[0.013238137198259623, 0.010052434753441504]","[0.05915173409071268, 0.047248552538594335]","[0.02382791939804955, 0.015977441956381296]",0,"[0.010013485576473915, 0.010634006183009612]","[0.0013687928301039773, 0.002777369706290664]","[0.01072129783661645, 0.013585919018764396]","[0.01226977113649824, 0.012382493813591165]"
0,Uniform,0.8539999999999999,0.10033333333333334,0.15150000000000002,0.14828900047596227,0.4489106450455849,0.2655447600473581,0.14607638888888888,0.2631355153870802,0.9771058743028446,0.9755416666666668,0.015661346614444682,0.00837178628224321,0.006928328522169758,0.011375124924448015,0.05506044718597547,0.00839853652972827,0.004036075624031506,0.005123856830308586,0.0031138087469217784,0.01028310203683696,"[[1274, 229], [209, 1288]]","[0.10451302631999879, 0.09626893488575032]","[0.1535131947469744, 0.14957824192169103]","[0.14635875124934355, 0.15044600733555313]","[0.43534420649129046, 0.4631040590609315]","[0.26444269176924673, 0.2668170098109697]","[0.1500491974383031, 0.1422431858384519]","[0.2548358309434396, 0.27172118024659364]","[0.9735022144730496, 0.9807886792899485]","[0.9754817130757039, 0.9755168753527093]","[0.016193184058179825, 0.013985959030308774]","[0.008772007852517657, 0.005301488748755146]","[0.015005238442782417, 0.0058567172752729095]","[0.04918741746038761, 0.05147078323294268]","[0.011457766919369726, 0.005296313455504929]",0,"[0.005307376147101257, 0.005792406806493284]","[0.0031355653517785523, 0.0026592272842988957]","[0.017069376373476514, 0.00792431480401817]","[0.00918684390528387, 0.004144921586081994]"
0,kDN,0.843,0.14433333333333334,0.20305833333333334,0.18349088965463206,0.46819331049544155,0.2930471146190827,0.19779166666666664,0.30477874344081535,0.981957559867371,0.9805833333333334,0.010697871023920807,0.013390502438503026,0.01039475194776459,0.010924333475140359,0.053038543075040925,0.01148131095383759,0.008980464963714649,0.010427648649372852,0.0021638143859919238,0.008556136118469499,"[[1259, 244], [227, 1270]]","[0.15037765732799085, 0.1385476255905206]","[0.21515427284305244, 0.19116807893290746]","[0.18695241471417356, 0.18007541382661732]","[0.45098938375799297, 0.48504041034918927]","[0.29501335954137164, 0.29109136188557716]","[0.2117032834774745, 0.18413876261354103]","[0.3004311606391777, 0.30901124854338224]","[0.9789894914616486, 0.9848572256705104]","[0.980998876475511, 0.98020879803639]","[0.01961280117748811, 0.026120773946220508]","[0.009320242917741898, 0.016045964240099415]","[0.004491694622533236, 0.018412349347184807]","[0.04892810986746936, 0.04808235410181033]","[0.007361023259700086, 0.016599081759194834]",0,"[0.00829039891969553, 0.012674160952278466]","[0.00234779133299361, 0.0026231758913707165]","[0.014459923314928525, 0.010264143622992286]","[0.009573292624621841, 0.014935681670254917]"
