dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
Data13,5,193,Averaged_measures,"[[270, 30], [37, 263]]",0.8883333333333333,0.15041666666666667,0.19841666666666669,0.16258318307658678,0.4746666666666668,0.2637405014184443,0.20027777777777775,0.3072333681944533,0.9815721434528775,0.9229166666666667,"[0.15309446254071662, 0.1476109215017065]","[0.20358306188925082, 0.19300341296928328]","[0.16289182310487155, 0.1622597957431963]","[0.48375407166123774, 0.46514505119453925]","[0.2645573582246065, 0.26288461391164636]","[0.20426167209554832, 0.19610352673492606]","[0.31244171747315325, 0.30177615581028644]","[0.98075893863779, 0.9824242044707335]","[0.9450325732899023, 0.8997440273037542]"
Data13,5,194,Averaged_measures,"[[270, 30], [37, 263]]",0.8883333333333333,0.15041666666666667,0.20533333333333334,0.16864309271748554,0.4782916666666667,0.27063868288942744,0.2026736111111111,0.3073854205871201,0.9806647901028634,0.9183333333333333,"[0.14250614250614252, 0.15860899067005937]","[0.20950040950040952, 0.2010178117048346]","[0.16232151590071964, 0.17518986565495048]","[0.49307944307944307, 0.46297709923664127]","[0.26710344484831966, 0.27429985816355174]","[0.20652470652470653, 0.19868532654792198]","[0.31427962102270485, 0.30024562522507675]","[0.9812736384879838, 0.9800342524622936]","[0.9459459459459459, 0.8897370653095844]"
Data13,5,195,Averaged_measures,"[[270, 30], [37, 263]]",0.8883333333333333,0.15708333333333332,0.20591666666666666,0.17175665124458006,0.4732916666666667,0.274928544070335,0.2003472222222222,0.30416182328659847,0.9810929246594384,0.9197916666666667,"[0.1488, 0.16608695652173913]","[0.20432, 0.2076521739130435]","[0.1614967178368458, 0.18290875277472599]","[0.47703999999999996, 0.46921739130434786]","[0.2716820363060148, 0.2784573568576396]","[0.20313333333333333, 0.19731884057971014]","[0.31017324209682007, 0.2976276724059229]","[0.9803849874895746, 0.9818624215832034]","[0.9432, 0.8943478260869565]"
Data13,5,196,Averaged_measures,"[[270, 30], [37, 263]]",0.8883333333333333,0.14458333333333334,0.19741666666666668,0.16402565556152987,0.4763958333333333,0.26876662981300287,0.18916666666666668,0.3056513593895492,0.9812027383931055,0.924375,"[0.14225941422594143, 0.14688796680497926]","[0.19129707112970712, 0.20348547717842325]","[0.15628226673692505, 0.17170478389796373]","[0.4824267782426778, 0.4704149377593361]","[0.26422964323392106, 0.27326596505117945]","[0.18437935843793585, 0.19391424619640388]","[0.301485198373983, 0.3097829464547787]","[0.9799930904763733, 0.9824023477379143]","[0.9464435146443515, 0.9024896265560166]"
Data13,5,197,Averaged_measures,"[[270, 30], [37, 263]]",0.8883333333333333,0.15375,0.20008333333333334,0.17221741581528519,0.4712916666666666,0.2768484686307381,0.20059027777777777,0.30569711799380356,0.9803836530442034,0.916875,"[0.1588709677419355, 0.1482758620689655]","[0.2091935483870968, 0.1903448275862069]","[0.17689744191725923, 0.16721462929248537]","[0.47415322580645164, 0.46823275862068964]","[0.2738801946059269, 0.2800214512089847]","[0.21881720430107526, 0.18110632183908046]","[0.31243774759491316, 0.2984916173857209]","[0.9795515079770777, 0.9812731874263037]","[0.9375, 0.8948275862068965]"
Data13,5,198,Averaged_measures,"[[270, 30], [37, 263]]",0.8883333333333333,0.15,0.2006666666666667,0.1644452466723336,0.4744791666666667,0.26830147476768657,0.19614583333333332,0.30488794234602956,0.9803186683347235,0.9145833333333333,"[0.13899920571882446, 0.16213847502191062]","[0.18760921366163624, 0.21507449605609116]","[0.15157372997938007, 0.17864791057805537]","[0.47899126290706906, 0.4695004382120947]","[0.2582645830378665, 0.27937636231180873]","[0.191289383108287, 0.20150452819164474]","[0.3034896218712358, 0.306430874403668]","[0.9801244219269302, 0.9805330033280728]","[0.937251787132645, 0.8895705521472392]"
Data13,5,199,Averaged_measures,"[[270, 30], [36, 264]]",0.89,0.16208333333333333,0.21350000000000005,0.1759280638605173,0.47475000000000006,0.2793024127557368,0.21079861111111112,0.31709107134629627,0.9818362524325828,0.9197916666666667,"[0.16279069767441862, 0.16142050040355124]","[0.2129198966408269, 0.21404358353510894]","[0.16603152960768952, 0.18520157174391766]","[0.48234280792420325, 0.46763518966908796]","[0.2811213351749361, 0.2775979987697075]","[0.20944587998851563, 0.21206618240516545]","[0.3204506766724196, 0.31394296659760446]","[0.980881282780152, 0.9827311029301389]","[0.9414298018949182, 0.8995157384987893]"
Data13,5,0,Uniform,"[[260, 40], [46, 254]]",0.8566666666666667,0.10833333333333334,0.15683333333333332,0.13309723251122027,0.4429583333333333,0.2281455239748045,0.14496527777777776,0.25610660537994884,0.9725316235752016,0.8714583333333333,"[0.10446503791069923, 0.11211871393239901]","[0.15804549283909014, 0.15564715581203628]","[0.12902889278925064, 0.13707836956808592]","[0.4520640269587195, 0.4340478153338829]","[0.22497902491789565, 0.2312441508342858]","[0.14644762707104747, 0.14351470184116516]","[0.2599241129725182, 0.25237092400123506]","[0.9723491845563524, 0.9727101521121958]","[0.9035383319292334, 0.8400659521846661]"
Data13,5,1,Uniform,"[[269, 31], [42, 258]]",0.8783333333333333,0.09375,0.1345,0.1147901719805182,0.43854166666666666,0.2186833453203965,0.13152777777777777,0.2522141855208052,0.9722755073672507,0.8729166666666667,"[0.08949096880131363, 0.09813874788494077]","[0.138752052545156, 0.13011844331641287]","[0.11495159654601808, 0.11462383093078993]","[0.44815270935960594, 0.4286379018612521]","[0.21994740423869816, 0.2173807871456998]","[0.13649425287356323, 0.12641003948110546]","[0.2564495964793085, 0.2478497772742257]","[0.9722250753569958, 0.9723274753778176]","[0.9100985221674877, 0.8346023688663282]"
Data13,5,2,Uniform,"[[269, 31], [42, 258]]",0.8783333333333333,0.11041666666666666,0.14941666666666667,0.12665344845917625,0.4407916666666667,0.22740300312557934,0.14552083333333332,0.25672777533025176,0.971698985265499,0.8727083333333333,"[0.11544715447154472, 0.10512820512820513]","[0.15739837398373982, 0.14102564102564102]","[0.1322945101232379, 0.12072310158157303]","[0.44930894308943087, 0.43183760683760686]","[0.22961253885798433, 0.22508015786843574]","[0.15237127371273712, 0.13831908831908832]","[0.26237232783062464, 0.2507937585990906]","[0.971073455521878, 0.9723565934575108]","[0.9048780487804878, 0.8388888888888889]"
