n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std,Boots_N1_class_std
0,CLD,0.9236666666666666,0.06466666666666668,0.10958333333333334,0.08766887374758879,0.3727597622645896,0.3606027874339877,0.08191666666666667,0.18943907430770052,0.9118005693462715,0.6411458333333333,0.013611677992730322,0.014416907512439077,0.007079471986745283,0.010945917635883881,0.044756977028235764,0.00422034206150667,0.003902305106806095,0.006261317111942374,0.002116135317879242,0.0022195078909022746,"[[991, 35, 0], [38, 850, 86], [0, 70, 930]]","[0.030425974568484872, 0.12071688641256735, 0.031446584486848284]","[0.05421719478877196, 0.15769243999220706, 0.1258736821562192]","[0.038405140210849925, 0.11581989947253593, 0.12601057679333735]","[0.2781056317386222, 0.356432376270666, 0.5606210086399337]","[0.29980521859566617, 0.42997904179082863, 0.35182522317517323]","[0.030133238444975806, 0.10829027168746697, 0.1274381106969264]","[0.12876902117322403, 0.21164513818343655, 0.25710735294500464]","[0.8566485326303969, 0.938565876404704, 0.9625444027264516]","[0.5887185389214487, 0.6325380522704525, 0.7447267087429233]","[0.006852379422516146, 0.017286097650889017, 0.019573108443514033]","[0.00677871874821548, 0.008866396838494535, 0.006270939092717341]","[0.013107207711424426, 0.008695061913107174, 0.007679434879181105]","[0.03096614852113734, 0.04364101330107746, 0.05695422503003261]","[0.005243254940032129, 0.006412868749244033, 0.015933520569522207]",0,"[0.006199296427566466, 0.006894740127963263, 0.007561554426415424]","[0.003718788408431319, 0.0033911992475635453, 0.003221195834886016]","[0.005112848609852134, 0.001927315513526367, 0.003952914653480698]","[0.004398441673447732, 0.0062343428290185165, 0.013800297280219587]"
0,DCP,0.9359999999999999,0.058333333333333334,0.09886666666666667,0.09190766707169934,0.4121737861350073,0.250980365728731,0.079375,0.18725409127556816,0.9113027562157271,0.6456041666666666,0.005602578771323875,0.016078151151312284,0.009582037955930293,0.014752173675593751,0.050659131615402406,0.017567534827190236,0.004189750869166213,0.00758763030404872,0.01184150163102033,0.016433327522818453,"[[988, 38, 0], [25, 878, 71], [0, 58, 942]]","[0.029967037026789163, 0.1287789278154129, 0.014675870836742285]","[0.05389272185393111, 0.1618786785881464, 0.07126752116999731]","[0.05705395103088044, 0.13158762147890282, 0.07958070630108187]","[0.27465253214752583, 0.350355267953229, 0.53797200342436]","[0.2538219181610729, 0.3079532050445667, 0.2017343329658729]","[0.02775661398803487, 0.11526794641375918, 0.07806691758444519]","[0.13080487211942105, 0.21697402824660683, 0.19413716068163972]","[0.8333633883529717, 0.9406768591599697, 0.9288112907228246]","[0.5534160741638412, 0.5836089586061732, 0.7465804534578575]","[0.01188766097600815, 0.017477763536311464, 0.013146092277638095]","[0.005116770245052008, 0.01354756868682253, 0.00823168911981363]","[0.01845338985162584, 0.022659604844538044, 0.008425228386976664]","[0.0374286135925869, 0.04335741853538069, 0.06550820852607163]","[0.03467459667272333, 0.02600127787480317, 0.013037570751422766]",0,"[0.006367167113054027, 0.013093823187191017, 0.008686231973691966]","[0.021491231575052908, 0.003848505864380347, 0.018599940712860596]","[0.04483980350362375, 0.012696554203689663, 0.0033373450634726176]","[0.0022561935774651327, 0.011719358166147506, 0.004852288157885236]"
0,F1,0.9376666666666666,0.057666666666666665,0.09440000000000001,0.0703115397270721,0.41187292490118577,0.262686326369518,0.07297916666666666,0.1786956029494848,0.9079365430127984,0.7008958333333333,0.008866290718846913,0.006056734085113677,0.005155448169978375,0.009941654329533641,0.05588930566940171,0.0069821066474892645,0.004272625527308111,0.002498319247679696,0.00998770979232192,0.0034110408459556746,"[[997, 29, 0], [33, 885, 56], [0, 69, 931]]","[0.033538935595299094, 0.14739182588301342, 0.013255856771916246]","[0.05035251921959646, 0.18443847104583516, 0.06130295873665577]","[0.03474052064265068, 0.11520901205412173, 0.06155209273158848]","[0.28599421585780077, 0.3520482455569748, 0.5232623112811395]","[0.2959659510359991, 0.36972783987053565, 0.1742401399891337]","[0.028748209746992416, 0.12983680626362873, 0.06146609444379991]","[0.12209451170450498, 0.23080325888892794, 0.1774099692184581]","[0.8369232025136814, 0.9492160787958459, 0.922027107489596]","[0.6462931140997229, 0.6759994160600995, 0.7485237464004295]","[0.006318392007577509, 0.012469821183548014, 0.006816383296324797]","[0.01055253451091908, 0.002810835968819786, 0.003442707935940616]","[0.00974588688313857, 0.016030254892607305, 0.005348577324931003]","[0.0365348549490165, 0.04171025107867129, 0.06586264684396527]","[0.014160320897505145, 0.012305345936272758, 0.008365429574687586]",0,"[0.007965901312303, 0.0018387348800857064, 0.0016910606753776315]","[0.004948340704833011, 0.0013312700702135538, 0.0187674361740087]","[0.004579797533617303, 0.005017803979252116, 0.0023823779901891115]","[0.007602684084399339, 0.005915227377898909, 0.0036578690096472763]"
0,Hostility,0.9373333333333334,0.05475,0.08624166666666667,0.06464995558413211,0.3759333982407192,0.24220163906067435,0.06380555555555555,0.16936382256000843,0.8937282772156664,0.6302083333333333,0.016524392743927238,0.009361564446655746,0.013447086373800248,0.013451279218308678,0.04942259882951202,0.012400280390047543,0.008637448522295725,0.011363782658096715,0.011675505477310466,0.00465206514028385,"[[994, 32, 0], [31, 877, 66], [0, 59, 941]]","[0.029915605716904485, 0.12474876846712231, 0.01334108474444184]","[0.04534324922660002, 0.15082994794902638, 0.0658082674593595]","[0.026795600551125585, 0.10140141473369466, 0.06733919617890258]","[0.2566651466527036, 0.34163073949307565, 0.5267943509377201]","[0.2250661991587025, 0.3211945910498384, 0.18472954681134507]","[0.022120931865530397, 0.10242861389289362, 0.06854974796610534]","[0.11760123560310642, 0.20764016746309344, 0.18455276728684927]","[0.8194651636654877, 0.9383137543341951, 0.9255972499459292]","[0.5460788407488748, 0.5969883643437164, 0.7447574762814253]","[0.0061901771430575995, 0.02037426773030275, 0.007806747117801986]","[0.011726147133655605, 0.017539799047001738, 0.008026241764332025]","[0.009046989647443427, 0.017043135184176415, 0.01274288045490961]","[0.02810557046170938, 0.04401940848263657, 0.0648785473012139]","[0.009350159516134155, 0.01365027055185441, 0.01555989402500614]",0,"[0.010417230765986366, 0.012616817938925527, 0.008164518284100206]","[0.011868411473959924, 0.00198951810424022, 0.02060838295330538]","[0.006245551012065839, 0.005670201944052712, 0.004777915390904383]","[0.005574905125147634, 0.014731326513673992, 0.00937652776985734]"
0,LSC,0.9349999999999999,0.08416666666666667,0.13620833333333332,0.09490252285357223,0.40746074943811517,0.2980740616439194,0.10342361111111112,0.22682835027489387,0.9566637732955741,0.6516041666666668,0.008579691784155862,0.010773069561539915,0.010071920193731125,0.012879691386083017,0.054459095682767515,0.007824193979889267,0.005931994686173461,0.007626195305044415,0.0035314804567927877,0.003837661732024376,"[[996, 30, 0], [35, 879, 60], [0, 70, 930]]","[0.058687358597236026, 0.16317913529989667, 0.021530542413737263]","[0.09396640126542795, 0.20503345918410024, 0.09554156954850876]","[0.04801982268927948, 0.13239849841444284, 0.08895015293908316]","[0.2815538746036085, 0.35217494749786293, 0.5491176874955384]","[0.31598353506110166, 0.349948869587472, 0.2333610398575837]","[0.050867699385183165, 0.14041440789362872, 0.10250384900325016]","[0.17582856071568864, 0.25303924005933875, 0.2356671284477403]","[0.9340590255033521, 0.9645157277418661, 0.963990353036872]","[0.5663084645600868, 0.6175378454026531, 0.7445023384339339]","[0.009149689746646681, 0.022349252769954555, 0.010145331447780374]","[0.00883362885225642, 0.014367620298997411, 0.009183805986931167]","[0.009965709860350714, 0.016712273050328078, 0.009601103844530967]","[0.03138344162368565, 0.04735156964161172, 0.061056531103735164]","[0.010545376960308368, 0.012641119049969583, 0.01257703626626338]",0,"[0.010727652471291229, 0.0072356528029308255, 0.010940432417568424]","[0.004426466534039257, 0.0014002466726322814, 0.004858295318745868]","[0.006117875126279574, 0.005652143378380993, 0.004381034613345154]","[0.00906547757076069, 0.008739109029145473, 0.009718622256071233]"
0,N1,0.9356666666666665,0.042333333333333334,0.07411666666666668,0.0583452763220879,0.37049413702239786,0.23033372127292612,0.057124999999999995,0.1605413790204226,0.8881205007154784,0.6247708333333334,0.009021579068482912,0.004944132324730441,0.008075887894081852,0.010084996765670304,0.05163184984278199,0.003388339666998588,0.004110031765219226,0.006842068641050559,0.011859511120533317,0.002276703040827075,"[[992, 34, 0], [37, 874, 63], [0, 59, 941]]","[0.023788726995966927, 0.09199843401600657, 0.013140750394956066]","[0.0392271926847883, 0.12573184990900024, 0.05989021565571756]","[0.024352922755481926, 0.09074457449432556, 0.061663607857891614]","[0.25623418485848337, 0.3340998251412813, 0.5228323251446791]","[0.22119821132992054, 0.30363875663014567, 0.16890535142568258]","[0.020320229375930775, 0.0841461240366517, 0.0683341882184938]","[0.11461535352403567, 0.19081551610746508, 0.1783113880709666]","[0.8134573235249984, 0.9342654850714587, 0.9204507321406981]","[0.5408432309288527, 0.5879289071803704, 0.746261551026896]","[0.0062344546514677725, 0.013485185520269892, 0.00686444478194168]","[0.0062010801375980435, 0.014207161801285612, 0.0036379844466056027]","[0.00672625690385983, 0.01533055806169838, 0.005190102282742758]","[0.030099815789451576, 0.044480782703263895, 0.06702835384616444]","[0.008812736275433556, 0.006964693566398565, 0.004304803841687877]",0,"[0.006840383712805811, 0.010349176624044658, 0.006019460329894476]","[0.010530995073370329, 0.003142074842626426, 0.0222416220281378]","[0.004554293455406772, 0.005173872958524462, 0.004220082805307917]","[0.006015031875087239, 0.01111502439304518, 0.0071572424323728505]"
0,N2,0.9356666666666668,0.07875,0.13038333333333332,0.09210227948529412,0.3992028937068899,0.2865309114542961,0.10149999999999999,0.2350123794528221,0.9410718858363907,0.6457916666666667,0.012053123154509631,0.008223230981662727,0.006688207387301595,0.013120654318964777,0.04969240564657927,0.002936572421189132,0.005958043974455306,0.005249465318545409,0.005137653957713373,0.004115967594152178,"[[993, 33, 0], [32, 884, 58], [0, 70, 930]]","[0.051127336828959424, 0.15649648330577173, 0.019113143201241422]","[0.08146952699461095, 0.20270815079887647, 0.09237992787705102]","[0.040639019815374204, 0.13194127998886857, 0.08926754931342565]","[0.2722028711547516, 0.35004015999552995, 0.5449825599547593]","[0.28074376175928345, 0.343253571539052, 0.23202320749614896]","[0.04383745530946622, 0.13909239782229704, 0.10605622618137323]","[0.18009050083322917, 0.2623071543845684, 0.24784595010354898]","[0.8959828360042691, 0.9578453189889394, 0.9573313450131463]","[0.5518612707692101, 0.617317855802987, 0.745403486185704]","[0.012668452545611369, 0.01279748973533939, 0.009468241296281264]","[0.009919500236269864, 0.009236481174210387, 0.0068733049967622814]","[0.012824885027706324, 0.013482865272475207, 0.010320503719952247]","[0.031214267593370905, 0.043670346333838206, 0.058303206828719034]","[0.00642245603461456, 0.008673679935772439, 0.007022954934980565]",0,"[0.0068345839166348565, 0.005120712461095659, 0.005295479983128608]","[0.0071887241110178655, 0.0008357588667256317, 0.006849284356304776]","[0.007526615798307273, 0.009660652156395295, 0.004155010210538607]","[0.007318781521800328, 0.01130611724192597, 0.008518214809170827]"
0,TD_U,0.9276666666666668,0.06083333333333333,0.09759999999999999,0.08039102245241395,0.43896777784236224,0.25022796339084186,0.08129166666666666,0.1843987589543929,0.913746610654709,0.6758333333333333,0.015572411502397403,0.00840076881402331,0.002979035544900018,0.006133037438488628,0.059583361413660864,0.009219884655658823,0.0026593006265803877,0.003987186268240754,0.008978932870856486,0.006041217655728762,"[[990, 36, 0], [36, 866, 72], [0, 73, 927]]","[0.039728890810698476, 0.16497177812686747, 0.009029953283298394]","[0.06251544428166071, 0.19163792332151347, 0.05780600030385337]","[0.041750691402536164, 0.14200133865470307, 0.060836099016549794]","[0.28781869462846715, 0.3795174825406957, 0.5370424964233855]","[0.28762247556048637, 0.355781546598095, 0.1723244338569609]","[0.033431947702118006, 0.14683761558336444, 0.06354054364426595]","[0.13348415733854982, 0.2358279539494989, 0.1762407806292801]","[0.8504306686519671, 0.9434567296328668, 0.9226891409091336]","[0.5989777088153014, 0.6126267795987943, 0.7462111121959699]","[0.007283501975063118, 0.02085491219541742, 0.006727846513511767]","[0.008541743683962804, 0.01445221125079716, 0.002199260773624671]","[0.011339534988734206, 0.0141210767192174, 0.0028913815719672936]","[0.03260608493765059, 0.04296159093189139, 0.06646809278521139]","[0.013948766462687293, 0.02528350776697257, 0.007965781290314822]",0,"[0.00741630948689024, 0.008990167335839573, 0.0073944232359399766]","[0.005803368249617375, 0.0029598205352378334, 0.019120772943123747]","[0.015403780533561976, 0.008886228917608412, 0.0037580018507103827]","[0.00657434634946359, 0.012266886484974284, 0.002920324908701142]"
0,Uniform,0.9246666666666666,0.04291666666666667,0.0741,0.05787996860182533,0.3703087489343564,0.23450932671139654,0.05170138888888889,0.15893444327026254,0.8899585702868213,0.6267916666666666,0.01693123346560044,0.00553555427316101,0.007489205194441159,0.010334637053423367,0.05113128064096898,0.004440935630596214,0.006236627283141681,0.0057376067416387636,0.009881070661624743,0.004864371426505182,"[[991, 35, 0], [35, 866, 73], [0, 83, 917]]","[0.022800639160805197, 0.09723096770367702, 0.011605413137010901]","[0.04142761572201446, 0.12349054607975125, 0.06035977388127508]","[0.02796696950216681, 0.08415336365745402, 0.06329930993681243]","[0.25751048491981277, 0.3328100120879226, 0.5219364912698435]","[0.22987930315581978, 0.3032154036424269, 0.17379652752880997]","[0.020288650105386923, 0.0764096783481612, 0.060406658688332185]","[0.11486940237268788, 0.18810731932121585, 0.1761958168948556]","[0.8165738458959286, 0.9348821986878498, 0.9220997230206196]","[0.5421924508191566, 0.5936569066246481, 0.7448543346964125]","[0.008072876670644526, 0.01618370006988822, 0.008593732114796082]","[0.006133720351008069, 0.014946600600460526, 0.005313003022663741]","[0.007921477426137257, 0.016550553687573962, 0.005992749742773269]","[0.02967601236892176, 0.046030308519469355, 0.06581535284046718]","[0.010046199513231366, 0.0129983886137068, 0.005147075484276886]",0,"[0.003548513905223931, 0.00981396546413618, 0.0065670810781859245]","[0.006148326995887781, 0.0019456839652469261, 0.0227559086956452]","[0.0071611292570541, 0.0037122606446193984, 0.004318977723173721]","[0.004584490287831587, 0.012509183595783844, 0.005646729258480734]"
0,kDN,0.931,0.049916666666666665,0.08505,0.06323313974533587,0.3731407560257305,0.24465854572274032,0.06210416666666666,0.168898204540876,0.894794675837628,0.6277083333333333,0.010381607668264925,0.005851163227180652,0.004296053583102626,0.008022410246073995,0.0493362342676169,0.003883222940531565,0.0012348620405775153,0.0035638826672711272,0.007553411044610627,0.00393151551390948,"[[993, 33, 0], [30, 876, 68], [0, 76, 924]]","[0.024247750430081854, 0.11301232283840361, 0.013458762042350409]","[0.04240010243642282, 0.14916731410805642, 0.0652555556681075]","[0.02506792849226571, 0.09961304917888932, 0.06644519440713174]","[0.258338852523025, 0.3404366600280684, 0.5264031950849309]","[0.2309544883497841, 0.31465275568738826, 0.18883356663900552]","[0.020664869833317376, 0.1005998762342738, 0.06681093386030712]","[0.11707182639608493, 0.20691549824801161, 0.1848389654267963]","[0.8229936466579622, 0.9394116745635245, 0.9249543861197983]","[0.5462549780573462, 0.5948611641775219, 0.7457567542193709]","[0.005584572659040074, 0.011953762948050683, 0.006750477264611484]","[0.002230804566723322, 0.010197983170132964, 0.004060685410502054]","[0.008148352622415532, 0.009807772666608277, 0.007028958195343314]","[0.029965503792351116, 0.0474929555427836, 0.06108615160205034]","[0.004671551274299541, 0.010701753115789844, 0.004673777089263236]",0,"[0.00321852339847048, 0.008645266676677643, 0.006317221747011849]","[0.003962373488871817, 0.004133726546376357, 0.021304091944510908]","[0.004726508982316058, 0.0038892582945181005, 0.004587847320045015]","[0.004504633409843884, 0.00874748734928911, 0.0031166624730120007]"
