,n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
239,average,Uniform,bupa,0.7057142857142857,0.08364193650266674,0.7145882352941176,0.07227509927858403,0.7047226890756303,0.07152707472616567,0.7128235294117646,0.08548427951269316,0.7260336134453782,0.07840899308869706,0.7138991596638655,0.07155211750389982,0.7144873949579832,0.0829953413770165,0.721109243697479,0.08550886774349233,0.7041176470588235,0.07407013018625098,0.7184537815126051,0.08504762345891191,0.722,0.07684248218861886,0.722655462184874,0.08748934930506902,0.7209243697478992,0.08489181639276482,0.7213949579831933,0.07581916786601602,0.7150588235294117,0.0724307193750882,0.7303865546218488,0.08846187347897036
234,15,Uniform,bupa,0.6872268907563026,0.0711559580512109,0.6987394957983193,0.0580599364934849,0.7047058823529412,0.0724317969730958,0.6989075630252101,0.1010261670862707,0.7422689075630252,0.0904714640039912,0.6753781512605042,0.0629524011437772,0.7163025210084034,0.0901423017653338,0.7081512605042016,0.0906707156007133,0.6901680672268908,0.0586164823565895,0.6869747899159664,0.0994143258551547,0.7045378151260504,0.0757434571372859,0.7103361344537815,0.0812837180321302,0.6987394957983193,0.0883203982447886,0.7102521008403361,0.0747052049135407,0.6988235294117647,0.0694962442842721,0.7308403361344538,0.0823215416806922
235,50,Uniform,bupa,0.7014285714285714,0.0862954701883866,0.7073949579831933,0.0648431250940038,0.707563025210084,0.0623172185453753,0.7163865546218487,0.0772959531641478,0.7220168067226891,0.0810001506774148,0.716218487394958,0.0675146153756038,0.7074789915966386,0.0879992842027497,0.719327731092437,0.071312587770056,0.6959663865546218,0.0649217300327971,0.7221848739495799,0.0905392154154569,0.7277310924369748,0.0791632519144562,0.7277310924369748,0.0698417691479428,0.7336134453781512,0.0759036452937338,0.7220168067226891,0.0857415602602744,0.7103361344537815,0.0545795282436066,0.7221848739495799,0.0865643209780568
236,100,Uniform,bupa,0.7074789915966386,0.0889632061884683,0.7250420168067226,0.0679083112228563,0.6989075630252101,0.0619092612786212,0.7104201680672269,0.0809995694707985,0.7219327731092438,0.0643007555803243,0.719327731092437,0.0831286472398897,0.7104201680672269,0.0804630807886873,0.7280672268907563,0.0901057361987001,0.716218487394958,0.0732834889762357,0.724873949579832,0.0794651755232598,0.7307563025210084,0.0734835925000896,0.733781512605042,0.094905333974492,0.7192436974789916,0.090139037585666,0.7219327731092438,0.0716117276087273,0.7133613445378152,0.0854405563120708,0.7310924369747899,0.092184529234933
237,150,Uniform,bupa,0.716218487394958,0.0903734098935971,0.7222689075630252,0.0835102751582764,0.7018487394957983,0.0764452405635817,0.7163865546218487,0.0884987840294667,0.7219327731092438,0.0740285314046806,0.7364705882352942,0.0674182616979463,0.7132773109243697,0.0778326487259605,0.7192436974789916,0.090139037585666,0.7105882352941176,0.0842110172227962,0.7364705882352942,0.0763984227672667,0.7190756302521009,0.0761039733858997,0.7221848739495799,0.0962079469393686,0.7251260504201681,0.0836953509379644,0.724873949579832,0.0687413449238662,0.724873949579832,0.0746877679250094,0.7310084033613445,0.0914834531414473
238,199,Uniform,bupa,0.716218487394958,0.0814216381916708,0.7194957983193278,0.0870538484242987,0.7105882352941176,0.0845318562701543,0.7220168067226891,0.0796009238127821,0.7220168067226891,0.0822440637770744,0.7221008403361344,0.0767466620622821,0.7249579831932773,0.0785393914023512,0.7307563025210084,0.0853162615623262,0.7076470588235294,0.0893179323428364,0.721764705882353,0.0794209777334215,0.7278991596638655,0.0797181360053629,0.7192436974789916,0.0952079784314115,0.7278991596638655,0.0864006499016713,0.7278991596638655,0.0782960016236715,0.7278991596638655,0.0779495001104821,0.7368067226890757,0.0897555223597225
233,average,LSC,bupa,0.7057983193277311,0.09719379578065965,0.7039159663865546,0.0780384976060324,0.7312941176470588,0.07057878424800632,0.7238151260504202,0.0783040275923164,0.7169243697478992,0.07343930374743088,0.7288571428571429,0.07848296329187586,0.7203529411764705,0.07527559450825112,0.7230924369747899,0.0664101549113585,0.7150756302521009,0.07645491962970402,0.7168571428571429,0.07180946914092354,0.7232100840336134,0.0730777501584453,0.7261176470588235,0.07463705221214037,0.7196974789915966,0.08057185076414768,0.7196302521008404,0.07999187941965548,0.7198319327731093,0.0891141139334312,0.7307731092436975,0.07595080932353708
228,15,LSC,bupa,0.7018487394957983,0.1180882749529799,0.6868907563025209,0.1055745232554317,0.7160504201680673,0.0642226123356964,0.6927731092436975,0.0925584466275397,0.6989075630252101,0.0743665035928475,0.716218487394958,0.0748009832451794,0.710672268907563,0.0686006350169751,0.7160504201680673,0.0564360777791577,0.7014285714285714,0.0753944347225866,0.7135294117647059,0.0746239201098772,0.6987394957983193,0.0796821534635277,0.7222689075630252,0.064294409986569,0.6928571428571428,0.0948866889844922,0.7015966386554622,0.0828245892986375,0.7220168067226891,0.0842283458004651,0.7163025210084034,0.0771282297168371
229,50,LSC,bupa,0.7074789915966386,0.1001316914882363,0.7131932773109244,0.0721874880639369,0.7247899159663865,0.0701066785028726,0.7367226890756302,0.0788663906291614,0.7309243697478991,0.0761284555610463,0.7305042016806722,0.0690429882368243,0.7161344537815126,0.0766676440334832,0.7246218487394958,0.0651006546671785,0.7105882352941176,0.0807813221822426,0.7220168067226891,0.0758206960041225,0.7395798319327731,0.0890645748296814,0.724873949579832,0.0735369610637021,0.7308403361344538,0.0875340504148644,0.7045378151260504,0.0682602650559914,0.7108403361344537,0.114522637103141,0.7278151260504202,0.0722574524610896
230,100,LSC,bupa,0.7045378151260504,0.0918504437298484,0.7016806722689075,0.0775500705900173,0.733781512605042,0.0746221852096619,0.7425210084033613,0.0856650231003695,0.7192436974789916,0.0675220527873203,0.7247058823529412,0.0854100163302424,0.7163025210084034,0.0752445815442007,0.7305042016806722,0.0687286169106167,0.7076470588235294,0.0872632869345195,0.7221008403361344,0.0682899722513109,0.7192436974789916,0.0675220527873203,0.7278991596638655,0.0808479257857686,0.7133613445378152,0.0747048373081941,0.7305882352941176,0.0763891790222167,0.7221848739495799,0.0879143154717341,0.730672268907563,0.0749143940454805
