col_1,col_2,col_3,col_4,class
1.0,1.0,1.0,1,majority
2.0,1.0,3.0,0,majority
3.0,1.0,3.0,1,minority
4.0,1.0,2.0,0,majority
5.0,1.0,3.0,0,majority
6.0,2.0,2.0,1,minority
7.0,2.0,2.0,0,majority
8.0,2.0,1.0,0,majority
9.0,2.0,3.0,0,majority
10.0,3.0,2.0,0,majority
11.0,3.0,1.0,1,majority
12.0,3.0,2.0,1,minority
13.0,3.0,3.0,1,minority
14.0,4.0,1.0,0,majority
15.0,4.0,3.0,1,minority
16.0,4.0,3.0,0,majority
17.0,4.0,2.0,0,majority
18.0,5.0,2.0,0,majority
19.0,5.0,3.0,0,majority
20.0,5.0,1.0,1,majority
21.0,6.0,1.0,0,majority
22.0,6.0,3.0,1,minority
23.0,6.0,2.0,0,majority
24.0,6.0,2.0,1,minority
25.0,7.0,1.0,1,majority
26.0,8.0,2.0,0,majority
27.0,8.0,1.0,1,minority
28.0,8.0,3.0,1,minority
29.0,8.0,1.0,0,majority
30.0,10.0,1.0,0,majority
31.0,10.0,2.0,0,majority
32.0,10.0,3.0,1,minority
33.0,10.0,2.0,1,minority
34.0,11.0,2.0,1,minority
35.0,11.0,1.0,0,majority
36.0,12.0,2.0,0,majority
37.0,12.0,3.0,1,minority
38.0,13.0,1.0,0,majority
39.0,13.0,2.0,1,minority
40.0,14.0,2.0,0,minority
41.0,15.0,3.0,1,minority
42.0,16.0,2.0,1,minority
43.0,16.0,2.0,0,minority
44.0,16.0,1.0,0,minority
45.0,17.0,2.0,0,minority
46.0,20.0,1.0,0,minority
