year,field_goals,class
85.0,3.0,minority
85.0,7.0,majority
85.0,5.0,minority
85.0,12.0,majority
85.0,7.0,majority
85.0,0.0,minority
85.0,2.0,minority
85.0,2.0,minority
85.0,2.0,minority
85.0,4.0,minority
85.0,1.0,minority
85.0,11.0,majority
85.0,5.0,majority
85.0,14.0,majority
85.0,3.0,minority
85.0,10.0,majority
85.0,10.0,majority
85.0,4.0,minority
85.0,3.0,minority
85.0,10.0,majority
85.0,8.0,majority
85.0,2.0,minority
85.0,7.0,majority
85.0,6.0,minority
85.0,9.0,majority
85.0,2.0,minority
85.0,11.0,majority
85.0,3.0,minority
85.0,4.0,minority
85.0,1.0,minority
85.0,6.0,majority
85.0,2.0,minority
85.0,4.0,minority
85.0,7.0,majority
85.0,7.0,majority
85.0,8.0,majority
85.0,7.0,majority
85.0,11.0,majority
85.0,6.0,majority
85.0,7.0,majority
85.0,5.0,minority
85.0,8.0,majority
85.0,10.0,majority
85.0,4.0,majority
85.0,5.0,minority
85.0,6.0,minority
85.0,5.0,majority
85.0,4.0,majority
85.0,6.0,minority
85.0,11.0,majority
85.0,12.0,majority
85.0,3.0,minority
85.0,7.0,minority
85.0,5.0,minority
85.0,11.0,majority
85.0,1.0,minority
85.0,6.0,majority
85.0,4.0,minority
85.0,5.0,minority
85.0,7.0,majority
85.0,3.0,minority
85.0,6.0,majority
85.0,5.0,minority
85.0,6.0,minority
85.0,6.0,majority
85.0,2.0,minority
85.0,4.0,minority
85.0,1.0,minority
85.0,9.0,majority
85.0,10.0,majority
85.0,5.0,minority
85.0,8.0,majority
85.0,3.0,majority
85.0,8.0,majority
85.0,3.0,minority
85.0,7.0,minority
85.0,9.0,majority
85.0,10.0,majority
85.0,2.0,minority
85.0,8.0,majority
85.0,9.0,majority
85.0,4.0,minority
85.0,1.0,minority
86.0,7.0,majority
86.0,5.0,majority
86.0,11.0,majority
86.0,9.0,majority
86.0,6.0,majority
86.0,7.0,majority
86.0,9.0,majority
86.0,1.0,minority
86.0,9.0,majority
86.0,10.0,majority
86.0,11.0,majority
86.0,6.0,minority
86.0,9.0,majority
86.0,5.0,minority
86.0,9.0,majority
86.0,10.0,majority
86.0,6.0,majority
86.0,12.0,majority
86.0,4.0,minority
86.0,7.0,majority
86.0,7.0,majority
86.0,5.0,minority
86.0,10.0,majority
86.0,3.0,minority
86.0,6.0,majority
86.0,7.0,majority
86.0,5.0,majority
86.0,5.0,majority
86.0,3.0,minority
86.0,8.0,majority
86.0,8.0,majority
86.0,10.0,majority
86.0,8.0,majority
86.0,7.0,majority
86.0,3.0,minority
86.0,3.0,majority
86.0,8.0,minority
86.0,7.0,majority
86.0,8.0,majority
86.0,6.0,minority
86.0,3.0,minority
86.0,11.0,majority
86.0,9.0,majority
86.0,10.0,majority
86.0,8.0,majority
86.0,6.0,majority
86.0,2.0,minority
86.0,5.0,majority
86.0,6.0,majority
86.0,4.0,minority
86.0,4.0,minority
86.0,7.0,majority
86.0,1.0,minority
86.0,13.0,majority
86.0,7.0,majority
86.0,10.0,majority
86.0,8.0,majority
86.0,4.0,minority
86.0,2.0,minority
86.0,12.0,majority
86.0,3.0,minority
86.0,6.0,majority
86.0,7.0,majority
86.0,3.0,minority
86.0,7.0,majority
86.0,15.0,majority
86.0,3.0,minority
86.0,9.0,majority
86.0,10.0,majority
86.0,7.0,majority
86.0,4.0,minority
86.0,7.0,majority
86.0,7.0,majority
86.0,7.0,majority
86.0,9.0,majority
86.0,6.0,majority
86.0,7.0,majority
86.0,4.0,majority
86.0,6.0,majority
86.0,6.0,majority
86.0,8.0,majority
86.0,5.0,majority
86.0,6.0,majority
86.0,2.0,minority
86.0,2.0,minority
86.0,6.0,majority
86.0,7.0,majority
86.0,7.0,minority
86.0,6.0,majority
86.0,12.0,majority
86.0,8.0,majority
86.0,9.0,majority
86.0,5.0,minority
87.0,6.0,majority
87.0,6.0,majority
87.0,5.0,majority
