sv,ag,tl,ae,wt,bh,hl,fl,tt,sk,class
1,1,154.0,241.0,24.5,31.2,0.687,0.668,1.022,0.587,majority
1,1,160.0,252.0,26.9,30.8,0.736,0.709,1.18,0.602,majority
1,1,155.0,243.0,26.9,30.6,0.733,0.704,1.151,0.602,majority
1,1,154.0,245.0,24.3,31.7,0.741,0.688,1.146,0.584,majority
1,1,156.0,247.0,24.1,31.5,0.715,0.706,1.129,0.575,majority
1,1,161.0,253.0,26.5,31.8,0.78,0.743,1.144,0.607,minority
1,1,157.0,251.0,24.6,31.1,0.741,0.736,1.153,0.61,minority
1,1,159.0,247.0,24.2,31.4,0.728,0.718,1.126,0.609,majority
1,1,158.0,247.0,23.6,29.8,0.703,0.673,1.079,0.602,majority
1,1,158.0,252.0,26.2,32.0,0.749,0.739,1.153,0.614,minority
1,1,160.0,252.0,26.2,32.0,0.741,0.723,1.129,0.624,minority
1,1,162.0,253.0,24.8,32.3,0.766,0.752,1.134,0.633,minority
1,1,161.0,243.0,25.4,31.8,0.721,0.722,1.126,0.597,minority
1,1,160.0,250.0,23.7,29.8,0.73,0.703,1.103,0.59,majority
1,1,159.0,247.0,25.7,31.4,0.729,0.717,1.141,0.592,minority
1,1,158.0,253.0,25.7,31.9,0.743,0.699,1.15,0.6,minority
1,1,159.0,247.0,26.5,31.6,0.733,0.714,1.155,0.611,minority
1,1,166.0,253.0,26.7,32.5,0.767,0.765,1.23,0.6,minority
1,1,159.0,247.0,23.9,31.4,0.752,0.723,1.113,0.602,majority
1,1,160.0,248.0,24.7,31.3,0.752,0.737,1.176,0.603,majority
1,1,161.0,252.0,28.0,31.8,0.77,0.731,1.19,0.59,minority
1,1,163.0,251.0,27.9,31.9,0.769,0.745,1.168,0.622,minority
1,1,156.0,242.0,25.9,32.0,0.723,0.711,1.116,0.609,minority
1,1,165.0,251.0,25.7,32.2,0.751,0.742,1.161,0.613,minority
1,1,160.0,247.0,26.6,32.4,0.728,0.707,1.108,0.59,majority
1,1,158.0,244.0,23.2,31.6,0.73,0.713,1.142,0.585,minority
1,1,160.0,242.0,25.7,31.6,0.709,0.705,1.124,0.62,majority
1,1,157.0,245.0,26.3,32.2,0.741,0.726,1.143,0.595,majority
1,1,159.0,244.0,24.3,31.5,0.723,0.698,1.107,0.615,majority
1,1,160.0,253.0,26.7,32.1,0.739,0.714,1.117,0.592,minority
1,1,158.0,245.0,24.9,31.4,0.726,0.703,1.119,0.58,minority
1,1,161.0,247.0,23.8,31.4,0.735,0.694,1.101,0.602,majority
1,1,160.0,247.0,25.6,32.3,0.756,0.745,1.135,0.607,minority
1,1,160.0,247.0,27.0,32.0,0.755,0.736,1.174,0.631,minority
1,1,153.0,241.0,24.7,32.2,0.728,0.68,1.092,0.592,minority
2,1,165.0,249.0,26.5,31.0,0.738,0.704,1.095,0.606,majority
2,1,160.0,245.0,26.1,32.0,0.736,0.709,1.109,0.611,majority
2,1,161.0,249.0,25.6,32.3,0.743,0.718,1.128,0.602,majority
2,1,162.0,246.0,25.9,32.3,0.738,0.709,1.135,0.607,minority
2,1,163.0,250.0,25.5,32.5,0.752,0.731,1.197,0.623,minority
2,1,162.0,247.0,27.6,31.8,0.731,0.719,1.113,0.597,minority
2,1,163.0,246.0,25.8,31.4,0.689,0.662,1.073,0.604,majority
2,1,161.0,246.0,24.9,30.5,0.739,0.726,1.138,0.58,majority
2,1,160.0,242.0,26.0,31.0,0.745,0.713,1.105,0.6,majority
2,1,162.0,246.0,26.5,31.5,0.72,0.696,1.092,0.606,majority
2,1,160.0,249.0,26.0,31.4,0.726,0.689,1.097,0.602,majority
2,1,161.0,250.0,27.1,31.6,0.737,0.711,1.12,0.631,minority
2,1,162.0,248.0,25.1,31.9,0.744,0.722,1.154,0.591,majority
2,1,165.0,252.0,26.0,32.3,0.726,0.71,1.145,0.609,minority
2,1,161.0,243.0,25.6,32.5,0.709,0.707,1.122,0.607,majority
2,1,161.0,244.0,25.0,31.3,0.702,0.685,1.082,0.595,minority
2,1,162.0,248.0,24.6,31.0,0.713,0.7,1.086,0.59,majority
2,1,164.0,244.0,25.0,31.2,0.703,0.69,1.074,0.608,majority
2,1,158.0,247.0,26.0,32.0,0.729,0.71,1.145,0.607,majority
2,1,162.0,253.0,28.3,31.8,0.752,0.718,1.152,0.6,minority
2,1,156.0,239.0,24.6,30.5,0.659,0.658,1.042,0.57,majority
2,1,166.0,251.0,27.5,31.5,0.72,0.691,1.118,0.612,majority
2,1,165.0,253.0,31.0,32.4,0.765,0.75,1.183,0.613,minority
2,1,166.0,250.0,28.3,32.4,0.754,0.718,1.179,0.607,minority
1,2,156.0,246.0,24.6,32.0,0.744,0.735,1.167,0.592,majority
1,2,156.0,245.0,25.5,32.1,0.761,0.717,1.147,0.62,majority
1,2,163.0,248.0,24.8,32.2,0.742,0.733,1.165,0.606,minority
1,2,163.0,248.0,26.3,33.0,0.736,0.704,1.148,0.609,majority
1,2,160.0,250.0,24.4,31.5,0.746,0.715,1.173,0.604,minority
1,2,156.0,237.0,23.3,30.6,0.692,0.664,1.011,0.588,majority
1,2,162.0,253.0,26.7,32.0,0.759,0.734,1.197,0.63,minority
