col_1,col_2,class
50.0,5.0,majority
40.0,5.0,majority
30.0,5.0,majority
20.0,5.0,majority
10.0,5.0,majority
0.0,5.0,majority
-10.0,5.0,majority
-20.0,5.0,majority
-30.0,5.0,majority
-40.0,5.0,majority
-50.0,5.0,minority
-60.0,5.0,minority
50.0,10.0,majority
40.0,10.0,majority
30.0,10.0,majority
20.0,10.0,majority
10.0,10.0,majority
0.0,10.0,majority
-10.0,10.0,majority
-20.0,10.0,majority
-30.0,10.0,minority
-40.0,10.0,minority
-50.0,10.0,minority
-60.0,10.0,minority
50.0,15.0,majority
40.0,15.0,majority
30.0,15.0,majority
20.0,15.0,majority
10.0,15.0,majority
0.0,15.0,majority
-10.0,15.0,majority
-20.0,15.0,minority
-30.0,15.0,minority
-40.0,15.0,minority
-50.0,15.0,minority
-60.0,15.0,minority
50.0,20.0,majority
40.0,20.0,majority
30.0,20.0,majority
20.0,20.0,majority
10.0,20.0,majority
0.0,20.0,majority
-10.0,20.0,minority
-20.0,20.0,minority
-30.0,20.0,minority
-40.0,20.0,minority
-50.0,20.0,minority
-60.0,20.0,minority
50.0,25.0,majority
40.0,25.0,majority
30.0,25.0,majority
20.0,25.0,majority
10.0,25.0,majority
0.0,25.0,majority
-10.0,25.0,minority
-20.0,25.0,minority
-30.0,25.0,minority
-40.0,25.0,minority
-50.0,25.0,minority
-60.0,25.0,minority
50.0,30.0,majority
40.0,30.0,majority
30.0,30.0,majority
20.0,30.0,majority
10.0,30.0,majority
0.0,30.0,majority
-10.0,30.0,minority
-20.0,30.0,minority
-30.0,30.0,minority
-40.0,30.0,minority
-50.0,30.0,minority
-60.0,30.0,minority
50.0,35.0,majority
40.0,35.0,majority
30.0,35.0,majority
20.0,35.0,majority
10.0,35.0,majority
0.0,35.0,minority
-10.0,35.0,minority
-20.0,35.0,minority
-30.0,35.0,minority
-40.0,35.0,minority
-50.0,35.0,minority
-60.0,35.0,minority
50.0,40.0,majority
40.0,40.0,majority
30.0,40.0,majority
20.0,40.0,majority
10.0,40.0,majority
0.0,40.0,minority
-10.0,40.0,minority
-20.0,40.0,minority
-30.0,40.0,minority
-40.0,40.0,minority
-50.0,40.0,minority
-60.0,40.0,minority
50.0,45.0,majority
40.0,45.0,majority
30.0,45.0,majority
20.0,45.0,majority
10.0,45.0,majority
0.0,45.0,minority
-10.0,45.0,minority
-20.0,45.0,minority
-30.0,45.0,minority
-40.0,45.0,minority
-50.0,45.0,minority
-60.0,45.0,minority
50.0,50.0,majority
40.0,50.0,majority
30.0,50.0,majority
20.0,50.0,majority
10.0,50.0,majority
0.0,50.0,minority
-10.0,50.0,minority
-20.0,50.0,minority
-30.0,50.0,minority
-40.0,50.0,minority
-50.0,50.0,minority
-60.0,50.0,minority
