ozone,radiation,temperature,class
41.0,190.0,67.0,majority
36.0,118.0,72.0,majority
12.0,149.0,74.0,minority
18.0,313.0,62.0,minority
23.0,299.0,65.0,majority
19.0,99.0,59.0,minority
8.0,19.0,61.0,minority
16.0,256.0,69.0,majority
11.0,290.0,66.0,majority
14.0,274.0,68.0,minority
18.0,65.0,58.0,minority
14.0,334.0,64.0,minority
34.0,307.0,66.0,minority
6.0,78.0,57.0,minority
30.0,322.0,68.0,minority
11.0,44.0,62.0,majority
1.0,8.0,59.0,majority
11.0,320.0,73.0,minority
4.0,25.0,61.0,majority
32.0,92.0,61.0,minority
23.0,13.0,67.0,minority
45.0,252.0,81.0,minority
115.0,223.0,79.0,majority
37.0,279.0,76.0,majority
29.0,127.0,82.0,majority
71.0,291.0,90.0,minority
39.0,323.0,87.0,minority
23.0,148.0,82.0,majority
21.0,191.0,77.0,minority
37.0,284.0,72.0,minority
20.0,37.0,65.0,majority
12.0,120.0,73.0,minority
13.0,137.0,76.0,minority
135.0,269.0,84.0,majority
49.0,248.0,85.0,majority
32.0,236.0,81.0,majority
64.0,175.0,83.0,majority
40.0,314.0,83.0,minority
77.0,276.0,88.0,majority
97.0,267.0,92.0,majority
97.0,272.0,92.0,majority
85.0,175.0,89.0,majority
10.0,264.0,73.0,minority
27.0,175.0,81.0,minority
7.0,48.0,80.0,minority
48.0,260.0,81.0,majority
35.0,274.0,82.0,minority
61.0,285.0,84.0,majority
79.0,187.0,87.0,majority
63.0,220.0,85.0,minority
16.0,7.0,74.0,majority
80.0,294.0,86.0,majority
108.0,223.0,85.0,majority
20.0,81.0,82.0,majority
52.0,82.0,86.0,minority
82.0,213.0,88.0,majority
50.0,275.0,86.0,majority
64.0,253.0,83.0,majority
59.0,254.0,81.0,majority
39.0,83.0,81.0,majority
9.0,24.0,81.0,minority
16.0,77.0,82.0,majority
122.0,255.0,89.0,majority
89.0,229.0,90.0,minority
110.0,207.0,90.0,majority
44.0,192.0,86.0,minority
28.0,273.0,82.0,minority
65.0,157.0,80.0,majority
22.0,71.0,77.0,minority
59.0,51.0,79.0,majority
23.0,115.0,76.0,majority
31.0,244.0,78.0,minority
44.0,190.0,78.0,minority
21.0,259.0,77.0,minority
9.0,36.0,72.0,minority
45.0,212.0,79.0,majority
168.0,238.0,81.0,majority
73.0,215.0,86.0,majority
76.0,203.0,97.0,majority
118.0,225.0,94.0,majority
84.0,237.0,96.0,majority
85.0,188.0,94.0,majority
96.0,167.0,91.0,majority
78.0,197.0,92.0,majority
73.0,183.0,93.0,majority
91.0,189.0,93.0,majority
47.0,95.0,87.0,majority
32.0,92.0,84.0,minority
20.0,252.0,80.0,minority
23.0,220.0,78.0,minority
21.0,230.0,75.0,minority
24.0,259.0,73.0,majority
44.0,236.0,81.0,minority
21.0,259.0,76.0,minority
28.0,238.0,77.0,majority
9.0,24.0,71.0,minority
13.0,112.0,71.0,minority
46.0,237.0,78.0,majority
18.0,224.0,67.0,minority
13.0,27.0,76.0,minority
24.0,238.0,68.0,minority
16.0,201.0,82.0,majority
13.0,238.0,64.0,minority
23.0,14.0,71.0,majority
36.0,139.0,81.0,minority
7.0,49.0,69.0,minority
14.0,20.0,63.0,minority
30.0,193.0,70.0,majority
14.0,191.0,75.0,minority
18.0,131.0,76.0,majority
20.0,223.0,68.0,minority
