average_temperature,month,class
73.0,8,majority
67.0,9,majority
57.0,10,majority
43.0,11,minority
26.0,12,minority
41.0,1,minority
38.0,2,minority
46.0,3,minority
54.0,4,minority
60.0,5,majority
71.0,6,majority
75.0,7,majority
74.0,8,majority
66.0,9,majority
61.0,10,majority
49.0,11,minority
41.0,12,minority
35.0,1,minority
41.0,2,minority
42.0,3,majority
56.0,4,majority
69.0,5,majority
73.0,6,majority
77.0,7,majority
74.0,8,majority
66.0,9,majority
56.0,10,majority
47.0,11,majority
38.0,12,minority
34.0,1,minority
37.0,2,minority
39.0,3,minority
51.0,4,minority
60.0,5,majority
70.0,6,majority
73.0,7,majority
71.0,8,majority
66.0,9,majority
54.0,10,minority
45.0,11,minority
36.0,12,minority
34.0,1,minority
32.0,2,minority
39.0,3,minority
55.0,4,majority
64.0,5,majority
72.0,6,majority
79.0,7,majority
75.0,8,majority
65.0,9,majority
54.0,10,majority
48.0,11,majority
35.0,12,minority
24.0,1,minority
32.0,2,minority
