dataset,classic_misc_rate_test_mean_median,init_easy_misc_rate_test_mean_median,init_hard_misc_rate_test_mean_median,classic_misc_rate_test_mean_std,init_easy_misc_rate_test_mean_std,init_hard_misc_rate_test_mean_std,classic_misc_rate_test_mean_total_mean,init_easy_misc_rate_test_mean_total_mean,init_hard_misc_rate_test_mean_total_mean
WineQualityRed_5vs6,0.288144806847097,0.319968771686329,0.385120286837844,0.0103996040059864,0.00363905223845231,0.0193951833366132,0.291634879327627,0.321027546456936,0.394378556557946
Yeast_CYTvsNUC,0.341947565543071,0.349775280898876,0.478595505617978,0.00568075117565281,0.00492723332543714,0.00983497914191567,0.343420391177695,0.349928963795256,0.479968955472326
arrhythmia_cfs,0.167874396135266,0.172463768115942,0.214323671497584,0.0262034921776098,0.0338331736219709,0.0303485774021116,0.175926247987117,0.183008534621578,0.224319967793881
bands,0.312162162162162,0.320945945945946,0.356306306306306,0.0187202336268836,0.0177068597825367,0.0325505112728962,0.310372622622623,0.321715965965966,0.366499249249249
banknote_authentication,0.0014545646884586,0.0021844916957579,0.0014545646884586,0.0169294675960157,0.0220431763595915,0.018939462969296,0.00651796607778829,0.00967893790331105,0.00732342466236461
bodyfat,0.004,0.004,0.004,0,0,0,0.004,0.004,0.004
breast-w,0.0414699792960662,0.0500414078674948,0.0428985507246376,0.00494687157153609,0.0046526099136305,0.00414967798178139,0.0425209109730848,0.0503525879917184,0.0431087646652864
breastcancer,0,0,0,0,0,0,0,0,0
bupa,0.266764705882353,0.272436974789916,0.295798319327731,0.0198828082980955,0.019435775987759,0.017965486457061,0.271157142857143,0.279143697478992,0.29973837535014
chatfield_4,0.127717391304348,0.127717391304348,0.127717391304348,0.00686394135996304,0.00536007236765044,0.00746095571406758,0.12623731884058,0.127522946859903,0.128160628019324
contraceptive_LS,0.358991596638655,0.353081232492997,0.503543417366947,0.00551939444879742,0.00356666256323105,0.0137219734062888,0.359478711484594,0.353787861811391,0.505790149393091
contraceptive_NL,0.262006013745704,0.24953823024055,0.329542525773196,0.00583181794656667,0.00630390649676883,0.0225083304454671,0.261640141752577,0.250218499427262,0.335370060137457
contraceptive_NS,0.316666666666667,0.314035087719298,0.37280701754386,0.0160433956069377,0.00966924295251187,0.0184080081670114,0.321,0.314423976608187,0.380842105263158
credit-g,0.246,0.253,0.296,0.0108091433899718,0.00757798474812464,0.0152876047311849,0.247876666666667,0.25367,0.298813333333333
diabetes,0.240909090909091,0.250034176349966,0.243523581681476,0.00712229834703216,0.004130570016379,0.0106466629232279,0.242108965595808,0.249680223285486,0.245066359079517
diabetic_retinopathy,0.326731634182909,0.34842203898051,0.361514242878561,0.0168976198614242,0.0115089667151095,0.0263025887902491,0.330662018990505,0.352157371314343,0.371038055972014
fri_c0_250_50,0.228,0.216,0.224,0.0169447919867375,0.0181466293309752,0.0211833804568776,0.225733333333333,0.221586666666667,0.228346666666667
glass0,0.167748917748918,0.186363636363636,0.196103896103896,0.0206479828572626,0.0150671125254728,0.0204719909885902,0.171763347763348,0.187751082251082,0.202040404040404
glass1,0.201082251082251,0.204978354978355,0.210606060606061,0.0168570679887266,0.0208630820946031,0.0278113685425826,0.204671717171717,0.207683261183261,0.218800144300144
hill_valley_without_noise_traintest,0.473641782956239,0.48107302533532,0.483532041728763,0.00838188547325509,0.00542362193622257,0.00457544231835244,0.47503129657228,0.481504583841395,0.484166644086167
ilpd,0.304053236539625,0.274621899576527,0.328191167574108,0.00839351480008668,0.00540564454054833,0.0126128677361044,0.304087820125025,0.276542548900988,0.330292498487598
ionosphere,0.0741269841269841,0.0741269841269841,0.0826190476190476,0.012935815764891,0.0145327567059016,0.0193054074565073,0.0754510582010581,0.0760074074074074,0.0891470899470899
liver-disorders,0.28047619047619,0.267142857142857,0.319047619047619,0.0105775273943628,0.0101835287265945,0.0148516707396327,0.279169841269841,0.268903174603175,0.319398412698413
mammographic,0.163855421686747,0.155421686746988,0.193975903614458,0.00238016385164672,0.00253063850694221,0.00594018059255078,0.163927710843373,0.155144578313253,0.194694779116466
musk1,0.119835992907801,0.164117907801418,0.151152482269504,0.0466359050796984,0.0456826768293849,0.0459341632184665,0.138929225768321,0.176029550827423,0.165236406619385
parkinsons,0.106578947368421,0.101842105263158,0.0913157894736842,0.0122695545841224,0.0169532276992642,0.0235499845924498,0.108598245614035,0.105671052631579,0.0958219298245614
phoneme,0.196062675429588,0.194672759635791,0.191986889847333,0.00985030223664138,0.00848379002999781,0.00974889637377483,0.197754781953858,0.197180063211702,0.19607653978686
pima,0.236380724538619,0.237064251537936,0.257775119617225,0.00830800443420891,0.00496715175304584,0.00893082540643539,0.239314023695603,0.237203634085213,0.259102130325815
profb,0.325965759438104,0.33630377524144,0.48373573309921,0.00635908992150413,0.00315685756290331,0.0324248928192933,0.325860111208663,0.335366476441323,0.494211150131694
ring,0.0518918918918918,0.0800675675675676,0.0532432432432432,0.0546702788222542,0.0606354979116969,0.0716483147464002,0.0714914414414414,0.101262612612613,0.0770693693693693
saheart,0.302913968547641,0.298658649398705,0.333395004625347,0.0099268524120693,0.0101437767099516,0.00732129265563368,0.301336262719704,0.29713691026827,0.333082639531298
sonar,0.148809523809524,0.139285714285714,0.145,0.0246585545369821,0.0328944776953436,0.0329091699728318,0.151715079365079,0.15079126984127,0.154734126984127
spambase,0.0624386662877711,0.0620029364402765,0.0674351141422752,0.0167018449979136,0.0164842910742449,0.0172017694278259,0.0677714044393925,0.0669442218433267,0.0730520381421489
spectfheart,0.205413105413105,0.224287749287749,0.201709401709402,0.00766867809051302,0.0100299163391356,0.015318355419925,0.205720322886989,0.221110636277303,0.20452849002849
steel-plates-fault,0,0,0,0.0584189255814286,0.0584189255814286,0.0584189255814286,0.0174982994096396,0.0174982994096396,0.0174982994096396
sylvine,0.0798215155945419,0.0831406859161793,0.0809918676900584,0.00265989801315623,0.00301910101277883,0.00335825712308816,0.0807822310043047,0.0837737700008122,0.0822087737065464
teaching_assistant_LH,0.376363636363636,0.386363636363636,0.406363636363636,0.0255739462776572,0.0357650998348628,0.0202504589467843,0.383936363636364,0.390893939393939,0.398112121212121
teaching_assistant_LM,0.365555555555555,0.365555555555556,0.355555555555555,0.0283111327737141,0.0171481510910562,0.0221811015556822,0.370414814814815,0.373122222222222,0.364474074074074
teaching_assistant_MH,0.33,0.3,0.370909090909091,0.055355346431098,0.0560593396902539,0.0394530863910444,0.338309090909091,0.328369696969697,0.366842424242424
titanic,0.216200822078685,0.213881385789783,0.326171462125661,0.00254799818393381,0.00197992840940316,0.0157223107763989,0.21645834801331,0.2140339792523,0.327839440203562
vehicle2,0.0248389355742296,0.0248459383753501,0.0248459383753501,0.0231598440498272,0.0250594893538737,0.0263465954214313,0.0287048085901027,0.031047385620915,0.0317014005602241
vertebral_column,0.164516129032258,0.180645161290322,0.154838709677419,0.0139531944733749,0.00958772158560861,0.0147268207526662,0.166290322580645,0.180795698924731,0.157075268817204
wdbc,0.0351817042606516,0.0333959899749373,0.0351503759398496,0.00795407932360198,0.0064520828220518,0.00945341455032754,0.0373484753550543,0.0343885756056808,0.0370687134502924
yeast1,0.23716669689824,0.240554144748776,0.26009432251043,0.00678403346621227,0.0058094911863474,0.0144232694004873,0.237341934216095,0.241780095531773,0.26337999576758
