dataset,classic_misc_rate_test_mean_median,init_easy_misc_rate_test_mean_median,init_hard_misc_rate_test_mean_median,classic_misc_rate_test_mean_std,init_easy_misc_rate_test_mean_std,init_hard_misc_rate_test_mean_std,classic_misc_rate_test_mean_total_mean,init_easy_misc_rate_test_mean_total_mean,init_hard_misc_rate_test_mean_total_mean
WineQualityRed_5vs6,0.288144806847097,0.294188063844552,0.296443442054129,0.0103996040059864,0.00832365890867817,0.00986837664544123,0.291634879327627,0.293757942015576,0.299444675765286
Yeast_CYTvsNUC,0.341947565543071,0.337453183520599,0.352066167290886,0.00568075117565281,0.00609236487961916,0.00563885051314385,0.343420391177695,0.339626217228464,0.351939575530587
arrhythmia_cfs,0.167874396135266,0.203381642512077,0.187826086956522,0.0262034921776098,0.0440588081119468,0.0386465389173486,0.175926247987117,0.216577777777778,0.208447504025765
bands,0.312162162162162,0.323273273273273,0.312387387387387,0.0187202336268836,0.0161716435730789,0.0179384663768338,0.310372622622623,0.325984234234234,0.318233483483483
banknote_authentication,0.0014545646884586,0.0029091293769173,0.0014545646884586,0.0169294675960157,0.0226794024020447,0.0214480337066037,0.00651796607778829,0.0095026094008956,0.00969498219260193
bodyfat,0.004,0.004,0.004,0,0,0,0.004,0.004,0.004
breast-w,0.0414699792960662,0.0414492753623188,0.0472049689440993,0.00494687157153609,0.0056409607193564,0.00775855709695345,0.0425209109730848,0.0424470669427191,0.04733961352657
breastcancer,0,0,0,0,0,0,0,0,0
bupa,0.266764705882353,0.263865546218487,0.27546218487395,0.0198828082980955,0.0190269180723831,0.0256388399395705,0.271157142857143,0.268404761904762,0.282097478991597
chatfield_4,0.127717391304348,0.123550724637681,0.140217391304348,0.00686394135996304,0.00691430762441603,0.00710900363877143,0.12623731884058,0.124229468599034,0.139275966183575
contraceptive_LS,0.358991596638655,0.364957983193277,0.366134453781513,0.00551939444879742,0.00379390414805715,0.00523975665207709,0.359478711484594,0.364404388422035,0.366676237161531
contraceptive_NL,0.262006013745704,0.256840635738832,0.268213058419244,0.00583181794656667,0.00843051985375179,0.0100016018210534,0.261640141752577,0.257902598797251,0.270398518041237
contraceptive_NS,0.316666666666667,0.323684210526316,0.333333333333333,0.0160433956069377,0.0200301355765898,0.0142215133905007,0.321,0.329809941520468,0.334345029239766
credit-g,0.246,0.247,0.258,0.0108091433899718,0.011159692159598,0.0107926148415042,0.247876666666667,0.25058,0.26188
diabetes,0.240909090909091,0.231766917293233,0.242241968557758,0.00712229834703216,0.0054671055861919,0.00833572519732422,0.242108965595808,0.231498291182502,0.244083504215083
diabetic_retinopathy,0.326731634182909,0.348448275862069,0.330187406296852,0.0168976198614242,0.017318334338649,0.0187778374188424,0.330662018990505,0.351248125937031,0.337803973013493
fri_c0_250_50,0.228,0.224,0.212,0.0169447919867375,0.0156650332410659,0.016387090114112,0.225733333333333,0.223893333333333,0.21672
glass0,0.167748917748918,0.172510822510823,0.173160173160173,0.0206479828572626,0.0211567804221146,0.0207903065094774,0.171763347763348,0.175887445887446,0.181494227994228
glass1,0.201082251082251,0.21017316017316,0.229437229437229,0.0168570679887266,0.0249503404502596,0.0224284310783785,0.204671717171717,0.214132756132756,0.236351370851371
hill_valley_without_noise_traintest,0.473641782956239,0.477767240211353,0.475257417694079,0.00838188547325509,0.0092187376064903,0.00723850138773099,0.47503129657228,0.481497200018064,0.47701259991871
ilpd,0.304053236539625,0.27994555353902,0.303176043557169,0.00839351480008668,0.00971743220743402,0.00694307218221225,0.304087820125025,0.2820197620488,0.303379915305505
ionosphere,0.0741269841269841,0.074047619047619,0.0799206349206349,0.012935815764891,0.0116180214424497,0.0202734015680995,0.0754510582010581,0.0748920634920634,0.087171164021164
liver-disorders,0.28047619047619,0.274285714285714,0.302380952380952,0.0105775273943628,0.0145929566260929,0.0116853525226464,0.279169841269841,0.276209523809524,0.302790476190476
mammographic,0.163855421686747,0.167469879518072,0.167469879518072,0.00238016385164672,0.00348864085372276,0.00183323354579324,0.163927710843373,0.167971887550201,0.168493975903614
musk1,0.119835992907801,0.159530141843972,0.13656914893617,0.0466359050796984,0.0468735951248033,0.0481967227303999,0.138929225768321,0.169257535460993,0.157852689125295
parkinsons,0.106578947368421,0.111842105263158,0.101578947368421,0.0122695545841224,0.0181162120310189,0.0155133805935703,0.108598245614035,0.115125438596491,0.106110526315789
phoneme,0.196062675429588,0.200408365851989,0.197824501951119,0.00985030223664138,0.00943098927319951,0.010812433556909,0.197754781953858,0.203779574861368,0.199719243056982
pima,0.236380724538619,0.238345864661654,0.251281613123718,0.00830800443420891,0.00629965884617969,0.00580839314894112,0.239314023695603,0.237892344497608,0.250631806789701
profb,0.325965759438104,0.358691834942932,0.327414398595259,0.00635908992150413,0.00683342643236226,0.00582555436967572,0.325860111208663,0.357326675446298,0.328342039800995
ring,0.0518918918918918,0.0541891891891891,0.0802027027027027,0.0546702788222542,0.103623983829236,0.0809652878714186,0.0714914414414414,0.0915725225225225,0.112063063063063
saheart,0.302913968547641,0.305087881591119,0.32900092506938,0.0099268524120693,0.0109152290639444,0.00929024349998038,0.301336262719704,0.303177613320999,0.327698427382054
sonar,0.148809523809524,0.159047619047619,0.134761904761905,0.0246585545369821,0.0309490301639795,0.0307398480360569,0.151715079365079,0.162666666666667,0.144846031746032
spambase,0.0624386662877711,0.0650464147011461,0.0798366013071895,0.0167018449979136,0.0223669484665544,0.0179107847641179,0.0677714044393925,0.0692018044899119,0.0853465204761453
spectfheart,0.205413105413105,0.198005698005698,0.205555555555555,0.00766867809051302,0.00884957117424244,0.0128979171731312,0.205720322886989,0.199120132953466,0.208292972459639
steel-plates-fault,0,0,0,0.0584189255814286,0.0924973277981956,0.0904692253979473,0.0174982994096396,0.0328013481363997,0.0346081240637942
sylvine,0.0798215155945419,0.0821614583333333,0.0837243390594541,0.00265989801315623,0.00263579863843116,0.00238031896291567,0.0807822310043047,0.0827930220516569,0.0841384155194119
teaching_assistant_LH,0.376363636363636,0.386363636363636,0.356363636363636,0.0255739462776572,0.0435454193169854,0.0291567051361783,0.383936363636364,0.387072727272727,0.365775757575757
teaching_assistant_LM,0.365555555555555,0.375555555555555,0.395555555555555,0.0283111327737141,0.0279814928150229,0.0306023044741578,0.370414814814815,0.385803703703704,0.402362962962963
teaching_assistant_MH,0.33,0.36,0.329090909090909,0.055355346431098,0.0753589843624144,0.0243785184297559,0.338309090909091,0.362833333333333,0.335821212121212
titanic,0.216200822078685,0.210093951849677,0.212360540223136,0.00254799818393381,0.00675665718462321,0.00301328471372804,0.21645834801331,0.213028302994715,0.213102857702094
vehicle2,0.0248389355742296,0.0260504201680672,0.0272408963585434,0.0231598440498272,0.0313901551350515,0.0312872608465466,0.0287048085901027,0.0350341269841269,0.0363325863678805
vertebral_column,0.164516129032258,0.17741935483871,0.158064516129032,0.0139531944733749,0.00950833454501408,0.0113300115663264,0.166290322580645,0.177505376344086,0.160150537634409
wdbc,0.0351817042606516,0.0298558897243107,0.031641604010025,0.00795407932360198,0.00766345674868047,0.0117837783128173,0.0373484753550543,0.0311912071846282,0.0351718880534669
yeast1,0.23716669689824,0.223712134953746,0.241209414112099,0.00678403346621227,0.0093767603757403,0.00838595245748171,0.237341934216095,0.225495782695447,0.244271464417438
