"",n_ensemble,compl_measure,winning_datasets
10,25,kDN,"[vertebral_column, teaching_assistant_MH, liver-disorders, credit-g, teaching_assistant_LH, WineQualityRed_5vs6, spambase, diabetes, parkinsons, pima, contraceptive_NS, glass0, teaching_assistant_LM, ilpd, glass1, yeast1, hill_valley_without_noise_traintest, spectfheart, banknote_authentication, diabetic_retinopathy]"
11,25,DCP,"[vertebral_column, saheart, liver-disorders, credit-g, sylvine, mammographic, pima, phoneme, contraceptive_NL, wdbc, contraceptive_NS, glass0, teaching_assistant_LM, ilpd, glass1]"
12,25,TD_U,"[vertebral_column, teaching_assistant_MH, WineQualityRed_5vs6, diabetes, breast-w, chatfield_4, pima, contraceptive_NL, glass0, teaching_assistant_LM, ilpd, glass1, yeast1, Yeast_CYTvsNUC, spectfheart]"
13,25,CLD,"[teaching_assistant_MH, saheart, credit-g, musk1, teaching_assistant_LH, WineQualityRed_5vs6, spambase, diabetes, pima, ilpd, glass1, spectfheart, ionosphere]"
14,25,N1,"[vertebral_column, teaching_assistant_MH, titanic, credit-g, musk1, teaching_assistant_LH, pima, contraceptive_NL, wdbc, contraceptive_NS, glass0, teaching_assistant_LM, ilpd, glass1, yeast1, hill_valley_without_noise_traintest, Yeast_CYTvsNUC, banknote_authentication, diabetic_retinopathy]"
15,25,N2,"[vertebral_column, teaching_assistant_MH, credit-g, musk1, bupa, spambase, breast-w, pima, phoneme, contraceptive_NL, wdbc, contraceptive_NS, glass0, teaching_assistant_LM, glass1, yeast1, spectfheart, contraceptive_LS, diabetic_retinopathy]"
16,25,LSC,"[vertebral_column, teaching_assistant_MH, steel-plates-fault, titanic, credit-g, musk1, teaching_assistant_LH, spambase, pima, contraceptive_NS, teaching_assistant_LM, glass1, yeast1, hill_valley_without_noise_traintest, Yeast_CYTvsNUC, spectfheart, diabetic_retinopathy]"
17,25,F1,"[vertebral_column, teaching_assistant_MH, steel-plates-fault, liver-disorders, credit-g, musk1, WineQualityRed_5vs6, sylvine, mammographic, pima, contraceptive_NL, contraceptive_NS, glass0, teaching_assistant_LM, glass1, spectfheart]"
18,50,Hostility,"[ring, teaching_assistant_MH, steel-plates-fault, titanic, credit-g, teaching_assistant_LH, WineQualityRed_5vs6, spambase, breast-w, chatfield_4, pima, contraceptive_NL, wdbc, ilpd, glass1, yeast1, Yeast_CYTvsNUC, spectfheart, diabetic_retinopathy]"
19,50,kDN,"[teaching_assistant_MH, steel-plates-fault, titanic, liver-disorders, credit-g, teaching_assistant_LH, WineQualityRed_5vs6, spambase, diabetes, parkinsons, chatfield_4, pima, phoneme, fri_c0_250_50, ilpd, glass1, yeast1, Yeast_CYTvsNUC, spectfheart, contraceptive_LS, diabetic_retinopathy]"
20,50,DCP,"[titanic, liver-disorders, spambase, mammographic, vehicle2, pima, phoneme, contraceptive_NL, wdbc, contraceptive_NS, ilpd, glass1, spectfheart, contraceptive_LS]"
21,50,TD_U,"[steel-plates-fault, liver-disorders, WineQualityRed_5vs6, spambase, diabetes, breast-w, pima, contraceptive_NL, wdbc, fri_c0_250_50, ilpd, yeast1, Yeast_CYTvsNUC, spectfheart, contraceptive_LS]"
22,50,CLD,"[teaching_assistant_MH, steel-plates-fault, credit-g, teaching_assistant_LH, WineQualityRed_5vs6, spambase, diabetes, pima, contraceptive_NL, fri_c0_250_50, ilpd, glass1, spectfheart, contraceptive_LS, ionosphere]"
23,50,N1,"[titanic, sonar, credit-g, teaching_assistant_LH, WineQualityRed_5vs6, spambase, sylvine, pima, wdbc, contraceptive_NS, fri_c0_250_50, glass0, ilpd, glass1, yeast1, hill_valley_without_noise_traintest, Yeast_CYTvsNUC, contraceptive_LS, banknote_authentication, diabetic_retinopathy]"
24,50,N2,"[steel-plates-fault, titanic, liver-disorders, credit-g, bupa, spambase, diabetes, parkinsons, pima, wdbc, fri_c0_250_50, glass1, yeast1, Yeast_CYTvsNUC, spectfheart, contraceptive_LS, diabetic_retinopathy]"
25,50,LSC,"[vertebral_column, titanic, credit-g, teaching_assistant_LH, spambase, diabetes, chatfield_4, pima, contraceptive_NS, fri_c0_250_50, glass0, glass1, yeast1, hill_valley_without_noise_traintest, Yeast_CYTvsNUC, spectfheart, contraceptive_LS, diabetic_retinopathy]"
