n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,exp_loss_avg_train_median,exp_loss_avg_train_std,misc_rate_train_mean_mean,misc_rate_train_mean_median,misc_rate_train_mean_std,misc_rate_test_mean_mean,misc_rate_test_mean_median,misc_rate_test_mean_std
1,classic,none,0.9882172082453088,1.0067224718052405,0.27274153309811844,0.2639283258173273,0.27180155793282346,0.11604035741848695,0.2790944753632098,0.2864328316664736,0.12001906346917243
1,init_easy,CLD,0.9968919346951065,1.031492526203814,0.280708620941856,0.26761906681415226,0.28234020209543365,0.11943002715624268,0.2827778004724284,0.3064379295532646,0.12596801242704514
1,init_easy,DCP,0.9973384128622809,1.0386693273863716,0.2691511684693349,0.26780902499730813,0.2853936372099375,0.11451280424367638,0.2841270324232767,0.30357142857142855,0.11913383166275618
1,init_easy,F1,1.0123145029969987,1.0449559291914774,0.28927089858723626,0.2741807382901968,0.2880683289304308,0.12307292578997887,0.29026517064198853,0.3099943039416724,0.1257001335027406
1,init_easy,Hostility,0.9832968527500192,1.0247860929901402,0.2653334040653411,0.2618349159731653,0.279486889296763,0.11288850177332382,0.2803952738577741,0.29501329787234043,0.11996752525223611
1,init_easy,LSC,0.9884278592332869,1.019979550873883,0.26741529169431166,0.2640179491895283,0.2774419023863285,0.11377425973554797,0.2778129826017592,0.28762768937362176,0.11745678665011444
1,init_easy,N1,0.9820928628591034,1.0092651621767184,0.2640562011034629,0.2613226675609667,0.27288336859861845,0.11234510419647223,0.2750202450779019,0.2853911649998069,0.11427779834932193
1,init_easy,N2,0.9856366660788264,1.0102241926466924,0.2683718355383923,0.26283041076225433,0.2732913968048359,0.11418122998423993,0.2787157372639399,0.28274310384110746,0.12077884127419267
1,init_easy,TD_U,1.0615166843983015,1.0735224689993426,0.30717808957668785,0.29511425234184097,0.30022222222222217,0.13069170250936293,0.3083726581492762,0.327242796711629,0.13454261140945248
1,init_easy,kDN,0.9850782004473625,1.0086851339587992,0.2669440721870838,0.2625928064973487,0.27263659033585963,0.11357377512500788,0.28213709829986433,0.28641066854590624,0.12385287245170269
1,init_hard,CLD,1.1339556725822968,1.1656413126910476,0.39025110631362314,0.3259340764603787,0.33941501924708034,0.16603587046385637,0.3401643606072697,0.3695,0.16619196416463197
1,init_hard,DCP,1.1287787251966632,1.1558011069126461,0.3543468491127466,0.32373149727069034,0.3352284145058567,0.15076007879725983,0.3342842598380108,0.3455933424165218,0.15549488784263532
1,init_hard,F1,1.0100515129033623,1.031422430910583,0.2825001740491793,0.27321792864284616,0.2823103794175764,0.12019225966460512,0.28998035767125646,0.29967532467532465,0.12640147550377245
1,init_hard,Hostility,1.0601633919010176,1.079424304164693,0.3227229586526051,0.29453848178246633,0.30273321148826055,0.13730540795826535,0.30951297232228336,0.32839826839826836,0.141802784739849
1,init_hard,LSC,1.0245029981421885,1.0480189043729293,0.2971493759065534,0.27936644402769634,0.28937149948455304,0.12642489537694349,0.2920405844769394,0.3093095238095238,0.12668273271048533
1,init_hard,N1,1.0238233111653885,1.0334897680620643,0.3043704081147522,0.2790772650426527,0.2831899467472654,0.12949714898222164,0.2950269083355361,0.29584757347915236,0.13822230254803156
1,init_hard,N2,1.0232224723435446,1.0292693492466751,0.30118662132197943,0.2788216327198242,0.281394331307877,0.12814257803301202,0.29519816879547534,0.30673758865248224,0.13133381409493178
1,init_hard,TD_U,1.0083720926442103,1.032313911924509,0.27949381903890885,0.27250340407112383,0.2826896680954417,0.118913178675524,0.2863975831080068,0.30171736158578266,0.12158961166669899
1,init_hard,kDN,1.057606105203279,1.105249377136076,0.318936212662915,0.2934504609773609,0.31372072286548724,0.1356943025534329,0.3094599865691383,0.3389999999999999,0.1391536717084331
2,classic,none,1.000812624463059,1.0174576712705412,0.28314169931309363,0.26928715981352896,0.2763689458504683,0.12046520240299924,0.2892872291056575,0.2910957428629601,0.1275094724881876
2,init_easy,CLD,1.0024819303194057,1.0327940494093624,0.28132281919575736,0.2699973811208996,0.28289394694039627,0.11969134337053147,0.2810941927552721,0.3064379295532646,0.1253007804888479
2,init_easy,DCP,1.0102883369282305,1.0328435389736739,0.2768676382300693,0.2733186875708278,0.28291500272411185,0.1177958462463861,0.28976396993536135,0.312047619047619,0.12364019143619726
2,init_easy,F1,1.0359451970370697,1.0329212700100496,0.30651255976924213,0.28423463126098353,0.2829480740981014,0.1304085468203433,0.30160059740405276,0.3195,0.13329863000199887
2,init_easy,Hostility,0.9964734458887079,1.0261506421156912,0.27409131090083866,0.26744101695823735,0.2800674490906653,0.11661463261920185,0.2844384166121646,0.3032258064516129,0.12228372919705746
2,init_easy,LSC,0.9976683052503307,1.0241527023428356,0.2786334178744194,0.267949380703988,0.27921740750473867,0.11854711320131288,0.28205137873108893,0.291292887390891,0.12106937047398046
