dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
saheart.csv,2,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",auc,0.5437500000000001,"[array([[27,  3],
       [13,  3]])]"
saheart.csv,3,2,base,None,acc,0.6739130434782609,"[array([[23,  7],
       [ 8,  8]])]"
saheart.csv,3,2,base,None,f1,0.6713264203435036,"[array([[23,  7],
       [ 8,  8]])]"
saheart.csv,3,2,base,None,auc,0.6333333333333333,"[array([[23,  7],
       [ 8,  8]])]"
saheart.csv,3,2,wagging,None,acc,0.6739130434782609,"[array([[26,  4],
       [11,  5]])]"
saheart.csv,3,2,wagging,None,f1,0.6452952628163531,"[array([[26,  4],
       [11,  5]])]"
saheart.csv,3,2,wagging,None,auc,0.5895833333333333,"[array([[26,  4],
       [11,  5]])]"
saheart.csv,3,2,AdaBoost,None,acc,0.6956521739130435,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,2,AdaBoost,None,f1,0.6956521739130435,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,2,AdaBoost,None,auc,0.6645833333333333,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",acc,0.6304347826086957,"[array([[25,  5],
       [12,  4]])]"
saheart.csv,3,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",f1,0.5622721838276034,"[array([[27,  3],
       [14,  2]])]"
saheart.csv,3,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 1.0]",auc,0.6645833333333333,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",acc,0.5869565217391305,"[array([[25,  5],
       [14,  2]])]"
saheart.csv,3,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",f1,0.6278504104591062,"[array([[25,  5],
       [11,  5]])]"
saheart.csv,3,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",auc,0.575,"[array([[27,  3],
       [12,  4]])]"
saheart.csv,4,2,base,None,acc,0.6086956521739131,"[array([[18, 12],
       [ 6, 10]])]"
saheart.csv,4,2,base,None,f1,0.6178489702517161,"[array([[18, 12],
       [ 6, 10]])]"
saheart.csv,4,2,base,None,auc,0.6125,"[array([[18, 12],
       [ 6, 10]])]"
saheart.csv,4,2,wagging,None,acc,0.5434782608695652,"[array([[22,  8],
       [13,  3]])]"
saheart.csv,4,2,wagging,None,f1,0.5187662578966927,"[array([[22,  8],
       [13,  3]])]"
saheart.csv,4,2,wagging,None,auc,0.4604166666666667,"[array([[22,  8],
       [13,  3]])]"
saheart.csv,4,2,AdaBoost,None,acc,0.5869565217391305,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,4,2,AdaBoost,None,f1,0.5937888198757765,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,4,2,AdaBoost,None,auc,0.5666666666666667,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,4,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 2.0]",acc,0.717391304347826,"[array([[28,  2],
       [11,  5]])]"
saheart.csv,4,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 1.0]",f1,0.7208878078443296,"[array([[27,  3],
       [ 9,  7]])]"
saheart.csv,4,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 1.0]",auc,0.5229166666666667,"[array([[22,  8],
       [11,  5]])]"
saheart.csv,4,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",acc,0.6086956521739131,"[array([[27,  3],
       [15,  1]])]"
saheart.csv,4,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",f1,0.6137695739655323,"[array([[28,  2],
       [13,  3]])]"
saheart.csv,4,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",auc,0.5270833333333333,"[array([[26,  4],
       [13,  3]])]"
saheart.csv,5,2,base,None,acc,0.5652173913043478,"[array([[20, 10],
       [10,  6]])]"
saheart.csv,5,2,base,None,f1,0.5652173913043478,"[array([[20, 10],
       [10,  6]])]"
saheart.csv,5,2,base,None,auc,0.5208333333333334,"[array([[20, 10],
       [10,  6]])]"
saheart.csv,5,2,wagging,None,acc,0.6304347826086957,"[array([[24,  6],
       [11,  5]])]"
saheart.csv,5,2,wagging,None,f1,0.6104298278211321,"[array([[24,  6],
       [11,  5]])]"
saheart.csv,5,2,wagging,None,auc,0.55625,"[array([[24,  6],
       [11,  5]])]"
saheart.csv,5,2,AdaBoost,None,acc,0.5217391304347826,"[array([[18, 12],
       [10,  6]])]"
saheart.csv,5,2,AdaBoost,None,f1,0.5275597495369962,"[array([[18, 12],
       [10,  6]])]"
saheart.csv,5,2,AdaBoost,None,auc,0.4875,"[array([[18, 12],
       [10,  6]])]"
saheart.csv,5,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 1.0]",acc,0.6521739130434783,"[array([[27,  3],
       [13,  3]])]"
saheart.csv,5,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 1.0]",f1,0.6381987577639753,"[array([[24,  6],
       [10,  6]])]"
saheart.csv,5,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 1.0]",auc,0.5270833333333333,"[array([[26,  4],
       [13,  3]])]"
saheart.csv,5,2,Incremental_Mixed_Bagging,"[[-5.0, 5.0]]",acc,0.5869565217391305,"[array([[25,  5],
       [14,  2]])]"
saheart.csv,5,2,Incremental_Mixed_Bagging,"[[-4.0, 2.0]]",f1,0.6984754376058724,"[array([[29,  1],
       [11,  5]])]"
saheart.csv,5,2,Incremental_Mixed_Bagging,"[[-2.0, 4.0]]",auc,0.4458333333333333,"[array([[23,  7],
       [14,  2]])]"
saheart.csv,6,2,base,None,acc,0.5869565217391305,"[array([[20, 10],
       [ 9,  7]])]"
saheart.csv,6,2,base,None,f1,0.5897143877983967,"[array([[20, 10],
       [ 9,  7]])]"
saheart.csv,6,2,base,None,auc,0.5520833333333334,"[array([[20, 10],
       [ 9,  7]])]"
saheart.csv,6,2,wagging,None,acc,0.6086956521739131,"[array([[26,  4],
       [14,  2]])]"
saheart.csv,6,2,wagging,None,f1,0.5477131564088086,"[array([[26,  4],
       [14,  2]])]"
saheart.csv,6,2,wagging,None,auc,0.4958333333333334,"[array([[26,  4],
       [14,  2]])]"
saheart.csv,6,2,AdaBoost,None,acc,0.6304347826086957,"[array([[21,  9],
       [ 8,  8]])]"
saheart.csv,6,2,AdaBoost,None,f1,0.6329023469775128,"[array([[21,  9],
       [ 8,  8]])]"
saheart.csv,6,2,AdaBoost,None,auc,0.5999999999999999,"[array([[21,  9],
       [ 8,  8]])]"
saheart.csv,6,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",acc,0.717391304347826,"[array([[29,  1],
       [12,  4]])]"
saheart.csv,6,2,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 3.0]",f1,0.6805293005671078,"[array([[28,  2],
       [11,  5]])]"
saheart.csv,6,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",auc,0.5833333333333334,"[array([[20, 10],
       [ 8,  8]])]"
saheart.csv,6,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",acc,0.6739130434782609,"[array([[27,  3],
       [12,  4]])]"
saheart.csv,6,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",f1,0.6925892277741725,"[array([[27,  3],
       [10,  6]])]"
saheart.csv,6,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",auc,0.6083333333333333,"[array([[29,  1],
       [12,  4]])]"
saheart.csv,7,2,base,None,acc,0.5652173913043478,"[array([[23,  7],
       [13,  3]])]"
saheart.csv,7,2,base,None,f1,0.5348130130738827,"[array([[23,  7],
       [13,  3]])]"
saheart.csv,7,2,base,None,auc,0.4770833333333333,"[array([[23,  7],
       [13,  3]])]"
saheart.csv,7,2,wagging,None,acc,0.6086956521739131,"[array([[28,  2],
       [16,  0]])]"
saheart.csv,7,2,wagging,None,f1,0.49353701527614574,"[array([[28,  2],
       [16,  0]])]"
saheart.csv,7,2,wagging,None,auc,0.4666666666666667,"[array([[28,  2],
       [16,  0]])]"
saheart.csv,7,2,AdaBoost,None,acc,0.5434782608695652,"[array([[21,  9],
       [12,  4]])]"
saheart.csv,7,2,AdaBoost,None,f1,0.5307346326836582,"[array([[21,  9],
       [12,  4]])]"
saheart.csv,7,2,AdaBoost,None,auc,0.475,"[array([[21,  9],
       [12,  4]])]"
saheart.csv,7,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",acc,0.6956521739130435,"[array([[29,  1],
       [13,  3]])]"
saheart.csv,7,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",f1,0.4710144927536232,"[array([[26,  4],
       [16,  0]])]"
saheart.csv,7,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",auc,0.5416666666666667,"[array([[25,  5],
       [12,  4]])]"
