,Dataset,alpha,split,weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Table
42628,bands,4,2,LSC,0.7456100837679785,0.7504504504504504,0.0140702826196312,0.746 (0.014)
14000,bands,6,1,N1,0.7430101153785365,0.7452702702702703,0.0085845646375228,0.743 (0.009)
25485,bands,2,2,N2,0.7341947210368263,0.737012012012012,0.0122662290682136,0.734 (0.012)
11761,bands,6,4,TD_U,0.7478623360202308,0.7477477477477478,0.0080718554129718,0.748 (0.008)
62207,bands,8,2,kDN,0.7454757388967915,0.7451201201201202,0.0083412519868855,0.745 (0.008)
22689,banknote_authentication,8,4,CLD,0.9933543792836584,0.9934306569343068,0.0005371880522173,0.993 (0.001)
24877,banknote_authentication,8,1,DCP,0.99370486673682,0.9941658732677456,0.0006533436301101,0.994 (0.001)
24878,banknote_authentication,8,1,F1,0.9934746418569432,0.9934359462604464,0.0007871368246893,0.993 (0.001)
37731,banknote_authentication,4,8,Hostility,0.9908255246176374,0.9905215275573892,0.001095704146524,0.991 (0.001)
45418,banknote_authentication,6,2,LSC,0.992204090041034,0.991976092245848,0.0005967462631704,0.992 (0.001)
11777,banknote_authentication,6,6,N1,0.9897147661282688,0.98979160055009,0.000334913480103,0.99 (0.0)
50145,banknote_authentication,2,2,N2,0.9913642007271432,0.9912514545646884,0.0006532455846982,0.991 (0.001)
52747,banknote_authentication,4,2,TD_U,0.9938153858145842,0.994160583941606,0.0003738449172465,0.994 (0.0)
10754,banknote_authentication,4,1,kDN,0.9901757726591948,0.98979160055009,0.0007834557832215,0.99 (0.001)
837,bodyfat,6,2,CLD,0.996,0.996,0.0,0.996 (0.0)
838,bodyfat,6,2,DCP,0.996,0.996,0.0,0.996 (0.0)
839,bodyfat,6,2,F1,0.996,0.996,0.0,0.996 (0.0)
840,bodyfat,6,2,Hostility,0.996,0.996,0.0,0.996 (0.0)
841,bodyfat,6,2,LSC,0.996,0.996,0.0,0.996 (0.0)
842,bodyfat,6,2,N1,0.996,0.996,0.0,0.996 (0.0)
843,bodyfat,6,2,N2,0.996,0.996,0.0,0.996 (0.0)
844,bodyfat,6,2,TD_U,0.996,0.996,0.0,0.996 (0.0)
845,bodyfat,6,2,kDN,0.996,0.996,0.0,0.996 (0.0)
11106,breast-w,10,2,CLD,0.9629007300860848,0.962815734989648,0.0020527763796449,0.963 (0.002)
18910,breast-w,6,8,DCP,0.9641473248338238,0.964223602484472,0.001388502878457,0.964 (0.001)
5699,breast-w,6,2,F1,0.9635142203334424,0.9642650103519668,0.0018055186446082,0.964 (0.002)
18912,breast-w,6,8,Hostility,0.9621150702844068,0.9627950310559006,0.001609252947668,0.962 (0.002)
319,breast-w,8,8,LSC,0.9659180560095892,0.9671221532091098,0.0019811483406804,0.966 (0.002)
39335,breast-w,4,4,N1,0.9593581780538302,0.9585300207039336,0.0037901584182895,0.959 (0.004)
14568,breast-w,4,1,N2,0.9659725400457666,0.9656728778467908,0.0013124720682188,0.966 (0.001)
14569,breast-w,4,1,TD_U,0.9606941266209,0.9599378881987578,0.0019307566050535,0.961 (0.002)
53837,breast-w,10,8,kDN,0.9616040100250628,0.9613871635610766,0.00204252428235,0.962 (0.002)
1188,breastcancer,4,6,CLD,1.0,1.0,0.0,1.0 (0.0)
1189,breastcancer,4,6,DCP,1.0,1.0,0.0,1.0 (0.0)
1190,breastcancer,4,6,F1,1.0,1.0,0.0,1.0 (0.0)
1191,breastcancer,4,6,Hostility,1.0,1.0,0.0,1.0 (0.0)
1192,breastcancer,4,6,LSC,1.0,1.0,0.0,1.0 (0.0)
1193,breastcancer,4,6,N1,1.0,1.0,0.0,1.0 (0.0)
1194,breastcancer,4,6,N2,1.0,1.0,0.0,1.0 (0.0)
1195,breastcancer,4,6,TD_U,1.0,1.0,0.0,1.0 (0.0)
1196,breastcancer,4,6,kDN,1.0,1.0,0.0,1.0 (0.0)
48213,bupa,10,8,CLD,0.7518664307828394,0.7541176470588236,0.0104045913418377,0.752 (0.01)
6463,bupa,6,2,DCP,0.7281512605042016,0.7278991596638655,0.0066207253522488,0.728 (0.007)
13754,bupa,4,6,F1,0.732733303847855,0.7366386554621849,0.0065908148938247,0.733 (0.007)
10704,bupa,8,8,Hostility,0.7399513489606369,0.7394117647058824,0.0084768178719909,0.74 (0.008)
5584,bupa,8,4,LSC,0.7489164086687307,0.7483193277310924,0.0064312953674914,0.749 (0.006)
45788,bupa,2,2,N1,0.7373728438743918,0.7394957983193278,0.0051669733916609,0.737 (0.005)
41406,bupa,4,1,N2,0.7395709862892526,0.7398319327731093,0.0090127283269005,0.74 (0.009)
54907,bupa,2,6,TD_U,0.7296284829721362,0.7279831932773109,0.0083063643726307,0.73 (0.008)
18656,bupa,2,4,kDN,0.7519725785050863,0.7510924369747899,0.0088551905578397,0.752 (0.009)
9396,chatfield_4,10,8,CLD,0.8994183829138062,0.9021739130434782,0.0070426212186848,0.899 (0.007)
42949,chatfield_4,8,2,DCP,0.9063024408848208,0.9061594202898552,0.0043677327710491,0.906 (0.004)
1046,chatfield_4,2,4,F1,0.9041189931350114,0.9063405797101448,0.0038533204915257,0.904 (0.004)
58746,chatfield_4,8,1,Hostility,0.9095156369183828,0.9106884057971014,0.00508623634237,0.91 (0.005)
35923,chatfield_4,2,8,LSC,0.9020213577421816,0.9019927536231884,0.0039824241285754,0.902 (0.004)
3731,chatfield_4,10,4,N1,0.9065026697177726,0.9063405797101448,0.0033085476764594,0.907 (0.003)
35925,chatfield_4,2,8,N2,0.9035659801678108,0.9065217391304348,0.0045132789772535,0.904 (0.005)
60991,chatfield_4,10,6,TD_U,0.9072463768115944,0.9063405797101448,0.0048278976065958,0.907 (0.005)
21662,chatfield_4,10,2,kDN,0.910621662852784,0.9108695652173914,0.0060005472354567,0.911 (0.006)
20529,cleveland,6,4,CLD,0.5842671194114318,0.5873118279569892,0.0077695191467333,0.584 (0.008)
29467,cleveland,4,6,DCP,0.5674929258630447,0.5674193548387096,0.0065687350377269,0.567 (0.007)
39908,cleveland,10,4,F1,0.5818619128466327,0.5804301075268817,0.0089245910247648,0.582 (0.009)
48900,cleveland,6,1,Hostility,0.5855291454442558,0.5838709677419355,0.0070289576606522,0.586 (0.007)
13234,cleveland,8,1,LSC,0.5918505942275042,0.5908602150537634,0.0039781037212089,0.592 (0.004)
13235,cleveland,8,1,N1,0.5816072439162422,0.5806451612903226,0.0075942939301181,0.582 (0.008)
21291,cleveland,8,2,N2,0.5948839841539332,0.5938709677419355,0.0069200986854829,0.595 (0.007)
54187,cleveland,4,8,TD_U,0.5796208262591964,0.5806451612903226,0.0061301187933192,0.58 (0.006)
66005,cleveland,6,2,kDN,0.5877362761743067,0.5872043010752688,0.0079026750419043,0.588 (0.008)
31923,contraceptive_LS,2,6,CLD,0.6276588530148901,0.6290196078431373,0.0035349382402465,0.628 (0.004)
1369,contraceptive_LS,10,1,DCP,0.6332750995134896,0.6326470588235293,0.0060997506697697,0.633 (0.006)
